"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","143,775,355","±10,234","143,775,355","(X)"
"        Occupied housing units","129,227,496","±209,365","89.9%","±0.1"
"        Vacant housing units","14,547,859","±200,366","10.1%","±0.1"
"        Homeowner vacancy rate","0.9","±0.1","(X)","(X)"
"        Rental vacancy rate","5.5","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","143,775,355","±10,234","143,775,355","(X)"
"        1-unit, detached","88,075,458","±149,805","61.3%","±0.1"
"        1-unit, attached","8,955,086","±33,578","6.2%","±0.1"
"        2 units","4,817,231","±31,410","3.4%","±0.1"
"        3 or 4 units","6,214,115","±29,081","4.3%","±0.1"
"        5 to 9 units","6,483,370","±35,513","4.5%","±0.1"
"        10 to 19 units","6,141,784","±37,974","4.3%","±0.1"
"        20 or more units","14,859,547","±29,256","10.3%","±0.1"
"        Mobile home","8,042,724","±48,445","5.6%","±0.1"
"        Boat, RV, van, etc.","186,040","±3,644","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","143,775,355","±10,234","143,775,355","(X)"
"        Built 2020 or later","2,879,269","±16,856","2.0%","±0.1"
"        Built 2010 to 2019","13,572,327","±26,490","9.4%","±0.1"
"        Built 2000 to 2009","19,601,872","±35,730","13.6%","±0.1"
"        Built 1990 to 1999","17,793,864","±30,292","12.4%","±0.1"
"        Built 1980 to 1989","18,539,918","±35,599","12.9%","±0.1"
"        Built 1970 to 1979","20,359,888","±36,774","14.2%","±0.1"
"        Built 1960 to 1969","14,170,288","±29,176","9.9%","±0.1"
"        Built 1950 to 1959","13,623,433","±31,168","9.5%","±0.1"
"        Built 1940 to 1949","6,354,040","±19,329","4.4%","±0.1"
"        Built 1939 or earlier","16,880,456","±32,803","11.7%","±0.1"
"ROOMS","","","",""
"    Total housing units","143,775,355","±10,234","143,775,355","(X)"
"        1 room","3,725,230","±25,053","2.6%","±0.1"
"        2 rooms","4,673,489","±18,870","3.3%","±0.1"
"        3 rooms","13,175,118","±46,930","9.2%","±0.1"
"        4 rooms","22,760,990","±70,339","15.8%","±0.1"
"        5 rooms","26,477,048","±76,818","18.4%","±0.1"
"        6 rooms","25,071,923","±43,504","17.4%","±0.1"
"        7 rooms","17,048,214","±39,479","11.9%","±0.1"
"        8 rooms","12,943,179","±55,054","9.0%","±0.1"
"        9 rooms or more","17,900,164","±104,595","12.5%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","143,775,355","±10,234","143,775,355","(X)"
"        No bedroom","4,143,170","±22,766","2.9%","±0.1"
"        1 bedroom","15,728,309","±42,972","10.9%","±0.1"
"        2 bedrooms","36,004,543","±67,882","25.0%","±0.1"
"        3 bedrooms","55,589,936","±74,967","38.7%","±0.1"
"        4 bedrooms","25,218,707","±58,800","17.5%","±0.1"
"        5 or more bedrooms","7,090,690","±20,322","4.9%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","129,227,496","±209,365","129,227,496","(X)"
"        Owner-occupied","84,210,142","±367,889","65.2%","±0.2"
"        Renter-occupied","45,017,354","±163,571","34.8%","±0.2"
"        Average household size of owner-occupied unit","2.64","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.31","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","129,227,496","±209,365","129,227,496","(X)"
"        Moved in 2023 or later","5,939,727","±37,466","4.6%","±0.1"
"        Moved in 2020 to 2022","26,145,918","±34,748","20.2%","±0.1"
"        Moved in 2010 to 2019","51,221,379","±108,823","39.6%","±0.1"
"        Moved in 2000 to 2009","21,201,837","±80,770","16.4%","±0.1"
"        Moved in 1990 to 1999","12,412,819","±50,250","9.6%","±0.1"
"        Moved in 1989 and earlier","12,305,816","±38,200","9.5%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","129,227,496","±209,365","129,227,496","(X)"
"        No vehicles available","10,793,323","±27,221","8.4%","±0.1"
"        1 vehicle available","42,801,892","±62,721","33.1%","±0.1"
"        2 vehicles available","47,334,152","±142,634","36.6%","±0.1"
"        3 or more vehicles available","28,298,129","±55,508","21.9%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","129,227,496","±209,365","129,227,496","(X)"
"        Utility gas","60,108,715","±169,007","46.5%","±0.1"
"        Bottled or tank gas (propane, butane, etc.)","6,307,706","±24,453","4.9%","±0.1"
"        Electricity","53,307,720","±46,627","41.3%","±0.1"
"        Fuel oil, kerosene, etc.","5,009,939","±15,923","3.9%","±0.1"
"        Coal or coke","91,709","±2,125","0.1%","±0.1"
"        Wood","1,769,230","±10,435","1.4%","±0.1"
"        Solar energy","418,842","±5,669","0.3%","±0.1"
"        Other fuel","627,589","±6,436","0.5%","±0.1"
"        No fuel used","1,586,046","±13,605","1.2%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","129,227,496","±209,365","129,227,496","(X)"
"        Lacking complete plumbing facilities","523,448","±5,857","0.4%","±0.1"
"        Lacking complete kitchen facilities","1,064,164","±7,468","0.8%","±0.1"
"        No telephone service available","1,124,525","±8,739","0.9%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","129,227,496","±209,365","129,227,496","(X)"
"        1.00 or less","124,777,919","±233,720","96.6%","±0.1"
"        1.01 to 1.50","2,871,512","±24,223","2.2%","±0.1"
"        1.51 or more","1,578,065","±11,286","1.2%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","84,210,142","±367,889","84,210,142","(X)"
"        Less than $50,000","4,475,763","±28,128","5.3%","±0.1"
"        $50,000 to $99,999","5,150,611","±25,487","6.1%","±0.1"
"        $100,000 to $149,999","5,756,709","±29,141","6.8%","±0.1"
"        $150,000 to $199,999","7,537,440","±38,832","9.0%","±0.1"
"        $200,000 to $299,999","15,003,096","±73,937","17.8%","±0.1"
"        $300,000 to $499,999","22,660,911","±107,634","26.9%","±0.1"
"        $500,000 to $999,999","17,639,650","±84,751","20.9%","±0.1"
"        $1,000,000 or more","5,985,962","±23,306","7.1%","±0.1"
"        Median (dollars)","332,700","±236","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","84,210,142","±367,889","84,210,142","(X)"
"        Housing units with a mortgage","51,067,639","±228,597","60.6%","±0.1"
"        Housing units without a mortgage","33,142,503","±144,980","39.4%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","51,067,639","±228,597","51,067,639","(X)"
"        Less than $500","365,356","±6,084","0.7%","±0.1"
"        $500 to $999","4,620,945","±30,689","9.0%","±0.1"
"        $1,000 to $1,499","10,514,110","±56,144","20.6%","±0.1"
"        $1,500 to $1,999","10,800,267","±55,696","21.1%","±0.1"
"        $2,000 to $2,499","8,164,696","±40,753","16.0%","±0.1"
"        $2,500 to $2,999","5,567,382","±30,216","10.9%","±0.1"
"        $3,000 or more","11,034,883","±41,881","21.6%","±0.1"
"        Median (dollars)","1,963","±1","(X)","(X)"
"    Housing units without a mortgage","33,142,503","±144,980","33,142,503","(X)"
"        Less than $250","2,173,075","±13,977","6.6%","±0.1"
"        $250 to $399","4,944,044","±27,276","14.9%","±0.1"
"        $400 to $599","8,144,412","±39,523","24.6%","±0.1"
"        $600 to $799","6,365,917","±33,637","19.2%","±0.1"
"        $800 to $999","4,136,033","±22,108","12.5%","±0.1"
"        $1,000 or more","7,379,022","±37,057","22.3%","±0.1"
"        Median (dollars)","638","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","50,810,132","±229,599","50,810,132","(X)"
"        Less than 20.0 percent","23,952,147","±155,311","47.1%","±0.1"
"        20.0 to 24.9 percent","7,527,721","±42,727","14.8%","±0.1"
"        25.0 to 29.9 percent","5,050,559","±28,301","9.9%","±0.1"
"        30.0 to 34.9 percent","3,387,996","±19,683","6.7%","±0.1"
"        35.0 percent or more","10,891,709","±29,493","21.4%","±0.1"
"        Not computed","257,507","±4,878","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","32,660,612","±144,288","32,660,612","(X)"
"        Less than 10.0 percent","14,802,462","±82,712","45.3%","±0.1"
"        10.0 to 14.9 percent","6,226,278","±34,404","19.1%","±0.1"
"        15.0 to 19.9 percent","3,504,979","±17,971","10.7%","±0.1"
"        20.0 to 24.9 percent","2,100,879","±12,412","6.4%","±0.1"
"        25.0 to 29.9 percent","1,343,824","±9,357","4.1%","±0.1"
"        30.0 to 34.9 percent","910,087","±8,999","2.8%","±0.1"
"        35.0 percent or more","3,772,103","±18,029","11.5%","±0.1"
"        Not computed","481,891","±6,158","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","42,849,984","±158,282","42,849,984","(X)"
"        Less than $500","2,681,844","±13,522","6.3%","±0.1"
"        $500 to $999","8,655,577","±37,080","20.2%","±0.1"
"        $1,000 to $1,499","12,054,936","±50,019","28.1%","±0.1"
"        $1,500 to $1,999","9,040,273","±47,801","21.1%","±0.1"
"        $2,000 to $2,499","5,144,916","±32,555","12.0%","±0.1"
"        $2,500 to $2,999","2,372,815","±18,424","5.5%","±0.1"
"        $3,000 or more","2,899,623","±18,373","6.8%","±0.1"
"        Median (dollars)","1,413","±2","(X)","(X)"
"        No rent paid","2,167,370","±15,776","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","41,908,786","±152,365","41,908,786","(X)"
"        Less than 15.0 percent","5,288,984","±30,702","12.6%","±0.1"
"        15.0 to 19.9 percent","5,102,452","±24,645","12.2%","±0.1"
