"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","129,227,496","±209,365","129,227,496","(X)"
"        Married-couple household","60,637,388","±248,654","46.9%","±0.1"
"            With children of the householder under 18 years","23,217,247","±195,571","18.0%","±0.1"
"        Cohabiting couple household","9,288,401","±25,812","7.2%","±0.1"
"            With children of the householder under 18 years","2,980,700","±14,895","2.3%","±0.1"
"        Male householder, no spouse/partner present","23,718,857","±56,273","18.4%","±0.1"
"            With children of the householder under 18 years","1,582,566","±14,307","1.2%","±0.1"
"            Householder living alone","16,871,444","±29,631","13.1%","±0.1"
"                65 years and over","5,225,110","±42,343","4.0%","±0.1"
"        Female householder, no spouse/partner present","35,582,850","±38,920","27.5%","±0.1"
"            With children of the householder under 18 years","6,274,909","±26,104","4.9%","±0.1"
"            Householder living alone","20,269,392","±66,224","15.7%","±0.1"
"                65 years and over","10,089,070","±86,904","7.8%","±0.1"
"        Households with one or more people under 18 years","38,169,315","±166,346","29.5%","±0.1"
"        Households with one or more people 65 years and over","41,077,309","±105,994","31.8%","±0.1"
"        Average household size","2.53","±0.01","(X)","(X)"
"        Average family size","3.14","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","326,722,431","*****","326,722,431","(X)"
"        Householder","129,227,496","±209,365","39.6%","±0.1"
"        Spouse","60,517,541","±241,371","18.5%","±0.1"
"        Unmarried partner","9,409,894","±23,810","2.9%","±0.1"
"        Child","94,401,433","±101,546","28.9%","±0.1"
"        Other relatives","22,755,403","±205,963","7.0%","±0.1"
"        Other nonrelatives","10,410,664","±159,500","3.2%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","134,932,809","±6,144","134,932,809","(X)"
"        Never married","50,281,403","±169,421","37.3%","±0.1"
"        Now married, except separated","66,780,189","±231,325","49.5%","±0.2"
"        Separated","1,965,335","±19,168","1.5%","±0.1"
"        Widowed","3,576,109","±14,762","2.7%","±0.1"
"        Divorced","12,329,773","±56,255","9.1%","±0.1"
"    Females 15 years and over","139,664,154","±6,300","139,664,154","(X)"
"        Never married","44,199,442","±127,321","31.6%","±0.1"
"        Now married, except separated","64,418,889","±179,138","46.1%","±0.1"
"        Separated","2,626,703","±21,990","1.9%","±0.1"
"        Widowed","11,674,834","±22,256","8.4%","±0.1"
"        Divorced","16,744,286","±47,135","12.0%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,009,203","±20,898","4,009,203","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,243,078","±11,855","31.0%","±0.3"
"            Per 1,000 unmarried women","28","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","51","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","8","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","83","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","34","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","6,750,866","±30,512","6,750,866","(X)"
"        Grandparents responsible for grandchildren","2,118,863","±17,781","31.4%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","350,660","±5,830","5.2%","±0.1"
"            1 or 2 years","399,163","±5,472","5.9%","±0.1"
"            3 or 4 years","333,291","±5,527","4.9%","±0.1"
"            5 or more years","1,035,749","±11,284","15.3%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,118,863","±17,781","2,118,863","(X)"
"        Who are female","1,348,644","±11,676","63.6%","±0.2"
"        Who are married","1,407,471","±13,504","66.4%","±0.3"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","80,089,790","±81,577","80,089,790","(X)"
"        Nursery school, preschool","4,546,967","±24,080","5.7%","±0.1"
"        Kindergarten","4,035,540","±16,036","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,672,469","±27,523","40.8%","±0.1"
"        High school (grades 9-12)","17,419,207","±24,146","21.7%","±0.1"
"        College or graduate school","21,415,607","±59,772","26.7%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","230,807,303","±9,706","230,807,303","(X)"
"        Less than 9th grade","10,803,193","±71,471","4.7%","±0.1"
"        9th to 12th grade, no diploma","13,189,217","±85,231","5.7%","±0.1"
"        High school graduate (includes equivalency)","60,094,716","±257,399","26.0%","±0.1"
"        Some college, no degree","44,034,048","±51,336","19.1%","±0.1"
"        Associate's degree","20,322,913","±45,811","8.8%","±0.1"
"        Bachelor's degree","49,868,171","±191,354","21.6%","±0.1"
"        Graduate or professional degree","32,495,045","±215,440","14.1%","±0.1"
"        High school graduate or higher","206,814,893","±157,416","89.6%","±0.1"
"        Bachelor's degree or higher","82,363,216","±400,530","35.7%","±0.2"
"VETERAN STATUS","","","",""
