"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","16,259,040","±3,540","16,259,040","(X)"
"        In labor force","10,195,355","±16,971","62.7%","±0.1"
"            Civilian labor force","10,171,766","±17,014","62.6%","±0.1"
"                Employed","9,523,591","±18,192","58.6%","±0.1"
"                Unemployed","648,175","±6,671","4.0%","±0.1"
"            Armed Forces","23,589","±1,006","0.1%","±0.1"
"        Not in labor force","6,063,685","±17,424","37.3%","±0.1"
"    Civilian labor force","10,171,766","±17,014","10,171,766","(X)"
"        Unemployment Rate","(X)","(X)","6.4%","±0.1"
"    Females 16 years and over","8,403,287","±2,381","8,403,287","(X)"
"        In labor force","4,956,422","±12,273","59.0%","±0.1"
"            Civilian labor force","4,953,365","±12,190","58.9%","±0.1"
"                Employed","4,655,616","±12,711","55.4%","±0.2"
"    Own children of the householder under 6 years","1,232,417","±4,328","1,232,417","(X)"
"        All parents in family in labor force","857,033","±6,787","69.5%","±0.5"
"    Own children of the householder 6 to 17 years","2,621,945","±6,153","2,621,945","(X)"
"        All parents in family in labor force","1,902,475","±9,937","72.6%","±0.3"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","9,306,567","±18,405","9,306,567","(X)"
"        Car, truck, or van -- drove alone","4,538,595","±14,033","48.8%","±0.1"
"        Car, truck, or van -- carpooled","589,956","±7,930","6.3%","±0.1"
"        Public transportation","2,009,855","±11,846","21.6%","±0.1"
"        Walked","520,678","±7,409","5.6%","±0.1"
"        Other means","257,548","±4,978","2.8%","±0.1"
"        Worked from home","1,389,935","±12,519","14.9%","±0.1"
"        Mean travel time to work (minutes)","32.6","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","9,523,591","±18,192","9,523,591","(X)"
"        Management, business, science, and arts occupations","4,398,449","±23,343","46.2%","±0.2"
"        Service occupations","1,780,512","±11,809","18.7%","±0.1"
"        Sales and office occupations","1,801,200","±9,173","18.9%","±0.1"
"        Natural resources, construction, and maintenance occupations","631,589","±7,888","6.6%","±0.1"
"        Production, transportation, and material moving occupations","911,841","±8,356","9.6%","±0.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","9,523,591","±18,192","9,523,591","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","52,818","±1,986","0.6%","±0.1"
"        Construction","540,499","±7,369","5.7%","±0.1"
"        Manufacturing","547,502","±5,537","5.7%","±0.1"
"        Wholesale trade","175,311","±4,134","1.8%","±0.1"
"        Retail trade","911,527","±8,144","9.6%","±0.1"
"        Transportation and warehousing, and utilities","539,944","±6,614","5.7%","±0.1"
"        Information","261,835","±4,200","2.7%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","760,434","±9,193","8.0%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","1,264,134","±11,534","13.3%","±0.1"
"        Educational services, and health care and social assistance","2,795,096","±14,944","29.3%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","772,785","±9,528","8.1%","±0.1"
"        Other services, except public administration","448,360","±7,004","4.7%","±0.1"
"        Public administration","453,346","±6,404","4.8%","±0.1"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","9,523,591","±18,192","9,523,591","(X)"
"        Private wage and salary workers","7,405,322","±14,620","77.8%","±0.1"
"        Government workers","1,563,463","±14,181","16.4%","±0.1"
"        Self-employed in own not incorporated business workers","538,662","±6,395","5.7%","±0.1"
"        Unpaid family workers","16,144","±1,225","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","7,722,646","±12,717","7,722,646","(X)"
"        Less than $10,000","448,836","±5,004","5.8%","±0.1"
"        $10,000 to $14,999","304,684","±5,784","3.9%","±0.1"
"        $15,000 to $24,999","483,327","±6,852","6.3%","±0.1"
"        $25,000 to $34,999","475,794","±6,060","6.2%","±0.1"
"        $35,000 to $49,999","686,990","±6,640","8.9%","±0.1"
"        $50,000 to $74,999","1,051,347","±9,058","13.6%","±0.1"
"        $75,000 to $99,999","883,133","±7,713","11.4%","±0.1"
"        $100,000 to $149,999","1,287,671","±10,412","16.7%","±0.1"
"        $150,000 to $199,999","782,846","±6,957","10.1%","±0.1"
"        $200,000 or more","1,318,018","±9,233","17.1%","±0.1"
"        Median household income (dollars)","85,974","±402","(X)","(X)"
"        Mean household income (dollars)","128,247","±582","(X)","(X)"
"        With earnings","5,916,695","±14,164","76.6%","±0.1"
"            Mean earnings (dollars)","134,564","±633","(X)","(X)"
"        With Social Security","2,483,020","±9,486","32.2%","±0.1"
"            Mean Social Security income (dollars)","24,021","±71","(X)","(X)"
"        With retirement income","1,912,438","±11,888","24.8%","±0.1"
"            Mean retirement income (dollars)","35,144","±353","(X)","(X)"
"        With Supplemental Security Income","465,828","±5,151","6.0%","±0.1"
"            Mean Supplemental Security Income (dollars)","11,015","±83","(X)","(X)"
"        With cash public assistance income","324,466","±4,564","4.2%","±0.1"
"            Mean cash public assistance income (dollars)","4,773","±99","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,204,048","±9,426","15.6%","±0.1"
"    Families","4,738,075","±13,456","4,738,075","(X)"
"        Less than $10,000","168,399","±3,702","3.6%","±0.1"
"        $10,000 to $14,999","90,035","±3,628","1.9%","±0.1"
"        $15,000 to $24,999","202,358","±4,730","4.3%","±0.1"
"        $25,000 to $34,999","230,659","±4,121","4.9%","±0.1"
"        $35,000 to $49,999","365,594","±4,860","7.7%","±0.1"
"        $50,000 to $74,999","606,429","±7,077","12.8%","±0.1"
"        $75,000 to $99,999","559,852","±5,982","11.8%","±0.1"
"        $100,000 to $149,999","900,223","±8,403","19.0%","±0.2"
"        $150,000 to $199,999","585,673","±6,170","12.4%","±0.1"
"        $200,000 or more","1,028,853","±8,796","21.7%","±0.2"
"        Median family income (dollars)","106,873","±570","(X)","(X)"
"        Mean family income (dollars)","151,821","±803","(X)","(X)"
"    Per capita income (dollars)","50,712","±237","(X)","(X)"
"    Nonfamily households","2,984,571","±12,394","2,984,571","(X)"
"        Median nonfamily income (dollars)","53,448","±427","(X)","(X)"
"        Mean nonfamily income (dollars)","84,425","±608","(X)","(X)"
"    Median earnings for workers (dollars)","50,891","±182","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","74,705","±298","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","65,839","±290","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","19,655,826","±989","19,655,826","(X)"
"        With health insurance coverage","18,662,552","±13,314","94.9%","±0.1"
"            With private health insurance","12,866,555","±41,012","65.5%","±0.2"
"            With public coverage","8,324,670","±31,865","42.4%","±0.2"
"        No health insurance coverage","993,274","±13,152","5.1%","±0.1"
"    Civilian noninstitutionalized population under 19 years","4,320,485","±2,949","4,320,485","(X)"
"        No health insurance coverage","113,831","±3,991","2.6%","±0.1"
"    Civilian noninstitutionalized population 19 to 64 years","11,872,948","±3,115","11,872,948","(X)"
"        In labor force:","9,276,784","±15,449","9,276,784","(X)"
"            Employed:","8,696,578","±16,710","8,696,578","(X)"
"                With health insurance coverage","8,151,959","±19,248","93.7%","±0.1"
"                    With private health insurance","6,876,154","±24,567","79.1%","±0.2"
"                    With public coverage","1,541,438","±12,598","17.7%","±0.2"
"                No health insurance coverage","544,619","±8,500","6.3%","±0.1"
"            Unemployed:","580,206","±7,136","580,206","(X)"
"                With health insurance coverage","500,051","±6,530","86.2%","±0.4"
"                    With private health insurance","239,382","±4,134","41.3%","±0.7"
"                    With public coverage","285,374","±5,715","49.2%","±0.7"
"                No health insurance coverage","80,155","±2,748","13.8%","±0.4"
"        Not in labor force:","2,596,164","±15,227","2,596,164","(X)"
"            With health insurance coverage","2,372,521","±13,742","91.4%","±0.2"
"                With private health insurance","1,244,002","±10,113","47.9%","±0.4"
"                With public coverage","1,325,479","±12,601","51.1%","±0.3"
"            No health insurance coverage","223,643","±5,194","8.6%","±0.2"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","10.0%","±0.2"
"        With related children of the householder under 18 years","(X)","(X)","15.1%","±0.3"
"            With related children of the householder under 5 years only","(X)","(X)","12.5%","±0.6"
"        Married couple families","(X)","(X)","5.6%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","7.1%","±0.2"
"                With related children of the householder under 5 years only","(X)","(X)","5.7%","±0.4"
"        Families with female householder, no spouse present","(X)","(X)","22.6%","±0.4"
"            With related children of the householder under 18 years","(X)","(X)","32.5%","±0.7"
"                With related children of the householder under 5 years only","(X)","(X)","33.0%","±2.0"
"    All people","(X)","(X)","14.0%","±0.2"
"        Under 18 years","(X)","(X)","18.3%","±0.3"
"            Related children of the householder under 18 years","(X)","(X)","18.0%","±0.3"
"                Related children of the householder under 5 years","(X)","(X)","18.7%","±0.5"
"                Related children of the householder 5 to 17 years","(X)","(X)","17.7%","±0.3"
"        18 years and over","(X)","(X)","12.9%","±0.1"
"            18 to 64 years","(X)","(X)","12.8%","±0.1"
"            65 years and over","(X)","(X)","13.3%","±0.2"
"        People in families","(X)","(X)","10.8%","±0.2"
"        Unrelated individuals 15 years and over","(X)","(X)","24.9%","±0.2"
