"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","8,585,241","±652","8,585,241","(X)"
"        Occupied housing units","7,722,646","±12,717","90.0%","±0.1"
"        Vacant housing units","862,595","±12,628","10.0%","±0.1"
"        Homeowner vacancy rate","1.1","±0.1","(X)","(X)"
"        Rental vacancy rate","3.8","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","8,585,241","±652","8,585,241","(X)"
"        1-unit, detached","3,533,093","±10,007","41.2%","±0.1"
"        1-unit, attached","470,247","±6,314","5.5%","±0.1"
"        2 units","822,296","±8,745","9.6%","±0.1"
"        3 or 4 units","594,096","±6,151","6.9%","±0.1"
"        5 to 9 units","445,753","±6,435","5.2%","±0.1"
"        10 to 19 units","377,168","±5,887","4.4%","±0.1"
"        20 or more units","2,156,358","±8,785","25.1%","±0.1"
"        Mobile home","182,823","±3,127","2.1%","±0.1"
"        Boat, RV, van, etc.","3,407","±551","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","8,585,241","±652","8,585,241","(X)"
"        Built 2020 or later","64,884","±2,030","0.8%","±0.1"
"        Built 2010 to 2019","457,894","±4,633","5.3%","±0.1"
"        Built 2000 to 2009","549,929","±7,355","6.4%","±0.1"
"        Built 1990 to 1999","506,089","±5,787","5.9%","±0.1"
"        Built 1980 to 1989","658,587","±6,310","7.7%","±0.1"
"        Built 1970 to 1979","841,477","±6,757","9.8%","±0.1"
"        Built 1960 to 1969","1,040,358","±7,411","12.1%","±0.1"
"        Built 1950 to 1959","1,210,607","±8,374","14.1%","±0.1"
"        Built 1940 to 1949","656,472","±7,141","7.6%","±0.1"
"        Built 1939 or earlier","2,598,944","±11,749","30.3%","±0.1"
"ROOMS","","","",""
"    Total housing units","8,585,241","±652","8,585,241","(X)"
"        1 room","401,653","±5,891","4.7%","±0.1"
"        2 rooms","424,701","±5,916","4.9%","±0.1"
"        3 rooms","1,262,065","±9,335","14.7%","±0.1"
"        4 rooms","1,555,892","±11,268","18.1%","±0.1"
"        5 rooms","1,367,537","±10,456","15.9%","±0.1"
"        6 rooms","1,239,064","±9,166","14.4%","±0.1"
"        7 rooms","834,553","±6,009","9.7%","±0.1"
"        8 rooms","640,992","±5,926","7.5%","±0.1"
"        9 rooms or more","858,784","±7,590","10.0%","±0.1"
"        Median rooms","5.0","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","8,585,241","±652","8,585,241","(X)"
"        No bedroom","462,183","±5,982","5.4%","±0.1"
"        1 bedroom","1,629,149","±10,102","19.0%","±0.1"
"        2 bedrooms","2,284,978","±9,664","26.6%","±0.1"
"        3 bedrooms","2,671,676","±11,144","31.1%","±0.1"
"        4 bedrooms","1,161,811","±7,834","13.5%","±0.1"
"        5 or more bedrooms","375,444","±4,413","4.4%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","7,722,646","±12,717","7,722,646","(X)"
"        Owner-occupied","4,196,985","±19,607","54.3%","±0.2"
"        Renter-occupied","3,525,661","±12,362","45.7%","±0.2"
"        Average household size of owner-occupied unit","2.66","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.28","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","7,722,646","±12,717","7,722,646","(X)"
"        Moved in 2023 or later","277,436","±4,663","3.6%","±0.1"
