"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","16,370,499","±7,650","16,370,499","(X)"
"        In labor force","10,306,457","±30,775","63.0%","±0.2"
"            Civilian labor force","10,284,583","±30,811","62.8%","±0.2"
"                Employed","9,737,212","±30,064","59.5%","±0.2"
"                Unemployed","547,371","±15,213","3.3%","±0.1"
"            Armed Forces","21,874","±2,648","0.1%","±0.1"
"        Not in labor force","6,064,042","±30,671","37.0%","±0.2"
"    Civilian labor force","10,284,583","±30,811","10,284,583","(X)"
"        Unemployment Rate","(X)","(X)","5.3%","±0.1"
"    Females 16 years and over","8,454,671","±6,672","8,454,671","(X)"
"        In labor force","5,034,558","±20,662","59.5%","±0.2"
"            Civilian labor force","5,031,569","±20,724","59.5%","±0.2"
"                Employed","4,780,986","±20,881","56.5%","±0.2"
"    Own children of the householder under 6 years","1,183,979","±11,570","1,183,979","(X)"
"        All parents in family in labor force","851,396","±16,417","71.9%","±1.1"
"    Own children of the householder 6 to 17 years","2,563,606","±11,162","2,563,606","(X)"
"        All parents in family in labor force","1,894,156","±22,099","73.9%","±0.8"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","9,557,920","±30,811","9,557,920","(X)"
"        Car, truck, or van -- drove alone","4,653,639","±29,384","48.7%","±0.3"
"        Car, truck, or van -- carpooled","637,654","±15,824","6.7%","±0.2"
"        Public transportation","2,312,760","±24,458","24.2%","±0.2"
"        Walked","550,524","±15,501","5.8%","±0.2"
"        Other means","278,474","±12,331","2.9%","±0.1"
"        Worked from home","1,124,869","±17,624","11.8%","±0.2"
"        Mean travel time to work (minutes)","33.2","±0.2","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","9,737,212","±30,064","9,737,212","(X)"
"        Management, business, science, and arts occupations","4,572,462","±35,348","47.0%","±0.4"
"        Service occupations","1,837,975","±24,980","18.9%","±0.2"
"        Sales and office occupations","1,765,345","±24,152","18.1%","±0.2"
"        Natural resources, construction, and maintenance occupations","635,830","±15,987","6.5%","±0.2"
"        Production, transportation, and material moving occupations","925,600","±18,529","9.5%","±0.2"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","9,737,212","±30,064","9,737,212","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","55,423","±4,494","0.6%","±0.1"
"        Construction","546,673","±15,163","5.6%","±0.2"
"        Manufacturing","546,827","±12,518","5.6%","±0.1"
"        Wholesale trade","167,008","±8,275","1.7%","±0.1"
"        Retail trade","895,478","±20,076","9.2%","±0.2"
"        Transportation and warehousing, and utilities","551,472","±13,718","5.7%","±0.1"
"        Information","269,315","±10,691","2.8%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","739,601","±15,651","7.6%","±0.2"
"        Professional, scientific, and management, and administrative and waste management services","1,379,126","±22,285","14.2%","±0.2"
"        Educational services, and health care and social assistance","2,842,286","±28,580","29.2%","±0.3"
"        Arts, entertainment, and recreation, and accommodation and food services","813,510","±19,160","8.4%","±0.2"
