"Label (Grouping)","New York!!2024 Estimate","New York!!2023 Estimate","New York!!2024 - 2023 Statistical Significance","New York!!2022 Estimate","New York!!2024 - 2022 Statistical Significance","New York!!2021 Estimate","New York!!2024 - 2021 Statistical Significance","New York!!2020 Estimate","New York!!2024 - 2020 Statistical Significance"
"HOUSEHOLDS BY TYPE","","","","","","","","",""
"    Total households","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        Married-couple household","42.0%","42.1%","","42.3%","","42.7%","*","(X)",""
"            With children of the householder under 18 years","15.4%","15.7%","","16.0%","*","16.1%","*","(X)",""
"        Cohabiting couple household","7.1%","7.1%","","7.5%","*","7.4%","*","(X)",""
"            With children of the householder under 18 years","1.9%","2.0%","","2.1%","*","2.1%","*","(X)",""
"        Male householder, no spouse/partner present","19.6%","19.4%","","18.9%","*","18.9%","*","(X)",""
"            With children of the householder under 18 years","1.0%","1.0%","","1.0%","","1.0%","","(X)",""
"            Householder living alone","13.7%","13.7%","","13.4%","*","13.5%","","(X)",""
"                65 years and over","4.4%","4.3%","","3.9%","*","4.1%","*","(X)",""
"        Female householder, no spouse/partner present","31.4%","31.3%","","31.2%","","31.0%","*","(X)",""
"            With children of the householder under 18 years","4.7%","4.9%","","4.8%","","4.8%","","(X)",""
"            Householder living alone","17.8%","17.7%","","17.8%","","17.5%","","(X)",""
"                65 years and over","8.8%","8.6%","*","8.6%","","8.5%","*","(X)",""
"        Households with one or more people under 18 years","26.1%","26.5%","*","27.0%","*","27.0%","*","(X)",""
"        Households with one or more people 65 years and over","34.8%","34.1%","*","33.5%","*","33.2%","*","(X)",""
"        Average household size","2.45","2.43","*","2.45","","2.52","*","(X)",""
"        Average family size","3.12","3.09","*","3.12","","3.20","*","(X)",""
"RELATIONSHIP","","","","","","","","",""
"    Population in households","19,188,963","18,954,246","c","19,062,964","c","19,265,908","c","(X)",""
"        Householder","40.8%","41.2%","*","40.8%","","39.7%","*","(X)",""
"        Spouse","17.1%","17.3%","*","17.2%","","16.9%","","(X)",""
"        Unmarried partner","2.9%","3.0%","","3.1%","*","3.0%","","(X)",""
"        Child","27.9%","27.8%","","28.3%","*","29.3%","*","(X)",""
"        Other relatives","7.6%","7.3%","*","7.3%","*","7.7%","","(X)",""
"        Other nonrelatives","3.6%","3.5%","","3.3%","*","3.4%","*","(X)",""
"MARITAL STATUS","","","","","","","","",""
"    Males 15 years and over","8,032,626","7,887,940","*","7,941,304","*","7,957,806","*","(X)",""
"        Never married","41.6%","40.7%","*","41.0%","*","41.3%","","(X)",""
