Label,Estimate,Margin_of_Error,Percent,Percent_MOE,Label_Clean,Estimate_Clean,Percent_Clean
        In labor force,"10,306,457","±30,775",63.0%,±0.2,In labor force,10306457.0,63.0
            Civilian labor force,"10,284,583","±30,811",62.8%,±0.2,Civilian labor force,10284583.0,62.8
                Employed,"9,737,212","±30,064",59.5%,±0.2,Employed,9737212.0,59.5
                Unemployed,"547,371","±15,213",3.3%,±0.1,Unemployed,547371.0,3.3
            Armed Forces,"21,874","±2,648",0.1%,±0.1,Armed Forces,21874.0,0.1
        Not in labor force,"6,064,042","±30,671",37.0%,±0.2,Not in labor force,6064042.0,37.0
        In labor force,"5,034,558","±20,662",59.5%,±0.2,In labor force,5034558.0,59.5
            Civilian labor force,"5,031,569","±20,724",59.5%,±0.2,Civilian labor force,5031569.0,59.5
                Employed,"4,780,986","±20,881",56.5%,±0.2,Employed,4780986.0,56.5
        All parents in family in labor force,"851,396","±16,417",71.9%,±1.1,All parents in family in labor force,851396.0,71.9
        All parents in family in labor force,"1,894,156","±22,099",73.9%,±0.8,All parents in family in labor force,1894156.0,73.9
"        Car, truck, or van -- drove alone","4,653,639","±29,384",48.7%,±0.3,"Car, truck, or van -- drove alone",4653639.0,48.7
"        Car, truck, or van -- carpooled","637,654","±15,824",6.7%,±0.2,"Car, truck, or van -- carpooled",637654.0,6.7
        Public transportation,"2,312,760","±24,458",24.2%,±0.2,Public transportation,2312760.0,24.2
        Walked,"550,524","±15,501",5.8%,±0.2,Walked,550524.0,5.8
        Other means,"278,474","±12,331",2.9%,±0.1,Other means,278474.0,2.9
        Worked from home,"1,124,869","±17,624",11.8%,±0.2,Worked from home,1124869.0,11.8
"        Management, business, science, and arts occupations","4,572,462","±35,348",47.0%,±0.4,"Management, business, science, and arts occupations",4572462.0,47.0
        Service occupations,"1,837,975","±24,980",18.9%,±0.2,Service occupations,1837975.0,18.9
        Sales and office occupations,"1,765,345","±24,152",18.1%,±0.2,Sales and office occupations,1765345.0,18.1
"        Natural resources, construction, and maintenance occupations","635,830","±15,987",6.5%,±0.2,"Natural resources, construction, and maintenance occupations",635830.0,6.5
"        Production, transportation, and material moving occupations","925,600","±18,529",9.5%,±0.2,"Production, transportation, and material moving occupations",925600.0,9.5
"        Agriculture, forestry, fishing and hunting, and mining","55,423","±4,494",0.6%,±0.1,"Agriculture, forestry, fishing and hunting, and mining",55423.0,0.6
        Construction,"546,673","±15,163",5.6%,±0.2,Construction,546673.0,5.6
        Manufacturing,"546,827","±12,518",5.6%,±0.1,Manufacturing,546827.0,5.6
        Wholesale trade,"167,008","±8,275",1.7%,±0.1,Wholesale trade,167008.0,1.7
        Retail trade,"895,478","±20,076",9.2%,±0.2,Retail trade,895478.0,9.2
"        Transportation and warehousing, and utilities","551,472","±13,718",5.7%,±0.1,"Transportation and warehousing, and utilities",551472.0,5.7
        Information,"269,315","±10,691",2.8%,±0.1,Information,269315.0,2.8
"        Finance and insurance, and real estate and rental and leasing","739,601","±15,651",7.6%,±0.2,"Finance and insurance, and real estate and rental and leasing",739601.0,7.6
"        Professional, scientific, and management, and administrative and waste management services","1,379,126","±22,285",14.2%,±0.2,"Professional, scientific, and management, and administrative and waste management services",1379126.0,14.2
"        Educational services, and health care and social assistance","2,842,286","±28,580",29.2%,±0.3,"Educational services, and health care and social assistance",2842286.0,29.2
"        Arts, entertainment, and recreation, and accommodation and food services","813,510","±19,160",8.4%,±0.2,"Arts, entertainment, and recreation, and accommodation and food services",813510.0,8.4
"        Other services, except public administration","472,443","±13,357",4.9%,±0.1,"Other services, except public administration",472443.0,4.9
        Public administration,"458,050","±13,501",4.7%,±0.1,Public administration,458050.0,4.7
        Private wage and salary workers,"7,610,321","±35,790",78.2%,±0.3,Private wage and salary workers,7610321.0,78.2
        Government workers,"1,566,320","±20,663",16.1%,±0.2,Government workers,1566320.0,16.1
        Self-employed in own not incorporated business workers,"544,935","±14,125",5.6%,±0.1,Self-employed in own not incorporated business workers,544935.0,5.6
        Unpaid family workers,"15,636","±2,177",0.2%,±0.1,Unpaid family workers,15636.0,0.2
"        Less than $10,000","482,084","±12,718",6.2%,±0.2,"Less than $10,000",482084.0,6.2
"        $10,000 to $14,999","298,631","±11,897",3.8%,±0.2,"$10,000 to $14,999",298631.0,3.8
"        $15,000 to $24,999","487,136","±12,376",6.2%,±0.2,"$15,000 to $24,999",487136.0,6.2
"        $25,000 to $34,999","456,822","±9,396",5.8%,±0.1,"$25,000 to $34,999",456822.0,5.8
"        $35,000 to $49,999","686,754","±15,233",8.8%,±0.2,"$35,000 to $49,999",686754.0,8.8
"        $50,000 to $74,999","1,077,570","±19,629",13.8%,±0.2,"$50,000 to $74,999",1077570.0,13.8
"        $75,000 to $99,999","901,540","±16,792",11.5%,±0.2,"$75,000 to $99,999",901540.0,11.5
