"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","7,722,646","±12,717","7,722,646","(X)"
"        Married-couple household","3,279,487","±15,988","42.5%","±0.2"
"            With children of the householder under 18 years","1,254,718","±11,561","16.2%","±0.1"
"        Cohabiting couple household","556,600","±6,176","7.2%","±0.1"
"            With children of the householder under 18 years","157,368","±3,311","2.0%","±0.1"
"        Male householder, no spouse/partner present","1,476,451","±8,733","19.1%","±0.1"
"            With children of the householder under 18 years","77,125","±2,773","1.0%","±0.1"
"            Householder living alone","1,045,868","±7,479","13.5%","±0.1"
"                65 years and over","332,696","±4,258","4.3%","±0.1"
"        Female householder, no spouse/partner present","2,410,108","±9,769","31.2%","±0.1"
"            With children of the householder under 18 years","381,255","±4,698","4.9%","±0.1"
"            Householder living alone","1,352,302","±9,561","17.5%","±0.1"
"                65 years and over","673,031","±7,284","8.7%","±0.1"
"        Households with one or more people under 18 years","2,109,028","±11,812","27.3%","±0.1"
"        Households with one or more people 65 years and over","2,596,056","±7,775","33.6%","±0.1"
"        Average household size","2.49","±0.01","(X)","(X)"
"        Average family size","3.16","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","19,227,424","*****","19,227,424","(X)"
"        Householder","7,722,646","±12,717","40.2%","±0.1"
"        Spouse","3,272,673","±15,563","17.0%","±0.1"
"        Unmarried partner","563,562","±6,210","2.9%","±0.1"
"        Child","5,510,488","±15,017","28.7%","±0.1"
"        Other relatives","1,466,244","±16,402","7.6%","±0.1"
"        Other nonrelatives","691,811","±13,028","3.6%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","7,977,080","±766","7,977,080","(X)"
"        Never married","3,283,629","±13,250","41.2%","±0.2"
"        Now married, except separated","3,755,359","±15,406","47.1%","±0.2"
"        Separated","147,138","±3,496","1.8%","±0.1"
"        Widowed","198,882","±3,161","2.5%","±0.1"
"        Divorced","592,072","±6,430","7.4%","±0.1"
"    Females 15 years and over","8,518,585","±749","8,518,585","(X)"
"        Never married","3,133,316","±14,082","36.8%","±0.2"
"        Now married, except separated","3,570,597","±16,270","41.9%","±0.2"
"        Separated","208,369","±3,454","2.4%","±0.1"
"        Widowed","717,580","±6,240","8.4%","±0.1"
"        Divorced","888,723","±7,360","10.4%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","228,276","±4,383","228,276","(X)"
"        Unmarried women (widowed, divorced, and never married)","64,846","±2,265","28.4%","±0.8"
"            Per 1,000 unmarried women","23","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","49","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","6","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","69","±2","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","41","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","391,560","±6,002","391,560","(X)"
"        Grandparents responsible for grandchildren","97,966","±2,848","25.0%","±0.6"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","15,831","±1,056","4.0%","±0.3"
"            1 or 2 years","19,122","±1,318","4.9%","±0.3"
"            3 or 4 years","15,611","±1,213","4.0%","±0.3"
"            5 or more years","47,402","±2,145","12.1%","±0.5"
"    Number of grandparents responsible for own grandchildren under 18 years","97,966","±2,848","97,966","(X)"
"        Who are female","65,845","±2,097","67.2%","±1.2"
"        Who are married","61,137","±2,297","62.4%","±1.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","4,642,703","±10,998","4,642,703","(X)"
"        Nursery school, preschool","285,499","±4,749","6.1%","±0.1"
"        Kindergarten","225,819","±4,058","4.9%","±0.1"
"        Elementary school (grades 1-8)","1,803,128","±5,037","38.8%","±0.1"
"        High school (grades 9-12)","945,755","±4,653","20.4%","±0.1"
"        College or graduate school","1,382,502","±8,688","29.8%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","14,017,184","±1,089","14,017,184","(X)"
"        Less than 9th grade","844,220","±8,788","6.0%","±0.1"
"        9th to 12th grade, no diploma","840,250","±9,428","6.0%","±0.1"
"        High school graduate (includes equivalency)","3,404,326","±20,501","24.3%","±0.1"
"        Some college, no degree","2,051,079","±10,448","14.6%","±0.1"
"        Associate's degree","1,238,678","±8,599","8.8%","±0.1"
"        Bachelor's degree","3,133,832","±16,368","22.4%","±0.1"
"        Graduate or professional degree","2,504,799","±17,395","17.9%","±0.1"
"        High school graduate or higher","12,332,714","±12,905","88.0%","±0.1"
"        Bachelor's degree or higher","5,638,631","±25,754","40.2%","±0.2"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","15,763,499","±1,039","15,763,499","(X)"
"        Civilian veterans","581,776","±5,645","3.7%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","19,655,826","±989","19,655,826","(X)"
"        With a disability","2,482,006","±12,958","12.6%","±0.1"
"    Under 18 years","4,061,070","±384","4,061,070","(X)"
"        With a disability","187,723","±3,938","4.6%","±0.1"
"    18 to 64 years","12,132,363","±1,458","12,132,363","(X)"
"        With a disability","1,187,853","±9,089","9.8%","±0.1"
"    65 years and over","3,462,393","±1,032","3,462,393","(X)"
"        With a disability","1,106,430","±7,076","32.0%","±0.2"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","19,644,100","±3,821","19,644,100","(X)"
"        Same house","17,705,028","±18,166","90.1%","±0.1"
"        Different house (in the U.S. or abroad)","1,939,072","±16,442","9.9%","±0.1"
"            Different house in the U.S.","1,800,401","±16,131","9.2%","±0.1"
"                Same county","997,046","±14,258","5.1%","±0.1"
"                Different county","803,355","±9,517","4.1%","±0.1"
"                    Same state","513,945","±8,119","2.6%","±0.1"
"                    Different state","289,410","±5,564","1.5%","±0.1"
"            Abroad","138,671","±4,751","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","19,852,366","*****","19,852,366","(X)"
"        Native","15,326,352","±18,554","77.2%","±0.1"
"            Born in United States","14,826,475","±20,328","74.7%","±0.1"
"                State of residence","12,382,793","±21,212","62.4%","±0.1"
"                Different state","2,443,682","±16,274","12.3%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","499,877","±7,399","2.5%","±0.1"
"        Foreign-born","4,526,014","±18,555","22.8%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","4,526,014","±18,555","4,526,014","(X)"
"        Naturalized U.S. citizen","2,693,804","±13,715","59.5%","±0.3"
"        Not a U.S. citizen","1,832,210","±16,897","40.5%","±0.3"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","5,025,891","±20,329","5,025,891","(X)"
"        Native","499,877","±7,399","499,877","(X)"
"            Entered 2010 or later","144,964","±4,645","29.0%","±0.7"
"            Entered before 2010","354,913","±5,595","71.0%","±0.7"
"        Foreign-born","4,526,014","±18,555","4,526,014","(X)"
