NAME,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0009E,DP03_0052E,DP03_0062E,DP03_0063E,DP03_0088E,DP03_0092E,DP03_0119E,DP03_0128E,DP03_0099E,state,county
Autauga County; Alabama,47146,28106,27163,26411,752,-888888888,990,68315,90372,35332,41038,-888888888,-888888888,4225,01,001
Baldwin County; Alabama,189569,111766,111079,107254,3825,-888888888,4050,71039,96027,38907,39109,-888888888,-888888888,21472,01,003
Barbour County; Alabama,20399,8968,8968,8452,516,-888888888,917,39712,60128,23378,30789,-888888888,-888888888,2348,01,005
Bibb County; Alabama,18046,9028,9028,8242,786,-888888888,549,50669,65131,24966,29446,-888888888,-888888888,1760,01,007
Blount County; Alabama,47261,26459,26434,24856,1578,-888888888,1445,57440,75954,29053,36315,-888888888,-888888888,5948,01,009
Bullock County; Alabama,8376,3888,3888,3744,144,-888888888,443,36136,52269,22115,29366,-888888888,-888888888,1176,01,011
Butler County; Alabama,15203,8047,8043,7495,548,-888888888,425,44429,65988,26334,31069,-888888888,-888888888,2053,01,013
Calhoun County; Alabama,94627,53521,53147,49455,3692,-888888888,3591,54339,69213,28227,31580,-888888888,-888888888,12430,01,015
Chambers County; Alabama,28036,15691,15631,15072,559,-888888888,671,48805,64377,27006,33170,-888888888,-888888888,3684,01,017
Cherokee County; Alabama,20956,10713,10713,10288,425,-888888888,454,46621,65664,28422,34522,-888888888,-888888888,2533,01,019
Chilton County; Alabama,35294,19921,19921,18865,1056,-888888888,909,62471,73650,28497,38287,-888888888,-888888888,5146,01,021
Choctaw County; Alabama,10532,4781,4781,4532,249,-888888888,500,43299,61685,26343,33688,-888888888,-888888888,1034,01,023
Clarke County; Alabama,18614,8967,8957,7841,1116,-888888888,880,47549,71413,29310,33120,-888888888,-888888888,2166,01,025
Clay County; Alabama,11636,5513,5480,5165,315,-888888888,455,48074,69549,27991,36907,-888888888,-888888888,1124,01,027
Cleburne County; Alabama,12103,5844,5844,5692,152,-888888888,424,51553,71645,28598,37919,-888888888,-888888888,1512,01,029
Coffee County; Alabama,42478,24401,22899,21804,1095,-888888888,1312,62199,78477,31227,34627,-888888888,-888888888,5590,01,031
Colbert County; Alabama,46692,26546,26492,25589,903,-888888888,1648,56149,71460,30724,36777,-888888888,-888888888,4514,01,033
Conecuh County; Alabama,9568,3928,3928,3757,171,-888888888,389,39888,56230,24426,33292,-888888888,-888888888,988,01,035
Coosa County; Alabama,8825,4096,4046,3868,178,-888888888,84,52279,69810,28998,30389,-888888888,-888888888,612,01,037
Covington County; Alabama,30145,16001,15967,15090,877,-888888888,1040,48772,69704,28528,34482,-888888888,-888888888,3798,01,039
Crenshaw County; Alabama,10556,5492,5464,5132,332,-888888888,451,48557,78621,32396,35662,-888888888,-888888888,1101,01,041
Cullman County; Alabama,70954,41231,41229,39440,1789,-888888888,1680,58119,75873,29788,33900,-888888888,-888888888,9266,01,043
Dale County; Alabama,39197,21870,19642,18115,1527,-888888888,1327,52813,67432,28312,33462,-888888888,-888888888,4676,01,045
Dallas County; Alabama,30351,15804,15804,14359,1445,-888888888,1623,37180,53213,22798,28574,-888888888,-888888888,3625,01,047
DeKalb County; Alabama,56883,32124,32085,30827,1258,-888888888,1518,47920,64545,24915,31564,-888888888,-888888888,10326,01,049
Elmore County; Alabama,70825,41512,40950,39250,1700,-888888888,1110,73258,90524,34152,41008,-888888888,-888888888,6794,01,051
Escambia County; Alabama,29357,14277,14277,12964,1313,-888888888,1326,41153,55542,21758,33051,-888888888,-888888888,4226,01,053
Etowah County; Alabama,83569,47374,47355,44508,2847,-888888888,2275,52177,69693,28479,32882,-888888888,-888888888,11965,01,055
Fayette County; Alabama,13382,6972,6968,6296,672,-888888888,416,45650,66681,27053,32721,-888888888,-888888888,1619,01,057
Franklin County; Alabama,24985,14005,14005,13469,536,-888888888,649,47359,63747,24874,33133,-888888888,-888888888,3958,01,059
Geneva County; Alabama,21423,11382,11327,10890,437,-888888888,508,47608,63491,25644,32411,-888888888,-888888888,3187,01,061
Greene County; Alabama,6121,2466,2466,2355,111,-888888888,180,32796,48095,20862,29792,-888888888,-888888888,1060,01,063
Hale County; Alabama,11591,5902,5883,5433,450,-888888888,505,35851,59052,23690,30695,-888888888,-888888888,1012,01,065
Henry County; Alabama,14191,7739,7733,7321,412,-888888888,552,58395,73705,30273,36420,-888888888,-888888888,1634,01,067
Houston County; Alabama,85251,48358,48111,45708,2403,-888888888,2768,55064,78415,32126,35634,-888888888,-888888888,12443,01,069
Jackson County; Alabama,43027,21720,21717,20405,1312,-888888888,1155,46748,65829,27695,33822,-888888888,-888888888,5712,01,071
Jefferson County; Alabama,537683,329543,328926,311193,17733,-888888888,17422,63595,93745,38224,40164,-888888888,-888888888,60044,01,073
Lamar County; Alabama,11102,5674,5665,5381,284,-888888888,288,49565,62422,24794,34095,-888888888,-888888888,1075,01,075
Lauderdale County; Alabama,77733,45176,45106,43474,1632,-888888888,2333,56081,76624,32678,34251,-888888888,-888888888,8881,01,077
Lawrence County; Alabama,26784,14271,14259,13836,423,-888888888,749,54786,72948,29486,37728,-888888888,-888888888,2991,01,079
Lee County; Alabama,143029,85288,84605,81409,3196,-888888888,7569,59288,84719,33083,34621,-888888888,-888888888,14869,01,081
Limestone County; Alabama,84173,50219,50168,48090,2078,-888888888,1292,80146,99315,37504,44764,-888888888,-888888888,8289,01,083
