NAME,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0046E,DP04_0047E,DP04_0089E,DP04_0134E,DP04_0127E,DP04_0128E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0073E,DP04_0074E,state,county
Autauga County; Alabama,24457,22308,2149,16832,5476,191800,1199,250,1291,9664,5409,1343,711,607,111,90,01,001
Baldwin County; Alabama,125113,90802,34311,70708,20094,266000,1160,889,5251,41194,21183,5755,3255,2248,386,800,01,003
Barbour County; Alabama,11673,9016,2657,5858,3158,102700,627,882,1586,2455,1406,219,147,200,20,45,01,005
Bibb County; Alabama,9046,7216,1830,5465,1751,120100,765,420,681,1971,1088,278,86,218,38,132,01,007
Blount County; Alabama,24677,21626,3051,17144,4482,159800,734,600,2396,8637,4518,1502,774,504,96,183,01,009
Bullock County; Alabama,4541,3450,1091,2231,1219,87700,619,374,560,786,438,134,56,14,16,16,01,011
Butler County; Alabama,9835,7131,2704,5047,2084,94800,720,358,1103,1847,841,282,233,94,17,122,01,013
Calhoun County; Alabama,53167,44693,8474,31694,12999,140500,806,1765,6980,16223,9184,2259,1166,1032,256,523,01,015
Chambers County; Alabama,16427,13143,3284,9486,3657,116900,842,596,1667,4472,2139,549,328,246,46,82,01,017
Cherokee County; Alabama,14687,9997,4690,7972,2025,158700,700,239,939,3078,1588,340,258,92,0,31,01,019
Chilton County; Alabama,19546,16931,2615,12700,4231,136000,814,455,2150,5436,2617,1034,648,203,19,168,01,021
Choctaw County; Alabama,7138,5228,1910,4286,942,101600,616,262,298,1274,714,131,34,22,61,115,01,023
Clarke County; Alabama,11733,8188,3545,5916,2272,126200,723,373,866,2167,1155,278,220,75,96,89,01,025
Clay County; Alabama,7040,5485,1555,4297,1188,144100,576,432,581,1694,859,225,159,140,53,16,01,027
Cleburne County; Alabama,6818,5761,1057,4496,1265,131900,782,196,681,1658,848,140,272,92,25,37,01,029
Coffee County; Alabama,24155,20363,3792,14145,6218,162200,921,771,2565,7705,4169,1123,658,289,60,121,01,031
Colbert County; Alabama,27709,23266,4443,16520,6746,148500,810,871,3784,8547,4803,1209,691,451,52,158,01,033
Conecuh County; Alabama,6451,4453,1998,3326,1127,98800,718,172,634,899,475,47,45,50,0,45,01,035
Coosa County; Alabama,6045,3999,2046,3249,750,109500,632,136,308,1176,747,45,208,56,37,81,01,037
Covington County; Alabama,18644,14194,4450,10642,3552,124300,701,580,2107,4419,2771,498,342,207,67,144,01,039
Crenshaw County; Alabama,6553,4839,1714,3609,1230,100400,595,221,706,1082,663,62,105,51,42,45,01,041
Cullman County; Alabama,39182,33649,5533,25640,8009,166000,848,823,4428,12170,7226,1592,936,658,100,332,01,043
