county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Adams County; Nebraska,24427,16492,16469,16067,402,23,7935,16469,-888888888,12350,7771,7757,7565,2132,1572,4825,4217,15765,12927,1474,11,551,79,723,15.2,16067,5405,3286,2788,1810,2778,16067,1005,1105,2278,333,1950,886,219,607,675,4252,1243,998,516,31,001,16067,13039,1943,1031,54,13076,567,608,1358,834,1403,2395,1505,2423,1070,913,68365,90971,10007,89264,4152,24486,2958,24051,719,11377,195,1503,1189,8242,147,279,409,331,801,1332,1206,2017,929,791,90207,110872,38192,4834,37309,53287,38939,60401,43369,30847,29067,22144,11729,1780,7917,338,17189,14783,14476,13432,12204,1831,1044,307,245,118,139,62,2406,2092,1253,1033,314,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Antelope County; Nebraska,4910,3117,3117,3063,54,0,1793,3117,-888888888,2443,1377,1377,1353,514,426,1022,857,3041,2392,227,0,116,41,265,17.8,3063,1124,327,640,648,324,3063,646,278,176,121,349,174,41,108,148,621,120,85,196,31,003,3063,2127,489,432,15,2636,117,107,138,288,305,583,404,391,188,115,66105,84173,2026,84918,1000,22689,447,15479,86,12051,24,3596,124,1646,43,6,49,91,191,364,298,335,169,100,81146,102907,36317,990,38472,51301,42411,56676,44813,6251,5799,4381,2365,452,1627,116,3093,2647,2607,2340,2215,159,267,40,40,19,22,0,446,377,240,185,69,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Arthur County; Nebraska,367,240,240,239,1,0,127,240,-888888888,178,99,99,99,29,27,108,71,238,166,29,0,13,6,24,20.0,239,127,32,28,44,8,239,116,5,5,6,21,3,7,0,2,45,7,11,11,31,005,239,115,44,69,11,185,2,12,11,20,19,28,15,46,11,21,76250,96798,135,89167,91,19968,45,16351,15,9960,3,3367,11,124,0,0,2,11,5,14,15,54,11,12,118500,120290,39655,61,31250,35420,40500,48333,52143,484,451,349,202,33,148,8,226,183,182,158,149,26,24,1,1,1,0,0,43,42,27,23,1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Banner County; Nebraska,600,405,405,390,15,0,195,405,-888888888,311,190,190,177,44,34,95,75,390,295,40,0,12,5,38,26.0,390,214,28,71,57,20,390,134,4,3,3,38,14,0,25,29,102,6,12,20,31,007,390,249,73,66,2,305,7,2,11,13,60,48,48,60,29,27,78839,93210,257,78886,114,28472,75,29008,4,-999999999,0,-666666666,4,225,3,2,8,0,29,24,46,60,26,27,102589,108568,39595,80,44113,49360,42339,44613,46875,742,670,500,283,72,161,17,375,290,282,247,238,13,35,8,8,2,6,0,85,65,43,30,20,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Blaine County; Nebraska,344,230,230,227,3,0,114,230,-888888888,167,92,92,90,31,29,51,23,226,131,11,0,32,3,49,22.3,227,84,19,29,72,23,227,81,23,3,3,10,14,9,0,9,39,14,9,13,31,009,227,122,53,52,0,197,10,12,5,21,14,60,36,21,10,8,69583,93711,155,80909,82,19680,50,14712,0,-666666666,0,-666666666,0,145,8,0,3,19,14,41,30,14,10,6,72768,92174,43334,52,61667,95933,41818,55227,31875,422,401,295,200,21,82,0,194,159,156,138,115,23,18,3,3,0,3,0,35,32,26,6,3,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Boone County; Nebraska,4248,2636,2636,2604,32,0,1612,2636,-888888888,2062,1196,1196,1185,398,318,847,664,2574,1860,346,0,52,59,257,17.8,2604,921,361,500,429,393,2604,531,123,248,60,294,177,10,158,112,584,140,117,50,31,011,2604,1962,250,388,4,2191,103,57,123,127,255,432,362,368,220,144,74947,96675,1652,96982,789,25296,476,24037,76,10483,30,2743,86,1531,39,15,22,77,165,255,287,337,198,136,95046,115100,39432,660,41250,51542,38115,53503,44250,5268,5087,3861,1982,181,1341,57,2728,2234,2211,2123,1969,215,88,23,20,15,5,3,494,461,275,209,33,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Box Butte County; Nebraska,8287,5236,5236,5152,84,0,3051,5236,-888888888,4031,2442,2442,2411,549,500,1964,1627,5080,4220,466,6,76,0,312,11.3,5152,1833,823,882,467,1147,5152,288,212,543,45,485,767,167,300,434,912,550,205,244,31,013,5152,4166,587,395,4,4505,318,272,307,264,529,863,752,857,190,153,68892,75641,3339,78461,1755,28404,717,19306,267,10302,52,1525,321,2936,105,11,186,195,298,719,453,646,193,130,72077,86680,32060,1569,38458,46633,41828,60635,42102,10570,9849,7592,4008,721,2832,186,5600,4515,4455,4118,3838,522,337,60,3,0,3,57,1085,944,542,470,141,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Boyd County; Nebraska,1369,789,789,771,18,0,580,789,-888888888,647,360,360,359,95,82,235,132,754,546,49,0,91,7,61,17.2,771,268,135,122,88,158,771,139,43,39,17,79,103,5,14,16,198,49,46,23,31,015,771,428,142,201,0,744,34,22,45,80,90,132,90,193,20,38,67045,85192,594,79150,347,20534,152,16113,27,9304,11,4455,51,514,10,26,6,42,57,64,83,170,18,38,95978,101521,38675,230,35250,44579,37300,59432,45288,1661,1539,1120,843,122,343,1,806,604,586,508,456,80,78,18,18,14,4,0,202,160,96,75,42,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Brown County; Nebraska,2379,1443,1443,1418,25,0,936,1443,-888888888,1186,662,662,662,220,186,352,270,1406,997,183,0,98,7,121,11.9,1418,540,262,258,188,170,1418,301,113,52,2,161,75,10,20,98,349,124,44,69,31,017,1418,955,241,210,12,1275,76,111,132,89,181,254,171,128,46,87,54676,79390,882,79272,598,22000,307,18175,62,9931,30,11467,77,729,57,25,22,39,68,160,141,122,36,59,72083,96580,35877,546,35247,55045,30829,51742,34517,2843,2631,1972,1273,212,629,58,1444,1151,1130,1000,910,141,130,21,17,17,0,4,293,273,168,121,20,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Buffalo County; Nebraska,40488,28594,28551,27821,730,43,11894,28551,-888888888,20291,13251,13251,13003,3479,2811,7580,6134,27391,22278,2865,58,571,337,1282,16.0,27821,10015,4400,6806,2608,3992,27821,1222,1710,3132,878,3640,1294,383,1270,1737,7006,2491,1872,1186,31,019,27821,21763,4546,1433,79,19984,948,517,1478,1497,2319,3120,2873,3844,1900,1488,75911,94897,15959,92343,5803,25967,3932,23767,673,11796,312,2849,1306,11752,239,45,360,543,797,1763,2089,2993,1691,1232,100327,117258,38628,8232,41157,58259,39538,60984,48843,49822,46350,37953,15000,3472,12308,505,29593,25690,25047,22680,21534,1792,2367,643,565,382,200,78,3903,3424,2124,1741,479,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Burt County; Nebraska,5445,3211,3211,3175,36,0,2234,3211,-888888888,2662,1479,1479,1461,433,333,1000,774,3116,2221,366,0,104,52,373,24.6,3175,1098,473,656,491,457,3175,425,304,294,108,294,181,19,247,193,707,210,73,120,31,021,3175,2395,461,319,0,2929,180,116,215,286,356,519,396,562,139,160,63685,79970,2096,83676,1189,24218,679,21799,128,11370,35,4389,302,1865,98,16,70,97,213,376,326,385,124,160,80068,96688,34444,1064,33824,45575,42382,61012,44486,6653,6156,4544,2517,497,1585,51,3484,2847,2811,2508,2339,262,303,36,21,12,9,15,637,513,212,322,124,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Butler County; Nebraska,6691,4411,4411,4358,53,0,2280,4411,-888888888,3307,1957,1957,1937,518,388,1464,800,4262,3386,318,11,166,10,371,24.2,4358,1407,705,688,498,1060,4358,471,263,709,80,377,358,6,134,297,1044,193,205,221,31,023,4358,3192,660,486,20,3524,221,70,288,172,385,537,477,762,358,254,79268,105294,2745,93297,1185,24415,689,44105,100,10650,33,5648,205,2212,47,21,32,46,165,314,391,627,332,237,104309,127730,44083,1312,35900,65739,47620,62443,46042,8304,7880,6259,2806,424,2142,66,4501,3677,3624,3410,3255,274,214,53,46,34,12,7,824,690,445,286,134,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cass County; Nebraska,21613,14736,14634,14383,251,102,6877,14634,-888888888,10815,6812,6809,6688,1629,1247,4444,3593,14306,11129,1073,0,208,139,1757,28.3,14383,5717,1907,3013,1749,1997,14383,554,1471,1037,291,1728,1168,178,1498,996,2939,1105,505,913,31,025,14383,11110,2545,708,20,10832,296,149,353,720,1118,1723,1606,2111,1454,1302,91836,113521,8733,111787,3359,26508,3062,26394,395,14624,130,4462,462,7590,142,7,139,205,440,1160,1214,1733,1317,1233,113607,134803,45484,3242,42101,59151,51498,70377,56343,26847,25229,21095,8296,1618,6633,542,15247,13087,12879,12107,11555,1299,772,208,171,111,87,37,2160,1898,1430,795,262,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cedar County; Nebraska,6431,4387,4384,4308,76,3,2044,4384,-888888888,3185,2018,2018,1965,633,519,1390,1219,4272,3399,291,2,123,24,433,18.8,4308,1743,673,668,566,658,4308,635,320,460,122,377,231,23,303,185,1144,218,178,112,31,027,4308,3168,605,520,15,3444,109,106,188,257,394,697,446,759,322,166,73578,94908,2700,90398,1171,24836,732,21104,36,13389,33,4324,186,2291,32,29,41,105,192,381,379,684,304,144,99196,115846,39183,1153,38952,51496,42686,62028,43732,8196,7704,6129,2747,492,2243,138,4185,3738,3677,3400,3224,245,277,61,55,40,15,6,447,376,226,175,71,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Chase County; Nebraska,2836,1798,1798,1764,34,0,1038,1798,-888888888,1406,728,728,725,234,145,648,425,1718,1325,82,10,99,33,169,14.9,1764,648,175,496,258,187,1764,303,150,74,180,208,83,62,77,76,334,96,63,58,31,029,1764,1349,239,176,0,1476,27,36,106,85,266,318,207,293,61,77,68173,94537,1123,93334,563,23026,285,19719,82,15667,8,-999999999,69,942,10,20,21,40,76,234,153,262,57,69,91250,116598,39624,534,45425,54543,41839,57381,43884,3600,3197,2649,1173,403,930,39,1833,1589,1558,1316,1267,88,242,31,3,0,3,28,244,165,118,48,79,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cherry County; Nebraska,4362,2931,2931,2918,13,0,1431,2931,-888888888,2106,1239,1239,1226,381,273,853,692,2811,1876,312,2,255,162,204,15.2,2918,1162,457,437,573,289,2918,596,293,84,17,325,82,2,82,252,561,417,121,86,31,031,2918,2017,400,493,8,2233,35,98,152,292,233,551,331,285,129,127,66270,80876,1735,79696,809,23680,432,19280,155,17752,18,750,99,1421,14,3,25,192,171,348,212,235,99,122,73882,95893,34567,812,36750,50397,35088,49722,46528,5448,4936,3674,1952,512,1407,187,2836,2431,2419,2153,2057,141,266,12,12,7,5,0,405,346,186,183,59,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cheyenne County; Nebraska,7673,4931,4931,4764,167,0,2742,4931,-888888888,3766,2237,2237,2188,620,501,1383,903,4710,3462,502,0,182,32,532,16.3,4764,1921,649,917,506,771,4764,327,231,242,98,575,543,60,231,445,1207,321,288,196,31,033,4764,3367,829,538,30,4464,268,207,397,392,677,695,705,677,319,127,60348,77443,3361,72736,1619,22391,969,32147,377,8588,136,639,548,2575,117,5,252,144,293,398,432,548,286,100,80250,88975,35747,1889,36963,57499,40303,58088,40908,9439,8799,6486,3695,640,2109,79,5304,4319,4189,3824,3481,483,365,130,103,85,56,27,985,876,388,586,109,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Clay County; Nebraska,4747,3206,3196,3135,61,10,1541,3196,-888888888,2284,1421,1421,1391,437,307,977,789,3093,2546,239,2,71,27,208,22.1,3135,1211,436,548,502,438,3135,514,224,284,171,296,167,11,125,133,865,81,158,106,31,035,3135,2106,593,428,8,2490,111,68,178,142,262,443,414,483,238,151,78986,96609,1983,94105,863,23653,475,23718,82,12066,20,5430,151,1768,31,34,49,82,135,314,349,432,202,140,92188,113079,39221,722,36304,51396,45971,61092,47939,5993,5599,4574,1873,394,1557,100,3263,2800,2750,2557,2447,190,193,50,35,24,19,15,463,378,201,208,85,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Colfax County; Nebraska,7793,5458,5458,5385,73,0,2335,5458,-888888888,3327,2141,2141,2115,1012,706,2187,1648,5310,4087,705,0,261,66,191,17.4,5385,1240,689,739,777,1940,5385,380,207,2124,192,475,281,24,109,187,771,257,196,182,31,037,5385,4307,562,478,38,3707,120,38,180,152,422,548,891,866,233,257,82530,100003,3184,99202,1059,18949,631,20216,67,9751,8,4050,329,2903,12,7,40,87,320,459,1020,563,159,236,82477,105547,33388,804,43177,57980,46367,70313,46627,10577,9291,7119,2915,1286,3447,230,5698,4814,4745,4069,3853,298,676,69,34,18,16,35,884,589,326,286,295,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cuming County; Nebraska,7019,4808,4808,4701,107,0,2211,4808,-888888888,3436,2089,2089,1999,812,679,1399,1162,4570,3832,289,0,71,43,335,18.2,4701,1875,685,776,554,811,4701,751,336,570,129,299,200,51,356,266,1207,135,220,181,31,039,4701,3566,609,498,28,3807,99,83,250,150,684,740,574,725,247,255,71104,94056,3017,93211,1308,23910,568,21028,92,15149,43,4860,97,2320,29,12,71,36,244,452,400,619,229,228,93098,118370,40381,1487,44019,53877,45633,59742,44317,8890,8156,6818,2590,734,2388,165,4654,4083,4000,3699,3600,163,301,83,17,11,6,66,571,369,242,164,202,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Custer County; Nebraska,8278,5362,5362,5222,140,0,2916,5362,-888888888,4092,2526,2526,2447,769,636,1684,1449,5012,3965,489,0,173,81,304,17.4,5222,2025,563,972,829,833,5222,970,375,587,139,498,314,29,222,326,1091,209,307,155,31,041,5222,3532,763,852,75,4502,108,145,379,343,602,983,626,784,297,235,67906,85495,3493,84792,1598,22141,918,22850,184,15565,67,3572,350,2959,29,29,105,151,364,666,486,657,277,195,81289,101117,36967,1543,38125,50632,41677,56507,46900,10398,9655,7400,3914,743,2689,190,5428,4560,4424,3997,3658,442,427,136,132,17,115,4,868,749,463,355,119,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Dakota County; Nebraska,15541,11114,11079,10546,533,35,4427,11079,-888888888,7744,5143,5143,4825,1943,1120,4111,3100,10402,7833,1557,56,99,346,511,13.9,10546,2621,1677,1913,1147,3188,10546,290,747,2989,265,1057,565,60,626,359,2154,767,481,186,31,043,10546,9039,973,528,6,7459,293,145,437,515,894,1702,1051,1519,565,338,70329,91843,6216,87545,2071,23263,1420,31690,285,12178,85,3832,743,5220,112,90,227,228,496,1159,973,1178,430,327,84442,104717,32253,2239,44836,53476,42312,53502,45456,21148,19430,14359,6680,1718,6506,181,11983,10106,9593,8708,8087,831,885,513,454,243,249,59,1877,1321,723,728,556,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Dawes County; Nebraska,6847,4335,4335,4264,71,0,2512,4335,-888888888,3572,2230,2230,2216,524,496,960,777,4207,3047,439,2,347,47,325,15.6,4264,1714,957,731,536,326,4264,243,183,87,0,467,205,66,199,174,1652,381,247,360,31,045,4264,2342,1471,448,3,3453,406,55,266,392,352,664,353,598,244,123,56280,76200,2552,79830,1151,25337,665,21246,131,16192,76,4533,344,1837,132,2,15,151,119,347,216,532,202,121,94720,106062,32306,1616,34491,41676,28087,45833,45911,8070,7292,5815,2764,778,1714,149,4798,3855,3805,3390,3095,396,415,50,43,40,3,7,943,749,604,236,194,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
