county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Atlantic County; New Jersey,226294,143889,142906,130354,12552,983,82405,142906,-888888888,117399,70963,70779,64769,16082,12705,37068,29560,127636,92594,11454,5422,3758,2773,11635,25.2,130354,48046,33250,26272,9782,13004,130354,633,8089,5378,1775,15513,6147,1690,7332,13364,31547,25565,6090,7231,34,001,130354,101630,21668,6828,228,109557,4975,3468,7590,7761,12172,16440,14226,20024,10999,11902,78050,106340,83979,105495,42119,24253,31766,31482,5906,12410,2920,5057,13416,71330,2065,1062,3748,3628,6401,10088,9651,15212,9243,10232,97363,125231,41637,38227,45764,64732,41511,62603,54101,273245,254217,178774,115243,19028,61270,1880,158170,126351,115712,105780,91969,17006,9932,10639,8144,3998,4569,2495,31819,27762,15386,15018,4057,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Bergen County; New Jersey,785817,528378,527974,497182,30792,404,257439,527974,-888888888,404750,248854,248814,233993,56802,41742,138183,101892,487054,287275,35719,50519,12284,11016,90241,31.2,497182,268213,62131,99368,25984,41486,497182,722,26242,37117,17432,50340,25805,14609,48693,78311,124966,34348,23104,15493,34,003,497182,405782,62638,27591,1171,355127,11500,7716,12973,14733,22598,39262,36019,62201,45029,103096,124884,171262,290785,174008,110353,27901,81987,38622,14175,11859,7574,5738,18954,254633,4985,2846,5743,7093,12041,22938,24386,45608,36337,92656,152200,199556,63735,100494,65514,91544,64768,96185,76576,956403,898264,732138,269320,58139,213248,7587,571748,472340,445388,414892,389416,33444,30496,26952,22402,16167,6822,4550,99408,85892,65098,25933,13516,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Burlington County; New Jersey,384069,256143,251114,237868,13246,5029,127926,251114,-888888888,196074,123712,122878,117141,27761,20607,64646,51111,237719,172944,15052,4955,2100,2906,39762,29.1,237868,117978,29922,50474,15048,24446,237868,754,13517,17416,6894,27268,15371,5357,19029,30005,61430,15023,8361,17443,34,005,237868,184504,42924,9878,562,177222,5829,2951,5927,7697,13716,22359,22844,36013,23674,36212,108111,138694,141800,138180,58977,27275,53448,36750,6632,12666,2882,5127,8705,120721,2044,1090,2451,3373,6700,11882,14412,26999,19735,32035,130370,161932,53829,56501,63819,82728,57853,83781,68432,454327,436666,361440,141370,17661,101317,2992,269199,224742,213550,203696,192599,16474,9854,11192,9859,6684,3576,1333,44457,41268,27972,17585,3189,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Camden County; New Jersey,421549,281062,280415,261082,19333,647,140487,280415,-888888888,220075,137042,136958,127838,37233,28705,76642,59235,254202,171750,22008,11690,4334,4979,39441,27.4,261082,113696,41275,54610,16785,34716,261082,885,14956,19404,5228,32430,18170,4585,17598,34498,68978,19323,11875,13152,34,007,261082,210209,37837,12530,506,202540,10710,6363,12097,12854,16915,28540,24021,39632,22735,28673,88755,116844,160954,118968,64081,24970,50125,31636,13475,11329,6118,4206,26941,131748,3900,1924,6043,5786,9102,16968,15351,29180,18421,25073,109542,138627,45500,70792,51512,69077,50033,73156,60824,522446,489257,353191,196202,33189,125611,4929,311909,253174,236661,217999,193768,29467,18662,16513,13340,6957,6803,3173,58735,52771,26479,30317,5964,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cape May County; New Jersey,80538,46275,45591,43190,2401,684,34263,45591,-888888888,41674,21977,21818,20780,4675,3482,10600,7995,42984,31296,3538,378,1285,1289,5198,22.0,43190,17989,8112,9898,4083,3108,43190,374,3606,2251,837,4758,1480,677,2958,4520,11175,5489,1936,3129,34,009,43190,30444,9567,3001,178,44884,1500,1648,2246,2903,3739,6213,6293,8316,5180,6846,91128,122129,31868,115193,20893,27680,16820,39586,2206,12719,768,3949,3380,29154,424,547,687,1549,1592,3513,4503,6228,4372,5739,111635,145962,55694,15730,51988,72814,50061,74560,66193,93415,88759,69692,40045,4656,16982,563,48961,38268,36426,33334,30687,3430,3092,1842,1420,1003,525,422,10693,10167,7239,4266,526,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cumberland County; New Jersey,120238,69078,69023,64357,4666,55,51160,69023,-888888888,58953,33164,33164,31022,10795,7574,24662,18538,62425,47763,7799,954,793,1765,3351,25.5,64357,19163,13779,12036,6927,12452,64357,1254,5343,6675,2046,8056,5310,558,2247,5315,17073,3612,2472,4396,34,011,64357,48080,12958,3197,122,53781,3187,2215,4069,4718,5726,9608,6774,8941,4514,4029,67436,92848,40346,94060,19803,21792,14751,26227,3987,10998,1814,4763,9464,36601,1291,641,2123,2834,4286,5912,4866,7538,3780,3330,80948,103681,32721,17180,38199,61834,37307,51138,47869,145378,130162,83213,64901,15216,39423,2259,82668,63016,58923,50531,43114,9054,8392,4093,2951,1084,1927,1142,19652,16265,7911,10645,3387,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Essex County; New Jersey,683296,453958,453673,414128,39545,285,229338,453673,-888888888,355477,223292,223216,202647,62927,47899,129898,100230,401962,211670,31636,63610,12176,18267,64603,33.6,414128,180088,72811,76231,31929,53069,414128,247,28764,26800,9107,39051,35615,12346,31737,60465,102468,28680,21187,17661,34,013,414128,331495,59632,22715,286,319788,22489,14643,20149,20150,28691,45285,34109,47319,27275,59678,80789,131513,257049,137419,86769,22854,59955,34005,20410,10889,11247,4423,47471,205534,9234,4240,8880,9776,17513,26655,21138,33295,21953,52850,106938,162312,49449,114254,45372,68913,48403,71076,62343,852534,750947,516745,306333,101587,215203,14366,517807,414998,379271,323316,283177,47424,55955,35727,25132,12285,13541,10595,102809,84328,44479,45169,18481,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Gloucester County; New Jersey,249848,165678,165382,156663,8719,296,84170,165382,-888888888,128646,79560,79497,76016,18762,14056,43664,34300,152788,113971,9563,1941,2401,2098,22814,28.2,156663,72697,21523,33989,11904,16550,156663,447,10369,11396,4956,18867,11011,3141,11290,17242,43257,10635,5921,8131,34,015,156663,123778,26336,6421,128,112545,3819,2366,5057,5227,7912,15795,13609,22880,15213,20667,105115,129419,88179,133427,38029,26780,33134,34163,4743,12418,2333,3688,7447,78944,1258,707,1800,2277,3980,9731,9151,18236,13092,18712,128605,151964,48631,33601,56961,68622,56212,81155,67821,305642,293514,235920,98582,12128,69978,888,184467,150190,142776,135033,124760,13507,7743,7414,6279,4226,2324,1135,34277,32141,20914,14256,2136,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Hudson County; New Jersey,590738,415261,414727,389813,24914,534,175477,414727,-888888888,296866,193583,193541,181658,50391,35041,85844,60781,381869,125480,21949,119576,24905,11450,78509,35.4,389813,194628,55720,70418,22560,46487,389813,484,21143,25176,10871,34990,29815,15385,49276,68861,75989,29495,15415,12913,34,017,389813,326848,43103,19157,705,299682,16555,12242,17458,16730,22264,41180,32304,48943,29800,62206,91795,135819,252513,144927,64516,20477,41752,28057,13639,10151,8893,5393,44096,173782,6379,3341,9938,8957,13549,23946,19386,29650,17714,40922,101864,151161,56130,125900,74260,108719,59927,83992,72842,714287,633316,443550,234260,80971,148974,8003,476056,392672,369758,322123,286557,40523,47635,22914,16213,8357,8337,6701,83384,67300,37106,32921,16084,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Hunterdon County; New Jersey,109139,70527,70526,67284,3242,1,38612,70526,-888888888,55717,33634,33634,32177,6702,4826,17640,12624,66032,45871,3233,958,1073,518,14379,33.0,67284,40088,6086,12802,4346,3962,67284,711,4270,8131,1633,6916,2543,2050,6028,10593,15769,3341,2665,2634,34,019,67284,52914,10010,4248,112,50860,1312,500,1428,1549,2789,5344,4439,9525,7510,16464,141715,185175,41039,182987,17093,31824,15563,41993,1267,13644,735,7804,1825,36611,531,95,414,465,1325,2920,2749,7180,6286,14646,171597,211896,72227,14249,68619,110119,72324,103597,85315,128144,124558,108752,33958,3586,26190,565,75251,61760,59196,57588,56321,2069,1608,2564,2347,1910,550,217,13491,12508,10103,3248,983,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
