county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Albany County; New York,266811,169858,169596,161047,8549,262,96953,169596,-888888888,138625,85219,85182,81110,17077,12881,36342,28511,157251,104942,12880,6614,6003,2849,23963,21.4,161047,82282,24933,32910,6830,14092,161047,697,5784,10380,2208,16463,7505,2887,10755,20645,45352,12198,6558,19615,36,001,161047,113480,40395,6721,451,134703,7449,5017,7771,6665,11770,21348,16839,25302,15515,17027,85333,111519,101319,113370,42476,25773,39608,38587,5353,11419,3721,4381,14841,71011,1774,1203,2399,2071,4781,7915,8472,16186,12133,14077,120437,143283,48210,63692,57247,72356,50562,74680,65047,313677,303640,235726,115717,10037,63776,1574,194385,153533,146269,141029,124839,20570,5240,7264,6544,3086,3767,720,40852,38457,24718,17049,2395,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Allegany County; New York,38990,20989,20984,19492,1492,5,18001,20984,-888888888,19058,9996,9991,9335,2526,1672,5980,4409,18918,14181,1488,43,1294,246,1666,22.8,19492,7409,3661,3343,2137,2942,19492,499,1553,2225,137,2207,715,282,574,1076,6812,1572,918,922,36,003,19492,13685,4539,1205,63,17710,1338,769,1472,1398,1992,3246,2844,2923,958,770,62869,76480,11949,77023,7420,23814,5839,26812,1244,11393,561,3614,2813,10959,433,252,411,621,1192,1927,2238,2373,884,628,82190,92775,29954,6751,33159,45464,33223,56819,44532,46647,44226,31140,21060,2421,11082,685,26499,18737,17532,16603,13807,3558,929,1205,1131,535,642,74,7762,7111,4339,3443,651,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Bronx County; New York,1101278,639474,638441,565665,72776,1033,461804,638441,-888888888,592225,324917,324654,288971,102502,67033,215346,149415,545887,128459,23828,286290,40221,18713,48376,43.3,565665,165706,189795,107056,35266,67842,565665,963,29891,16613,7889,55106,49499,8707,32154,57278,203233,53942,29798,20592,36,005,565665,446827,89160,28692,986,534100,63374,47153,53471,45487,63202,81383,55762,62969,31777,29522,48676,71767,383137,80588,150588,17522,89491,25480,62966,10162,53162,3877,206275,332901,28180,15727,28498,28913,42092,55915,39554,46577,24199,23246,59675,82955,27421,201199,26841,46560,36951,52189,51499,1388686,1289653,620209,840712,99033,359436,9553,835144,597651,530552,479657,326648,187088,50895,67099,56569,16116,44508,10530,237493,212688,66243,170648,24805,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Broome County; New York,164667,93462,93444,86815,6629,18,71205,93444,-888888888,83992,44246,44240,41585,10877,7463,24285,18166,84206,61189,7323,2161,3607,1871,8055,19.6,86815,36881,17393,17152,5306,10083,86815,723,4237,8143,1522,10696,4015,1131,3913,7481,28626,8359,3640,4329,36,007,86815,64000,18415,4291,109,82005,5353,4027,6850,6527,10119,14249,10170,13089,5834,5787,62616,86128,58759,87663,29831,24172,26226,26763,5089,11136,2511,4202,12589,45356,2049,657,2507,2221,4520,7943,6320,9535,4760,4844,85817,106622,35860,36649,39834,56547,38458,62533,50986,194580,187902,126455,90795,6678,41824,633,114671,83895,77955,74635,61334,15777,3320,5940,5113,2309,3295,827,30776,29019,16146,14893,1757,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cattaraugus County; New York,61551,34008,33953,32263,1690,55,27543,33953,-888888888,31003,16156,16156,15407,4809,3019,10513,6873,31566,23919,2952,131,1521,528,2515,22.6,32263,10795,6265,5950,3841,5412,32263,821,2476,4268,497,3864,1385,462,1221,2056,8504,3145,1603,1961,36,009,32263,22909,6807,2458,89,31895,1818,2068,2938,2818,4125,5427,4309,5383,1773,1236,59540,75425,21671,77234,13441,22122,9842,25346,2495,11871,1071,3992,5729,19389,821,623,954,1334,2069,3666,3112,4268,1506,1036,76823,90574,31747,12506,33968,46076,38985,55814,49145,75333,70717,44927,38552,4616,17777,1402,42233,30377,28994,26970,21965,6326,2024,1383,1264,504,827,119,11856,10860,4465,7493,996,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cayuga County; New York,62309,36220,36214,34839,1375,6,26089,36214,-888888888,30441,17474,17474,16723,4203,3250,9316,7222,34115,26889,2753,97,1274,459,2643,22.8,34839,13089,6294,6415,3486,5555,34839,1180,2836,4534,592,3953,1528,442,1245,2217,9763,2619,1525,2405,36,011,34839,25942,6903,1960,34,31524,1831,997,2745,2443,3494,5661,4364,5595,2334,2060,67904,86583,22439,89187,12669,22895,10119,27490,1587,13458,975,3538,4663,19182,632,317,1045,1065,1721,3392,3092,4388,1910,1620,85993,102426,36905,12342,39839,56183,43652,62360,53608,72389,69123,47771,33947,3266,15206,537,41704,32570,31402,29317,24784,5632,2085,1168,1056,370,709,112,9134,8622,4262,5250,512,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Chautauqua County; New York,102871,57311,57253,53863,3390,58,45560,57253,-888888888,52127,27967,27967,26379,7111,4742,16732,12111,52584,39576,5522,328,2126,904,4128,19.6,53863,19485,10179,10194,4445,9560,53863,1064,2898,8355,934,6235,2442,703,1628,3493,15819,4390,2810,3092,36,013,53863,39474,11000,3294,95,53393,3386,2728,4913,4922,7130,9540,6992,8081,3430,2271,58351,76000,37072,76476,20981,24100,16764,26608,3750,12060,1902,4279,10617,32234,1477,664,1679,2401,3773,5762,4792,6739,2920,2027,77065,92614,32691,21159,35394,46706,37451,56626,50534,123750,117172,74613,63952,6578,27586,1803,70111,50996,48037,45113,36616,10777,2924,2959,2582,1192,1675,377,19115,17732,8050,11798,1383,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Chemung County; New York,67064,38530,38442,36078,2364,88,28534,38442,-888888888,33919,18805,18805,17755,4727,3314,11348,8632,35236,27483,3086,470,762,538,2897,20.2,36078,13848,6632,7553,2543,5502,36078,371,1807,5410,650,4560,1450,461,1454,2756,10781,2610,1536,2232,36,015,36078,27331,6850,1843,54,35262,2138,1502,3066,2677,4229,6652,4622,6076,2165,2135,63716,86374,24547,89223,14037,23612,10615,30846,2271,9829,1536,5661,5824,20267,790,285,1522,1051,1861,3527,3328,4412,1819,1672,83159,103558,37273,14995,43801,59467,42114,62025,50694,79961,76689,51501,38464,3272,18058,386,45645,34787,32705,30847,26115,6302,1858,2082,1662,802,894,420,10858,10275,4922,6528,583,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Chenango County; New York,37875,22062,22057,20643,1414,5,15813,22057,-888888888,18918,10413,10413,9761,2747,2097,5897,4713,20372,15962,1717,2,721,111,1859,22.8,20643,7121,3180,3828,2543,3971,20643,618,1879,3831,212,2211,932,448,1357,1215,5165,1173,758,844,36,017,20643,15356,3936,1257,94,19890,655,687,1881,1920,2713,3773,2839,3307,1220,895,62948,78321,13733,81557,8351,23566,6661,22411,1473,12222,620,4668,2874,12210,292,110,626,707,1347,2493,2346,2468,1010,811,79136,94221,33901,7680,37120,48316,42958,56796,47988,45813,44244,29049,22824,1569,10020,268,25838,19665,18512,17638,14818,3538,874,1153,1085,432,681,68,6173,5830,2755,3730,343,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Clinton County; New York,66158,38187,38136,36587,1549,51,27971,38136,-888888888,32570,18384,18379,17750,4060,3260,9123,6779,35660,27289,3475,47,1705,445,2699,20.4,36587,13288,7734,6949,2918,5698,36587,496,2013,4517,544,4405,2166,392,1399,2195,10135,3386,1579,3360,36,019,36587,26781,8133,1636,37,33556,1868,1126,2879,2404,3652,5584,4392,6698,2546,2407,71224,91254,23820,92497,12203,24254,10937,32270,2209,12682,1144,3508,5663,19769,627,409,819,1192,1908,2910,2925,5010,2135,1834,92638,109876,38591,13787,44325,57701,44235,61512,55364,75608,73231,54969,32167,2377,15661,151,45433,34532,33249,31710,27830,5268,1539,1283,974,444,571,309,10901,10524,5933,5554,377,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
