county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Adams County; Ohio,21984,11155,11155,10436,719,0,10829,11155,-888888888,11116,5386,5386,4980,1957,1173,3759,2265,10260,8684,799,19,123,88,547,36.4,10436,3620,1966,1741,1125,1984,10436,162,1016,1593,15,1477,898,40,200,466,2900,716,438,515,39,001,10436,7998,1806,594,38,10421,846,746,1221,915,1466,1762,1248,1322,606,289,50264,65260,6574,76203,4122,19201,2632,25038,613,11369,316,5557,2153,7109,465,127,541,500,996,1414,1051,1165,591,259,63750,78737,25916,3312,22429,33082,38142,56226,44921,27323,25071,14498,13618,2252,7036,327,15223,10097,9401,8491,7057,1812,910,696,587,365,224,109,5126,4270,1513,3011,856,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Allen County; Ohio,80198,48765,48690,45895,2795,75,31433,48690,-888888888,40543,23175,23175,21765,7032,5051,15514,11629,44960,37243,3985,194,546,821,2171,18.7,45895,14215,7461,9132,4049,11038,45895,500,2624,9994,919,5548,2813,522,1785,3147,10284,3790,2635,1334,39,003,45895,39776,4358,1675,86,41295,2024,1678,3614,3409,5515,7566,5805,7052,2312,2320,64038,82511,29876,85471,14654,22336,12239,25225,3038,10913,973,3304,5691,25272,1082,458,836,1604,3009,4704,4031,5627,2047,1874,81395,99240,34331,16023,37317,50272,39997,61337,46298,99176,93333,65643,43046,5843,25114,989,55582,43351,40853,37692,33115,6069,3161,2498,2080,903,1346,418,12231,11002,5196,6746,1229,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Ashland County; Ohio,42083,25482,25448,24524,924,34,16601,25448,-888888888,21531,11668,11668,11177,3182,1966,7805,4908,24095,19424,2039,16,619,432,1565,23.9,24524,7673,3849,4652,2373,5977,24524,557,1665,5653,423,2717,1403,397,687,1984,4815,1781,1330,1112,39,005,24524,20179,3066,1245,34,20720,826,723,1418,1592,2658,3919,3553,4178,984,869,69860,82890,15216,84795,7252,22906,6250,26629,1043,12428,388,5660,1854,13550,303,205,417,724,1435,2676,2368,3765,879,778,85259,98569,33219,7170,40113,48699,37700,58154,45179,51603,47940,34832,20817,3663,12350,915,29113,22735,22051,20384,18197,2881,1667,684,664,340,358,20,6378,5459,2829,2915,919,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Ashtabula County; Ohio,78489,44813,44800,41840,2960,13,33676,44800,-888888888,38348,20110,20097,18806,6153,3482,13576,8198,41002,32066,4509,162,514,1390,2361,27.0,41840,11941,7379,6964,5061,10495,41840,639,2983,9596,905,4919,2632,469,1779,2336,8840,3813,1530,1399,39,007,41840,34533,4683,2445,179,39245,2114,1689,3676,3850,5369,7636,5368,5656,2423,1464,57728,75486,27540,78459,15513,22473,11281,26814,2340,11866,931,3624,7161,24681,966,690,1337,1643,3191,5086,3670,4673,2115,1310,72502,90024,31369,14564,35042,46151,37349,55096,44017,94107,84455,53992,43561,9652,22255,2893,53170,40210,37604,33538,28399,6180,4066,2606,1669,519,1238,937,12960,11339,4847,7351,1621,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Athens County; Ohio,53718,30814,30752,28748,2004,62,22904,30752,-888888888,27132,14967,14950,14013,2628,1753,5918,4199,27582,17988,2686,186,2733,363,3626,24.1,28748,11811,6411,4779,1904,3843,28748,258,1242,2569,586,2712,1294,253,768,1793,11251,4057,1061,904,39,009,28748,19996,7169,1447,136,23014,2039,1468,2184,2125,2646,3775,2909,3275,1326,1267,56001,77790,16887,79957,6209,19053,5851,36429,1720,11449,692,2115,3314,11863,315,144,410,668,1506,2247,1990,2365,1128,1090,84311,102013,30645,11151,28716,50507,23243,58044,45242,61189,57691,43040,21562,3498,11741,271,40345,28122,26260,24033,21349,3434,2227,1862,1629,1094,592,233,12223,11530,7253,4885,693,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Auglaize County; Ohio,36332,24092,24075,23420,655,17,12240,24075,-888888888,18190,10919,10919,10604,3288,2634,7252,5779,23118,19477,1472,0,452,343,1374,18.8,23420,8053,3999,3669,2011,5688,23420,479,1168,7845,299,1909,881,248,724,1523,4877,1309,1175,983,39,011,23420,19438,2765,1213,4,18940,650,377,1206,1118,2052,3680,2842,3809,1962,1244,78660,94188,14197,97648,6344,23143,5271,26317,933,12859,402,2131,1289,12349,247,182,239,282,1023,2348,1814,3291,1807,1116,100429,113090,38755,6591,45618,54801,47052,65828,47293,45627,44032,36687,13989,1595,11658,187,25217,21701,21126,20141,18982,1623,985,575,484,370,159,91,3516,3185,2121,1274,331,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Belmont County; Ohio,54843,29775,29775,28159,1616,0,25068,29775,-888888888,26423,13573,13573,13159,3421,2270,7728,5514,27830,23360,1861,20,505,155,1929,25.1,28159,8691,5221,5923,3351,4973,28159,1465,1917,2375,752,4368,1761,339,1497,1929,6987,2219,1245,1305,39,013,28159,23210,3841,1075,33,27195,1487,1716,2131,2889,3535,4996,3561,4232,1389,1259,57017,75538,18748,78108,10524,22212,7962,23443,2367,11586,619,3251,4138,16833,691,355,792,1377,1769,3294,2586,3726,1176,1067,75941,92319,32244,10362,34582,45448,34363,56507,42216,62045,58638,39428,28567,3407,12984,605,35414,26532,24994,23344,20175,4029,1650,1538,1077,597,507,461,8882,8191,3636,4925,691,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Brown County; Ohio,35143,20078,20042,19053,989,36,15065,20042,-888888888,17549,9540,9540,9003,2727,1558,6562,4631,18638,15244,1860,94,62,171,1207,33.9,19053,6091,3510,3396,2251,3805,19053,492,1622,2761,258,2211,1540,128,1060,1730,4043,1513,905,790,39,015,19053,15564,2294,1195,0,17138,722,1206,1359,1140,1875,2941,2551,3199,957,1188,71270,89014,12400,93816,6327,21752,4887,26421,1375,11530,393,4150,2904,11803,390,388,703,750,1206,1905,2044,2502,841,1074,80567,102356,34980,5335,38041,52121,42469,70063,46890,43339,40565,25924,20226,2774,10611,269,24704,17929,17123,15772,13646,2716,1351,806,599,312,380,207,6775,5883,2383,4108,892,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Butler County; Ohio,312549,199776,199366,189257,10109,410,112773,199366,-888888888,159870,95809,95556,90963,27214,20076,60093,44552,185991,139770,15109,560,3250,2484,24818,24.3,189257,75616,30307,39229,13359,30746,189257,923,11499,30446,4153,23210,11318,2199,13748,18438,42399,18050,7448,5426,39,017,189257,158971,21643,8312,331,146822,7156,4699,8044,10067,14929,22907,19169,27864,15838,16149,81590,104738,113895,107344,43886,24144,38809,33583,6596,12151,3406,4721,14429,97319,2928,1656,3071,4196,7091,14378,13279,22903,13419,14398,102983,124514,40027,49503,44531,60891,43709,67433,53085,388892,364632,277736,131012,24260,98412,4589,230289,180767,171901,160426,145685,19558,11475,8866,6779,4343,2779,2087,49522,44253,27941,19292,5269,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Carroll County; Ohio,21891,12046,12046,11368,678,0,9845,12046,-888888888,10839,5342,5342,5155,1543,824,3435,2233,11062,8359,1017,11,398,400,877,31.5,11368,3927,1694,1789,1446,2512,11368,635,1104,2365,276,1108,536,49,389,967,2481,626,492,340,39,019,11368,9308,1227,804,29,11206,430,397,937,1092,1259,2479,1576,1657,723,656,64835,82912,7596,86418,4422,23274,3669,26208,850,14470,265,3013,1344,7589,287,180,244,396,951,1760,1319,1360,583,509,74718,93088,35281,3617,33888,56877,41662,58859,45947,26434,23776,16262,11845,2658,5811,928,14829,10910,10388,9408,8007,1645,980,522,351,201,226,171,3919,3349,1555,2197,570,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
