year,county_name,number_sex_and_age_total_population,number_sex_and_age_total_population_male,number_sex_and_age_total_population_female,number_sex_and_age_total_population_under_5_years,number_sex_and_age_total_population_5_to_9_years,number_sex_and_age_total_population_10_to_14_years,number_sex_and_age_total_population_15_to_19_years,number_sex_and_age_total_population_20_to_24_years,number_sex_and_age_total_population_25_to_34_years,number_sex_and_age_total_population_35_to_44_years,number_sex_and_age_total_population_45_to_54_years,number_sex_and_age_total_population_55_to_59_years,number_sex_and_age_total_population_60_to_64_years,number_sex_and_age_total_population_65_to_74_years,number_sex_and_age_total_population_75_to_84_years,number_sex_and_age_total_population_85_years_and_o,number_sex_and_age_total_population_median_age_yea,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_21_years_and_o,number_sex_and_age_total_population_62_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_race_total_population,number_race_total_population_one_race,number_race_total_population_two_or_more_races,number_race_one_race,number_race_one_race_white,number_race_one_race_black_or_african_american,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_asian,number_race_one_race_asian_asian_indian,number_race_one_race_asian_chinese,number_race_one_race_asian_filipino,number_race_one_race_asian_japanese,number_race_one_race_asian_korean,number_race_one_race_asian_vietnamese,state_fips,county_fips,number_race_one_race_asian_other_asian,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_some_other_race,number_race_two_or_more_races,number_race_two_or_more_races_white_and_black_or_a,number_race_two_or_more_races_white_and_american_i,number_race_two_or_more_races_white_and_asian,number_race_two_or_more_races_black_or_african_ame,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_total_housing_units
2009,Barnstable County; Massachusetts,222629,105464,117165,9653,10465,11871,13253,11320,15560,27432,35444,17934,16773,26675,19374,6875,48.1,182290,175004,62853,52924,182290,84776,97514,52924,22100,30824,222629,218912,3717,218912,209764,4308,923,90,84,0,17,2081,293,815,194,78,250,170,25,001,281,18,18,0,0,0,1818,3717,1289,1101,459,218,222629,212952,6143,2404,2603,34,2329,222629,3927,947,920,208,1852,218702,207158,4223,827,2063,18,893,3520,381,3139,154792
2009,Berkshire County; Massachusetts,130168,62540,67628,6187,7206,7478,9557,8800,11675,17001,21158,9662,7816,11166,8887,3575,43.6,103777,97644,28240,23628,103777,49262,54515,23628,9585,14043,130168,128286,1882,128286,122324,3108,237,13,0,0,0,1854,485,172,244,73,208,215,25,003,457,40,14,0,12,14,723,1882,908,329,302,16,130168,124134,4124,618,2156,52,1002,130168,3234,478,1361,94,1301,126934,120154,3008,228,1854,40,82,1568,62,1506,68243
2009,Bristol County; Massachusetts,545210,263559,281651,32200,33383,36565,38774,35177,66088,83538,83341,33892,28033,35540,26647,12032,38.8,419805,396971,89237,74219,419805,199312,220493,74219,29615,44604,545210,534948,10262,534948,491847,17340,924,278,18,0,26,9776,1487,1873,709,135,722,1449,25,005,3401,157,0,157,0,0,14904,10262,3238,2037,1193,325,545210,500781,22272,3802,11131,281,17898,545210,27405,1881,15060,337,10127,517805,475927,15869,698,9721,30,6301,9259,2042,7217,224761
2009,Dukes County; Massachusetts,15675,7487,8188,890,667,956,1073,897,1307,2211,2738,1518,991,1244,895,288,44.4,12557,12040,3095,2427,12557,5954,6603,2427,959,1468,15675,15381,294,15381,13637,582,306,8,0,0,0,49,0,29,11,0,0,0,25,007,9,0,0,0,0,0,807,294,4,100,64,66,15675,13864,663,487,113,0,856,15675,98,0,39,0,59,15577,13616,555,306,49,0,768,283,35,248,16057
2009,Essex County; Massachusetts,734889,355604,379285,45663,46156,50841,51578,44477,79093,111117,119415,47289,38711,48155,35762,16632,39.8,560408,530962,121666,100549,560408,266331,294077,100549,40641,59908,734889,722425,12464,722425,610991,23814,1107,84,32,0,0,21964,3058,5264,942,660,2350,3680,25,009,6010,436,151,222,0,63,64113,12464,4865,1286,1802,373,734889,622130,30010,3125,24552,652,67462,734889,104321,4106,30406,1103,68706,630568,580048,18891,826,21700,373,2148,6582,523,6059,298035
2009,Franklin County; Massachusetts,71826,35277,36549,3412,3919,3985,4904,4378,7885,9865,12747,6127,4378,5009,3490,1727,42.8,57389,54520,12783,10226,57389,27728,29661,10226,4299,5927,71826,70500,1326,70500,68056,830,163,19,0,25,14,961,64,340,79,42,119,39,25,011,278,0,0,0,0,0,490,1326,398,479,172,25,71826,69303,1269,699,1171,39,687,71826,1870,352,894,38,586,69956,66904,683,146,958,0,93,1172,81,1091,33095
2009,Hampden County; Massachusetts,468171,225862,242309,28766,30092,32673,37006,33265,53943,65217,70094,29531,22675,30626,23085,11198,38.1,354937,331715,77921,64909,354937,168207,186730,64909,26078,38831,468171,459666,8505,459666,369359,39035,965,118,40,0,18,7825,870,1229,582,157,657,2349,25,013,1981,89,37,0,23,29,42393,8505,3021,1365,834,317,468171,376314,43804,2818,8894,166,45101,468171,86599,2274,73284,660,10381,381572,331130,36169,555,7802,66,959,4891,224,4667,190651
2009,Hampshire County; Massachusetts,155160,72989,82171,6361,7269,8202,17683,23531,11381,19896,23354,10489,7809,9324,6839,3022,36.8,127756,108251,23663,19185,127756,59034,68722,19185,7965,11220,155160,152070,3090,152070,140153,3407,256,5,11,11,0,5688,893,2009,207,223,738,511,25,015,1107,22,0,0,22,0,2544,3090,992,576,718,74,155160,142989,4673,956,6558,51,3132,155160,6761,868,3346,273,2274,148399,136417,3225,226,5688,22,372,2449,188,2261,61514
2009,Middlesex County; Massachusetts,1480260,722326,757934,87989,88792,88136,99654,100202,207294,229491,227527,90835,71231,93440,66117,29552,38.2,1159458,1094077,229224,189109,1159458,558481,600977,189109,77639,111470,1480260,1455709,24551,1455709,1228826,58922,2183,208,33,0,58,121870,31321,43520,3475,3399,7435,8925,25,017,23795,823,157,275,30,361,43085,24551,6339,2609,8061,551,1480260,1250408,68270,6389,132015,1406,47894,1480260,82239,9655,25387,2137,45060,1398021,1184764,55935,1841,121484,775,13392,19830,1875,17955,594159
2009,Nantucket County; Massachusetts,11013,5651,5362,713,809,769,615,557,1495,2020,1700,564,628,631,310,202,37.7,8308,7974,1508,1143,8308,4286,4022,1143,481,662,11013,10670,343,10670,9771,441,266,0,0,0,0,192,10,134,20,0,0,28,25,019,0,0,0,0,0,0,0,343,96,0,85,0,11013,10114,537,428,439,0,0,11013,598,169,176,0,253,10415,9173,441,266,192,0,0,343,0,343,10470
