year,county_name,number_sex_and_age_total_population,number_sex_and_age_total_population_male,number_sex_and_age_total_population_female,number_sex_and_age_total_population_under_5_years,number_sex_and_age_total_population_5_to_9_years,number_sex_and_age_total_population_10_to_14_years,number_sex_and_age_total_population_15_to_19_years,number_sex_and_age_total_population_20_to_24_years,number_sex_and_age_total_population_25_to_34_years,number_sex_and_age_total_population_35_to_44_years,number_sex_and_age_total_population_45_to_54_years,number_sex_and_age_total_population_55_to_59_years,number_sex_and_age_total_population_60_to_64_years,number_sex_and_age_total_population_65_to_74_years,number_sex_and_age_total_population_75_to_84_years,number_sex_and_age_total_population_85_years_and_o,number_sex_and_age_total_population_median_age_yea,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_21_years_and_o,number_sex_and_age_total_population_62_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_race_total_population,number_race_total_population_one_race,number_race_total_population_two_or_more_races,number_race_one_race,number_race_one_race_white,number_race_one_race_black_or_african_american,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_asian,number_race_one_race_asian_asian_indian,number_race_one_race_asian_chinese,number_race_one_race_asian_filipino,number_race_one_race_asian_japanese,number_race_one_race_asian_korean,number_race_one_race_asian_vietnamese,state_fips,county_fips,number_race_one_race_asian_other_asian,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_some_other_race,number_race_two_or_more_races,number_race_two_or_more_races_white_and_black_or_a,number_race_two_or_more_races_white_and_american_i,number_race_two_or_more_races_white_and_asian,number_race_two_or_more_races_black_or_african_ame,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_total_housing_units
2009,Adams County; North Dakota,2291,1093,1198,95,84,152,144,91,184,236,403,97,138,245,177,245,49.5,1871,1815,740,667,1871,877,994,667,274,393,2291,2227,64,2227,2203,0,24,0,1,0,20,0,0,0,0,0,0,0,38,001,0,0,0,0,0,0,0,64,0,64,0,0,2291,2267,0,88,0,0,0,2291,0,0,0,0,0,2291,2203,0,24,0,0,0,64,0,64,1370
2009,Barnes County; North Dakota,10840,5357,5483,572,590,648,690,810,1116,1178,1695,749,626,989,790,387,43.9,8615,8157,2487,2166,8615,4234,4381,2166,913,1253,10840,10779,61,10779,10513,38,95,0,53,0,20,120,97,0,0,23,0,0,38,003,0,9,0,0,0,9,4,61,22,0,0,0,10840,10574,76,111,120,32,4,10840,88,62,0,0,26,10752,10445,38,95,120,9,0,45,0,45,5769
2009,Benson County; North Dakota,6889,3443,3446,724,625,556,671,485,682,749,844,383,304,438,310,118,30.1,4555,4226,1043,866,4555,2293,2262,866,395,471,6889,6725,164,6725,3113,21,3517,0,216,0,3090,41,0,31,7,0,3,0,38,005,0,0,0,0,0,0,33,164,0,124,0,5,6889,3254,26,3681,41,0,68,6889,100,35,8,0,57,6789,3110,21,3484,41,0,4,129,0,129,2995
2009,Billings County; North Dakota,912,450,462,42,43,68,71,41,46,128,193,72,53,85,43,27,45.4,718,688,179,155,718,346,372,155,67,88,912,912,0,912,904,0,8,0,0,0,0,0,0,0,0,0,0,0,38,007,0,0,0,0,0,0,0,0,0,0,0,0,912,904,0,8,0,0,0,912,0,0,0,0,0,912,904,0,8,0,0,0,0,0,0,508
2009,Bottineau County; North Dakota,6427,3246,3181,287,285,323,618,280,355,755,1115,617,415,638,400,339,48.0,5256,4812,1578,1377,5256,2635,2621,1377,616,761,6427,6376,51,6376,6085,17,177,0,145,0,1,0,0,0,0,0,0,0,38,009,0,6,6,0,0,0,91,51,0,40,0,0,6427,6133,21,224,3,6,95,6427,47,4,19,0,24,6380,6044,17,177,0,6,86,50,3,47,4322
2009,Bowman County; North Dakota,2944,1447,1497,140,118,187,241,172,172,354,521,224,151,269,240,155,47.0,2346,2227,756,664,2346,1142,1204,664,285,379,2944,2939,5,2939,2913,0,20,19,0,0,0,0,0,0,0,0,0,0,38,011,0,0,0,0,0,0,6,5,1,4,0,0,2944,2918,1,24,0,0,6,2944,36,29,0,0,7,2908,2883,0,20,0,0,0,5,0,5,1589
2009,Burke County; North Dakota,2027,1039,988,72,84,126,108,61,130,222,354,204,159,211,200,96,50.9,1642,1624,597,507,1642,863,779,507,243,264,2027,2010,17,2010,1993,0,17,0,17,0,0,0,0,0,0,0,0,0,38,013,0,0,0,0,0,0,0,17,0,0,0,0,2027,1996,0,31,14,0,3,2027,11,11,0,0,0,2016,1982,0,17,0,0,0,17,3,14,1305
2009,Burleigh County; North Dakota,77049,37804,39245,4826,4506,4728,5432,6070,11569,9992,11528,4665,3576,4949,3730,1478,36.6,59953,56309,12351,10157,59953,29184,30769,10157,4140,6017,77049,75588,1461,75588,71850,342,2787,0,424,0,1569,444,104,88,103,6,49,26,38,015,68,4,0,0,0,4,161,1461,270,820,160,0,77049,73231,630,3737,726,28,231,77049,1071,752,90,14,215,75978,71126,314,2684,444,4,25,1381,10,1371,33142
2009,Cass County; North Dakota,137803,69977,67826,9380,8125,7808,10452,19877,22129,17449,17501,6904,4889,6301,4781,2207,30.4,107748,97708,15889,13289,107748,54677,53071,13289,5617,7672,137803,135971,1832,135971,127647,2756,2055,12,952,0,382,2365,396,813,83,22,273,412,38,017,366,200,105,75,0,20,948,1832,425,705,430,35,137803,129431,3268,2831,2858,254,1069,137803,3194,2423,165,119,487,134609,125881,2676,1854,2365,183,56,1594,16,1578,64139
2009,Cavalier County; North Dakota,3905,1952,1953,172,178,191,325,54,290,379,736,373,260,424,337,186,50.5,3126,3038,1113,947,3126,1556,1570,947,404,543,3905,3898,7,3898,3830,1,67,0,62,0,2,0,0,0,0,0,0,0,38,019,0,0,0,0,0,0,0,7,0,0,7,0,3905,3837,1,67,7,0,0,3905,0,0,0,0,0,3905,3830,1,67,0,0,0,7,0,7,2477
2009,Dickey County; North Dakota,5341,2731,2610,351,359,323,360,465,412,540,769,305,325,479,452,201,42.0,4091,3873,1371,1132,4091,2020,2071,1132,477,655,5341,5290,51,5290,5179,11,69,0,69,0,0,0,0,0,0,0,0,0,38,021,0,0,0,0,0,0,31,51,0,40,0,0,5341,5230,11,109,0,0,42,5341,114,110,0,0,4,5227,5069,11,69,0,0,31,47,11,36,2677
2009,Divide County; North Dakota,1863,989,874,83,95,57,81,57,116,277,312,145,107,200,226,107,50.8,1551,1547,589,533,1551,799,752,533,233,300,1863,1863,0,1863,1845,2,1,0,0,0,0,15,6,0,0,9,0,0,38,023,0,0,0,0,0,0,0,0,0,0,0,0,1863,1845,2,1,15,0,0,1863,38,38,0,0,0,1825,1807,2,1,15,0,0,0,0,0,1337
2009,Dunn County; North Dakota,3318,1652,1666,166,191,267,272,204,210,377,554,282,232,272,208,83,44.5,2507,2371,669,563,2507,1277,1230,563,250,313,3318,3181,137,3181,2783,6,363,0,0,0,18,13,0,0,0,0,0,13,38,025,0,0,0,0,0,0,16,137,0,118,4,0,3318,2905,6,496,17,0,31,3318,42,20,0,0,22,3276,2777,0,363,13,0,0,123,15,108,1981
2009,Eddy County; North Dakota,2417,1200,1217,151,173,187,190,42,189,290,386,196,100,204,207,102,44.7,1798,1713,561,513,1798,903,895,513,227,286,2417,2401,16,2401,2242,31,111,3,27,0,74,0,0,0,0,0,0,0,38,027,0,0,0,0,0,0,17,16,14,2,0,0,2417,2258,45,113,0,0,17,2417,25,19,0,6,0,2392,2234,31,111,0,0,0,16,0,16,1322
2009,Emmons County; North Dakota,3542,1770,1772,157,172,272,223,42,283,386,552,252,215,420,433,135,49.6,2771,2711,1124,988,2771,1391,1380,988,445,543,3542,3521,21,3521,3514,7,0,0,0,0,0,0,0,0,0,0,0,0,38,029,0,0,0,0,0,0,0,21,21,0,0,0,3542,3535,28,0,0,0,0,3542,3,0,3,0,0,3539,3511,7,0,0,0,0,21,0,21,2169
2009,Foster County; North Dakota,3424,1697,1727,164,154,204,231,222,202,444,554,206,184,389,345,125,46.6,2734,2637,940,859,2734,1328,1406,859,346,513,3424,3401,23,3401,3393,0,0,0,0,0,0,0,0,0,0,0,0,0,38,031,0,0,0,0,0,0,8,23,0,0,0,0,3424,3404,12,0,0,0,31,3424,20,20,0,0,0,3404,3393,0,0,0,0,0,11,11,0,1909
2009,Golden Valley County; North Dakota,1533,765,768,63,87,106,122,93,123,183,244,79,110,114,142,67,44.5,1190,1132,371,323,1190,571,619,323,139,184,1533,1520,13,1520,1504,0,16,0,11,0,0,0,0,0,0,0,0,0,38,033,0,0,0,0,0,0,0,13,0,13,0,0,1533,1517,0,29,0,0,0,1533,6,6,0,0,0,1527,1498,0,16,0,0,0,13,0,13,987
2009,Grand Forks County; North Dakota,66573,34182,32391,4221,3650,3387,7144,13130,7938,6931,7829,3223,2439,3168,2479,1034,26.6,53063,45778,8030,6681,53063,27111,25952,6681,2782,3899,66573,65202,1371,65202,60850,1068,1784,94,724,33,430,653,167,159,98,56,19,45,38,035,109,21,0,21,0,0,826,1371,259,533,320,0,66573,62148,1420,2390,1048,59,935,66573,2057,1586,107,0,364,64516,59988,1032,1665,653,21,37,1120,0,1120,29304
2009,Grant County; North Dakota,2525,1320,1205,81,94,141,265,184,124,243,432,171,161,305,233,91,48.1,2006,1943,718,629,2006,1013,993,629,307,322,2525,2509,16,2509,2387,1,102,0,4,0,22,19,0,1,0,0,0,0,38,037,18,0,0,0,0,0,0,16,3,12,1,0,2525,2403,4,114,20,0,0,2525,0,0,0,0,0,2525,2387,1,102,19,0,0,16,0,16,1722
2009,Griggs County; North Dakota,2310,1165,1145,125,83,98,91,189,135,174,400,233,178,232,232,140,51.6,1933,1911,692,604,1933,974,959,604,255,349,2310,2308,2,2308,2297,0,10,0,7,0,2,1,0,0,0,0,1,0,38,039,0,0,0,0,0,0,0,2,0,2,0,0,2310,2299,0,12,1,0,0,2310,0,0,0,0,0,2310,2297,0,10,1,0,0,2,0,2,1570
2009,Hettinger County; North Dakota,2407,1241,1166,87,143,84,122,101,229,238,357,240,189,288,250,79,51.3,1985,1969,725,617,1985,1030,955,617,298,319,2407,2393,14,2393,2377,16,0,0,0,0,0,0,0,0,0,0,0,0,38,041,0,0,0,0,0,0,0,14,0,14,0,0,2407,2391,16,14,0,0,0,2407,0,0,0,0,0,2407,2377,16,0,0,0,0,14,0,14,1485
