year,county_name,number_sex_and_age_total_population,number_sex_and_age_total_population_male,number_sex_and_age_total_population_female,number_sex_and_age_total_population_under_5_years,number_sex_and_age_total_population_5_to_9_years,number_sex_and_age_total_population_10_to_14_years,number_sex_and_age_total_population_15_to_19_years,number_sex_and_age_total_population_20_to_24_years,number_sex_and_age_total_population_25_to_34_years,number_sex_and_age_total_population_35_to_44_years,number_sex_and_age_total_population_45_to_54_years,number_sex_and_age_total_population_55_to_59_years,number_sex_and_age_total_population_60_to_64_years,number_sex_and_age_total_population_65_to_74_years,number_sex_and_age_total_population_75_to_84_years,number_sex_and_age_total_population_85_years_and_o,number_sex_and_age_total_population_median_age_yea,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_21_years_and_o,number_sex_and_age_total_population_62_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_race_total_population,number_race_total_population_one_race,number_race_total_population_two_or_more_races,number_race_one_race,number_race_one_race_white,number_race_one_race_black_or_african_american,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_asian,number_race_one_race_asian_asian_indian,number_race_one_race_asian_chinese,number_race_one_race_asian_filipino,number_race_one_race_asian_japanese,number_race_one_race_asian_korean,number_race_one_race_asian_vietnamese,state_fips,county_fips,number_race_one_race_asian_other_asian,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_some_other_race,number_race_two_or_more_races,number_race_two_or_more_races_white_and_black_or_a,number_race_two_or_more_races_white_and_american_i,number_race_two_or_more_races_white_and_asian,number_race_two_or_more_races_black_or_african_ame,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio,number_total_housing_units
2009,Albany County; Wyoming,32985,17247,15738,1826,1184,1460,3683,9041,3785,3005,3418,1676,1178,1420,986,323,24.5,27647,22903,3312,2729,27647,14536,13111,2729,1271,1458,32985,31961,1024,31961,29486,364,223,34,23,0,0,738,154,295,99,54,60,13,56,001,63,27,0,7,0,20,1123,1024,218,349,86,27,32985,30442,609,698,824,94,1400,32985,2590,1302,28,10,1250,30395,28436,308,200,738,27,13,673,8,665,17108
2009,Big Horn County; Wyoming,11372,5711,5661,764,832,766,891,576,953,1427,1681,892,621,1006,662,301,41.9,8403,8065,2367,1969,8403,4174,4229,1969,879,1090,11372,11214,158,11214,10641,6,207,3,54,0,1,7,0,7,0,0,0,0,56,003,0,0,0,0,0,0,353,158,26,105,19,0,11372,10799,32,312,26,0,361,11372,882,804,3,17,58,10490,10133,6,206,7,0,7,131,0,131,5252
2009,Campbell County; Wyoming,40290,20740,19550,3243,3207,2973,2878,3174,6340,5448,6978,2362,1418,1363,673,233,31.7,28978,27267,3044,2269,28978,14956,14022,2269,1040,1229,40290,39750,540,39750,37602,232,403,0,0,147,134,301,0,83,14,6,0,4,56,005,194,11,0,11,0,0,1201,540,33,461,34,7,40290,38135,272,871,335,11,1206,40290,2125,1774,25,0,326,38165,36683,221,366,301,11,75,508,0,508,15015
2009,Carbon County; Wyoming,15347,8274,7073,986,970,985,844,857,2002,2057,2548,1219,1030,1030,562,257,40.4,11890,11404,2395,1849,11890,6463,5427,1849,910,939,15347,15072,275,15072,14252,102,171,0,4,26,4,125,23,0,65,17,20,0,56,007,0,15,15,0,0,0,407,275,0,148,13,0,15347,14520,131,348,145,41,466,15347,2228,1659,25,0,544,13119,12470,99,157,125,15,37,216,0,216,8607
2009,Converse County; Wyoming,12959,6563,6396,865,886,977,959,688,1456,1710,2203,973,675,880,530,157,38.8,9600,9114,1929,1567,9600,4812,4788,1567,742,825,12959,12529,430,12529,12239,14,75,0,0,0,12,0,0,0,0,0,0,0,56,009,0,13,13,0,0,0,188,430,191,117,0,0,12959,12669,222,192,0,13,310,12959,778,536,0,56,186,12181,11804,14,61,0,13,0,289,8,281,5974
2009,Crook County; Wyoming,6338,3208,3130,392,354,421,555,376,461,724,1055,429,504,622,310,135,43.9,4865,4534,1357,1067,4865,2434,2431,1067,510,557,6338,6327,11,6327,6308,0,12,0,0,0,2,0,0,0,0,0,0,0,56,011,0,7,4,3,0,0,0,11,0,11,0,0,6338,6319,0,23,0,7,0,6338,74,70,0,0,4,6264,6244,0,11,0,4,0,5,0,5,3185
2009,Fremont County; Wyoming,37432,18890,18542,2745,2496,2672,2688,2363,4428,4239,5823,2495,2121,2919,1667,776,38.2,27857,26412,6577,5362,27857,13821,14036,5362,2406,2956,37432,36587,845,36587,28096,254,7507,26,72,68,320,260,42,27,34,45,112,0,56,013,0,4,0,0,0,4,466,845,101,627,44,13,37432,28912,384,8159,304,4,526,37432,2108,1439,10,0,659,35324,27117,216,7010,260,4,19,698,0,698,16273
2009,Goshen County; Wyoming,12137,6051,6086,655,639,795,976,817,1051,1319,1890,876,814,1208,744,353,43.9,9475,8838,2828,2305,9475,4695,4780,2305,1064,1241,12137,12067,70,12067,11505,27,146,3,22,0,106,34,0,0,22,12,0,0,56,015,0,10,10,0,0,0,345,70,0,54,5,0,12137,11575,27,200,39,10,356,12137,1094,955,17,0,122,11043,10777,27,135,34,10,0,60,11,49,5997
2009,Hot Springs County; Wyoming,4523,2190,2333,231,255,190,177,348,409,401,725,306,279,649,456,97,49.0,3690,3594,1365,1202,3690,1752,1938,1202,501,701,4523,4453,70,4453,4424,0,29,0,0,0,0,0,0,0,0,0,0,0,56,017,0,0,0,0,0,0,0,70,0,70,0,0,4523,4494,0,99,0,0,0,4523,60,13,47,0,0,4463,4364,0,29,0,0,0,70,0,70,2632
2009,Johnson County; Wyoming,8084,4094,3990,455,365,655,732,288,713,944,1283,674,543,768,528,136,44.1,6265,5814,1672,1432,6265,3052,3213,1432,663,769,8084,7939,145,7939,7922,0,3,3,0,0,0,0,0,0,0,0,0,0,56,019,0,0,0,0,0,0,14,145,0,77,0,0,8084,8058,0,132,0,0,82,8084,256,208,19,0,29,7828,7754,0,3,0,0,0,71,3,68,3755
