year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2010,Adams County; Colorado,425330,214100,211230,37883,34532,31045,29246,29204,70394,63801,56172,22414,15981,20079,10899,3680,32.2,303605,287069,43724,34658,303605,151868,151737,34658,14849,19809,425330,411022,14308,411022,328366,12925,4882,416,67,442,332,15348,1118,1581,1074,830,1091,4479,08,001,5175,487,46,45,6,390,49014,14308,1741,3285,2168,220,425330,341182,15763,9138,18814,1006,54723,425330,156489,128820,1082,449,26138,268841,231115,12210,2431,14816,483,971,6815,329,6486,161760
2010,Alamosa County; Colorado,15293,7679,7614,1165,1064,992,1663,1335,1829,1733,2081,1111,652,955,519,194,32.6,11398,9998,1989,1668,11398,5666,5732,1668,735,933,15293,14039,1254,14039,12333,91,147,4,0,4,0,111,18,0,27,27,0,0,08,003,39,12,12,0,0,0,1345,1254,13,832,114,32,15293,13524,153,1012,238,45,1575,15293,6822,3601,50,10,3161,8471,7634,67,34,100,12,65,559,27,532,6514
2010,Arapahoe County; Colorado,552860,271065,281795,40010,41111,37341,38205,34612,80884,81523,84256,34781,26710,29096,17359,6972,35.5,409263,389613,67831,53427,409263,197503,211760,53427,22576,30851,552860,533551,19309,533551,418778,54109,4518,497,101,305,140,27079,3366,4014,2694,1560,7223,4079,08,005,4143,982,157,249,387,189,28085,19309,5375,3019,4365,419,552860,435757,62142,9226,33041,1593,32002,552860,97559,75203,2747,760,18849,455301,357351,52262,2405,26560,982,1362,14379,564,13815,234519
2010,Archuleta County; Colorado,12136,6145,5991,519,874,1124,1562,996,867,820,1297,1170,1078,1118,570,141,36.7,8953,7806,2416,1829,8953,4514,4439,1829,908,921,12136,11646,490,11646,10929,71,22,12,0,0,0,57,15,0,0,39,0,0,08,007,3,10,0,0,0,10,557,490,53,81,0,0,12136,11370,201,134,57,10,913,12136,2063,1328,5,0,730,10073,9745,71,20,57,10,0,170,15,155,8510
2010,Baca County; Colorado,3833,1864,1969,223,134,284,305,134,310,419,561,216,287,434,329,197,47.2,2979,2864,1158,960,2979,1418,1561,960,420,540,3833,3689,144,3689,3528,33,25,10,0,0,1,31,0,5,0,2,5,0,08,009,19,0,0,0,0,0,72,144,26,38,0,0,3833,3672,59,63,31,0,152,3833,307,167,0,0,140,3526,3367,33,25,31,0,4,66,2,64,2282
2010,Bent County; Colorado,6125,3852,2273,300,233,413,239,519,814,1084,935,442,311,439,197,199,40.2,5011,4776,995,835,5011,3316,1695,835,391,444,6125,6019,106,6019,5012,356,204,11,18,0,0,97,0,31,0,54,0,0,08,011,12,0,0,0,0,0,350,106,0,29,34,0,6125,5118,356,233,131,0,393,6125,1757,990,10,10,747,4368,3665,356,178,97,0,4,68,5,63,2277
2010,Boulder County; Colorado,290177,145782,144395,16825,17924,16918,23643,29902,38679,41803,44708,18629,13846,14919,8231,4150,35.3,227761,208260,34860,27300,227761,113811,113950,27300,11833,15467,290177,283351,6826,283351,253057,2321,1116,116,0,115,132,11856,2436,3294,429,846,1843,1161,08,013,1847,79,79,0,0,0,14922,6826,1144,1595,2282,0,290177,259466,4056,3361,14702,365,15873,290177,37374,28326,677,611,7760,252803,231746,2116,978,11819,56,848,5240,149,5091,125768
2010,Broomfield County; Colorado,52872,26249,26623,3882,3873,3881,3611,3019,6832,8948,8464,3466,2147,2563,1583,603,36.7,38885,36813,5872,4749,38885,19172,19713,4749,1974,2775,52872,50993,1879,50993,46188,463,129,0,0,0,25,2997,383,794,198,231,126,405,08,014,860,45,0,26,0,19,1171,1879,141,618,517,57,52872,47943,750,991,3635,172,1431,52872,5685,3785,240,52,1608,47187,42315,453,84,2895,45,31,1364,24,1340,21394
2010,Chaffee County; Colorado,17540,9476,8064,639,742,971,990,924,1988,2206,2870,1497,1404,1893,1014,402,46.3,14471,14088,4191,3309,14471,7734,6737,3309,1614,1695,17540,17246,294,17246,16359,329,95,0,0,0,15,108,27,0,0,39,28,0,08,015,14,0,0,0,0,0,355,294,0,236,0,0,17540,16653,329,331,108,0,413,17540,1575,633,5,0,937,15965,15218,329,74,108,0,0,236,0,236,9842
2010,Cheyenne County; Colorado,2194,982,1212,142,90,154,174,133,221,239,381,128,99,201,135,97,41.6,1685,1594,493,433,1685,827,858,433,163,270,2194,2182,12,2182,2157,0,3,0,0,0,0,20,0,0,16,0,4,0,08,017,0,0,0,0,0,0,2,12,0,12,0,0,2194,2169,0,15,20,0,2,2194,203,161,0,0,42,1991,1956,0,3,20,0,0,12,0,12,1135
2010,Clear Creek County; Colorado,9088,4700,4388,473,379,503,571,251,963,1440,1938,1043,557,649,226,95,44.7,7389,7153,1256,970,7389,3814,3575,970,489,481,9088,8895,193,8895,8654,1,47,16,0,5,0,75,0,21,7,47,0,0,08,019,0,0,0,0,0,0,118,193,0,130,63,0,9088,8847,1,177,138,0,118,9088,386,215,0,39,132,8702,8408,0,26,75,0,0,193,0,193,5632
2010,Conejos County; Colorado,8220,4081,4139,621,601,705,653,424,841,932,1173,609,378,691,481,111,38.6,5867,5524,1491,1283,5867,2930,2937,1283,614,669,8220,7277,943,7277,6529,36,77,9,0,0,0,24,0,0,0,2,22,0,08,021,0,0,0,0,0,0,611,943,0,730,0,7,8220,7465,137,940,66,23,696,8220,4497,1698,18,0,2781,3723,3420,36,9,24,0,15,219,0,219,4273
2010,Costilla County; Colorado,3536,1856,1680,112,186,255,392,93,276,424,496,225,335,442,202,98,45.6,2761,2582,951,742,2761,1389,1372,742,363,379,3536,3113,423,3113,2866,10,16,0,0,0,0,35,0,0,0,35,0,0,08,023,0,0,0,0,0,0,186,423,6,336,29,0,3536,3289,16,378,90,0,212,3536,2200,899,46,0,1255,1336,1138,10,0,35,0,0,153,26,127,2539
2010,Crowley County; Colorado,5897,4104,1793,229,213,239,477,514,951,1169,909,272,344,337,182,61,38.3,5052,4626,809,580,5052,3667,1385,580,290,290,5897,5826,71,5826,4580,553,117,5,0,0,0,38,0,0,6,2,0,20,08,025,10,0,0,0,0,0,538,71,2,31,2,0,5897,4641,565,148,40,0,574,5897,1575,550,4,0,1021,4322,3597,553,110,38,0,0,24,0,24,1569
2010,Custer County; Colorado,3899,1996,1903,185,209,158,234,137,134,369,776,441,416,594,172,74,51.7,3183,3084,1061,840,3183,1606,1577,840,429,411,3899,3870,29,3870,3724,5,52,0,0,52,0,61,0,0,0,38,0,0,08,027,23,14,0,14,0,0,14,29,0,0,0,0,3899,3753,5,52,61,14,43,3899,183,134,0,0,49,3716,3584,5,52,61,14,0,0,0,0,3705
2010,Delta County; Colorado,30533,15389,15144,1741,1612,2157,1944,1369,2923,3493,4636,2203,2366,3339,1923,827,45.1,23729,22877,7633,6089,23729,11843,11886,6089,2838,3251,30533,30125,408,30125,28518,231,247,0,0,16,0,172,0,37,36,20,10,59,08,029,10,21,0,0,0,21,936,408,12,280,0,32,30533,28872,286,568,205,58,972,30533,4120,3283,9,0,828,26413,25480,231,128,172,21,54,327,0,327,14278
2010,Denver County; Colorado,578087,289443,288644,42937,35672,28897,31812,45452,115843,86895,71851,32038,25843,30082,20596,10169,33.8,452947,430735,75318,60847,452947,225647,227300,60847,24996,35851,578087,561368,16719,561368,421523,59749,6506,342,138,935,831,19028,2896,3842,1432,1791,1939,4747,08,031,2381,713,115,44,142,412,53849,16719,4096,3571,3151,778,578087,435783,66146,12126,23371,1261,57387,578087,185463,153369,2346,807,28941,392624,299378,58217,3617,18838,518,1462,10594,704,9890,281296
2010,Dolores County; Colorado,2027,1126,901,129,126,191,109,20,230,281,269,222,92,190,89,79,43.5,1544,1462,432,358,1544,793,751,358,179,179,2027,1995,32,1995,1924,0,51,0,0,1,0,4,0,0,0,0,0,4,08,033,0,0,0,0,0,0,16,32,0,15,10,7,2027,1949,7,73,14,0,16,2027,47,27,0,0,20,1980,1903,0,41,4,0,0,32,0,32,1461
2010,Douglas County; Colorado,273440,135274,138166,22502,25379,23497,17607,9751,34233,51709,44103,15445,11920,11206,5015,1073,35.8,189481,182615,24225,17294,189481,92549,96932,17294,8150,9144,273440,266476,6964,266476,248595,3228,727,121,9,89,51,10016,2991,2639,558,952,1455,654,08,035,767,145,48,41,24,32,3765,6964,1206,1481,2117,64,273440,255173,5036,2466,12716,663,4971,273440,19892,11783,862,385,6862,253548,234188,3086,525,9859,121,302,5467,108,5359,103249
