year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2010,Adams County; Mississippi,32659,15189,17470,2048,1799,2316,2661,2665,3178,3689,4960,2410,1704,2714,1899,616,39.4,25101,23296,6087,5229,25101,11429,13672,5229,2092,3137,32659,32625,34,32625,13111,19280,100,14,13,0,0,114,14,0,0,12,0,88,28,001,0,0,0,0,0,0,20,34,14,20,0,0,32659,13145,19294,120,114,0,20,32659,199,66,13,31,89,32460,12976,19216,100,114,0,20,34,0,34,14771
2010,Alcorn County; Mississippi,36708,17905,18803,2373,2141,2918,2421,1912,4500,4980,5022,2204,2404,3324,1942,567,39.3,27746,26543,7507,5833,27746,13169,14577,5833,2465,3368,36708,36174,534,36174,31934,4095,9,0,0,0,0,86,12,0,26,0,27,21,28,003,0,0,0,0,0,0,50,534,132,174,41,0,36708,32468,4227,183,127,0,237,36708,922,492,5,141,284,35786,31218,4095,9,86,0,31,347,0,347,16913
2010,Amite County; Mississippi,13318,6345,6973,907,878,790,952,712,1370,1506,2095,889,928,1292,792,207,42.0,10190,9603,2892,2291,10190,4871,5319,2291,1025,1266,13318,13314,4,13314,7613,5603,62,39,0,0,0,10,0,0,5,5,0,0,28,005,0,0,0,0,0,0,26,4,0,4,0,0,13318,7617,5603,66,10,0,26,13318,34,8,0,0,26,13284,7605,5603,62,10,0,0,4,0,4,6638
2010,Attala County; Mississippi,19545,9319,10226,1483,1306,1468,1403,1059,2112,2399,2608,1429,955,1688,1137,498,39.1,14411,13636,3875,3323,14411,6712,7699,3323,1424,1899,19545,19450,95,19450,11004,8213,0,0,0,0,0,14,14,0,0,0,0,0,28,007,0,0,0,0,0,0,219,95,61,8,0,0,19545,11073,8286,8,26,14,233,19545,293,293,0,0,0,19252,10944,8213,0,14,0,0,81,0,81,9089
2010,Benton County; Mississippi,8652,4167,4485,611,707,480,635,376,1143,1263,1088,474,422,889,399,165,39.0,6438,6187,1657,1453,6438,3049,3389,1453,581,872,8652,8616,36,8616,5278,3315,0,0,0,0,0,6,0,6,0,0,0,0,28,009,0,0,0,0,0,0,17,36,36,0,0,0,8652,5314,3351,0,6,0,17,8652,30,30,0,0,0,8622,5248,3315,0,6,0,17,36,0,36,4073
2010,Bolivar County; Mississippi,35063,16347,18716,2568,2402,2498,3017,3109,4497,4127,4640,1961,2164,2200,1251,629,33.6,25999,23855,5243,4080,25999,11813,14186,4080,1574,2506,35063,34880,183,34880,11509,23062,58,0,0,0,0,187,10,17,91,0,9,15,28,011,45,0,0,0,0,0,64,183,49,69,29,29,35063,11661,23145,156,218,7,64,35063,188,173,0,0,15,34875,11474,22966,58,187,0,7,183,0,183,14278
2010,Calhoun County; Mississippi,14945,7154,7791,1048,977,1059,993,870,1705,1949,2080,899,906,1295,854,310,38.9,11227,10695,2992,2459,11227,5304,5923,2459,1009,1450,14945,14820,125,14820,10537,4256,9,0,0,0,0,0,0,0,0,0,0,0,28,013,0,0,0,0,0,0,18,125,31,94,0,0,14945,10662,4287,103,0,0,18,14945,689,627,17,16,29,14256,9885,4237,9,0,0,0,125,0,125,6939
2010,Carroll County; Mississippi,10608,5220,5388,647,698,569,845,296,1450,1252,1612,596,921,1025,519,178,40.6,8271,7789,2174,1722,8271,4102,4169,1722,769,953,10608,10560,48,10560,6825,3671,0,0,0,0,0,64,64,0,0,0,0,0,28,015,0,0,0,0,0,0,0,48,28,0,0,20,10608,6853,3719,20,64,0,0,10608,11,11,0,0,0,10597,6814,3671,0,64,0,0,48,0,48,5056
2010,Chickasaw County; Mississippi,17689,8278,9411,1324,1447,1170,1269,1182,2018,2262,2456,1191,875,1540,647,308,37.4,12916,12148,3059,2495,12916,6004,6912,2495,1017,1478,17689,17437,252,17437,9900,7362,16,0,0,0,0,44,11,33,0,0,0,0,28,017,0,0,0,0,0,0,115,252,97,16,0,109,17689,10043,7568,141,44,0,145,17689,563,459,0,3,101,17126,9443,7362,16,44,0,39,222,0,222,7633
2010,Choctaw County; Mississippi,8680,3990,4690,520,541,536,745,432,739,1170,1335,585,559,791,517,210,41.6,6590,6224,1817,1518,6590,3099,3491,1518,628,890,8680,8672,8,8672,5869,2775,0,0,0,0,0,26,6,3,7,0,10,0,28,019,0,0,0,0,0,0,2,8,0,8,0,0,8680,5877,2775,8,26,0,2,8680,2,2,0,0,0,8678,5869,2775,0,26,0,0,8,0,8,4190
