year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2010,Bennett County; South Dakota,3441,1687,1754,361,274,318,276,269,292,366,488,115,169,227,200,86,32.0,2316,2136,593,513,2316,1140,1176,513,241,272,3441,3275,166,3275,1119,0,2147,0,0,0,2010,5,0,5,0,0,0,0,46,007,0,0,0,0,0,0,4,166,5,161,0,0,3441,1285,5,2308,5,0,4,3441,66,14,0,52,0,3375,1067,0,2137,5,0,0,166,0,166,1267
2010,Bon Homme County; South Dakota,7080,4054,3026,365,372,367,402,385,933,892,1127,421,420,581,558,257,43.5,5702,5451,1665,1396,5702,3361,2341,1396,618,778,7080,7043,37,7043,6397,99,477,6,79,0,359,16,9,0,7,0,0,0,46,009,0,0,0,0,0,0,54,37,30,7,0,0,7080,6434,129,484,16,0,54,7080,100,65,0,0,35,6980,6366,92,469,16,0,0,37,0,37,2950
2010,Brookings County; South Dakota,31250,15830,15420,1921,1473,1768,3566,6354,4103,2873,3378,1521,1107,1521,1145,520,26.0,25267,20514,3822,3186,25267,12889,12378,3186,1393,1793,31250,30683,567,30683,29198,226,183,0,7,0,118,582,93,268,20,9,114,22,46,011,56,41,41,0,0,0,453,567,79,247,97,17,31250,29638,327,452,789,50,566,31250,626,528,20,0,78,30624,29036,226,142,582,41,33,564,110,454,12782
2010,Brown County; South Dakota,36011,17478,18533,2393,2103,2409,2595,2708,4284,4087,5356,2377,1707,2642,2259,1091,38.9,27629,25711,6904,5992,27629,13225,14404,5992,2526,3466,36011,35468,543,35468,33843,159,1140,0,94,0,762,307,0,123,17,0,59,0,46,013,108,0,0,0,0,0,19,543,172,285,53,0,36011,34382,352,1450,364,8,19,36011,499,258,56,0,185,35512,33545,124,993,307,0,0,543,0,543,16516
2010,Brule County; South Dakota,5128,2560,2568,312,481,389,439,263,459,567,747,344,251,411,286,179,39.9,3599,3450,1024,876,3599,1752,1847,876,378,498,5128,5106,22,5106,4556,3,541,0,0,1,429,6,6,0,0,0,0,0,46,015,0,0,0,0,0,0,0,22,0,20,0,2,5128,4576,5,563,6,0,0,5128,8,8,0,0,0,5120,4553,3,537,6,0,0,21,0,21,2412
2010,Buffalo County; South Dakota,1932,997,935,222,222,165,230,161,204,260,237,51,89,54,30,7,23.4,1154,1042,129,91,1154,586,568,91,24,67,1932,1925,7,1925,182,8,1717,0,25,15,1555,18,0,0,7,0,0,11,46,017,0,0,0,0,0,0,0,7,0,0,0,0,1932,182,8,1724,25,0,0,1932,4,4,0,0,0,1928,178,8,1717,18,0,0,7,0,7,590
2010,Butte County; South Dakota,9888,4929,4959,704,710,688,645,433,1187,1116,1599,663,598,810,558,177,41.1,7333,7073,1897,1545,7333,3666,3667,1545,719,826,9888,9730,158,9730,9436,82,172,0,0,0,106,24,0,0,24,0,0,0,46,019,0,0,0,0,0,0,16,158,16,123,0,0,9888,9594,117,314,24,0,16,9888,254,51,0,0,203,9634,9198,82,172,24,0,0,158,0,158,4527
2010,Campbell County; South Dakota,1431,715,716,63,85,87,102,20,145,136,238,120,74,181,148,32,47.8,1131,1091,406,361,1131,579,552,361,173,188,1431,1431,0,1431,1394,0,37,0,31,0,0,0,0,0,0,0,0,0,46,021,0,0,0,0,0,0,0,0,0,0,0,0,1431,1394,0,37,0,0,0,1431,0,0,0,0,0,1431,1394,0,37,0,0,0,0,0,0,905
2010,Charles Mix County; South Dakota,9075,4457,4618,752,736,705,690,438,841,1038,1278,546,461,715,571,304,39.0,6424,6079,1839,1590,6424,3189,3235,1590,709,881,9075,8815,260,8815,5973,18,2785,0,20,0,2599,24,0,0,0,0,24,0,46,023,0,0,0,0,0,0,15,260,12,234,0,3,9075,6230,37,3022,28,0,22,9075,165,135,8,0,22,8910,5938,2,2686,24,0,0,260,7,253,3874
2010,Clark County; South Dakota,3702,1847,1855,232,216,280,241,140,349,391,564,282,204,362,283,158,45.0,2821,2704,916,803,2821,1419,1402,803,360,443,3702,3691,11,3691,3648,1,19,0,0,0,19,0,0,0,0,0,0,0,46,025,0,0,0,0,0,0,23,11,0,11,0,0,3702,3659,1,30,0,0,23,3702,65,58,0,0,7,3637,3601,1,19,0,0,5,11,0,11,1740
