year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2010,Beaver County; Utah,6431,3303,3128,597,619,621,550,268,833,711,763,286,360,458,208,157,31.7,4274,3970,1065,823,4274,2137,2137,823,397,426,6431,6396,35,6396,6240,8,16,0,0,16,0,0,0,0,0,0,0,0,49,001,0,98,0,0,91,7,34,35,0,0,0,0,6431,6275,8,16,0,133,34,6431,606,459,0,54,93,5825,5734,8,16,0,32,0,35,0,35,2871
2010,Box Elder County; Utah,48221,24272,23949,4771,4722,4330,3995,2855,6607,5416,6053,2344,1792,2926,1814,596,30.2,31715,29748,6503,5336,31715,15747,15968,5336,2480,2856,48221,47276,945,47276,44658,133,282,0,13,105,0,462,31,33,26,185,16,161,49,003,10,48,15,12,4,17,1693,945,120,343,149,0,48221,45603,270,641,664,143,1931,48221,3867,3142,7,8,710,44354,42683,133,276,431,48,54,729,38,691,16890
2010,Cache County; Utah,107078,53041,54037,10791,9299,8472,9916,14687,17475,10816,10138,4208,3086,4288,2868,1034,25.2,73760,65797,9937,8190,73760,36215,37545,8190,3744,4446,107078,104542,2536,104542,98583,612,797,198,31,478,0,1904,47,655,175,118,265,158,49,005,486,113,32,19,0,62,2533,2536,550,352,468,0,107078,101028,1346,1223,2544,525,3146,107078,10085,6806,199,146,2934,96993,92242,559,768,1868,113,17,1426,0,1426,36028
2010,Carbon County; Utah,20765,10338,10427,1573,1418,1570,1633,1486,2715,2110,2955,1358,1091,1475,1008,373,34.9,15290,14081,3435,2856,15290,7592,7698,2856,1271,1585,20765,20409,356,20409,18898,139,288,65,27,115,0,113,0,59,0,15,0,0,49,007,39,19,0,0,0,19,952,356,40,155,20,0,20765,19254,179,456,133,19,1093,20765,2455,2020,6,11,418,18310,17597,127,269,113,0,0,204,13,191,9442
2010,Daggett County; Utah,839,463,376,58,32,37,20,52,162,65,95,72,51,131,59,5,43.0,701,676,234,195,701,403,298,195,108,87,839,828,11,828,788,0,3,0,0,0,0,9,0,3,0,6,0,0,49,009,0,0,0,0,0,0,28,11,0,11,0,0,839,799,0,14,9,0,28,839,51,51,0,0,0,788,765,0,3,9,0,0,11,0,11,1153
2010,Davis County; Utah,294532,147823,146709,30291,28387,26869,24057,20875,45997,36652,34460,13210,10240,13064,7831,2599,28.7,193680,181272,29368,23494,193680,95752,97928,23494,10519,12975,294532,288014,6518,288014,269769,3546,1609,89,0,437,66,4850,187,750,1189,1048,572,245,49,011,859,1644,82,131,345,1086,6596,6518,1248,892,2295,32,294532,275681,5291,2928,7898,2147,7529,294532,23399,15544,658,195,7002,271133,254650,3394,1196,4662,1632,270,5329,158,5171,94974
2010,Duchesne County; Utah,17408,8903,8505,1716,1519,1583,1483,1152,2385,1876,2251,845,778,1105,567,148,30.0,11540,10886,2229,1820,11540,5864,5676,1820,918,902,17408,17168,240,17168,15847,17,976,6,16,25,9,101,0,0,77,0,24,0,49,013,0,45,45,0,0,0,182,240,44,110,7,0,17408,16072,61,1101,115,52,254,17408,935,844,0,0,91,16473,15223,17,930,101,45,0,157,15,142,8812
2010,Emery County; Utah,10728,5542,5186,927,857,979,938,683,1287,1070,1462,724,448,809,426,118,31.5,7354,6910,1551,1353,7354,3766,3588,1353,643,710,10728,10621,107,10621,10118,17,143,3,0,111,0,44,0,4,0,17,4,8,49,015,11,0,0,0,0,0,299,107,0,77,9,0,10728,10225,17,220,53,0,320,10728,603,573,0,0,30,10125,9884,17,127,44,0,2,51,0,51,4431
2010,Garfield County; Utah,4958,2569,2389,345,402,356,282,267,485,624,687,409,388,352,284,77,39.8,3622,3543,949,713,3622,1848,1774,713,374,339,4958,4922,36,4922,4654,0,206,0,0,203,0,24,0,0,11,5,0,0,49,017,8,25,0,0,25,0,13,36,0,15,0,0,4958,4690,0,221,24,25,34,4958,109,77,0,0,32,4849,4579,0,206,24,25,0,15,0,15,3556
2010,Grand County; Utah,8987,4501,4486,638,539,565,651,410,1027,1256,1452,738,523,655,419,114,40.5,6908,6480,1560,1188,6908,3428,3480,1188,545,643,8987,8879,108,8879,8172,15,516,0,0,490,0,27,0,9,10,0,0,7,49,019,1,0,0,0,0,0,149,108,0,26,48,12,8987,8259,27,563,75,0,171,8987,717,689,11,0,17,8270,7636,15,516,27,0,0,76,0,76,4723
