year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2010,Accomack County; Virginia,34066,16707,17359,1974,2215,1866,2109,1685,3580,4026,5534,2689,2190,3431,2112,655,43.9,26660,25430,7434,6198,26660,12700,13960,6198,2775,3423,34066,33266,800,33266,22639,9729,30,15,0,0,0,166,0,16,0,0,85,65,51,001,0,0,0,0,0,0,702,800,399,238,42,28,34066,23411,10159,299,208,17,775,34066,2732,1228,379,10,1115,31334,20936,9729,30,166,0,34,439,0,439,20928
2010,Albemarle County; Virginia,96633,46330,50303,5508,5837,6286,8900,6876,11757,12611,14293,6517,4811,6637,4853,1747,37.6,75344,68394,15944,13237,75344,35536,39808,13237,5618,7619,96633,94562,2071,94562,79493,9563,168,30,0,0,0,4146,606,1672,349,118,820,213,51,003,368,28,0,0,0,28,1164,2071,638,222,696,42,96633,81357,10446,535,5030,43,1440,96633,4790,2669,335,449,1337,91843,76042,9387,168,4146,28,251,1821,115,1706,41357
2010,Alleghany County; Virginia,16406,8072,8334,788,991,1068,1015,803,1388,2222,2464,1372,1112,1757,986,440,44.7,12862,12424,3879,3183,12862,6173,6689,3183,1381,1802,16406,16331,75,16331,15250,979,3,0,0,0,0,81,14,16,7,0,44,0,51,005,0,0,0,0,0,0,18,75,43,0,32,0,16406,15325,1022,3,113,0,18,16406,72,37,0,29,6,16334,15178,979,3,81,0,18,75,0,75,8074
2010,Amelia County; Virginia,12517,6153,6364,741,799,779,856,725,1239,1764,2029,757,847,1203,604,174,41.5,9644,9282,2491,1981,9644,4692,4952,1981,924,1057,12517,12403,114,12403,9228,2954,31,31,0,0,0,47,0,0,0,20,0,0,51,007,27,18,18,0,0,0,125,114,79,0,0,0,12517,9307,3033,31,82,18,160,12517,292,188,21,0,83,12225,9096,2954,31,47,18,0,79,0,79,5289
2010,Amherst County; Virginia,32315,15347,16968,1703,1642,2183,2606,2256,3128,4229,5015,2069,2193,3005,1846,440,41.1,25340,23513,6512,5291,25340,11767,13573,5291,2227,3064,32315,31723,592,31723,24762,6201,301,135,0,0,0,149,9,0,21,18,46,40,51,009,15,0,0,0,0,0,310,592,274,122,62,22,32315,25241,6605,470,215,0,397,32315,675,458,44,56,117,31640,24394,6093,301,149,0,215,488,0,488,13884
2010,Appomattox County; Virginia,14653,7034,7619,792,1031,878,922,812,1287,2184,2254,996,1051,1344,866,236,43.3,11335,10890,3031,2446,11335,5444,5891,2446,1065,1381,14653,14542,111,14542,11218,3246,0,0,0,0,0,34,0,0,0,15,0,0,51,011,19,0,0,0,0,0,44,111,107,0,4,0,14653,11329,3353,0,38,0,44,14653,36,0,0,0,36,14617,11182,3246,0,34,0,44,111,0,111,6745
2010,Arlington County; Virginia,197467,98284,99183,11209,8019,7396,7028,17405,52611,31614,24945,11465,8487,9115,5232,2941,33.9,166571,161914,22124,17288,166571,82535,84036,17288,7413,9875,197467,190176,7291,190176,138579,16871,700,64,0,9,5,18768,4131,3245,2298,1080,1977,1958,51,013,4079,158,39,105,14,0,15100,7291,909,617,2485,264,197467,144813,18694,1738,21912,353,17552,197467,29359,4236,1563,640,22920,168108,126061,16668,416,18612,76,1817,4458,309,4149,102156
2010,Augusta County; Virginia,73201,37718,35483,3960,4049,4782,4621,3731,8057,10576,12032,5603,4723,6414,3596,1057,42.3,57438,54704,13654,11067,57438,29421,28017,11067,5160,5907,73201,72644,557,72644,68437,3077,140,23,0,0,0,334,179,0,0,0,110,24,51,015,21,37,0,0,0,37,619,557,131,213,102,0,73201,68994,3228,373,436,37,710,73201,1525,1040,153,43,289,71676,67615,3077,140,334,37,0,473,7,466,30768
2010,Bath County; Virginia,4779,2468,2311,184,258,246,191,243,309,813,875,308,330,520,434,68,47.0,3972,3852,1146,1022,3972,2024,1948,1022,493,529,4779,4779,0,4779,4573,172,0,0,0,0,0,34,0,0,0,0,0,0,51,017,34,0,0,0,0,0,0,0,0,0,0,0,4779,4573,172,0,34,0,0,4779,60,60,0,0,0,4719,4513,172,0,34,0,0,0,0,0,3113
2010,Bedford County; Virginia,67697,33585,34112,3415,4016,5068,4471,2896,6086,9866,11583,5599,4372,6257,3106,962,43.2,52268,50096,12583,10325,52268,25767,26501,10325,4872,5453,67697,66861,836,66861,62054,3798,137,20,0,13,0,604,70,156,61,0,125,53,51,019,139,10,0,0,0,10,258,836,343,234,111,50,67697,62797,4191,421,758,35,331,67697,1063,425,328,65,245,66634,61224,3784,126,604,10,102,784,21,763,31410
