year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2010,Adams County; Wisconsin,21044,11316,9728,863,964,1081,1093,856,2128,2564,3416,1726,1641,2884,1385,443,47.7,17416,16956,5787,4712,17416,9452,7964,4712,2341,2371,21044,20785,259,20785,19677,695,130,7,12,11,17,88,0,18,16,2,0,6,55,001,46,0,0,0,0,0,195,259,22,155,33,8,21044,19928,756,293,152,0,209,21044,713,388,93,55,177,20331,19244,630,126,78,0,10,243,0,243,17067
2010,Ashland County; Wisconsin,16212,8134,8078,988,1053,1014,1192,1161,1805,1929,2519,1212,725,1306,921,387,40.0,12450,11571,3043,2614,12450,6145,6305,2614,1182,1432,16212,15774,438,15774,13702,59,1774,0,1627,0,22,91,35,0,0,4,2,6,55,003,44,11,11,0,0,0,137,438,56,272,19,27,16212,14110,145,2073,110,11,201,16212,298,199,64,0,35,15914,13622,59,1713,91,11,35,383,21,362,9572
2010,Barron County; Wisconsin,45915,22901,23014,2810,2892,2742,2998,2465,4960,5763,7154,3460,2618,4064,2748,1241,42.2,35553,34019,9631,8053,35553,17525,18028,8053,3471,4582,45915,45210,705,45210,44055,420,288,0,153,0,3,236,0,76,35,44,29,6,55,005,46,3,0,3,0,0,208,705,82,384,48,6,45915,44754,562,701,285,3,370,45915,856,541,73,0,242,45059,43664,413,288,236,0,48,410,38,372,23420
2010,Bayfield County; Wisconsin,15114,7709,7405,669,735,898,839,581,1229,1811,2734,1362,1295,1762,837,362,48.2,12218,11899,3646,2961,12218,6202,6016,2961,1467,1494,15114,14721,393,14721,13197,71,1335,3,1166,3,6,63,9,4,0,8,5,13,55,007,24,0,0,0,0,0,55,393,35,304,19,3,15114,13578,121,1656,89,11,64,15114,150,114,2,0,34,14964,13119,71,1332,63,0,0,379,0,379,12842
2010,Brown County; Wisconsin,244376,120913,123463,16828,16945,17083,17759,17844,32609,34547,37121,15117,11066,13973,9357,4127,36.0,182737,171324,33417,27457,182737,89380,93357,27457,11517,15940,244376,239480,4896,239480,215971,4509,6389,56,647,69,16,6259,710,540,314,96,222,226,55,009,4151,149,0,20,0,129,6203,4896,1604,1094,602,238,244376,220250,6942,8307,7216,200,6923,244376,16321,13273,877,41,2130,228055,206945,4475,5950,6220,145,259,4061,100,3961,103238
2010,Buffalo County; Wisconsin,13744,6911,6833,797,666,1054,912,680,1359,1790,2252,1031,781,1262,856,304,42.8,10632,10142,2900,2422,10632,5368,5264,2422,1113,1309,13744,13652,92,13652,13350,7,112,2,16,6,2,4,1,0,3,0,0,0,55,011,0,0,0,0,0,0,179,92,13,37,23,0,13744,13437,25,150,31,1,193,13744,190,157,7,0,26,13554,13292,7,111,4,0,50,90,12,78,6631
2010,Burnett County; Wisconsin,15749,8019,7730,758,793,897,963,532,1296,1769,2584,1346,1211,2174,1051,375,48.4,12627,12308,4344,3600,12627,6334,6293,3600,1767,1833,15749,15521,228,15521,14562,120,689,0,536,0,24,92,22,12,0,38,3,4,55,013,13,12,8,0,0,4,46,228,15,171,5,20,15749,14770,156,880,98,24,50,15749,193,85,16,10,82,15556,14423,120,686,92,12,5,218,1,217,14417
2010,Calumet County; Wisconsin,47902,24037,23865,3299,3676,3811,3297,2113,5942,7579,7776,3097,1998,2776,1905,633,37.5,34862,33404,6507,5314,34862,17343,17519,5314,2390,2924,47902,47311,591,47311,45804,140,156,12,25,0,0,909,90,25,69,4,71,7,55,015,643,0,0,0,0,0,302,591,232,173,171,6,47902,46380,378,335,1089,0,311,47902,1517,1387,87,0,43,46385,44612,140,153,905,0,0,575,0,575,19419
2010,Chippewa County; Wisconsin,61466,31525,29941,3942,3894,4141,4204,3337,7527,8283,9802,3951,3516,4539,2831,1499,39.8,46693,44526,10757,8869,46693,23876,22817,8869,3927,4942,61466,60823,643,60823,58868,745,287,37,89,0,6,752,37,15,40,11,74,0,55,017,575,118,38,72,0,8,53,643,109,161,38,10,61466,59406,987,564,923,158,191,61466,771,544,157,35,35,60695,58370,732,287,706,118,10,472,21,451,26783
2010,Clark County; Wisconsin,34552,17518,17034,2914,2665,2816,2570,1787,3662,4152,4894,2017,1618,2560,1914,983,37.1,24502,23199,6419,5457,24502,12365,12137,5457,2424,3033,34552,34332,220,34332,33723,131,205,12,17,0,0,96,8,35,20,8,10,0,55,019,15,0,0,0,0,0,177,220,34,67,56,4,34552,33908,198,281,179,9,202,34552,1072,933,47,0,92,33480,32927,103,188,96,0,3,163,6,157,14912
