year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2011,Pima County; Arizona,974181,478589,495592,63210,60629,61976,70597,74751,126438,117399,131442,62583,56855,79206,49198,19897,37.5,749134,701099,181312,148301,749134,363461,385673,148301,66119,82182,974181,946537,27644,946537,757116,34836,30976,424,264,2512,190,25856,2566,7937,4597,1912,2246,3201,04,019,3397,1350,564,481,50,255,96403,27644,4180,5944,5646,1111,974181,780697,41952,40535,33486,2556,104581,974181,332417,302336,5260,1553,23268,641764,542627,32097,23507,24748,1301,1861,15623,779,14844,438892
2011,Maricopa County; Arizona,3798374,1882120,1916254,289815,279073,275091,272817,267808,549118,528320,495804,205840,182459,246531,150784,54914,34.4,2789641,2628524,554854,452229,2789641,1366445,1423196,452229,200064,252165,3798374,3700289,98085,3700289,3064635,185533,70179,1859,626,25735,1435,128943,28834,25245,24750,6671,10977,17927,04,013,14539,7566,2439,736,1167,3224,243433,98085,20669,16451,20439,2593,3798374,3149435,216838,94554,158198,13630,270538,3798374,1115360,1002852,19096,5866,87546,2683014,2245777,176642,59646,126573,7094,5644,61638,2917,58721,1620963
2011,Graham County; Arizona,36720,19614,17106,3054,2744,2819,3095,3280,4968,4606,4341,2086,1394,2351,1449,533,31.7,26312,24107,5097,4333,26312,14333,11979,4333,1948,2385,36720,35855,865,35855,26565,813,5210,7,0,341,47,187,0,55,61,0,0,26,04,009,45,105,26,40,0,39,2975,865,55,375,81,51,36720,27268,946,5749,279,166,3204,36720,11063,10125,30,20,888,25657,19273,767,5012,187,84,0,334,24,310,12809
2011,Santa Cruz County; Arizona,46727,22185,24542,3674,3724,4266,4230,2658,4821,5646,6315,2782,2585,3547,1736,743,35.0,32302,30336,7780,6026,32302,14846,17456,6026,2680,3346,46727,45736,991,45736,32110,263,274,0,0,86,0,317,39,17,4,0,68,25,04,023,164,12,12,0,0,0,12760,991,100,160,30,6,46727,33022,376,506,366,12,13455,46727,38446,36043,168,148,2087,8281,7472,137,154,317,12,49,140,74,66,17816
2011,La Paz County; Arizona,20521,10543,9978,1021,934,1043,835,815,1783,1783,2443,1216,1942,4209,1889,608,52.8,16887,16598,7862,6706,16887,8627,8260,6706,3565,3141,20521,20255,266,20255,14563,217,2548,48,0,234,7,156,0,4,57,0,3,0,04,012,92,18,9,0,0,9,2753,266,10,139,2,0,20521,14805,245,2718,169,18,2850,20521,4732,4564,45,5,118,15789,12878,214,2390,156,18,0,133,0,133,16041
2011,Mohave County; Arizona,200690,100828,99862,11330,10965,12269,11738,9493,18621,20865,28590,15129,16285,27608,13941,3856,46.8,158611,152546,55564,45405,158611,79214,79397,45405,22541,22864,200690,193218,7472,193218,180346,1998,3523,168,45,305,34,1975,230,473,329,294,151,183,04,015,315,292,84,52,156,0,5084,7472,646,4144,846,61,200690,187439,2942,7947,3307,868,6174,200690,29469,25541,518,102,3308,171221,159936,1771,2570,1958,210,74,4702,39,4663,109997
2011,Coconino County; Arizona,132978,65934,67044,9038,8683,8320,13436,16151,17626,15554,17891,8541,6101,7240,3258,1139,30.8,101177,89173,14939,11637,101177,49562,51615,11637,5339,6298,132978,129339,3639,129339,82239,1631,36006,117,26,31056,1,1928,380,526,275,225,232,152,04,005,138,155,52,29,0,74,7380,3639,475,1217,641,73,132978,85582,2286,37605,2795,385,8322,132978,17799,15764,465,93,1477,115179,73449,1551,35479,1888,145,187,2480,96,2384,62944
2011,Yavapai County; Arizona,210838,103458,107380,10647,10153,12696,11897,10342,18599,21026,30232,17778,18011,28104,15705,5648,48.6,170035,163121,60013,49457,170035,82379,87656,49457,23324,26133,210838,205561,5277,205561,191952,1135,4068,299,0,930,30,1515,89,244,552,162,122,21,04,025,325,105,18,36,25,26,6786,5277,618,1491,905,72,210838,196707,2033,6115,2905,525,8482,210838,28266,24239,649,113,3265,182572,173140,1043,3447,1485,105,197,3155,134,3021,109634
2011,Greenlee County; Arizona,8472,4439,4033,670,565,806,620,425,1151,1107,1175,604,358,534,404,53,35.0,6009,5776,1151,991,6009,3093,2916,991,450,541,8472,8202,270,8202,6995,55,156,11,0,94,0,47,0,0,18,0,0,0,04,011,29,13,13,0,0,0,936,270,37,120,10,0,8472,7265,92,276,57,13,1039,8472,3932,3502,0,5,425,4540,4093,55,135,47,13,30,167,0,167,4287
2011,Pinal County; Arizona,351709,184962,166747,28183,27514,23402,21087,19758,52382,48073,41675,20109,20213,31154,14544,3615,35.6,259524,247959,60671,49313,259524,137740,121784,49313,24010,25303,351709,340674,11035,340674,266371,15254,18923,177,87,2081,105,6001,875,523,2222,467,404,623,04,021,887,1424,1040,20,114,250,32701,11035,1908,1880,1338,500,351709,275132,18497,22041,8442,2553,36742,351709,101324,91814,1829,411,7270,250385,205003,14784,17715,5524,1350,795,5214,303,4911,155504
