year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2011,Pondera County; Montana,6165,3013,3152,363,489,390,441,280,632,669,979,424,357,519,462,160,42.4,4648,4442,1312,1141,4648,2265,2383,1141,523,618,6165,6114,51,6114,5108,40,963,0,0,0,8,0,0,0,0,0,0,0,30,073,0,0,0,0,0,0,3,51,0,40,0,6,6165,5153,51,1014,0,0,3,6165,100,95,0,0,5,6065,5042,40,932,0,0,0,51,0,51,2671
2011,Yellowstone County; Montana,146151,71299,74852,9920,9388,9532,9379,9594,19459,18250,22013,10490,7634,10439,7098,2955,38.4,111471,105712,25002,20492,111471,53723,57748,20492,8792,11700,146151,142951,3200,142951,132848,981,5642,35,392,0,510,1185,47,271,256,69,157,214,30,111,171,144,38,21,45,40,2151,3200,532,1501,357,31,146151,135921,1783,7387,1655,368,2536,146151,6814,5158,322,60,1274,139337,128833,810,5534,1077,144,155,2784,107,2677,63345
2011,Missoula County; Montana,108431,54569,53862,5994,6062,5923,8075,12753,16640,12694,14921,7064,6272,6572,3702,1759,34.0,86652,79796,15582,12033,86652,43206,43446,12033,5499,6534,108431,106116,2315,106116,101189,465,2799,150,178,0,102,1182,142,187,123,154,160,30,30,063,386,116,40,76,0,0,365,2315,295,1289,512,27,108431,103444,843,4157,1741,175,442,108431,2894,1569,208,106,1011,105537,98784,465,2719,1182,116,84,2187,17,2170,49608
2011,Ravalli County; Montana,40199,19945,20254,2162,2261,2860,2568,1664,3622,4660,6327,3061,3483,4344,2268,919,45.6,31210,29987,9547,7531,31210,15248,15962,7531,3650,3881,40199,39548,651,39548,38730,121,452,0,119,27,9,177,0,24,139,0,0,0,30,081,14,0,0,0,0,0,68,651,54,399,107,0,40199,39368,193,882,302,33,126,40199,1194,850,50,0,294,39005,37792,121,363,177,0,10,542,13,529,19319
2011,Valley County; Montana,7392,3633,3759,417,530,475,448,280,711,756,1162,461,643,757,590,162,45.8,5668,5494,1867,1509,5668,2799,2869,1509,695,814,7392,7293,99,7293,6456,8,810,0,109,0,195,9,2,4,0,0,3,0,30,105,0,3,0,0,0,3,7,99,0,82,17,0,7392,6555,8,892,26,3,7,7392,106,46,3,0,57,7286,6390,8,794,9,3,0,82,0,82,4870
2011,Cascade County; Montana,80931,40005,40926,5483,4697,5242,5455,6081,10301,9269,11877,5440,4603,6517,4384,1582,39.0,62237,58890,15193,12483,62237,30533,31704,12483,5567,6916,80931,77979,2952,77979,72616,1037,3518,193,699,64,41,381,0,16,148,46,80,0,30,013,91,2,0,2,0,0,425,2952,222,1494,623,41,80931,75448,1514,5220,1281,140,604,80931,2776,1941,172,82,581,78155,70847,946,3159,375,2,120,2706,12,2694,37116
2011,Fergus County; Montana,11516,5778,5738,635,513,708,731,428,1099,1181,1796,1119,763,1283,836,424,47.7,9209,8859,3011,2543,9209,4582,4627,2543,1161,1382,11516,11363,153,11363,11114,10,176,2,50,0,0,0,0,0,0,0,0,0,30,027,0,0,0,0,0,0,63,153,15,75,0,0,11516,11251,25,251,63,63,63,11516,165,152,0,0,13,11351,11012,10,176,0,0,0,153,0,153,5825
2011,Garfield County; Montana,1162,593,569,65,79,88,59,35,98,101,172,87,92,178,61,47,48.4,895,854,317,286,895,459,436,286,153,133,1162,1149,13,1149,1136,0,13,0,0,0,0,0,0,0,0,0,0,0,30,033,0,0,0,0,0,0,0,13,0,13,0,0,1162,1149,0,26,0,0,0,1162,5,1,0,0,4,1157,1131,0,13,0,0,0,13,0,13,864
2011,Mineral County; Montana,4193,2128,2065,230,179,281,219,214,322,413,670,440,326,554,271,74,49.0,3348,3243,1051,899,3348,1713,1635,899,467,432,4193,4178,15,4178,3996,46,76,0,3,0,1,53,0,0,3,4,46,0,30,061,0,0,0,0,0,0,7,15,0,3,4,0,4193,4011,46,79,57,0,15,4193,87,69,12,0,6,4106,3924,46,76,53,0,0,7,0,7,2411
2011,Petroleum County; Montana,568,298,270,38,22,59,29,12,57,61,102,47,33,62,46,0,45.7,420,420,138,108,420,239,181,108,50,58,568,546,22,546,494,42,0,0,0,0,0,0,0,0,0,0,0,0,30,069,0,0,0,0,0,0,10,22,0,22,0,0,568,516,42,22,0,0,10,568,20,18,2,0,0,548,482,34,0,0,0,10,22,0,22,346
