year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2011,Greene County; North Carolina,21323,11259,10064,1257,1558,1344,1349,1188,3107,3065,3177,1287,1140,1665,838,348,38.3,16372,15576,3472,2851,16372,8812,7560,2851,1080,1771,21323,20934,389,20934,10677,7894,263,11,0,0,0,24,0,2,0,12,0,0,37,079,10,0,0,0,0,0,2076,389,270,32,0,19,21323,11020,8225,335,24,2,2125,21323,2872,2753,13,22,84,18451,10136,7891,263,24,0,0,137,0,137,8160
2011,Mitchell County; North Carolina,15631,7657,7974,759,1037,643,902,890,1628,1932,2344,1130,1161,1780,1056,369,45.1,12604,12079,3895,3205,12604,6122,6482,3205,1408,1797,15631,15523,108,15523,15089,144,27,14,0,0,0,47,0,13,9,12,13,0,37,121,0,0,0,0,0,0,216,108,38,41,29,0,15631,15197,182,68,76,0,216,15631,584,517,31,0,36,15047,14737,144,27,47,0,0,92,0,92,8673
2011,Chowan County; North Carolina,14863,7043,7820,879,919,971,1149,754,1239,1647,2257,1161,1014,1564,812,497,43.7,11493,10750,3487,2873,11493,5335,6158,2873,1224,1649,14863,14820,43,14820,9160,5311,184,74,0,0,0,81,53,0,0,8,0,0,37,041,20,0,0,0,0,0,84,43,20,14,0,9,14863,9194,5340,207,81,0,84,14863,165,164,1,0,0,14698,9073,5311,184,81,0,6,43,0,43,7260
2011,Alleghany County; North Carolina,11106,5606,5500,549,682,563,621,623,972,1346,1668,939,816,1329,731,267,46.0,8925,8645,2816,2327,8925,4524,4401,2327,1030,1297,11106,10937,169,10937,10174,141,30,0,0,0,0,40,0,6,34,0,0,0,37,005,0,9,0,0,0,9,543,169,46,82,41,0,11106,10343,187,112,81,9,543,11106,923,732,57,113,21,10183,9825,141,20,38,0,44,115,0,115,7984
2011,Caldwell County; North Carolina,82464,40562,41902,4682,4771,5883,5569,4365,8635,12190,12751,5848,5259,7356,3838,1317,40.8,63673,60404,15653,12511,63673,31040,32633,12511,5388,7123,82464,81378,1086,81378,74135,3934,213,51,0,0,0,443,72,19,30,0,166,62,37,027,94,88,36,0,0,52,2565,1086,441,271,73,57,82464,75144,4486,541,516,244,2653,82464,3701,1569,434,399,1299,78763,73078,3852,157,443,88,113,1032,0,1032,37463
2011,Catawba County; North Carolina,153886,75450,78436,9746,10433,10296,10284,8610,18417,22462,22927,9869,9304,12052,6906,2580,39.2,116981,111311,26885,21538,116981,56519,60462,21538,9087,12451,153886,150671,3215,150671,126836,13058,495,123,0,0,34,4880,293,63,157,75,82,763,37,035,3447,59,15,31,0,13,5343,3215,1135,431,683,228,153886,129688,14649,1285,5686,84,5910,153886,12749,9163,512,110,2964,141137,120511,12671,365,4880,59,235,2416,82,2334,67691
2011,Cleveland County; North Carolina,97880,47010,50870,5830,6424,6486,7423,5797,10810,13349,14471,6508,6253,8279,4673,1577,40.3,74643,70032,18305,14529,74643,35198,39445,14529,6025,8504,97880,97102,778,97102,74665,20490,273,61,0,0,0,834,204,102,41,9,101,29,37,045,348,0,0,0,0,0,840,778,440,156,34,52,97880,75354,21023,495,873,3,919,97880,2736,2145,236,23,332,95144,72806,20425,273,827,0,114,699,0,699,43321
2011,Craven County; North Carolina,101576,50476,51100,7467,6752,5613,6518,9672,13063,11403,13597,5935,6172,8542,5183,1659,36.8,77810,73222,19118,15384,77810,38547,39263,15384,6766,8618,101576,98798,2778,98798,71067,22631,394,47,0,0,0,1905,375,256,198,261,283,127,37,049,405,119,61,58,0,0,2682,2778,875,367,440,221,101576,73364,23899,1255,2594,227,3177,101576,6032,3237,1199,152,1444,95544,68378,22406,377,1905,114,139,2225,33,2192,44720
2011,Edgecombe County; North Carolina,56232,26137,30095,3777,4059,3589,3993,3565,6304,6971,8535,4035,3404,4466,2635,899,39.5,42160,40152,10019,8000,42160,18832,23328,8000,3147,4853,56232,55754,478,55754,21897,32300,115,9,0,0,0,85,56,6,23,0,0,0,37,065,0,0,0,0,0,0,1357,478,102,200,14,73,56232,22290,32553,454,100,11,1368,56232,2061,1755,19,40,247,54171,21245,32222,24,85,0,122,473,11,462,24831
2011,Granville County; North Carolina,59032,31382,27650,3367,3826,3599,4190,3990,6665,9321,9589,3790,3454,4203,2449,589,39.3,45678,42285,9238,7241,45678,24399,21279,7241,3157,4084,59032,58037,995,58037,35314,19267,336,26,0,0,0,377,131,142,47,0,12,11,37,077,34,17,0,0,17,0,2726,995,540,120,52,75,59032,36156,19969,542,435,48,2903,59032,4306,3474,304,113,415,54726,34058,19102,276,363,17,57,853,43,810,22583
