year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2011,Aiken County; South Carolina,158253,76615,81638,9727,9662,10600,11066,9675,18975,19689,23965,11370,9493,13630,8048,2353,40.0,121696,115074,29561,24031,121696,57984,63712,24031,10614,13417,158253,155885,2368,155885,110509,39411,339,151,0,0,0,1122,123,348,331,26,71,174,45,003,49,59,0,59,0,0,4445,2368,660,890,440,42,158253,112742,40160,1300,1655,107,4673,158253,7444,4354,801,307,1982,150809,107723,39180,339,1103,39,279,2146,49,2097,71685
2011,Allendale County; South Carolina,10548,5720,4828,612,537,785,751,654,1466,1408,1540,663,747,784,420,181,37.8,8173,7749,1707,1385,8173,4377,3796,1385,592,793,10548,10516,32,10516,2548,7812,15,3,0,0,0,0,0,0,0,0,0,0,45,005,0,0,0,0,0,0,141,32,0,13,0,4,10548,2576,7831,32,0,15,141,10548,149,24,8,0,117,10399,2540,7812,15,0,0,0,32,0,32,4506
2011,Edgefield County; South Carolina,26782,14412,12370,1425,1647,1572,1824,1568,3478,3913,4243,1658,1998,2098,1032,326,40.2,21006,19827,4531,3456,21006,11483,9523,3456,1522,1934,26782,26522,260,26522,15796,10257,67,0,0,0,0,54,20,0,0,0,11,12,45,037,11,0,0,0,0,0,348,260,0,124,8,22,26782,15989,10306,250,72,18,454,26782,1315,944,106,9,256,25467,15023,10197,10,54,0,20,163,7,156,10487
2011,Chester County; South Carolina,33190,16003,17187,2105,1912,2531,2466,1867,3619,4428,5005,2569,1880,2792,1624,392,40.4,25055,23741,5816,4808,25055,11790,13265,4808,2011,2797,33190,32719,471,32719,19880,12503,204,7,0,0,0,101,0,51,13,0,34,0,45,023,3,7,0,7,0,0,24,471,248,31,59,9,33190,20268,12834,244,160,7,148,33190,496,249,63,0,184,32694,19664,12307,204,101,7,0,411,74,337,14727
2011,Colleton County; South Carolina,38833,18738,20095,2498,2297,3110,2796,2290,4111,4867,5633,2929,2423,3479,1732,668,40.0,29183,27563,7303,5879,29183,13845,15338,5879,2621,3258,38833,38691,142,38691,22638,15521,385,13,0,0,0,27,0,27,0,0,0,0,45,029,0,0,0,0,0,0,120,142,91,27,0,0,38833,22767,15622,412,40,3,131,38833,1077,991,75,0,11,37756,21618,15521,385,27,0,74,131,0,131,19810
2011,Marion County; South Carolina,33335,15427,17908,2250,1923,2376,2419,2044,3906,4046,4842,2482,2247,2790,1537,473,39.4,25283,23847,5969,4800,25283,11371,13912,4800,1882,2918,33335,33074,261,33074,13846,18752,29,0,0,0,0,100,0,100,0,0,0,0,45,067,0,0,0,0,0,0,347,261,175,38,8,2,33335,14105,18967,107,108,0,347,33335,817,659,21,50,87,32518,13447,18702,8,100,0,0,261,0,261,15006
2011,Lexington County; South Carolina,257756,125732,132024,17147,18041,17257,17189,16054,33602,36880,38910,16877,14696,18081,9353,3669,37.5,194335,184576,39691,31103,194335,93613,100722,31103,13450,17653,257756,253155,4601,253155,209828,36731,908,372,16,0,0,3480,932,970,336,104,234,164,45,063,740,116,10,86,20,0,2092,4601,1603,1118,826,149,257756,214007,38947,2410,4581,249,2541,257756,13484,8439,1059,341,3645,244272,199362,36219,895,3472,116,299,3909,49,3860,112422
2011,Oconee County; South Carolina,73629,36339,37290,4177,4247,4382,4538,4304,7964,9207,10371,5230,5595,8159,4329,1126,42.8,58039,55354,16854,13614,58039,28277,29762,13614,6249,7365,73629,72532,1097,72532,65731,5667,129,10,0,0,3,323,69,200,31,13,5,5,45,073,0,0,0,0,0,0,682,1097,400,306,79,33,73629,66728,6100,492,542,105,832,73629,3182,2394,344,93,351,70447,63406,5666,121,323,0,11,920,58,862,38251
2011,Berkeley County; South Carolina,174679,87191,87488,12764,12418,11560,12789,13348,25831,24934,24397,10282,9155,11023,4814,1364,34.4,130515,122381,22016,17201,130515,64719,65796,17201,7689,9512,174679,170589,4090,170589,117276,44236,895,162,0,0,0,4213,376,515,2169,156,246,584,45,015,167,174,53,33,29,59,3795,4090,1361,805,786,247,174679,120743,46373,2301,5284,195,4201,174679,9966,5437,2187,201,2141,164713,111895,43455,829,4145,174,551,3664,192,3472,72028
2011,Charleston County; South Carolina,346981,168211,178770,22737,20141,18386,22846,31084,54479,43839,47968,21953,19905,24093,14013,5537,35.8,273989,255985,54483,43643,273989,131065,142924,43643,18475,25168,346981,342288,4693,342288,225940,105285,996,269,15,0,20,4352,818,1062,1091,238,350,367,45,019,426,266,128,22,0,116,5449,4693,1286,814,950,502,346981,229255,107443,2503,6037,748,5858,346981,17691,11684,1806,477,3724,329290,215060,104327,801,4248,266,310,4278,173,4105,168768
