year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2012,Nevada County; Arkansas,9003,4456,4547,567,500,691,659,399,1025,1071,1249,657,559,960,577,89,39.6,6813,6396,1957,1626,6813,3254,3559,1626,720,906,9003,8924,79,8924,6034,2857,33,17,0,0,16,0,0,0,0,0,0,0,05,099,0,0,0,0,0,0,0,79,19,31,0,0,9003,6113,2905,64,0,0,29,9003,238,231,4,3,0,8765,5799,2854,33,0,0,0,79,0,79,4618
2012,Cross County; Arkansas,17891,8557,9334,1144,1235,1258,1384,844,1981,2353,2629,1180,1102,1538,895,348,39.4,13383,12729,3433,2781,13383,6329,7054,2781,1185,1596,17891,17647,244,17647,13350,4123,47,23,0,0,0,110,0,67,2,0,0,41,05,037,0,0,0,0,0,0,17,244,162,63,0,17,17891,13577,4302,127,110,0,19,17891,110,101,0,0,9,17781,13271,4114,42,110,0,0,244,2,242,7876
2012,Dallas County; Arkansas,8122,4125,3997,407,699,576,520,409,716,999,1147,632,530,738,571,178,42.9,6122,5817,1717,1487,6122,2923,3199,1487,622,865,8122,8122,0,8122,4504,3495,6,6,0,0,0,41,0,0,0,0,0,0,05,039,41,0,0,0,0,0,76,0,0,0,0,0,8122,4504,3495,6,41,0,76,8122,192,192,0,0,0,7930,4388,3495,6,41,0,0,0,0,0,4317
2012,Columbia County; Arkansas,24644,11782,12862,1434,1517,1558,2283,2488,2674,2757,3162,1443,1398,2024,1388,518,36.1,19101,17065,4705,3930,19101,8968,10133,3930,1591,2339,24644,24231,413,24231,14864,9072,48,6,0,0,0,206,34,37,0,0,0,16,05,027,119,4,0,0,0,4,37,413,31,90,0,0,24644,14988,9371,165,206,4,326,24644,551,495,0,0,56,24093,14627,9072,38,206,4,22,124,0,124,11617
2012,Saline County; Arkansas,107498,53147,54351,6739,7973,6965,6455,5942,13588,15071,15245,6680,6409,9966,5126,1339,38.7,81461,78266,20012,16431,81461,39665,41796,16431,7575,8856,107498,106051,1447,106051,98384,5011,602,453,0,0,20,982,57,235,57,254,80,91,05,125,208,24,6,18,0,0,1048,1447,336,533,160,7,107498,99784,5552,1280,1215,84,1246,107498,4028,2704,421,23,880,103470,95467,5009,602,982,24,148,1238,20,1218,44877
2012,Van Buren County; Arkansas,17223,8528,8695,853,1164,851,1084,863,1554,1961,2518,1164,1269,2112,1234,596,46.5,13671,13002,4666,3942,13671,6694,6977,3942,1862,2080,17223,17018,205,17018,16554,173,163,145,0,0,0,11,0,0,11,0,0,0,05,141,0,0,0,0,0,0,117,205,5,132,50,0,17223,16752,178,295,79,18,117,17223,467,453,0,14,0,16756,16203,154,163,11,0,20,205,0,205,10315
2012,Izard County; Arkansas,13614,7040,6574,630,797,621,777,625,1376,1535,1952,1057,1040,1845,1061,298,47.3,11059,10670,3772,3204,11059,5684,5375,3204,1514,1690,13614,13333,281,13333,13053,163,24,8,0,0,0,27,0,0,21,0,0,0,05,065,6,49,0,0,0,49,17,281,74,153,0,31,13614,13296,275,208,27,49,40,13614,207,146,31,0,30,13407,12908,163,24,27,49,0,236,9,227,7216
2012,Independence County; Arkansas,36572,18018,18554,2477,2562,2352,2472,2096,4562,4628,5121,2437,2126,3126,1846,767,38.0,27766,26091,6820,5739,27766,13367,14399,5739,2417,3322,36572,36142,430,36142,34681,996,237,138,0,0,0,34,0,0,3,0,23,0,05,063,8,18,0,0,18,0,176,430,232,135,0,0,36572,35094,1248,409,42,44,193,36572,2089,1840,41,0,208,34483,32854,939,221,34,18,4,413,0,413,16158
2012,Lincoln County; Arkansas,14167,8628,5539,731,764,771,926,1159,2179,2165,2146,845,727,941,611,202,37.7,11409,10779,2226,1754,11409,7183,4226,1754,770,984,14167,13909,258,13909,9410,4182,27,0,0,0,0,0,0,0,0,0,0,0,05,079,0,0,0,0,0,0,290,258,175,60,0,6,14167,9652,4373,93,10,0,297,14167,458,334,17,93,14,13709,9258,4173,27,0,0,0,251,0,251,4875
2012,Logan County; Arkansas,22352,11150,11202,1403,1471,1601,1650,1082,2317,2655,3273,1431,1451,2331,1169,518,41.7,16876,15968,4758,4018,16876,8330,8546,4018,1783,2235,22352,22029,323,22029,20969,308,234,87,0,0,0,407,47,0,71,0,10,0,05,083,279,0,0,0,0,0,111,323,95,196,8,1,22352,21291,404,431,415,0,134,22352,527,453,14,4,56,21825,20579,289,227,407,0,26,297,0,297,10119
