year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2012,Ford County; Illinois,14045,6819,7226,812,1017,909,901,656,1530,1686,2163,937,765,1221,912,536,42.5,10715,10270,3135,2669,10715,5110,5605,2669,1055,1614,14045,13890,155,13890,13705,75,25,23,0,0,0,28,0,0,0,21,0,7,17,053,0,0,0,0,0,0,57,155,30,46,66,0,14045,13857,108,71,94,0,70,14045,319,193,28,29,69,13726,13453,75,25,28,0,3,142,0,142,6265
2012,Jo Daviess County; Illinois,22663,11371,11292,1178,1208,1419,1295,998,2103,2483,3370,2010,1716,2727,1641,515,47.2,17997,17273,5904,4883,17997,8885,9112,4883,2267,2616,22663,22505,158,22505,21981,114,70,0,0,0,0,100,37,17,29,9,8,0,17,085,0,6,0,0,0,6,234,158,57,31,6,0,22663,22128,185,101,121,10,289,22663,628,560,4,9,55,22035,21636,114,62,100,4,0,119,14,105,13560
2012,Kendall County; Illinois,114226,56847,57379,9874,10458,9897,7860,5428,17409,20206,14621,5680,4645,4972,2436,740,33.0,78693,75032,10716,8148,78693,38383,40310,8148,3650,4498,114226,111078,3148,111078,96523,6223,310,0,9,0,0,3527,1250,253,798,113,141,294,17,093,678,0,0,0,0,0,4495,3148,962,530,561,0,114226,99175,7619,1045,4223,66,5402,114226,18090,13629,1910,410,2141,96136,84645,5977,32,3390,0,73,2019,110,1909,40002
2012,Lawrence County; Illinois,16778,10497,6281,875,117,95,189,1701,3708,2814,2639,998,953,1340,956,393,40.8,15622,15296,3240,2689,15622,9914,5708,2689,1131,1558,16778,16526,252,16526,12524,3662,34,0,0,0,0,23,9,3,3,0,0,0,17,101,8,56,0,0,0,56,227,252,43,3,0,12,16778,12613,3776,143,35,68,396,16778,835,574,99,12,150,15943,12063,3635,28,23,33,16,145,75,70,6889
2012,Marion County; Illinois,39319,19154,20165,2538,2442,2498,2759,2203,4421,4585,5816,2557,2667,3510,2188,1135,41.4,30093,28578,8392,6833,30093,14478,15615,6833,2948,3885,39319,38327,992,38327,36672,1283,52,11,5,13,0,217,97,26,60,0,34,0,17,121,0,3,3,0,0,0,100,992,560,175,81,0,39319,37660,1904,294,300,3,217,39319,567,431,16,44,76,38752,36317,1275,48,217,3,11,881,19,862,18313
2012,Mason County; Illinois,14636,7190,7446,732,882,962,924,725,1471,1829,2234,932,1133,1424,1037,351,44.3,11463,11000,3381,2812,11463,5605,5858,2812,1239,1573,14636,14593,43,14593,14366,135,20,20,0,0,0,51,0,0,10,12,22,7,17,125,0,21,21,0,0,0,0,43,13,9,15,0,14636,14409,154,29,72,21,0,14636,120,88,0,17,15,14516,14257,135,20,51,21,0,32,0,32,7075
2012,Iroquois County; Illinois,29689,14574,15115,1659,1866,2075,2043,1418,2997,3470,4540,1910,2012,2901,1777,1021,43.2,22733,21802,6755,5699,22733,10965,11768,5699,2470,3229,29689,29418,271,29418,28543,337,59,0,0,0,0,150,14,9,41,0,12,0,17,075,74,0,0,0,0,0,329,271,58,121,15,4,29689,28808,401,184,165,2,400,29689,1645,1470,62,15,98,28044,27339,320,38,150,0,15,182,9,173,13460
2012,Clay County; Illinois,13828,6753,7075,880,925,848,903,712,1478,1651,2038,988,919,1233,924,329,42.5,10607,10001,3059,2486,10607,5115,5492,2486,1027,1459,13828,13699,129,13699,13459,86,64,2,0,0,0,62,0,33,8,21,0,0,17,025,0,0,0,0,0,0,28,129,96,6,27,0,13828,13588,182,70,89,0,28,13828,61,53,6,0,2,13767,13404,86,64,62,0,22,129,0,129,6403
2012,Gallatin County; Illinois,5592,2717,2875,356,296,306,313,303,572,652,781,421,416,680,386,110,45.0,4425,4229,1377,1176,4425,2140,2285,1176,530,646,5592,5498,94,5498,5430,23,21,0,0,0,0,12,0,0,0,0,12,0,17,059,0,0,0,0,0,0,12,94,18,33,43,0,5592,5524,41,54,55,0,12,5592,21,18,2,1,0,5571,5422,23,21,12,0,0,93,0,93,2765
2012,Monroe County; Illinois,33003,16286,16717,1980,1929,2744,2195,1566,3684,4472,5655,2305,1767,2400,1436,870,40.5,24943,23903,5703,4706,24943,12103,12840,4706,2002,2704,33003,32699,304,32699,32401,75,22,0,0,0,0,155,48,0,34,6,0,7,17,133,60,30,30,0,0,0,16,304,67,138,81,0,33003,32705,142,160,236,30,34,33003,456,298,18,0,140,32547,32041,73,22,95,30,0,286,0,286,13396
