year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2012,Churchill County; Nevada,24779,12354,12425,1699,1795,1664,1653,1569,2913,2869,3574,1500,1647,2274,1262,360,39.2,18556,17619,4921,3896,18556,9246,9310,3896,1857,2039,24779,24001,778,24001,20441,447,1249,0,0,32,127,785,160,46,518,15,8,0,32,001,38,60,56,0,0,4,1019,778,72,176,105,6,24779,21173,604,1466,998,142,1297,24779,3037,2183,278,52,524,21742,18837,411,1123,785,60,65,461,0,461,10819
2012,Douglas County; Nevada,47056,23565,23491,2235,2961,2498,2779,1996,4141,5302,7474,3916,4043,5813,3034,864,47.3,37592,36211,12061,9711,37592,18620,18972,9711,4842,4869,47056,45423,1633,45423,42561,190,1009,0,4,120,12,501,47,107,82,103,91,14,32,005,57,87,22,1,54,10,1075,1633,208,561,625,6,47056,44078,471,1611,1293,171,1131,47056,5127,3493,279,55,1300,41929,39071,189,689,452,87,65,1376,19,1357,23664
2012,Pershing County; Nevada,6707,4371,2336,320,403,289,370,340,932,1221,1147,432,385,582,238,48,39.9,5422,5300,1117,868,5422,3639,1783,868,489,379,6707,6479,228,6479,5732,282,193,8,0,0,0,30,0,13,3,10,0,0,32,027,4,5,0,0,1,4,237,228,40,130,11,5,6707,5936,337,334,65,24,263,6707,1508,1275,70,17,146,5199,4547,277,180,30,5,0,160,0,160,2456
2012,Eureka County; Nevada,1809,942,867,124,120,152,143,52,282,202,241,89,116,216,62,10,38.5,1334,1251,397,288,1334,695,639,288,156,132,1809,1798,11,1798,1672,11,70,17,0,0,0,0,0,0,0,0,0,0,32,011,0,6,0,0,6,0,39,11,0,0,0,0,1809,1672,11,70,0,17,50,1809,121,75,1,0,45,1688,1601,11,70,0,6,0,0,0,0,1063
2012,Humboldt County; Nevada,16511,8608,7903,1248,1231,1281,1157,991,2066,2104,2662,1191,993,987,459,141,36.6,11993,11456,2172,1587,11993,6329,5664,1587,806,781,16511,16203,308,16203,14539,51,908,45,0,4,4,126,73,0,34,6,3,0,32,013,10,6,5,0,0,1,573,308,59,140,40,0,16511,14832,140,1078,204,44,574,16511,4018,3758,31,110,119,12493,11386,44,760,126,6,0,171,0,171,7119
2012,White Pine County; Nevada,9967,5340,4627,619,481,593,954,402,1077,1339,1591,755,679,803,500,174,42.0,7843,7238,1915,1477,7843,4339,3504,1477,776,701,9967,9765,202,9765,8577,242,766,3,0,10,12,39,0,7,9,4,13,2,32,033,4,16,13,1,0,2,125,202,38,81,52,1,9967,8763,288,856,104,29,138,9967,1316,1178,49,11,78,8651,7597,236,599,39,16,0,164,3,161,4495
2012,Elko County; Nevada,49133,25637,23496,4076,3818,3905,3828,3384,6620,6492,7317,2939,2580,2635,1102,437,33.4,34890,32621,5685,4174,34890,18189,16701,4174,2126,2048,49133,48343,790,48343,43614,501,2658,43,62,51,17,500,10,160,210,40,18,0,32,007,62,78,54,13,0,11,992,790,91,215,178,82,49133,44228,686,3026,766,81,1152,49133,11299,10321,27,37,914,37834,33846,431,2415,490,78,42,532,0,532,19624
2012,Nye County; Nevada,43801,22208,21593,2052,2347,2829,2450,2040,3269,4815,6483,3165,3879,6778,2972,722,48.8,34886,33782,13078,10472,34886,17549,17337,10472,5397,5075,43801,43060,741,43060,39416,1027,920,128,44,0,20,621,0,155,327,10,12,31,32,023,86,122,40,0,0,82,954,741,160,246,188,65,43801,40038,1271,1241,854,148,1000,43801,5983,5010,179,275,519,37818,34455,1022,902,621,122,64,632,28,604,21974
2012,Storey County; Nevada,4010,2023,1987,159,122,191,281,62,206,508,668,485,617,473,219,19,52.8,3353,3252,1126,711,3353,1728,1625,711,389,322,4010,3886,124,3886,3783,15,54,6,0,0,0,19,0,0,18,0,1,0,32,029,0,10,7,0,0,3,5,124,11,108,0,1,4010,3903,27,166,19,13,6,4010,106,72,0,0,34,3904,3682,15,54,19,10,1,123,0,123,2007
2012,Clark County; Nevada,1954773,984265,970508,139442,137193,130969,128946,130776,295498,288242,263658,113209,103016,137192,66040,20592,35.5,1466837,1391575,283268,223824,1466837,734840,731997,223824,104643,119181,1954773,1873311,81462,1873311,1337840,203875,11640,706,379,1699,307,169472,6751,27610,89898,8938,11028,8215,32,003,17032,13250,4977,3399,2885,1989,137234,81462,16397,8934,19934,2438,1954773,1402887,231287,27218,205821,26494,152045,1954773,569262,437506,17544,19229,94983,1385511,937276,197266,8689,167168,12721,3746,58645,2064,56581,838894
