year,county_name,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_male,sex_and_age_female,sex_and_age_65_years_and_over,sex_and_age_male,sex_and_age_female,race_total_population,race_one_race,race_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino,total_housing_units
2012,Cheshire County; New Hampshire,77106,37537,39569,3744,3983,4468,7102,6298,7868,9286,12025,5465,5385,6221,3699,1562,41.1,62003,55638,14615,11482,62003,29879,32124,11482,5112,6370,77106,76129,977,76129,74213,450,242,43,9,0,0,963,216,219,209,37,126,0,33,005,156,0,0,0,0,0,261,977,196,320,269,0,77106,75176,717,588,1232,0,427,77106,1119,355,409,4,351,75987,73500,429,234,963,0,32,829,61,768,34700
2012,Grafton County; New Hampshire,88985,43977,45008,4070,4206,4914,7231,8484,9572,10211,13635,6956,5803,7471,4670,1762,41.2,72691,66131,17285,13903,72691,35621,37070,13903,6353,7550,88985,87433,1552,87433,83441,859,275,25,0,4,0,2588,726,893,177,85,461,0,33,009,246,6,6,0,0,0,264,1552,243,551,542,5,88985,84890,1223,937,3162,17,386,88985,1641,447,556,59,579,87344,82191,785,270,2588,6,54,1450,38,1412,50998
2012,Rockingham County; New Hampshire,295872,146191,149681,15029,18300,20478,19945,15259,29634,43159,54832,22439,18801,21671,11729,4596,42.3,228825,219262,48515,37996,228825,112070,116755,37996,16960,21036,295872,292017,3855,292017,283117,2284,335,25,0,17,0,5134,1268,1311,374,91,602,378,33,015,1110,37,0,28,9,0,1110,3855,699,1186,1224,68,295872,286812,3354,1768,6498,105,1469,295872,6349,994,1600,784,2971,289523,278258,2042,327,5109,37,215,3535,111,3424,126644
2012,Sullivan County; New Hampshire,43534,21444,22090,2214,2241,2875,2658,2113,4503,5712,7289,3492,3189,4023,2378,847,44.2,34466,33245,8989,7248,34466,16795,17671,7248,3261,3987,43534,42824,710,42824,42140,156,73,0,0,0,5,253,0,78,67,5,89,0,33,019,14,14,0,14,0,0,188,710,120,337,124,0,43534,42850,289,423,408,70,248,43534,505,248,24,11,222,43029,41834,156,62,251,14,83,629,34,595,22288
2012,Hillsborough County; New Hampshire,401101,198575,202526,23656,25390,27189,27840,24110,49524,57702,67838,26951,22673,26124,15439,6665,39.2,307445,291268,61314,48228,307445,150590,156855,48228,20773,27455,401101,394139,6962,394139,366151,8321,635,27,6,0,0,13390,5065,2533,663,331,619,1788,33,011,2391,120,24,9,12,75,5522,6962,1784,1834,1624,121,401101,372477,10717,3038,15478,344,6529,401101,21391,6143,6488,504,8256,379710,351250,7750,454,13368,120,827,5941,374,5567,165960
2012,Coos County; New Hampshire,32872,16704,16168,1390,1575,1932,1924,1503,3168,4170,5506,2973,2319,3334,2067,1011,46.6,26690,25780,7721,6412,26690,13482,13208,6412,2906,3506,32872,32413,459,32413,31875,195,128,0,0,3,0,123,16,53,31,0,0,23,33,007,0,0,0,0,0,0,92,459,41,226,126,0,32872,32328,249,357,259,2,143,32872,398,83,150,47,118,32474,31596,186,117,123,0,42,410,16,394,21240
2012,Carroll County; New Hampshire,47761,23783,23978,1990,2221,2874,2651,1918,4036,5519,8300,3617,4684,5597,2916,1438,48.2,38938,37617,12628,9951,38938,19195,19743,9951,4755,5196,47761,47103,658,47103,46531,63,190,0,0,17,0,250,61,51,0,0,27,0,33,003,111,0,0,0,0,0,69,658,130,272,130,0,47761,47189,276,545,380,41,75,47761,498,81,185,5,227,47263,46207,63,190,250,0,7,546,2,544,39778
2012,Merrimack County; New Hampshire,146742,72352,74390,7555,8610,9403,10579,8988,16141,19919,24929,11670,8632,10782,6453,3081,41.5,114963,108302,24931,20316,114963,55916,59047,20316,8753,11563,146742,144555,2187,144555,140170,1517,248,6,10,8,2,2249,470,310,100,60,241,84,33,013,984,26,11,9,0,6,345,2187,494,934,499,39,146742,142235,2159,1262,2862,91,428,146742,2408,525,1023,71,789,144334,138263,1485,144,2243,26,200,1973,24,1949,63397
2012,Belknap County; New Hampshire,60206,29442,30764,3008,3412,3580,3917,2811,6208,7545,10043,4783,4773,5559,3173,1394,44.5,47656,45638,12920,10126,47656,23100,24556,10126,4682,5444,60206,59365,841,59365,58087,396,81,2,0,0,0,680,29,171,58,26,51,65,33,001,280,0,0,0,0,0,121,841,135,389,175,0,60206,58921,533,487,876,21,242,60206,770,197,363,16,194,59436,57506,349,81,680,0,63,757,75,682,37312
2012,Strafford County; New Hampshire,123295,60043,63252,6716,6915,7144,10863,12860,14616,15986,19010,8294,6050,7978,5154,1709,36.7,98062,87567,18114,14841,98062,46975,51087,14841,6404,8437,123295,120849,2446,120849,115715,1098,263,23,4,0,0,3054,852,559,236,74,103,160,33,017,1070,0,0,0,0,0,719,2446,639,683,470,56,123295,117872,2008,1136,3947,199,884,123295,2276,499,588,31,1158,121019,114270,1044,160,3019,0,180,2346,86,2260,51678
