year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2013,San Diego County; California,3138265,1576095,1562170,206703,197944,194827,220033,272269,485980,422098,428123,186943,155399,194276,116433,57237,34.8,2413469,2260907,456979,367946,2413469,1204728,1208741,367946,160606,207340,3138265,2992095,146170,2992095,2241045,158843,21795,1214,350,601,272,348951,26359,53880,147798,18961,18775,50319,06,073,32859,14411,2500,4530,5005,2376,207050,146170,17129,23107,49506,2296,3138265,2365091,193791,55058,417978,27706,237244,3138265,1015362,909622,19859,6201,79680,2122903,1505595,150348,11081,342729,13343,4894,94913,4049,90864,1169496
2013,Tulare County; California,446644,224021,222623,41011,39373,39894,38214,33744,62616,55019,52280,22453,18738,24177,13407,5718,29.9,302699,280958,53952,43302,302699,150500,152199,43302,19362,23940,446644,431169,15475,431169,359118,7503,5856,512,11,234,74,14965,1016,1368,4973,610,534,824,06,107,5640,482,162,34,23,263,43245,15475,1792,4280,2098,139,446644,372559,10048,11460,19144,2100,48249,446644,273533,264505,1090,253,7685,173111,142669,5765,3048,14264,412,415,6538,278,6260,142926
2013,Yolo County; California,202288,98679,103609,12225,12867,12119,18732,28737,27770,23820,24640,10952,9622,11418,6368,3018,30.7,156980,138793,26296,20804,156980,75413,81567,20804,9071,11733,202288,190390,11898,190390,134753,5145,2323,146,8,80,161,26103,3422,9226,3139,1341,1865,2032,06,113,5078,1176,155,311,158,552,20890,11898,1056,1734,3655,166,202288,144679,7732,5250,31797,2543,24032,202288,62047,53634,857,368,7188,140241,99870,4534,1098,25654,1029,540,7516,339,7177,75348
2013,Humboldt County; California,134613,67457,67156,7464,7293,7239,9629,12474,19293,15368,17755,10930,8759,10361,5600,2448,37.5,107935,99808,23205,18409,107935,53816,54119,18409,8237,10172,134613,127739,6874,127739,111409,1632,7625,470,58,77,90,3073,238,708,700,146,93,205,06,023,983,465,118,37,186,124,3535,6874,611,3055,1345,11,134613,117942,2510,10964,4765,717,4937,134613,13584,11304,261,71,1948,121029,103483,1552,7260,3070,465,215,4984,138,4846,61769
2013,Nevada County; California,98509,48894,49615,4238,5111,5365,5925,4584,9340,10406,15082,9055,9206,11487,5932,2778,48.5,80047,76750,25795,20197,80047,39178,40869,20197,9385,10812,98509,95731,2778,95731,91072,412,859,246,30,29,43,1470,130,604,100,124,111,278,06,057,123,156,80,27,30,19,1762,2778,275,1117,495,0,98509,93654,822,2241,2121,388,2324,98509,8598,6828,283,162,1325,89911,84987,329,796,1439,108,70,2182,95,2087,52662
2013,Alpine County; California,1165,708,457,43,112,42,90,64,83,162,115,142,86,113,113,0,44.3,911,858,280,226,911,541,370,226,141,85,1165,1137,28,1137,848,7,204,12,0,0,5,17,0,15,2,0,0,0,06,003,0,27,0,0,27,0,34,28,0,3,0,0,1165,868,10,220,33,27,43,1165,87,36,6,0,45,1078,823,7,200,17,27,0,4,0,4,1835
2013,Madera County; California,151435,73133,78302,11960,11992,11759,11697,11165,20832,18904,19013,8197,7978,10403,5559,1976,33.2,108566,101731,22381,17938,108566,51378,57188,17938,8397,9541,151435,146468,4967,146468,123945,5114,2635,446,10,26,24,3119,1307,245,626,181,57,65,06,039,638,666,66,19,65,516,10989,4967,575,1512,512,291,151435,128265,6147,4744,3842,911,12673,151435,82456,78747,525,31,3153,68979,56775,4641,1687,2942,625,105,2204,225,1979,49329
2013,Mendocino County; California,87497,43906,43591,5136,5108,5540,5529,4865,10382,10322,11886,6936,7244,8316,4252,1981,41.8,68321,65221,18938,14549,68321,33947,34374,14549,6725,7824,87497,84087,3410,84087,71752,636,3906,89,25,11,57,1531,246,308,394,186,34,115,06,045,248,182,74,3,51,54,6080,3410,341,1526,393,89,87497,74866,1325,5862,2139,333,6720,87497,19856,18101,92,67,1596,67641,59274,591,3015,1521,180,320,2740,99,2641,40434
2013,Santa Cruz County; California,264808,131850,132958,15122,14997,15329,22319,26383,32694,32872,37404,20055,16629,17495,8911,4598,36.9,209594,191023,39566,31004,209594,103563,106031,31004,13576,17428,264808,253769,11039,253769,215390,2599,1481,51,31,17,45,11361,1210,2994,3133,1459,849,655,06,087,1061,339,36,90,5,208,22599,11039,1114,2365,3161,46,264808,225305,4440,4954,16132,1248,25115,264808,85703,78426,469,384,6424,179105,156844,2488,733,10839,334,243,7624,461,7163,104613
2013,Trinity County; California,13638,6968,6670,615,634,794,613,563,1326,1415,2116,1414,1238,1740,780,390,49.8,11171,10914,3657,2910,11171,5785,5386,2910,1562,1348,13638,12744,894,12744,12003,127,273,45,0,14,0,167,5,16,22,0,7,1,06,105,116,31,4,27,0,0,143,894,12,842,18,0,13638,12896,146,1121,186,31,158,13638,957,790,29,0,138,12681,11337,127,254,161,31,38,733,0,733,8705
