year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2013,Escambia County; Florida,300795,149023,151772,18685,17204,17417,23199,26689,39171,33886,42124,19962,17964,24684,14143,5667,37.4,236746,218083,55406,44494,236746,116350,120396,44494,19265,25229,300795,288423,12372,288423,208609,66610,1638,304,28,11,50,8388,887,1039,3263,401,542,1241,12,033,1015,544,45,178,18,303,2634,12372,4151,2926,2412,496,300795,219437,72326,5388,11894,860,3841,300795,14856,5877,3850,1394,3735,285939,198578,65892,1476,8226,518,328,10921,317,10604,137196
2013,Hernando County; Florida,173119,82934,90185,8060,10139,9129,10024,8113,15498,18792,23251,11895,12752,23980,15658,5828,48.0,139399,133553,53447,45466,139399,65613,73786,45466,20972,24494,173119,170070,3049,170070,155440,9170,565,63,76,13,100,1816,446,184,349,9,247,172,12,053,409,95,10,10,0,75,2984,3049,743,769,553,17,173119,158147,10170,1681,2805,278,3516,173119,18416,2491,10052,1781,4092,154703,141128,8587,292,1768,95,311,2522,72,2450,84316
2013,Hillsborough County; Florida,1257913,613671,644242,81752,79563,84464,86382,93159,180841,175560,180788,77581,65278,84107,48821,19617,36.3,961077,906138,190420,152545,961077,461567,499510,152545,65821,86724,1257913,1221891,36022,1221891,913889,212004,6677,402,41,19,123,43742,16275,5246,5262,629,2936,7647,12,057,5747,948,474,179,39,256,44631,36022,10624,5163,7126,978,1257913,943724,228859,14391,54051,2589,52867,1257913,317679,60555,97914,74162,85048,940234,667570,198292,1835,43339,788,3825,24585,1493,23092,539526
2013,Okaloosa County; Florida,185852,93520,92332,12313,11385,10663,11751,14519,26918,21849,27946,12010,10351,14576,8600,2971,37.4,144368,136674,32332,26147,144368,72502,71866,26147,11668,14479,185852,177732,8120,177732,149824,16841,1097,236,29,0,21,5825,219,558,2036,533,637,886,12,091,956,133,18,58,11,46,4012,8120,2003,1109,2076,242,185852,156397,20630,3285,8959,624,5329,185852,13839,4335,2949,1069,5486,172013,141757,16261,1004,5688,108,440,6755,168,6587,92965
2013,Taylor County; Florida,22660,12770,9890,1388,1079,1203,1172,1448,3228,2938,3262,1542,1640,2316,1069,375,41.4,18266,17426,4788,3760,18266,10396,7870,3760,1689,2071,22660,22307,353,22307,17133,4862,165,1,0,0,0,57,11,13,0,0,5,11,12,123,17,26,0,0,0,26,64,353,166,172,0,0,22660,17471,5043,337,72,26,64,22660,831,216,174,252,189,21829,16486,4757,165,57,26,0,338,0,338,10914
2013,Wakulla County; Florida,30824,16894,13930,1778,1423,2380,1800,1839,4207,4778,4983,2255,1912,2196,982,291,39.6,24098,22985,4660,3469,24098,13402,10696,3469,1700,1769,30824,30359,465,30359,25312,4632,131,7,0,6,37,125,106,0,9,10,0,0,12,129,0,0,0,0,0,0,159,465,152,231,45,0,30824,25740,4821,362,192,0,174,30824,1051,288,239,302,222,29773,24482,4570,131,125,0,0,465,15,450,12779
2013,Duval County; Florida,872598,423201,449397,59930,55844,54591,56116,66805,132602,116025,126358,55602,47842,56925,30526,13432,35.8,669269,632411,128422,100883,669269,319723,349546,100883,42057,58826,872598,846348,26250,846348,539304,256737,2620,381,244,10,53,36784,7021,3325,13981,784,1639,4561,12,031,5473,809,249,185,88,287,10094,26250,8678,3425,6382,696,872598,561545,269802,7691,45740,1931,13825,872598,68646,14764,22464,8313,23105,803952,489958,252045,2262,36305,741,1461,21180,713,20467,389707
2013,Bradford County; Florida,27981,15615,12366,1669,1827,1163,1447,1794,4227,3569,4360,1939,1566,2279,1471,670,39.9,22439,21644,5265,4420,22439,12721,9718,4420,1987,2433,27981,27375,606,27375,21560,5525,70,13,0,0,0,190,11,87,54,12,20,0,12,007,6,6,0,6,0,0,24,606,272,126,0,22,27981,22069,5943,267,251,6,100,27981,1025,195,227,472,131,26956,20693,5461,70,190,6,0,536,29,507,10929
2013,Clay County; Florida,192665,94453,98212,11433,13169,15066,14798,11651,22083,26903,29854,11729,12055,14791,6730,2403,38.7,143396,135364,30909,23924,143396,69242,74154,23924,10818,13106,192665,187282,5383,187282,158978,19434,676,142,0,0,32,5852,751,838,3045,171,70,625,12,019,352,121,0,99,0,22,2221,5383,1252,1055,1242,105,192665,163563,21341,2193,7834,523,3114,192665,15643,3032,4744,1754,6113,177022,147125,18928,641,5624,121,237,4346,206,4140,75738
2013,Lafayette County; Florida,8745,5171,3574,494,577,466,645,719,1441,1212,1107,471,403,690,384,136,35.3,6913,6453,1441,1210,6913,4206,2707,1210,557,653,8745,8626,119,8626,6925,1309,0,0,0,0,0,6,0,0,6,0,0,0,12,067,0,0,0,0,0,0,386,119,20,12,0,0,8745,7044,1329,12,6,0,473,8745,1030,578,66,164,222,7715,6366,1298,0,6,0,13,32,0,32,3418
