year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2013,Morgan County; Missouri,20392,10124,10268,1212,1349,1005,1233,1063,1818,2035,2891,1622,1597,2705,1393,469,46.9,16012,15395,5500,4567,16012,7862,8150,4567,2234,2333,20392,20037,355,20037,19695,141,157,0,0,0,0,10,0,10,0,0,0,0,29,141,0,0,0,0,0,0,34,355,59,257,0,0,20392,20050,218,432,10,0,55,20392,370,271,8,0,91,20022,19379,141,157,10,0,1,334,0,334,15422
2013,Saline County; Missouri,23324,11615,11709,1422,1630,1311,1812,1844,2776,2633,3209,1555,1326,1924,1261,621,38.0,17996,16757,4646,3806,17996,8813,9183,3806,1594,2212,23324,22843,481,22843,19897,1296,36,10,0,0,0,152,20,14,0,107,5,6,29,195,0,175,26,46,0,103,1287,481,213,158,10,0,23324,20339,1548,194,201,175,1348,23324,2030,880,1,157,992,21294,19232,1296,36,152,175,8,395,0,395,10083
2013,Worth County; Missouri,2129,1046,1083,108,107,145,113,145,159,206,333,189,117,256,176,75,47.8,1688,1624,573,507,1688,819,869,507,213,294,2129,2108,21,2108,2108,0,0,0,0,0,0,0,0,0,0,0,0,0,29,227,0,0,0,0,0,0,0,21,12,0,0,0,2129,2129,12,0,0,0,9,2129,23,10,13,0,0,2106,2085,0,0,0,0,0,21,9,12,1268
2013,Grundy County; Missouri,10282,4925,5357,674,603,794,685,602,1072,1039,1414,622,628,1092,723,334,42.3,7818,7380,2522,2149,7818,3721,4097,2149,895,1254,10282,10152,130,10152,9933,108,71,9,0,0,13,35,0,0,35,0,0,0,29,079,0,0,0,0,0,0,5,130,58,65,1,0,10282,10063,166,136,36,0,11,10282,99,51,44,0,4,10183,9841,108,71,35,0,0,128,4,124,5009
2013,Reynolds County; Missouri,6661,3396,3265,376,417,418,386,307,649,758,980,480,467,827,449,147,46.0,5183,4976,1649,1423,5183,2591,2592,1423,707,716,6661,6583,78,6583,6462,52,51,25,0,0,3,2,0,0,2,0,0,0,29,179,0,1,1,0,0,0,15,78,2,71,0,0,6661,6540,54,122,2,2,19,6661,112,105,5,0,2,6549,6366,52,44,2,1,6,78,4,74,4014
2013,St. Louis County; Missouri,999725,473223,526502,58437,61416,67695,69994,60674,124010,120719,150996,71201,61134,78040,50000,25409,40.0,768985,730396,188164,153449,768985,355539,413446,153449,63072,90377,999725,976775,22950,976775,702852,231544,1351,280,39,21,99,34907,11639,9166,2700,702,3403,2962,29,189,4335,116,22,33,8,53,6005,22950,7905,3187,5330,1665,999725,722426,243301,7956,41968,698,8084,999725,25478,15629,1805,603,7441,974247,684998,230666,1127,34780,116,1605,20955,792,20163,437679
2013,Stone County; Missouri,31817,15596,16221,1372,1733,1583,1798,1261,2532,3252,4678,2520,3129,5045,2258,656,50.4,25935,25127,9746,7959,25935,12659,13276,7959,3929,4030,31817,29630,2187,29630,29053,28,324,119,11,0,2,37,0,0,8,0,0,0,29,209,29,0,0,0,0,0,188,2187,167,1800,109,0,31817,31219,227,2124,150,14,285,31817,574,426,35,26,87,31243,28749,28,324,37,0,0,2105,0,2105,20368
2013,Barry County; Missouri,35614,17779,17835,2332,2347,2345,2432,1802,3744,3847,5276,2392,2516,3860,2081,640,42.4,27055,25768,8047,6581,27055,13315,13740,6581,3036,3545,35614,34748,866,34748,32492,22,125,49,0,0,3,488,26,189,1,0,3,0,29,009,269,13,0,13,0,0,1608,866,161,604,16,0,35614,33358,183,729,504,13,1693,35614,2822,2396,22,1,403,32792,31404,22,113,488,13,0,752,5,747,17462
2013,Boone County; Missouri,165776,80112,85664,10190,9657,9377,14545,25989,24984,18665,19692,9555,7417,8583,4904,2218,29.7,131217,115404,19829,15705,131217,62471,68746,15705,6726,8979,165776,159930,5846,159930,136692,14385,230,50,5,2,16,6366,1364,2173,398,75,938,530,29,019,888,124,26,36,5,57,2133,5846,1676,1225,920,905,165776,141309,17687,2907,7461,227,2637,165776,5128,2780,585,407,1356,160648,133741,14354,197,6314,124,638,5280,98,5182,70371
2013,Cole County; Missouri,76228,38420,37808,4954,4732,5216,4984,4929,10500,9825,11641,5352,4368,5315,3072,1340,37.8,58358,55127,12341,9727,58358,29441,28917,9727,4210,5517,76228,75078,1150,75078,63731,8705,306,38,0,0,40,881,336,44,195,5,56,57,29,051,188,68,0,0,42,26,1387,1150,432,172,284,125,76228,64690,9306,625,1212,158,1387,76228,1923,1330,216,13,364,74305,62907,8594,302,844,68,440,1150,0,1150,32376
