year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2014,Butler County; Iowa,14966,7381,7585,939,1042,918,891,685,1613,1643,2032,1131,1024,1492,1089,467,43.6,11462,11066,3663,3048,11462,5610,5852,3048,1359,1689,14966,14869,97,14869,14723,54,21,0,0,0,0,62,25,0,14,0,0,0,19,023,23,0,0,0,0,0,9,97,67,15,15,0,14966,14820,121,36,77,0,9,14966,154,128,8,0,18,14812,14586,54,17,62,0,0,93,0,93,6700
2014,Hamilton County; Iowa,15363,7579,7784,813,1125,1029,976,760,1692,1719,2206,1125,988,1362,1109,459,42.3,11755,11342,3465,2930,11755,5716,6039,2930,1244,1686,15363,15165,198,15165,14400,71,0,0,0,0,0,315,82,0,47,4,11,0,19,079,171,0,0,0,0,0,379,198,55,78,58,0,15363,14598,126,78,373,0,386,15363,794,690,21,6,77,14569,13996,71,0,315,0,0,187,0,187,7195
2014,Union County; Iowa,12554,6082,6472,780,812,831,860,715,1389,1360,1724,835,925,1154,777,392,41.1,9623,9108,2799,2323,9623,4598,5025,2323,990,1333,12554,12466,88,12466,12249,166,32,13,0,0,0,18,0,0,8,10,0,0,19,175,0,0,0,0,0,0,1,88,17,32,34,0,12554,12337,186,67,52,2,1,12554,283,238,13,2,30,12271,11969,166,30,18,0,0,88,0,88,5917
2014,Worth County; Iowa,7567,3771,3796,409,414,507,489,382,797,846,1152,600,524,738,444,265,44.4,5883,5683,1711,1447,5883,2960,2923,1447,653,794,7567,7471,96,7471,7395,44,5,0,0,0,1,14,0,0,6,0,5,0,19,195,3,0,0,0,0,0,13,96,25,26,9,2,7567,7483,89,45,29,0,29,7567,181,132,29,0,20,7386,7249,44,5,14,0,0,74,0,74,3537
2014,Adair County; Iowa,7543,3732,3811,386,453,492,455,344,787,751,1148,561,481,771,596,318,46.0,5907,5693,1917,1685,5907,2920,2987,1685,721,964,7543,7511,32,7511,7447,36,4,0,0,0,0,24,1,0,16,0,5,0,19,001,2,0,0,0,0,0,0,32,7,0,6,0,7543,7475,49,4,49,13,0,7543,114,98,0,0,16,7429,7338,36,4,24,0,0,27,0,27,3674
2014,Chickasaw County; Iowa,12329,6168,6161,743,940,746,800,587,1192,1304,1860,916,869,1187,735,450,43.5,9384,8940,2792,2372,9384,4652,4732,2372,1035,1337,12329,12265,64,12265,12124,45,23,4,0,0,0,52,0,0,30,0,18,0,19,037,4,0,0,0,0,0,21,64,18,2,22,0,12329,12188,63,25,74,0,43,12329,283,227,0,0,56,12046,11876,37,23,52,0,0,58,16,42,5670
2014,Dickinson County; Iowa,16877,8425,8452,868,872,991,810,729,1700,1803,2325,1326,1535,1988,1345,585,48.7,13611,13267,4784,3918,13611,6730,6881,3918,1754,2164,16877,16638,239,16638,16461,23,43,0,0,0,0,46,8,18,10,5,5,0,19,059,0,34,34,0,0,0,31,239,82,8,77,0,16877,16691,128,51,132,34,103,16877,242,133,27,0,82,16635,16364,23,20,46,34,0,148,0,148,12996
2014,Keokuk County; Iowa,10361,5197,5164,614,709,630,660,489,1065,1100,1550,807,665,977,680,415,44.2,7970,7667,2418,2072,7970,3959,4011,2072,899,1173,10361,10232,129,10232,10170,9,0,0,0,0,0,20,5,6,9,0,0,0,19,107,0,5,5,0,0,0,28,129,11,105,0,0,10361,10297,30,108,30,8,35,10361,136,100,19,0,17,10225,10077,9,0,20,5,0,114,0,114,4901
2014,Tama County; Iowa,17568,8666,8902,1019,1161,1297,1336,786,1751,2057,2497,1207,1163,1588,1128,578,42.5,13243,12561,3952,3294,13243,6463,6780,3294,1474,1820,17568,17281,287,17281,15738,103,1244,4,22,8,48,50,7,0,0,0,43,0,19,171,0,5,0,0,5,0,141,287,33,113,54,10,17568,16004,150,1382,112,14,205,17568,1373,1266,10,0,97,16195,14654,103,1167,50,5,4,212,0,212,7777
2014,Franklin County; Iowa,10572,5366,5206,476,853,707,615,530,1147,1190,1477,749,788,977,683,380,43.0,8119,7796,2579,2040,8119,3978,4141,2040,893,1147,10572,10446,126,10446,10020,85,3,0,3,0,0,22,0,4,0,0,7,11,19,069,0,0,0,0,0,0,316,126,8,60,0,0,10572,10138,93,63,30,9,365,10572,1203,915,0,3,285,9369,9175,74,3,22,0,18,77,0,77,4872
