year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2014,Marion County; Kansas,12401,6133,6268,664,723,858,873,748,1152,1224,1749,897,813,1317,811,572,44.7,9677,9052,3197,2700,9677,4757,4920,2700,1206,1494,12401,12225,176,12225,11913,143,115,0,2,0,0,37,0,26,0,4,0,7,20,115,0,0,0,0,0,0,17,176,14,137,0,3,12401,12082,160,259,41,0,35,12401,343,240,31,0,72,12058,11642,143,55,37,0,12,169,14,155,5939
2014,Brown County; Kansas,9926,4804,5122,695,695,720,610,463,1094,1035,1344,757,684,950,603,276,42.2,7429,7147,2235,1829,7429,3579,3850,1829,802,1027,9926,9695,231,9695,8526,171,921,8,2,0,22,56,20,11,17,0,0,0,20,013,8,7,0,7,0,0,14,231,46,176,3,1,9926,8756,220,1100,59,10,14,9926,352,298,6,3,45,9574,8323,171,816,56,7,3,198,0,198,4754
2014,Riley County; Kansas,74478,39458,35020,5206,3837,2813,8061,18152,13887,6011,5656,3231,2043,2845,1837,899,24.6,60871,49412,6668,5581,60871,32391,28480,5581,2424,3157,74478,71780,2698,71780,62412,4752,397,74,0,31,3,3423,266,1414,163,24,527,498,20,161,531,287,182,48,28,29,509,2698,805,539,505,15,74478,64868,5964,1329,4222,393,812,74478,5565,3154,1216,15,1180,68913,58134,4586,358,3408,220,58,2149,100,2049,29083
2014,Dickinson County; Kansas,19641,9705,9936,1284,1453,1327,1313,930,2166,2276,2796,1274,1311,1671,1183,657,41.7,14721,14105,4337,3511,14721,7185,7536,3511,1549,1962,19641,18978,663,18978,18636,60,78,15,0,0,2,70,0,3,46,0,17,0,20,041,4,0,0,0,0,0,134,663,293,189,48,7,19641,19218,434,274,118,0,260,19641,841,651,58,0,132,18800,18064,58,64,70,0,0,544,27,517,9036
2014,Sherman County; Kansas,6078,3008,3070,477,342,463,345,280,830,688,745,407,381,541,379,200,38.2,4684,4442,1396,1120,4684,2389,2295,1120,488,632,6078,6021,57,6021,5667,130,0,0,0,0,0,21,21,0,0,0,0,0,20,181,0,0,0,0,0,0,203,57,19,24,0,0,6078,5724,149,24,21,0,217,6078,712,692,6,0,14,5366,5172,130,0,21,0,0,43,0,43,3132
2014,Thomas County; Kansas,7947,3883,4064,531,511,425,679,812,957,804,1046,529,458,576,402,217,35.6,6107,5588,1515,1195,6107,2979,3128,1195,514,681,7947,7846,101,7846,7650,123,21,0,0,2,0,10,0,0,0,0,1,0,20,193,9,6,0,4,0,2,36,101,8,40,17,10,7947,7737,153,79,27,6,54,7947,400,378,0,7,15,7547,7317,123,21,10,2,0,74,0,74,3535
2014,Morris County; Kansas,5808,2867,2941,292,393,305,365,236,573,539,881,405,478,656,524,161,47.9,4600,4393,1611,1341,4600,2275,2325,1341,630,711,5808,5708,100,5708,5589,15,33,0,0,0,0,26,0,7,12,4,3,0,20,127,0,0,0,0,0,0,45,100,13,70,3,0,5808,5685,33,103,34,0,54,5808,237,186,3,0,48,5571,5409,12,33,26,0,0,91,0,91,3205
2014,Rooks County; Kansas,5174,2572,2602,295,307,340,301,240,575,536,762,428,338,485,401,166,44.9,4040,3915,1237,1052,4040,2017,2023,1052,450,602,5174,5078,96,5078,4970,23,20,0,0,0,10,49,0,0,0,0,4,0,20,163,45,1,0,1,0,0,15,96,0,82,3,0,5174,5066,33,112,52,2,15,5174,45,33,10,0,2,5129,4949,23,20,49,1,1,86,0,86,2761
2014,Clark County; Kansas,2170,1065,1105,96,160,177,111,78,241,222,275,223,83,227,175,102,45.0,1662,1614,554,504,1662,798,864,504,209,295,2170,2095,75,2095,1991,17,27,2,0,0,0,13,0,13,0,0,0,0,20,025,0,6,0,6,0,0,41,75,13,62,0,0,2170,2066,30,89,13,6,41,2170,267,209,0,22,36,1903,1765,17,27,13,6,0,75,0,75,1198
2014,Harper County; Kansas,5906,2973,2933,399,340,428,369,247,638,601,740,435,447,628,403,231,43.6,4512,4339,1519,1262,4512,2234,2278,1262,537,725,5906,5811,95,5811,5666,10,78,32,2,12,13,3,0,0,0,3,0,0,20,077,0,3,0,3,0,0,51,95,34,51,7,0,5906,5761,44,129,10,3,54,5906,350,249,27,0,74,5556,5385,10,78,3,3,0,77,0,77,3124
