year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2014,Pike County; Pennsylvania,56883,28351,28532,2388,2653,4390,4185,2924,4648,6961,9780,4328,3981,6539,3101,1005,45.3,44769,42545,13150,10645,44769,22177,22592,10645,5113,5532,56883,55526,1357,55526,50800,3065,64,22,0,14,0,732,138,375,73,4,90,15,42,103,37,16,16,0,0,0,849,1357,459,344,95,25,56883,52061,3609,537,979,46,1149,56883,5468,391,2672,182,2223,51415,46729,2963,58,553,16,130,966,65,901,38482
2014,Snyder County; Pennsylvania,39922,19804,20118,2227,2400,2628,3236,3108,4328,4758,5568,2896,2342,3487,2117,827,39.4,31172,28447,7812,6431,31172,15210,15962,6431,2792,3639,39922,39573,349,39573,38706,360,25,0,0,0,0,278,156,38,53,0,26,5,42,109,0,5,1,0,0,4,199,349,143,108,34,10,39922,39033,531,149,324,6,234,39922,786,196,463,25,102,39136,38164,333,25,269,5,46,294,0,294,16090
2014,Susquehanna County; Pennsylvania,42708,21490,21218,2056,2344,2585,2666,2191,4226,4814,7012,3567,3178,4636,2394,1039,45.9,34031,32593,9863,8069,34031,17029,17002,8069,3802,4267,42708,42384,324,42384,41833,233,108,41,0,0,0,100,12,27,20,10,15,0,42,115,16,0,0,0,0,0,110,324,118,86,66,3,42708,42142,364,216,204,29,116,42708,671,196,313,21,141,42037,41310,233,104,100,0,7,283,0,283,22993
2014,Crawford County; Pennsylvania,87801,42927,44874,4826,4960,5838,6524,5553,9178,10195,12663,6586,6210,8542,4947,1779,42.1,68643,64323,18966,15268,68643,32943,35700,15268,6948,8320,87801,86436,1365,86436,84279,1597,51,10,0,0,2,363,138,105,34,6,26,12,42,039,42,8,8,0,0,0,138,1365,481,355,165,11,87801,85485,2209,487,712,117,289,87801,966,211,461,65,229,86835,83701,1498,46,337,8,22,1223,39,1184,44581
2014,Erie County; Pennsylvania,280132,137955,142177,16396,17078,17572,21015,21847,34453,32611,39314,20563,17112,22077,13601,6493,38.7,217907,202636,51492,42171,217907,105901,112006,42171,18074,24097,280132,273286,6846,273286,246195,19892,761,207,10,0,2,3800,966,880,181,53,189,404,42,049,1127,58,9,13,6,30,2580,6846,4215,546,582,97,280132,252475,24858,1676,4613,178,3506,280132,10186,2196,6035,191,1764,269946,240599,18981,612,3780,58,241,5675,288,5387,119506
2014,Fulton County; Pennsylvania,14747,7412,7335,820,909,937,915,753,1559,1904,2208,1005,1021,1625,862,229,42.8,11477,11004,3340,2716,11477,5736,5741,2716,1269,1447,14747,14644,103,14644,14338,205,36,0,0,8,0,22,7,4,8,0,0,0,42,057,3,8,0,2,0,6,35,103,41,35,15,3,14747,14438,249,76,37,11,41,14747,148,72,43,6,27,14599,14252,188,36,22,2,0,99,0,99,7115
2014,Juniata County; Pennsylvania,24793,12307,12486,1419,1551,1779,1487,1362,2693,2990,3618,1760,1505,2461,1543,625,42.4,19073,18235,5598,4629,19073,9399,9674,4629,2070,2559,24793,24609,184,24609,24016,208,44,0,0,0,0,101,55,29,0,5,0,8,42,067,4,0,0,0,0,0,240,184,37,65,31,0,24793,24200,258,122,132,20,258,24793,692,160,151,18,363,24101,23636,208,10,101,0,7,139,4,135,10998
2014,Schuylkill County; Pennsylvania,147146,74906,72240,7248,8279,8232,8295,7774,17080,19615,22300,10747,10256,13857,9114,4349,43.6,118099,113436,33513,27320,118099,59889,58210,27320,11666,15654,147146,145329,1817,145329,138936,4156,138,0,12,0,0,859,261,327,34,25,47,100,42,107,65,31,0,0,0,31,1209,1817,898,381,130,19,147146,140510,5290,651,1054,95,1464,147146,4693,1462,2143,69,1019,142453,136203,3775,84,859,0,21,1511,14,1497,69232
2014,Wyoming County; Pennsylvania,28229,14245,13984,1470,1584,1754,1931,1769,3040,3389,4205,2158,2090,2901,1422,516,42.7,22328,21107,6120,4839,22328,11148,11180,4839,2282,2557,28229,27895,334,27895,27482,187,10,1,1,0,0,135,5,89,7,5,23,2,42,131,4,0,0,0,0,0,81,334,145,132,24,0,28229,27805,347,146,170,6,96,28229,476,155,128,16,177,27753,27096,181,10,135,0,14,317,0,317,13296
2014,Adams County; Pennsylvania,101566,50034,51532,5338,5765,6514,7275,6753,10358,12353,15720,7481,6795,9365,5619,2230,42.4,79882,75052,21288,17214,79882,38952,40930,17214,7774,9440,101566,99559,2007,99559,93835,1526,148,29,0,40,0,710,71,190,174,11,120,38,42,001,106,0,0,0,0,0,3340,2007,631,293,289,0,101566,95732,2296,593,1087,40,4052,101566,6434,4237,1021,114,1062,95132,91541,1426,144,710,0,34,1277,28,1249,41078
2014,Armstrong County; Pennsylvania,68343,33913,34430,3414,3688,3945,4028,3477,7133,8257,10817,5584,4832,6795,4328,2045,45.2,54692,52559,16003,13168,54692,26892,27800,13168,5746,7422,68343,67827,516,67827,66840,657,21,9,0,0,0,130,9,50,12,8,25,17,42,005,9,0,0,0,0,0,179,516,163,163,109,0,68343,67340,849,212,256,7,223,68343,427,119,218,2,88,67916,66626,657,21,130,0,8,474,0,474,32442
2014,Clinton County; Pennsylvania,39611,19301,20310,2161,2375,2149,3507,4320,4027,4337,5176,2771,2185,3497,2187,919,38.4,31515,28080,7888,6603,31515,15179,16336,6603,2924,3679,39611,39066,545,39066,38161,607,31,10,0,0,0,195,6,54,22,8,19,45,42,035,41,10,0,10,0,0,62,545,266,105,93,4,39611,38665,895,145,313,28,117,39611,499,111,211,10,167,39112,37822,556,24,195,10,16,489,28,461,19045
2014,Carbon County; Pennsylvania,64874,31986,32888,3145,3671,3894,3525,3337,6825,8211,10437,5459,4275,6553,3871,1671,44.8,51800,49755,14684,12095,51800,25355,26445,12095,5360,6735,64874,63989,885,63989,62321,851,118,101,0,0,0,320,0,87,42,4,187,0,42,025,0,0,0,0,0,0,379,885,350,196,125,44,64874,63126,1358,440,460,33,431,64874,2422,623,1343,65,391,62452,60410,751,111,320,0,101,759,0,759,34374
