year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2015,Jackson County; Oregon,208363,101395,106968,11965,12471,12021,12555,12327,24984,23404,26760,15217,16070,22998,11459,6132,42.8,164199,156816,50091,40589,164199,79021,85178,40589,18457,22132,208363,200063,8300,200063,191003,1532,1629,159,25,18,34,2164,171,641,356,295,210,221,41,029,270,638,108,54,362,114,3097,8300,1013,3692,1531,206,208363,198573,3239,6110,4383,1586,3556,208363,24496,21025,730,265,2476,183867,171619,1324,1162,2110,604,213,6835,89,6746,91782,157297,75304,81993
2015,Grant County; Oregon,7276,3594,3682,316,441,311,422,283,659,721,901,659,669,1057,548,289,51.1,5924,5779,2284,1894,5924,2918,3006,1894,964,930,7276,7060,216,7060,6942,24,54,0,0,1,6,30,0,20,2,5,0,0,41,023,3,2,2,0,0,0,8,216,13,173,29,0,7276,7158,37,228,59,2,9,7276,254,211,0,0,43,7022,6712,24,51,30,2,0,203,0,203,4320,5886,2899,2987
2015,Clackamas County; Oregon,389438,191639,197799,20990,24660,25291,25960,22086,44950,50171,57278,29574,28026,35813,16779,7860,41.3,301584,288031,76902,60452,301584,146445,155139,60452,26994,33458,389438,376811,12627,376811,347657,3555,2605,253,186,46,206,15919,1215,4669,1567,1696,1770,1920,41,005,3082,1130,366,47,368,349,5945,12627,2096,4016,3713,64,389438,359874,6134,7204,20698,1974,7330,389438,31871,25431,1285,271,4884,357567,324872,3162,1877,15656,1029,197,10774,180,10594,159754,287833,139925,147908
2015,Tillamook County; Oregon,25430,12875,12555,1300,1201,1463,1397,1151,2693,2655,3311,1849,2710,3361,1752,587,48.0,20573,19891,7179,5700,20573,10243,10330,5700,2690,3010,25430,24802,628,24802,23301,59,246,47,0,0,0,219,38,39,26,16,47,0,41,057,53,100,1,38,50,11,877,628,76,327,140,0,25430,23859,154,595,392,137,927,25430,2539,2337,11,15,176,22891,21691,59,241,217,89,5,589,14,575,18474,19707,9792,9915
2015,Josephine County; Oregon,83409,40834,42575,4158,4331,4887,4820,4145,7908,8544,10953,6163,7434,11434,5950,2682,47.9,66905,64432,24811,20066,66905,32207,34698,20066,9266,10800,83409,80660,2749,80660,77536,285,1038,107,15,0,41,653,20,57,120,265,88,39,41,033,64,62,18,0,0,44,1086,2749,278,1608,425,0,83409,80160,593,2705,1284,294,1281,83409,5731,4670,268,43,750,77678,73198,283,912,622,62,107,2494,0,2494,38028,65500,31605,33895
2015,Umatilla County; Oregon,76738,40004,36734,5530,5260,5984,5169,5325,10172,9640,9750,4738,4746,5876,3105,1443,36.0,56722,53822,13143,10424,56722,29869,26853,10424,4890,5534,76738,73031,3707,73031,65179,537,2184,18,80,4,120,623,31,158,137,45,41,161,41,059,50,115,38,17,6,54,4393,3707,384,1888,470,44,76738,68650,1107,4347,1418,406,4822,76738,19377,17984,134,27,1232,57361,52015,530,1575,606,105,63,2467,15,2452,29741,51627,26960,24667
2015,Columbia County; Oregon,49389,24694,24695,2523,3418,3122,3246,2542,5087,6367,7290,3711,4046,4987,2162,888,42.9,38158,36589,10564,8037,38158,18819,19339,8037,3819,4218,49389,47876,1513,47876,45727,235,621,69,25,0,33,572,11,173,227,60,16,34,41,009,51,118,28,62,0,28,603,1513,176,860,339,0,49389,47202,411,1481,946,228,653,49389,2249,1869,51,57,272,47140,44188,235,594,529,118,14,1462,14,1448,20692,37372,18416,18956
2015,Wasco County; Oregon,25492,12634,12858,1599,1416,1739,1626,1506,2920,2879,3121,1959,1808,2758,1372,789,41.0,19752,18897,5994,4919,19752,9743,10009,4919,2284,2635,25492,24858,634,24858,22071,169,1040,15,23,23,21,260,5,125,28,18,41,26,41,065,17,131,85,6,40,0,1187,634,90,251,17,14,25492,22580,313,1330,365,268,1291,25492,4215,3973,18,0,224,21277,19387,107,911,260,131,0,481,4,477,11423,18219,8857,9362
2015,Lane County; Oregon,357060,175470,181590,17847,18858,19619,24358,35244,44808,40825,44655,25477,25656,34417,17218,8078,39.3,288343,268828,74846,59713,288343,140226,148117,59713,27037,32676,357060,341162,15898,341162,315529,3873,4043,474,95,29,91,8966,800,2885,835,1335,1494,620,41,039,997,798,188,41,109,460,7953,15898,2016,6116,4113,145,357060,330323,6843,11238,14477,2306,9241,357060,28768,22770,1044,227,4727,328292,297692,3395,3389,8861,764,523,13668,282,13386,157510,275884,133856,142028
2015,Washington County; Oregon,556210,273743,282467,37207,38124,39080,34891,33316,85332,84169,76261,34762,29776,36934,17500,8858,36.1,419449,401280,80634,63292,419449,203771,215678,63292,27060,36232,556210,531666,24544,531666,431470,10061,4134,211,59,203,148,51639,12151,9503,5242,3301,7056,6752,41,067,7634,2708,1207,400,270,831,31654,24544,3410,4329,9118,238,556210,453419,15436,10437,64056,5538,34542,556210,89846,72484,2098,673,14591,466364,379525,9778,2257,51128,2304,639,20733,773,19960,217085,370377,178438,191939
