year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2015,Rutland County; Vermont,60530,29688,30842,2711,2877,3466,4120,4014,6115,6560,9444,5558,4436,6497,3195,1537,45.5,49337,46330,13879,11229,49337,23957,25380,11229,5019,6210,60530,59754,776,59754,58674,383,121,18,4,0,5,443,19,137,125,66,26,33,50,021,37,0,0,0,0,0,133,776,217,351,158,4,60530,59437,616,487,611,0,164,60530,788,109,163,36,480,59742,58076,366,118,443,0,18,721,3,718,33742,48830,23776,25054
2015,Orange County; Vermont,28929,14349,14580,1357,1576,1701,1914,1579,3027,3314,4605,2477,2452,2997,1363,567,45.0,23162,22090,6437,4927,23162,11390,11772,4927,2280,2647,28929,28512,417,28512,27931,152,180,7,0,0,0,132,4,27,19,17,22,23,50,017,20,0,0,0,0,0,117,417,85,167,84,0,28929,28338,274,390,238,8,149,28929,348,96,174,0,78,28581,27720,144,180,132,0,20,385,9,376,14889,23049,11348,11701
2015,Windsor County; Vermont,56150,27488,28662,2565,3006,3038,3155,2508,6305,6164,8662,4876,4669,6437,3372,1393,46.8,45491,44037,13830,11202,45491,22031,23460,11202,5154,6048,56150,55202,948,55202,53873,376,100,15,0,0,0,525,80,114,38,13,184,19,50,027,77,68,54,14,0,0,260,948,145,451,212,18,56150,54797,564,582,766,131,294,56150,789,175,321,32,261,55361,53371,374,97,483,48,94,894,31,863,34132,44683,21697,22986
2015,Orleans County; Vermont,27146,13611,13535,1374,1475,1680,1633,1399,2863,3209,3855,2166,2131,3143,1522,696,44.8,21596,20662,6584,5361,21596,10833,10763,5361,2516,2845,27146,26659,487,26659,26215,139,127,3,0,0,9,127,61,30,7,0,13,5,50,019,11,0,0,0,0,0,51,487,130,294,30,0,27146,26699,276,431,167,7,67,27146,354,194,109,10,41,26792,25972,138,127,127,0,25,403,2,401,16486,21274,10709,10565
2015,Grand Isle County; Vermont,6952,3419,3533,294,327,405,456,331,655,799,1203,699,627,782,275,99,47.1,5635,5381,1539,1156,5635,2780,2855,1156,583,573,6952,6697,255,6697,6599,0,64,0,0,0,0,26,2,8,0,1,15,0,50,013,0,0,0,0,0,0,8,255,11,202,16,0,6952,6854,11,266,42,11,23,6952,115,65,17,9,24,6837,6504,0,61,26,0,6,240,0,240,5096,5564,2744,2820
2015,Chittenden County; Vermont,159711,77980,81731,7814,8167,8750,13848,17346,21505,18942,22656,11007,9393,11423,5866,2994,36.3,129340,117098,25635,20283,129340,62290,67050,20283,8653,11630,159711,156323,3388,156323,146260,3806,392,0,6,0,17,5183,651,1158,273,70,369,782,50,007,1880,38,38,0,0,0,644,3388,710,885,1205,11,159711,149389,4753,1486,6594,269,811,159711,3341,915,579,196,1651,156370,143706,3727,282,5169,38,222,3226,60,3166,67027,124443,59739,64704
2015,Lamoille County; Vermont,25027,12439,12588,1350,1361,1712,1779,1620,2993,3245,3736,1983,1576,2157,1179,336,40.5,19606,18461,4559,3672,19606,9736,9870,3672,1755,1917,25027,24659,368,24659,24001,191,162,63,0,0,0,128,4,60,27,2,25,0,50,015,10,0,0,0,0,0,177,368,92,147,90,0,25027,24341,318,320,241,9,177,25027,386,201,116,0,69,24641,23768,186,162,128,0,38,359,0,359,13122,19138,9483,9655
2015,Franklin County; Vermont,48418,24000,24418,2856,3359,2979,3203,2559,5813,6669,7691,3754,3025,3822,1964,724,39.9,37081,35638,8335,6510,37081,18209,18872,6510,3038,3472,48418,47047,1371,47047,46224,217,245,9,25,0,2,152,12,10,48,5,13,0,50,011,64,40,0,40,0,0,169,1371,268,884,105,26,48418,47561,559,1207,261,40,209,48418,651,353,115,11,172,47767,45764,207,240,149,4,102,1301,4,1297,21886,36678,17997,18681
2015,Caledonia County; Vermont,31012,15400,15612,1565,1658,1996,2186,1968,3268,3627,4429,2589,2369,3095,1598,664,43.1,24611,22924,6768,5357,24611,12131,12480,5357,2455,2902,31012,30512,500,30512,29927,191,142,0,0,0,4,231,18,87,21,3,1,35,50,005,66,0,0,0,0,0,21,500,93,243,96,7,31012,30414,311,415,330,0,62,31012,428,56,201,26,145,30584,29532,180,140,231,0,10,491,32,459,16022,24315,11945,12370
2015,Windham County; Vermont,43858,21603,22255,1988,2227,2453,2806,2497,4732,4762,6713,3799,3811,4785,2309,976,45.8,35478,33824,10154,8070,35478,17174,18304,8070,3694,4376,43858,42741,1117,42741,41624,408,73,0,0,0,2,461,24,114,21,3,71,5,50,025,223,60,0,0,0,60,115,1117,283,484,106,7,43858,42677,849,690,647,78,177,43858,921,93,474,59,295,42937,41102,375,73,436,60,16,875,12,863,29861,34976,16994,17982
