year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Oneida County; Idaho,4269,2153,2116,269,392,332,365,244,311,481,443,309,301,441,255,126,38.9,3081,2849,1013,822,3081,1557,1524,822,395,427,4269,4179,90,4179,4155,0,20,0,0,0,7,0,0,0,0,0,0,0,16,071,0,0,0,0,0,0,4,90,0,37,4,0,4269,4245,0,57,4,29,24,4269,162,135,9,0,18,4107,4017,0,20,0,0,0,70,0,70,1945,3016,1522,1494
2016,Gem County; Idaho,16853,8260,8593,904,909,1255,1228,699,1718,1644,2313,1165,1414,2095,1158,351,45.4,12944,12421,4348,3604,12944,6225,6719,3604,1711,1893,16853,16453,400,16453,15803,0,246,56,44,0,3,129,0,10,28,31,44,16,16,045,0,2,2,0,0,0,273,400,60,228,109,0,16853,16203,60,474,238,5,273,16853,1362,1293,0,0,69,15491,14864,0,165,129,2,0,331,0,331,7100,12503,6029,6474
2016,Valley County; Idaho,9897,5121,4776,469,515,515,565,388,591,1450,1295,938,1050,1431,602,88,48.8,8084,7694,2636,2121,8084,4174,3910,2121,1126,995,9897,9804,93,9804,9781,1,11,3,0,0,0,11,0,5,0,5,1,0,16,085,0,0,0,0,0,0,0,93,0,78,0,0,9897,9871,13,101,14,3,0,9897,111,107,0,0,4,9786,9670,1,11,11,0,0,93,0,93,11920,8053,4168,3885
2016,Adams County; Idaho,3865,2034,1831,155,211,213,240,101,285,355,505,362,483,618,275,62,51.7,3159,3017,1258,955,3159,1625,1534,955,518,437,3865,3819,46,3819,3711,8,73,10,6,15,0,0,0,0,0,0,0,0,16,003,0,8,0,0,0,8,19,46,5,37,4,0,3865,3757,13,110,4,8,19,3865,122,95,0,0,27,3743,3597,8,73,0,8,11,46,0,46,2635,3140,1619,1521
2016,Nez Perce County; Idaho,39995,19821,20174,2410,2252,2413,2429,2790,5113,4364,5100,2956,2566,4047,2397,1158,41.2,31458,29982,9200,7602,31458,15398,16060,7602,3432,4170,39995,38898,1097,38898,35950,154,2336,52,27,9,49,341,0,188,52,34,11,37,16,069,19,18,9,9,0,0,99,1097,152,579,198,32,39995,36975,374,2982,600,73,141,39995,1429,1070,121,17,221,38566,34963,146,2203,341,18,0,895,33,862,17420,31183,15191,15992
2016,Jerome County; Idaho,22694,11491,11203,2054,1966,2006,1571,1479,3056,2577,2620,1174,1355,1710,843,283,32.4,15666,14863,3651,2836,15666,7891,7775,2836,1360,1476,22694,22325,369,22325,20819,22,260,10,42,0,27,95,2,9,60,9,0,15,16,053,0,31,0,0,31,0,1098,369,111,181,46,0,22694,21179,141,441,150,32,1120,22694,7622,6914,80,20,608,15072,14525,20,137,86,31,6,267,0,267,8233,12991,6289,6702
2016,Kootenai County; Idaho,147716,73116,74600,8904,9238,10632,9502,8840,18249,17938,19155,10000,10270,15040,7256,2692,39.7,112813,107476,31500,24988,112813,55025,57788,24988,11694,13294,147716,143836,3880,143836,139060,570,2175,254,57,25,56,1264,116,155,580,210,43,37,16,055,123,83,28,37,18,0,684,3880,481,1464,1183,3,147716,142863,1188,3980,2723,248,925,147716,6219,4385,297,53,1484,141497,134752,470,1867,1008,66,3,3331,67,3264,66126,111716,54538,57178
2016,Lewis County; Idaho,3826,1906,1920,205,252,256,222,181,337,349,476,325,302,516,326,79,47.9,2969,2858,1102,921,2969,1455,1514,921,437,484,3826,3655,171,3655,3391,3,211,9,8,2,0,28,0,2,9,0,1,0,16,061,16,1,0,0,0,1,21,171,1,134,1,0,3826,3540,6,367,33,5,51,3826,160,123,0,0,37,3666,3309,3,187,28,1,0,138,0,138,1869,2917,1437,1480
2016,Minidoka County; Idaho,20331,10251,10080,1628,1878,1359,1422,1377,2341,2307,2387,1394,1130,1768,928,412,35.4,14508,13824,3796,3108,14508,7291,7217,3108,1468,1640,20331,20000,331,20000,18358,92,170,2,5,44,0,89,0,0,42,13,34,0,16,067,0,29,0,0,11,18,1262,331,56,194,36,0,20331,18689,148,364,125,29,1307,20331,6869,6568,19,0,282,13462,12937,45,140,89,0,0,251,5,246,7776,12414,6019,6395
2016,Twin Falls County; Idaho,80955,39915,41040,6235,6752,5970,5420,5208,11241,9449,9480,4782,4459,6557,3840,1562,34.6,58583,55650,14692,11959,58583,28528,30055,11959,5382,6577,80955,79717,1238,79717,74926,517,980,62,109,52,12,1272,71,121,222,220,41,90,16,083,507,58,8,0,9,41,1964,1238,95,566,240,12,80955,76099,637,1575,1593,278,2056,80955,12235,10958,78,14,1185,68720,65504,511,589,1091,58,12,955,4,951,31792,54789,26595,28194
