year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Harrison County; Indiana,39370,19678,19692,2279,2185,2805,2521,2123,4572,4754,6176,2967,2636,3821,1818,713,42.5,30406,29226,7785,6352,30406,15087,15319,6352,2892,3460,39370,38989,381,38989,38299,34,234,1,132,0,0,306,0,47,44,29,0,0,18,061,186,0,0,0,0,0,116,381,36,144,145,0,39370,38680,86,378,467,0,156,39370,657,396,79,76,106,38713,37782,28,234,306,0,20,343,19,324,16646,30253,15016,15237
2016,Wabash County; Indiana,32177,15775,16402,1664,1956,2001,2402,2183,3352,3614,4292,2357,2108,3212,2033,1003,42.1,25219,23608,7322,6248,25219,12223,12996,6248,2677,3571,32177,31659,518,31659,30763,269,205,16,0,0,0,38,0,12,0,0,20,0,18,169,6,0,0,0,0,0,384,518,106,136,162,0,32177,31276,380,341,200,0,498,32177,779,641,31,4,103,31398,30443,269,205,38,0,13,430,33,397,14114,25013,12100,12913
2016,Jay County; Indiana,21196,10402,10794,1534,1376,1624,1451,1281,2392,2443,2863,1246,1464,2011,1109,402,39.4,15690,14909,4329,3522,15690,7587,8103,3522,1534,1988,21196,20994,202,20994,20769,78,55,25,0,0,0,78,0,11,16,17,34,0,18,075,0,1,1,0,0,0,13,202,47,70,53,0,21196,20958,152,139,144,1,18,21196,629,451,85,0,93,20567,20183,78,55,78,1,0,172,0,172,9185,15534,7561,7973
2016,Porter County; Indiana,167016,82416,84600,9288,10544,11289,11663,11169,20373,21767,23324,12410,11153,14305,6949,2782,39.4,128685,121927,30435,24036,128685,62732,65953,24036,10752,13284,167016,163827,3189,163827,153059,5908,328,78,11,0,11,2351,1133,440,438,24,62,76,18,127,178,152,59,58,18,17,2029,3189,1013,630,544,12,167016,156047,7150,983,3069,419,2713,167016,15662,10460,3442,285,1475,151354,140836,5445,307,2324,117,114,2211,61,2150,67065,126021,61292,64729
2016,Spencer County; Indiana,20777,10530,10247,1175,1270,1414,1405,1040,2147,2460,3140,1555,1475,2168,1091,437,42.8,16053,15307,4544,3696,16053,8076,7977,3696,1740,1956,20777,20585,192,20585,20061,132,53,1,7,0,26,32,0,19,0,0,0,8,18,147,5,16,16,0,0,0,291,192,114,41,25,0,20777,20253,246,94,57,16,303,20777,575,444,11,0,120,20202,19795,132,48,32,16,0,179,0,179,8943,15909,8012,7897
2016,Tippecanoe County; Indiana,183397,93774,89623,11225,10993,9900,17078,33507,25994,19488,18669,8850,8904,10591,5474,2724,27.9,145408,126017,23604,18789,145408,74538,70870,18789,8047,10742,183397,179738,3659,179738,154153,8585,230,78,0,4,0,13923,2777,7363,562,387,1887,360,18,157,587,54,15,0,30,9,2793,3659,1437,715,706,41,183397,157454,10346,1093,15011,137,3220,183397,14628,11240,585,268,2535,168769,142612,8553,200,13910,39,138,3317,187,3130,73859,130720,66017,64703
2016,Hamilton County; Indiana,303042,148054,154988,21344,25315,25220,21420,14611,37385,46965,45706,18193,15022,19464,8608,3789,36.3,216447,207197,39317,31861,216447,103992,112455,31861,14164,17697,303042,296099,6943,296099,265639,10790,337,25,63,0,39,16749,6938,4477,728,552,1322,598,18,057,2134,20,0,0,0,20,2564,6943,2634,721,2209,48,303042,271961,13989,1420,19603,330,3133,303042,11350,6960,957,283,3150,291692,257075,10721,308,16670,20,621,6277,266,6011,116900,206528,99387,107141
2016,LaGrange County; Indiana,38395,19459,18936,3636,3653,3574,3064,2514,4474,4260,4246,1866,2258,2913,1328,609,31.1,25508,23744,6081,4850,25508,12682,12826,4850,2235,2615,38395,37783,612,37783,37605,86,15,4,0,0,0,35,0,4,9,0,9,0,18,087,13,9,9,0,0,0,33,612,178,292,18,0,38395,38215,271,314,55,38,121,38395,1496,1394,18,28,56,36899,36265,86,15,35,9,5,484,2,482,14381,24985,12375,12610
2016,Boone County; Indiana,61884,30594,31290,4076,4555,5295,4172,3051,6957,8567,9688,4356,3336,4471,2376,984,38.9,45146,43165,9760,7831,45146,21883,23263,7831,3438,4393,61884,60766,1118,60766,58207,807,106,28,0,0,0,1497,690,422,48,20,156,20,18,011,141,0,0,0,0,0,149,1118,386,208,210,0,61884,59314,1222,385,1718,0,434,61884,1603,910,112,0,581,60281,56986,807,106,1497,0,78,807,11,796,25088,44083,21278,22805
2016,Montgomery County; Indiana,38108,19274,18834,2318,2277,2664,2634,2651,4236,4448,5395,2865,2201,3544,2074,801,40.4,29289,27569,7748,6419,29289,14770,14519,6419,2816,3603,38108,37397,711,37397,36620,340,107,1,0,0,1,240,100,0,116,0,2,19,18,107,3,4,0,1,0,3,86,711,317,124,31,0,38108,37316,657,265,322,4,291,38108,1751,1467,59,0,225,36357,35245,340,106,240,4,2,420,0,420,16550,28492,14274,14218
