year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Greenup County; Kentucky,36255,17640,18615,1963,2406,2196,2077,1934,3844,4637,5091,2731,2473,3984,2192,727,43.0,28321,27172,8267,6903,28321,13538,14783,6903,3053,3850,36255,35744,511,35744,35170,283,80,7,0,67,0,152,62,10,63,0,7,0,21,089,10,0,0,0,0,0,59,511,158,256,73,3,36255,35674,451,346,225,4,73,36255,373,247,12,4,110,35882,34952,279,13,152,0,0,486,4,482,16274,28208,13469,14739
2016,Fleming County; Kentucky,14543,7180,7363,954,827,1175,904,866,1612,1840,2052,977,976,1457,688,215,40.6,10973,10518,2929,2360,10973,5338,5635,2360,1069,1291,14543,14326,217,14326,14002,195,7,0,0,0,0,14,0,14,0,0,0,0,21,069,0,0,0,0,0,0,108,217,88,47,0,5,14543,14214,288,59,14,0,185,14543,171,164,0,0,7,14372,13988,195,7,14,0,28,140,0,140,6609,10965,5330,5635
2016,Carter County; Kentucky,27292,13473,13819,1679,1513,1892,1883,1934,3137,3366,3763,1979,1728,2655,1288,475,40.7,21118,19889,5429,4418,21118,10291,10827,4418,1997,2421,27292,27075,217,27075,26736,243,37,17,0,0,0,32,32,0,0,0,0,0,21,043,0,4,4,0,0,0,23,217,6,172,32,1,27292,26952,256,210,64,4,29,27292,327,217,6,0,104,26965,26422,243,37,32,4,16,211,0,211,12286,21006,10243,10763
2016,Elliott County; Kentucky,7661,4321,3340,345,493,326,454,404,1037,1092,1058,563,483,842,339,225,42.1,6238,6007,1602,1406,6238,3578,2660,1406,662,744,7661,7655,6,7655,7453,179,7,0,0,0,0,4,0,0,0,0,4,0,21,063,0,0,0,0,0,0,12,6,6,0,0,0,7661,7459,185,7,4,0,12,7661,17,12,5,0,0,7644,7441,179,7,4,0,7,6,0,6,3362,6234,3578,2656
2016,Jefferson County; Kentucky,759724,366994,392730,49011,47056,47777,45807,49952,109765,96075,103091,54570,46390,61649,33163,15418,38.0,587395,560032,137730,110230,587395,278777,308618,110230,45879,64351,759724,737562,22162,737562,552489,159215,1114,324,155,28,64,19339,6114,2446,1573,511,1395,2639,21,111,4661,375,33,57,43,242,5030,22162,11210,2785,2714,850,759724,572107,174090,5856,23324,782,7674,759724,36568,15901,2800,9734,8133,723156,524730,157621,952,19273,324,895,19361,712,18649,341528,561375,264439,296936
2016,Larue County; Kentucky,14127,6917,7210,739,972,801,891,819,1681,1684,2019,1332,779,1336,817,257,40.8,11006,10542,2820,2410,11006,5343,5663,2410,1024,1386,14127,13915,212,13915,13086,497,18,0,0,0,0,46,0,0,15,21,10,0,21,123,0,0,0,0,0,0,268,212,58,146,0,0,14127,13290,555,172,46,0,276,14127,443,414,8,0,21,13684,12971,497,2,46,0,0,168,0,168,6270,10801,5228,5573
2016,Mason County; Kentucky,17229,8535,8694,1070,986,1181,1159,1062,1921,2098,2424,1331,1171,1627,695,504,40.9,13240,12604,3393,2826,13240,6386,6854,2826,1194,1632,17229,16773,456,16773,15677,951,8,8,0,0,0,127,8,22,17,57,23,0,21,161,0,0,0,0,0,0,10,456,249,180,8,0,17229,16122,1204,195,135,8,21,17229,271,248,0,0,23,16958,15413,951,8,127,0,10,449,4,445,8147,13045,6230,6815
2016,Garrard County; Kentucky,17051,8359,8692,931,1074,1148,999,859,1861,2153,2689,1471,1058,1664,801,343,42.4,13258,12757,3449,2808,13258,6402,6856,2808,1237,1571,17051,16685,366,16685,16392,207,24,4,0,0,0,27,0,17,0,0,10,0,21,079,0,0,0,0,0,0,35,366,51,294,0,0,17051,16747,269,318,27,10,56,17051,385,291,17,0,77,16666,16063,207,24,27,0,0,345,0,345,7464,13101,6307,6794
2016,Campbell County; Kentucky,91456,44729,46727,5374,5946,5144,6405,6793,13001,11046,12836,6524,5685,7180,3765,1757,37.9,71539,67314,16061,12702,71539,34546,36993,12702,5430,7272,91456,90089,1367,90089,85812,3056,67,18,0,0,0,690,250,122,39,19,72,22,21,037,166,31,31,0,0,0,433,1367,393,385,382,11,91456,87144,3476,479,1092,75,585,91456,1675,876,55,33,711,89781,84636,3034,67,673,31,57,1283,56,1227,39873,70472,33998,36474
2016,Grant County; Kentucky,24705,12263,12442,1752,2151,1777,1669,1576,2925,3267,3569,1594,1283,1993,901,248,36.6,17868,17068,3930,3142,17868,8830,9038,3142,1439,1703,24705,24245,460,24245,23439,146,48,21,0,0,0,21,6,0,0,0,15,0,21,081,0,0,0,0,0,0,591,460,339,97,0,0,24705,23899,492,152,21,0,608,24705,629,502,58,0,69,24076,23266,146,43,21,0,143,457,14,443,9966,17646,8724,8922
