year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Mason County; Michigan,28755,14295,14460,1508,1738,1630,1682,1621,2949,2968,3844,2374,2377,3521,1939,604,45.8,22763,21866,7449,6064,22763,11204,11559,6064,2824,3240,28755,28219,536,28219,27466,251,259,10,44,0,0,168,30,57,10,6,39,10,26,105,16,0,0,0,0,0,75,536,106,173,64,0,28755,27929,400,476,240,11,242,28755,1257,1161,29,0,67,27498,26407,246,254,160,0,0,431,72,359,17301,22461,10973,11488
2016,Menominee County; Michigan,23568,11917,11651,1051,1252,1359,1435,1159,2199,2458,3475,2036,2048,2805,1563,728,47.8,18989,18200,6364,5096,18989,9500,9489,5096,2397,2699,23568,22988,580,22988,22286,65,535,9,45,0,0,66,7,25,15,2,0,0,26,109,17,0,0,0,0,0,36,580,134,303,70,23,23568,22836,223,869,143,1,77,23568,383,307,48,0,28,23185,22051,65,489,66,0,5,509,1,508,14148,18900,9479,9421
2016,Montcalm County; Michigan,62922,32440,30482,3635,4072,4120,4093,3712,7781,7612,9187,4746,3900,5859,3028,1177,40.4,48435,46366,12405,10064,48435,24953,23482,10064,4620,5444,62922,61475,1447,61475,59322,1261,339,46,151,0,4,247,56,22,55,3,65,36,26,117,10,13,9,4,0,0,293,1447,429,358,105,38,62922,60596,1844,809,434,38,709,62922,2095,1645,280,7,163,60827,57898,1228,302,247,13,28,1111,79,1032,28113,48103,24799,23304
2016,Missaukee County; Michigan,15032,7685,7347,951,958,979,934,799,1666,1523,2119,1105,1115,1697,907,279,43.2,11544,10986,3506,2883,11544,5849,5695,2883,1412,1471,15032,14855,177,14855,14558,86,108,19,50,0,0,69,47,5,3,0,1,0,26,113,13,0,0,0,0,0,34,177,40,98,26,0,15032,14735,126,206,95,0,47,15032,380,295,20,0,65,14652,14240,80,100,69,0,0,163,0,163,9077,11415,5772,5643
2016,St. Joseph County; Michigan,60923,30276,30647,4124,4119,4448,4116,3465,7243,7009,8082,4256,4072,5646,3083,1260,39.3,45617,43438,12422,9989,45617,22440,23177,9989,4409,5580,60923,59408,1515,59408,55797,1537,290,37,24,0,0,314,94,33,47,29,91,7,26,149,13,20,17,3,0,0,1450,1515,594,405,268,7,60923,57238,2276,768,610,50,1604,60923,4456,3976,178,93,209,56467,53032,1532,127,314,20,58,1384,21,1363,27638,44268,21804,22464
2016,St. Clair County; Michigan,160069,79403,80666,8273,9565,10582,10435,9529,16928,18946,25249,12581,11321,15497,7989,3174,42.9,124874,119282,33471,26660,124874,61269,63605,26660,12074,14586,160069,155864,4205,155864,149831,3416,305,50,49,0,0,1155,192,140,204,0,180,130,26,147,309,0,0,0,0,0,1157,4205,1785,1433,145,110,160069,153729,5674,2125,1395,55,1668,160069,5058,3999,231,111,717,155011,146482,3387,264,1136,0,167,3575,82,3493,71874,123236,60541,62695
2016,Van Buren County; Michigan,75216,37361,37855,4670,4659,5549,5176,4261,8101,8762,10767,5318,5927,7155,3565,1306,41.4,57032,54307,15421,12026,57032,28017,29015,12026,5538,6488,75216,72041,3175,72041,65599,2552,589,17,47,0,12,409,206,22,71,22,71,8,26,159,9,19,19,0,0,0,2873,3175,1070,800,143,110,75216,68506,3991,1787,597,68,3722,75216,8282,7219,249,126,688,66934,61508,2425,365,409,19,77,2131,27,2104,36700,55015,26995,28020
2016,Washtenaw County; Michigan,358082,177102,180980,18568,18743,20356,31850,47015,50295,41831,44932,21439,20177,25689,11874,5313,33.4,288036,258471,54254,42876,288036,141205,146831,42876,19038,23838,358082,342739,15343,342739,264906,42970,1076,26,221,10,0,30582,7233,12217,1020,1830,4164,660,26,161,3458,151,59,15,45,32,3054,15343,5237,2115,4083,717,358082,278432,50965,5053,35882,685,4085,358082,15908,8502,1047,456,5903,342174,253885,42485,583,30523,101,867,13730,366,13364,149284,265871,129636,136235
2016,Arenac County; Michigan,15327,7751,7576,661,771,846,863,760,1475,1564,2226,1355,1333,2050,1046,377,48.9,12509,12069,4293,3473,12509,6292,6217,3473,1688,1785,15327,15164,163,15164,14803,76,205,4,143,0,0,59,0,0,24,0,31,0,26,011,4,0,0,0,0,0,21,163,32,87,18,0,15327,14961,117,296,82,4,34,15327,291,244,12,10,25,15036,14566,76,195,57,0,0,142,0,142,9752,12466,6276,6190
2016,Barry County; Michigan,59316,29844,29472,3248,3693,4124,3933,3174,6277,6954,8959,4419,4484,6003,2926,1122,42.6,45714,43463,12691,10051,45714,22885,22829,10051,4672,5379,59316,58462,854,58462,57126,365,154,5,81,0,2,301,20,176,33,16,6,2,26,015,48,7,7,0,0,0,509,854,213,444,56,0,59316,57963,606,628,358,39,625,59316,1528,1060,256,29,183,57788,56251,282,154,301,7,43,750,24,726,27071,45216,22611,22605
