year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Meeker County; Minnesota,23094,11734,11360,1465,1656,1579,1473,1130,2368,2656,3167,1687,1733,2256,1331,593,42.1,17415,16762,5244,4180,17415,8789,8626,4180,1948,2232,23094,22880,214,22880,22500,125,73,0,12,0,9,88,0,33,16,4,27,4,27,093,4,23,10,0,0,13,71,214,73,53,31,0,23094,22714,202,126,119,53,98,23094,805,664,0,5,136,22289,21874,92,49,88,23,0,163,0,163,10725,17113,8643,8470
2016,Pennington County; Minnesota,14156,7121,7035,928,848,935,891,864,1938,1686,1825,853,1028,1268,734,358,39.6,10881,10405,2889,2360,10881,5422,5459,2360,1034,1326,14156,13918,238,13918,13268,234,209,0,95,6,58,108,22,11,16,0,0,51,27,113,8,42,2,39,0,1,57,238,50,82,45,0,14156,13506,296,310,168,57,91,14156,479,435,14,6,24,13677,12913,214,206,108,42,20,174,0,174,6347,10789,5345,5444
2016,Rice County; Minnesota,65116,33132,31984,3652,4286,4068,5661,6339,7538,7691,8870,4185,3684,4994,2920,1228,36.5,50662,45418,11422,9142,50662,25791,24871,9142,4076,5066,65116,63962,1154,63962,57784,2718,271,16,160,0,15,1432,81,483,54,34,116,295,27,131,369,49,0,11,0,38,1708,1154,316,234,319,12,65116,58880,3067,605,1871,54,1874,65116,5059,4077,149,168,665,60057,54730,2694,271,1432,49,44,837,18,819,24564,47660,24250,23410
2016,Wilkin County; Minnesota,6479,3258,3221,348,468,398,418,215,754,709,989,472,503,598,400,207,44.1,4984,4796,1461,1205,4984,2472,2512,1205,537,668,6479,6327,152,6327,6174,47,99,0,27,0,59,0,0,0,0,0,0,0,27,167,0,0,0,0,0,0,7,152,32,58,44,14,6479,6312,93,171,44,0,11,6479,82,64,0,0,18,6397,6111,47,87,0,0,4,148,0,148,3084,4975,2467,2508
2016,Red Lake County; Minnesota,4042,2056,1986,300,289,265,214,184,429,455,534,379,236,397,227,133,42.1,3048,2944,885,757,3048,1528,1520,757,350,407,4042,3974,68,3974,3846,23,66,0,22,0,3,12,0,0,7,0,0,0,27,125,5,0,0,0,0,0,27,68,4,44,4,0,4042,3914,29,112,16,2,39,4042,129,105,4,0,20,3913,3753,20,63,10,0,4,63,7,56,1936,3020,1507,1513
2016,Clay County; Minnesota,61402,30311,31091,4211,4252,3657,5307,6992,8639,6901,7047,3636,3021,3891,2525,1323,32.6,47006,42099,9541,7739,47006,22961,24045,7739,3421,4318,61402,59600,1802,59600,56626,1271,770,0,492,0,77,644,30,181,41,38,86,155,27,027,113,26,6,0,0,20,263,1802,446,561,448,32,61402,58261,1780,1411,1231,72,480,61402,2583,2021,91,36,435,58819,54717,1237,730,641,22,9,1463,33,1430,25051,45941,22479,23462
2016,Faribault County; Minnesota,14119,7060,7059,795,877,804,839,651,1399,1419,1886,1242,1024,1557,1002,624,46.9,11060,10717,3802,3183,11060,5447,5613,3183,1367,1816,14119,13926,193,13926,13762,28,11,0,11,0,0,47,0,4,25,0,2,0,27,043,16,0,0,0,0,0,78,193,63,90,24,1,14119,13954,92,102,71,0,93,14119,877,744,3,0,130,13242,12974,28,11,47,0,1,181,3,178,7025,10869,5352,5517
2016,Fillmore County; Minnesota,20877,10470,10407,1322,1410,1467,1204,1052,2156,2295,2701,1581,1453,2113,1288,835,43.0,15868,15298,5072,4236,15868,7865,8003,4236,1929,2307,20877,20726,151,20726,20497,87,16,0,6,0,1,91,0,11,27,9,7,0,27,045,37,2,2,0,0,0,33,151,39,50,44,4,20877,20642,134,81,138,4,41,20877,266,198,0,0,68,20611,20263,85,16,91,2,5,149,0,149,9824,15710,7761,7949
2016,Lake County; Minnesota,10721,5481,5240,542,526,549,532,437,1034,1070,1468,897,1019,1350,954,343,50.4,8759,8442,3199,2647,8759,4458,4301,2647,1308,1339,10721,10594,127,10594,10390,96,56,0,15,0,0,0,0,0,0,0,0,0,27,075,0,7,0,0,0,7,45,127,27,69,8,0,10721,10517,138,140,8,12,48,10721,149,72,0,20,57,10572,10289,96,56,0,7,0,124,0,124,7722,8646,4370,4276
2016,Polk County; Minnesota,31550,15931,15619,2023,2099,2097,2116,2236,3829,3242,4225,2247,2046,2768,1712,910,38.5,24120,22789,6438,5390,24120,12064,12056,5390,2394,2996,31550,30761,789,30761,29368,446,373,4,236,3,33,240,9,48,22,14,76,5,27,119,66,16,3,8,0,5,318,789,159,339,123,9,31550,30130,674,768,365,32,420,31550,1880,1391,70,5,414,29670,27939,438,358,240,13,2,680,0,680,14679,23562,11843,11719
2016,Roseau County; Minnesota,15609,7999,7610,946,988,1239,1114,836,1584,1824,2428,1190,1019,1342,747,352,41.1,11716,11169,3014,2441,11716,6001,5715,2441,1157,1284,15609,15376,233,15376,14569,117,220,0,148,0,17,443,13,2,52,0,25,53,27,135,298,2,0,0,0,2,25,233,16,142,53,0,15609,14788,134,365,510,18,28,15609,166,87,30,27,22,15443,14479,112,220,434,2,0,196,0,196,7448,11495,5892,5603
2016,Sibley County; Minnesota,14957,7555,7402,895,1045,1057,980,736,1570,1803,2225,1198,828,1320,839,461,41.7,11310,10833,3057,2620,11310,5664,5646,2620,1144,1476,14957,14812,145,14812,14476,70,29,0,5,0,10,97,44,27,9,1,3,0,27,143,13,3,0,2,0,1,137,145,63,45,21,0,14957,14620,136,76,118,4,150,14957,1237,1139,4,26,68,13720,13390,70,29,97,0,0,134,7,127,6547,10901,5460,5441
2016,Watonwan County; Minnesota,10996,5414,5582,778,782,729,643,636,1317,1091,1332,883,693,1007,672,433,39.7,8325,7936,2488,2112,8325,4112,4213,2112,954,1158,10996,10912,84,10912,9970,70,50,0,7,0,3,131,0,6,0,0,0,6,27,165,119,0,0,0,0,0,691,84,24,33,0,0,10996,10053,109,84,131,0,718,10996,2489,1945,0,0,544,8507,8225,70,20,131,0,0,61,0,61,5039,7448,3581,3867
2016,Becker County; Minnesota,33375,16693,16682,2179,2394,2215,2069,1683,3570,3546,4264,2495,2570,3646,1841,903,42.2,25179,24259,7925,6390,25179,12576,12603,6390,3022,3368,33375,32263,1112,32263,29299,154,2517,8,2247,0,61,165,0,58,11,1,32,29,27,005,34,10,2,3,1,4,118,1112,140,786,83,12,33375,30357,321,3347,272,28,172,33375,587,317,42,14,214,32788,28956,152,2448,165,10,18,1039,4,1035,19117,24854,12528,12326
