year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Champaign County; Ohio,39175,19599,19576,2145,2660,2619,2700,2446,4228,4887,5669,2725,2601,3874,1790,831,41.6,30048,28489,8027,6495,30048,14835,15213,6495,2943,3552,39175,38077,1098,38077,36965,666,38,2,0,0,9,194,0,43,63,0,3,35,39,021,50,36,0,21,0,15,178,1098,619,340,42,9,39175,38020,1309,407,270,36,251,39175,583,399,37,14,133,38592,36631,666,17,194,36,20,1028,34,994,16684,29882,14746,15136
2016,Greene County; Ohio,164325,80712,83613,9040,9039,10103,12478,14591,21618,18002,21922,11635,10431,14484,7547,3435,38.0,130115,120047,31562,25466,130115,63126,66989,25466,11343,14123,164325,159251,5074,159251,141803,11689,238,54,42,0,0,4720,1618,1096,346,231,401,438,39,057,590,37,0,0,15,22,764,5074,1924,938,1269,117,164325,146447,14086,1417,6398,360,1071,164325,4308,2530,818,243,717,160017,138696,11537,220,4690,37,176,4661,59,4602,69139,126482,61517,64965
2016,Lawrence County; Ohio,61503,30191,31312,3413,3650,4285,3864,3471,7240,7826,8521,4377,4162,6152,3493,1049,41.4,47567,45696,13050,10694,47567,22851,24716,10694,4681,6013,61503,60505,998,60505,58678,1385,55,0,0,0,0,334,36,0,29,4,107,0,39,087,158,0,0,0,0,0,53,998,526,315,69,16,61503,59660,1928,387,403,17,107,61503,541,208,33,0,300,60962,58400,1385,55,262,0,17,843,7,836,27313,47432,22794,24638
2016,Morgan County; Ohio,14857,7392,7465,747,954,941,1007,791,1545,1671,2073,1103,1165,1610,967,283,43.8,11583,11028,3686,2860,11583,5658,5925,2860,1340,1520,14857,14408,449,14408,13849,471,40,34,0,0,0,19,0,2,0,0,10,0,39,115,7,0,0,0,0,0,29,449,189,128,8,17,14857,14281,784,292,27,0,29,14857,118,87,0,0,31,14739,13738,470,40,19,0,23,449,0,449,7834,11544,5630,5914
2016,Wyandot County; Ohio,22359,11090,11269,1280,1562,1450,1475,1177,2462,2770,3074,1569,1529,2144,1300,567,41.7,17089,16258,4893,4011,17089,8378,8711,4011,1734,2277,22359,22183,176,22183,21731,93,0,0,0,0,0,174,0,35,0,64,0,0,39,175,75,4,0,0,0,4,181,176,65,37,60,0,22359,21907,165,44,234,4,188,22359,580,411,90,0,79,21779,21345,93,0,174,0,8,159,0,159,9881,16920,8247,8673
2016,Erie County; Ohio,75808,37092,38716,3980,4574,4316,4553,4678,8073,8248,10799,6283,5412,8416,4663,1813,44.5,59958,57534,18047,14892,59958,29063,30895,14892,6822,8070,75808,73165,2643,73165,65526,6066,363,68,0,0,82,437,95,40,23,9,106,92,39,043,72,86,79,0,7,0,687,2643,1728,328,174,52,75808,68039,8069,923,689,176,801,75808,3050,2092,741,56,161,72758,63576,5948,207,434,86,110,2397,39,2358,37715,59313,28717,30596
2016,Logan County; Ohio,45388,22470,22918,2751,2855,3308,2974,2483,4992,5414,6493,3319,3291,4387,2199,922,41.2,34469,32992,9367,7508,34469,16841,17628,7508,3340,4168,45388,44356,1032,44356,43113,756,24,0,0,0,0,334,98,55,29,34,11,22,39,091,85,2,2,0,0,0,127,1032,602,265,78,7,45388,44128,1413,334,425,9,152,45388,637,332,156,32,117,44751,42616,741,24,334,2,9,1025,25,1000,23174,34240,16675,17565
2016,Summit County; Ohio,541372,262454,278918,30898,31257,33756,35048,35281,68717,64297,77254,41204,35971,48187,25652,13850,40.8,423955,402855,108949,87689,423955,202590,221365,87689,37356,50333,541372,526490,14882,526490,430787,77746,911,190,30,8,16,14835,4012,2665,662,381,669,1302,39,153,5144,175,45,69,0,61,2036,14882,8118,1855,2472,324,541372,444890,87270,3938,17991,508,2832,541372,10170,4702,2598,356,2514,531202,423586,77108,827,14826,136,755,13964,397,13567,245164,412228,196431,215797
2016,Shelby County; Ohio,48949,24679,24270,3175,3561,3709,3395,2808,5513,5947,6998,3630,3059,4057,2178,919,39.5,36256,34506,8953,7154,36256,17996,18260,7154,3199,3955,48949,48411,538,48411,46226,1450,179,14,0,0,20,405,126,58,75,102,5,0,39,149,39,0,0,0,0,0,151,538,247,75,70,0,48949,46631,1736,262,608,26,232,48949,722,598,36,3,85,48227,45695,1450,161,395,0,16,510,81,429,20327,35755,17718,18037
2016,Williams County; Ohio,37270,18437,18833,2153,2423,2488,2309,2128,4284,4451,5184,2872,2463,3507,2194,814,41.6,28738,27534,8026,6515,28738,14216,14522,6515,2868,3647,37270,36866,404,36866,35640,414,108,15,0,0,11,221,9,25,26,8,29,26,39,171,98,10,6,0,0,4,473,404,137,101,21,1,37270,36032,616,235,243,31,571,37270,1507,1055,74,39,339,35763,34763,402,86,219,10,0,283,0,283,16522,28528,14081,14447
