year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Kay County; Oklahoma,45398,22517,22881,3151,3158,3225,3095,2855,5232,5083,5517,2952,2924,4407,2770,1029,38.6,33997,32079,10081,8206,33997,16625,17372,8206,3626,4580,45398,41835,3563,41835,36077,868,3560,573,1,50,4,282,118,9,19,9,97,4,40,071,26,0,0,0,0,0,1048,3563,358,2621,27,63,45398,39446,1337,6559,439,96,1402,45398,3305,3030,24,36,215,42093,34456,868,3373,282,0,2,3112,44,3068,21617,33419,16292,17127
2016,Craig County; Oklahoma,14683,7494,7189,834,890,961,881,853,1698,1748,2107,1034,869,1614,835,359,42.6,11426,10971,3297,2808,11426,5842,5584,2808,1226,1582,14683,13309,1374,13309,9694,458,2891,2252,0,0,1,101,16,24,15,0,11,29,40,035,6,29,22,7,0,0,136,1374,79,941,19,120,14683,10920,735,4021,133,143,178,14683,480,412,13,0,55,14203,9479,439,2832,101,29,0,1323,7,1316,6730,11284,5765,5519
2016,Canadian County; Oklahoma,129571,64268,65303,9073,10744,8886,8586,7072,19037,18474,17106,8140,6856,9489,4308,1800,35.7,95191,90715,19457,15597,95191,46905,48286,15597,6955,8642,129571,122552,7019,122552,105804,3005,5139,834,0,38,13,4096,1314,369,97,81,39,1496,40,017,700,12,2,0,6,4,4496,7019,1316,3873,491,468,129571,112148,4857,9634,4778,86,5198,129571,10250,8518,294,162,1276,119321,100739,2981,4883,4096,12,493,6117,77,6040,47126,92613,45413,47200
2016,Latimer County; Oklahoma,10643,5393,5250,607,621,717,822,773,1210,1090,1391,697,654,1105,700,256,39.0,8250,7730,2415,2061,8250,4107,4143,2061,1032,1029,10643,9480,1163,9480,7235,128,2012,331,6,0,0,42,5,23,4,0,0,0,40,077,10,0,0,0,0,0,63,1163,42,1024,0,8,10643,8354,218,3111,66,0,115,10643,349,169,33,0,147,10294,7088,128,1951,42,0,4,1081,0,1081,4977,8193,4083,4110
2016,Texas County; Oklahoma,21499,11359,10140,1722,1692,1603,1727,1672,3147,2798,2473,1276,1080,1322,803,184,32.0,15565,14405,2884,2309,15565,8307,7258,2309,1111,1198,21499,20637,862,20637,13430,679,145,26,0,0,0,578,6,12,73,9,5,67,40,139,406,0,0,0,0,0,5805,862,46,471,39,28,21499,14209,794,744,638,8,6048,21499,9683,8325,5,187,1166,11816,9973,648,96,578,0,58,463,0,463,8185,11559,5880,5679
2016,Pushmataha County; Oklahoma,11149,5462,5687,642,699,696,668,548,1211,1121,1542,922,662,1413,719,306,44.9,8693,8321,2829,2438,8693,4199,4494,2438,1126,1312,11149,9970,1179,9970,8369,110,1368,133,4,3,0,44,0,0,2,0,0,0,40,127,42,4,1,0,0,3,75,1179,27,1102,9,25,11149,9523,164,2509,65,6,75,11149,357,324,6,3,24,10792,8127,109,1339,44,4,0,1169,0,1169,6114,8605,4147,4458
2016,Johnston County; Oklahoma,11027,5422,5605,684,712,774,754,635,1330,1189,1476,746,748,1160,590,229,40.1,8411,7911,2345,1979,8411,4095,4316,1979,905,1074,11027,8967,2060,8967,7916,212,685,35,0,0,0,12,0,0,0,0,0,0,40,069,12,19,19,0,0,0,123,2060,92,1741,0,10,11027,9948,314,2490,25,37,322,11027,519,463,23,4,29,10508,7751,207,670,12,0,0,1868,20,1848,5138,8373,4065,4308
2016,Beaver County; Oklahoma,5479,2707,2772,328,381,451,377,306,524,672,738,415,340,516,318,113,41.0,4082,3830,1157,947,4082,2042,2040,947,462,485,5479,5442,37,5442,4504,9,27,12,0,0,0,0,0,0,0,0,0,0,40,007,0,0,0,0,0,0,902,37,5,32,0,0,5479,4541,14,59,0,0,902,5479,1191,1122,0,0,69,4288,4204,9,27,0,0,11,37,0,37,2666,3763,1885,1878
2016,Hughes County; Oklahoma,13727,7368,6359,726,744,908,824,886,1897,1664,1721,899,827,1413,841,377,39.9,10816,10347,3188,2631,10816,5852,4964,2631,1144,1487,13727,12916,811,12916,9336,799,2713,178,0,3,3,6,0,0,0,0,6,0,40,063,0,6,0,0,6,0,56,811,50,606,0,78,13727,10048,981,3460,22,6,77,13727,652,576,5,0,71,13075,8843,799,2649,6,6,0,772,5,767,6238,10743,5804,4939
2016,Comanche County; Oklahoma,124583,64689,59894,9283,8736,7659,9126,12230,20830,15140,14766,6986,6051,7855,4397,1524,32.0,94290,87605,17370,13776,94290,49206,45084,13776,6102,7674,124583,113734,10849,113734,79469,21505,6892,725,14,73,92,2644,134,289,567,240,742,170,40,031,502,630,192,242,109,87,2594,10849,2237,3175,1694,928,124583,88105,25898,11843,5351,1415,3789,124583,15486,10351,2894,145,2096,109097,71317,20388,6052,2586,590,154,8010,75,7935,51611,91504,47889,43615
2016,Adair County; Oklahoma,22161,10997,11164,1513,1717,1652,1612,1428,2650,2730,2960,1430,1293,1938,973,265,37.1,16219,15419,4006,3176,16219,7963,8256,3176,1493,1683,22161,19783,2378,19783,9618,79,9652,8628,0,4,11,136,18,0,30,0,2,22,40,001,64,22,8,3,0,11,276,2378,81,2054,15,52,22161,11920,215,11893,192,30,406,22161,1362,1291,31,0,40,20799,9099,79,9272,136,22,19,2172,7,2165,9247,15908,7765,8143
2016,Stephens County; Oklahoma,44631,21698,22933,2759,3148,2895,2825,2536,5282,5229,5747,3390,2839,4245,2700,1036,40.2,33989,32593,9737,7981,33989,16361,17628,7981,3487,4494,44631,42522,2109,42522,37500,937,2364,352,0,0,4,269,0,102,44,0,93,27,40,137,3,13,13,0,0,0,1439,2109,273,1453,67,56,44631,39491,1333,3910,387,37,1633,44631,3125,2605,129,17,374,41506,36225,878,2304,265,13,24,1797,24,1773,20696,33328,16132,17196
2016,Carter County; Oklahoma,48530,23448,25082,3274,3818,3122,3232,2884,5989,6197,6149,3454,2782,4274,2411,944,38.2,36197,34622,9249,7629,36197,17452,18745,7629,3276,4353,48530,44766,3764,44766,36143,3257,3782,382,0,0,2,547,105,194,38,16,97,63,40,019,34,8,8,0,0,0,1029,3764,377,2454,89,424,48530,39385,4256,6936,680,8,1229,48530,3181,2619,77,16,469,45349,34570,3257,3617,547,8,10,3340,19,3321,21497,35426,16994,18432
