year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2017,Monroe County; Alabama,21745,10355,11390,90.9,1284,1262,1544,1514,1347,2205,2449,2939,1665,1488,2359,1247,442,41.7,5071,17228,16674,15925,4916,4048,16674,7714,8960,86.1,4048,1779,2269,78.4,21745,21392,353,21392,11973,9029,274,0,0,0,0,116,33,01,099,0,16,3,0,0,64,0,0,0,0,0,0,353,81,120,0,0,21745,12326,9262,546,116,0,0,21745,286,171,90,0,25,21459,11842,8874,274,116,0,0,353,0,353,11375,16664,7707,8957
2017,Lawrence County; Alabama,33288,16164,17124,94.4,1836,2141,2031,1963,1947,3952,4044,4987,2677,2103,3478,1641,488,42.0,7242,26846,26046,25029,6770,5607,26046,12592,13454,93.6,5607,2474,3133,79.0,33288,31530,1758,31530,25978,3801,1730,1546,0,0,0,18,0,01,079,5,0,0,0,13,0,0,0,0,0,0,3,1758,184,1290,89,7,33288,27729,4006,3030,111,0,184,33288,701,590,13,11,87,32587,25492,3801,1730,18,0,0,1546,42,1504,15347,25915,12547,13368
2017,Lee County; Alabama,156597,77172,79425,97.2,9283,9190,9602,13532,22538,22454,18921,18343,8221,7677,10527,4896,1413,31.0,33839,126616,122758,108938,21737,16836,122758,59908,62850,95.3,16836,7517,9319,80.7,156597,153785,2812,153785,109481,36139,166,64,0,0,0,6000,745,01,081,1218,114,181,2696,486,560,12,0,0,0,12,1987,2812,883,830,415,127,156597,111991,37502,1212,6639,71,2190,156597,5813,2216,1025,114,2458,150784,105864,35923,145,5873,0,438,2541,68,2473,67087,117422,56819,60603
2017,Marion County; Alabama,30058,14880,15178,98.0,1540,1622,1976,1871,1643,3257,3638,4282,2033,2055,3487,1833,821,44.1,6351,24401,23707,22596,7503,6141,23707,11556,12151,95.1,6141,2685,3456,77.7,30058,29491,567,29491,28032,1003,128,97,0,6,0,96,0,01,093,16,15,14,1,50,0,0,0,0,0,0,232,567,225,120,44,43,30058,28518,1271,291,259,118,249,30058,741,431,145,0,165,29317,27637,963,128,96,0,0,493,16,477,14811,23525,11478,12047
2017,Pickens County; Alabama,20170,9601,10569,90.8,1120,1024,1243,1316,1226,2539,2302,2936,1490,1332,2070,1064,508,42.1,4186,16554,15984,15177,4345,3642,15984,7420,8564,86.6,3642,1570,2072,75.8,20170,19870,300,19870,11305,8189,22,0,0,0,0,13,0,01,107,0,2,0,0,0,11,10,10,0,0,0,331,300,143,50,9,4,20170,11534,8425,76,44,10,403,20170,826,629,36,20,141,19344,10914,8162,22,13,10,9,214,0,214,9538,15585,7392,8193
2017,Sumter County; Alabama,13084,6033,7051,85.6,689,749,677,1234,1491,1474,1268,1497,1000,854,1144,734,273,35.9,2579,10788,10505,9383,2678,2151,10505,4672,5833,80.1,2151,853,1298,65.7,13084,13018,66,13018,3235,9268,68,0,0,0,0,392,0,01,119,364,0,0,0,4,24,0,0,0,0,0,55,66,48,14,0,0,13084,3297,9320,82,392,0,59,13084,34,21,0,0,13,13050,3217,9256,68,392,0,55,62,0,62,6833,10220,4503,5717
2017,Jefferson County; Alabama,659460,312333,347127,90.0,42783,43092,41136,41579,43822,94858,83485,84798,45746,41664,54828,29078,12591,37.6,152179,524242,507281,481852,121070,96497,507281,234851,272430,86.2,96497,39581,56916,69.5,659460,649095,10365,649095,343449,280804,1550,471,3,0,30,10187,2801,01,073,2448,520,171,975,1743,1529,184,30,32,0,122,12921,10365,3618,1890,1779,606,659460,351967,286759,4844,12745,463,13912,659460,24692,16816,1999,349,5528,634768,332267,279928,1224,10093,174,1535,9547,245,9302,306110,491022,225848,265174
2017,Choctaw County; Alabama,13188,6277,6911,90.8,662,730,786,851,710,1300,1480,1866,1044,923,1629,973,234,45.8,2706,10850,10482,10028,3460,2836,10482,4887,5595,87.3,2836,1241,1595,77.8,13188,13058,130,13058,7456,5583,4,2,0,0,0,8,0,01,023,0,8,0,0,0,0,0,0,0,0,0,7,130,14,50,2,26,13188,7560,5661,118,10,0,7,13188,71,23,40,8,0,13117,7420,5553,4,8,0,2,130,0,130,7329,10454,4882,5572
2017,Franklin County; Alabama,31507,15818,15689,100.8,1897,2005,2474,2138,2259,3804,4028,4083,1765,1915,2999,1682,458,37.7,7772,24597,23735,22403,6374,5139,23735,11689,12046,97.0,5139,2292,2847,80.5,31507,31263,244,31263,27055,1528,291,5,0,0,0,117,0,01,059,2,3,0,5,0,107,32,0,0,0,32,2240,244,26,33,2,0,31507,27288,1710,327,262,43,2269,31507,5146,2528,28,71,2519,26361,24474,1471,52,117,32,14,201,0,201,14132,21935,10798,11137
2017,Marengo County; Alabama,19743,9235,10508,87.9,1195,1104,1415,1422,1050,2283,2262,2581,1307,1436,2037,1373,278,42.1,4534,15822,15209,14297,4516,3688,15209,7039,8170,86.2,3688,1594,2094,76.1,19743,19706,37,19706,8954,10689,11,0,0,0,0,0,0,01,091,0,0,0,0,0,0,0,0,0,0,0,52,37,0,25,0,11,19743,8980,10700,47,0,1,52,19743,88,78,0,0,10,19655,8909,10689,11,0,0,9,37,0,37,10307,15131,6999,8132
