year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2018,Bacon County; Georgia,11228,5564,5664,98.2,809,926,714,649,701,1503,1529,1314,721,662,1032,548,120,37.0,2869,8628,8359,8038,2016,1700,8359,4066,4293,94.7,1700,723,977,74.0,11228,10930,298,10930,9073,1714,0,0,0,0,0,30,22,13,005,3,5,0,0,0,0,25,25,0,0,0,88,298,142,20,33,9,11228,9287,1940,29,63,50,157,11228,940,754,154,6,26,10288,8252,1714,0,30,25,0,267,50,217,4791,8030,3870,4160
2018,Brantley County; Georgia,18561,9103,9458,96.2,1106,1448,1098,1363,1014,2122,2251,2632,1446,1228,1809,854,190,40.9,4482,14554,14079,13307,3569,2853,14079,6823,7256,94.0,2853,1329,1524,87.2,18561,18289,272,18289,17399,655,35,23,0,0,0,183,0,13,025,183,0,0,0,0,0,3,0,0,3,0,14,272,110,73,0,0,18561,17604,832,108,223,3,63,18561,392,134,161,0,97,18169,17162,569,23,183,3,11,218,0,218,8119,13945,6747,7198
2018,Ben Hill County; Georgia,17154,8047,9107,88.4,1087,929,1588,1230,920,1910,2150,2227,1104,1228,1668,836,277,39.7,4345,13359,12809,12273,3544,2781,12809,5941,6868,86.5,2781,1117,1664,67.1,17154,16965,189,16965,10375,6286,0,0,0,0,0,18,0,13,017,0,0,0,0,0,18,9,9,0,0,0,277,189,41,66,24,0,17154,10534,6356,90,72,27,299,17154,1042,918,36,0,88,16112,9656,6286,0,18,9,0,143,0,143,7978,12435,5695,6740
2018,Burke County; Georgia,22550,10697,11853,90.2,1646,1454,1816,1691,1238,2810,2502,2913,1748,1433,2086,932,281,37.5,5891,17390,16659,15688,4082,3299,16659,7758,8901,87.2,3299,1422,1877,75.8,22550,22316,234,22316,10934,10958,5,5,0,0,0,68,45,13,033,15,8,0,0,0,0,0,0,0,0,0,351,234,17,8,20,0,22550,11028,11065,13,138,50,490,22550,703,544,84,36,39,21847,10618,10952,5,61,0,7,204,109,95,10004,16389,7570,8819
2018,Catoosa County; Georgia,66299,31991,34308,93.2,3634,4181,4652,4361,3886,8017,8838,9182,4044,4385,6625,3681,813,39.9,15397,52889,50902,48852,13931,11119,50902,23932,26970,88.7,11119,4806,6313,76.1,66299,64825,1474,64825,61318,1558,220,184,0,0,0,953,97,13,047,323,107,27,69,188,142,24,0,0,24,0,752,1474,772,328,191,57,66299,62691,2486,660,1188,24,779,66299,1942,1360,136,97,349,64357,60449,1432,220,870,24,0,1362,0,1362,27220,50098,23476,26622
2018,Chattahoochee County; Georgia,10767,7172,3595,199.5,892,692,557,1389,2359,2335,1066,611,184,273,269,124,16,23.7,2317,8538,8450,6695,585,409,8450,6007,2443,245.9,409,165,244,67.6,10767,10429,338,10429,7510,2263,37,0,0,3,0,391,20,13,053,74,109,0,112,16,60,35,0,0,0,35,193,338,133,23,74,0,10767,7813,2456,87,488,61,251,10767,1653,643,480,47,483,9114,6308,2111,34,333,35,49,244,6,238,3346,8229,5872,2357
2018,Chattooga County; Georgia,24817,12865,11952,107.6,1375,1692,1608,1501,1563,3047,3191,3308,1739,1592,2459,1323,419,39.5,5614,19894,19203,18348,5102,4201,19203,9912,9291,106.7,4201,1835,2366,77.6,24817,24477,340,24477,21407,2507,29,8,0,0,0,130,113,13,055,0,4,0,0,0,13,0,0,0,0,0,404,340,143,120,37,0,24817,21715,2657,174,167,0,444,24817,1230,368,38,4,820,23587,20575,2489,29,130,0,50,314,32,282,10956,18685,9647,9038
2018,Columbia County; Georgia,147295,71970,75325,95.5,9373,10862,10838,10154,8726,20365,20606,19841,8923,8901,11655,5211,1840,36.6,37822,114038,109473,103742,23749,18706,109473,52772,56701,93.1,18706,8461,10245,82.6,147295,142249,5046,142249,109501,24575,436,82,0,0,59,5995,1595,13,073,619,892,151,1452,958,328,0,0,0,0,0,1742,5046,1946,583,1491,65,147295,114194,26898,1397,7820,303,2089,147295,9481,4474,2148,99,2760,137814,102337,24274,227,5828,0,659,4489,67,4422,56178,104947,50566,54381
2018,Decatur County; Georgia,26833,12907,13926,92.7,1802,1666,2005,1896,1667,3426,3170,3556,1998,1426,2411,1432,378,38.1,6597,20981,20236,19240,4963,4221,20236,9618,10618,90.6,4221,1761,2460,71.6,26833,26629,204,26629,14060,11165,19,0,0,0,0,90,0,13,087,33,3,0,54,0,0,0,0,0,0,0,1295,204,38,59,84,0,26833,14264,11204,79,174,0,1317,26833,1577,1496,0,22,59,25256,13555,11160,19,90,0,250,182,0,182,12204,19695,9349,10346
2018,Floyd County; Georgia,96824,46810,50014,93.6,5851,5876,7033,7030,6947,11998,11788,12531,6194,5940,8942,4772,1922,38.5,22672,76630,74152,69565,19426,15636,74152,35178,38974,90.3,15636,6765,8871,76.3,96824,94864,1960,94864,75735,13861,177,15,3,0,0,1540,498,13,115,126,164,24,226,364,138,0,0,0,0,0,3551,1960,934,515,59,28,96824,77424,14890,768,1832,63,3903,96824,10422,4333,485,181,5423,86402,68897,13781,159,1441,0,563,1561,112,1449,40505,69688,32901,36787
