year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2019,Rapides Parish; Louisiana,130970,63380,67590,93.8,8893,8924,9147,8735,8359,17216,15694,16260,8941,7997,11996,6451,2357,37.4,32640,102330,98330,93588,25479,20804,98330,46574,51756,90.0,20804,8883,11921,74.5,130970,127974,2996,127974,83120,41341,999,89,0,0,0,1721,245,22,079,410,221,80,10,208,547,10,10,0,0,0,783,2996,1063,773,440,411,130970,85624,43000,2280,2231,58,888,130970,4123,2706,397,74,946,126847,80178,41147,947,1685,10,84,2796,32,2764,58153,96729,45804,50925
2019,Tangipahoa Parish; Louisiana,132057,63939,68118,93.9,9507,8647,9208,9418,9378,19127,16446,15326,8520,7989,11620,5485,1386,35.3,32437,102868,99620,92685,23393,18491,99620,47521,52099,91.2,18491,8259,10232,80.7,132057,129242,2815,129242,88627,38910,341,51,0,0,3,989,99,22,105,200,108,14,38,441,89,0,0,0,0,0,375,2815,1583,540,172,259,132057,91119,40929,1269,1161,39,484,132057,5642,2906,683,194,1859,126415,83496,38794,341,989,0,88,2707,46,2661,55325,98074,46659,51415
2019,West Carroll Parish; Louisiana,11041,5593,5448,102.7,601,708,818,673,551,1421,1359,1340,850,652,1126,697,245,40.3,2523,8828,8518,8093,2477,2068,8518,4228,4290,98.6,2068,881,1187,74.2,11041,10883,158,10883,8842,1778,19,14,0,0,0,0,0,22,123,0,0,0,0,0,0,7,7,0,0,0,237,158,12,64,68,7,11041,8993,1797,90,68,14,237,11041,425,285,24,5,111,10616,8697,1778,19,0,7,17,98,0,98,5158,8473,4207,4266
2019,Caldwell Parish; Louisiana,9992,5239,4753,110.2,623,787,574,514,746,1284,1089,1318,663,582,1110,547,155,39.8,2330,7851,7662,7409,2151,1812,7662,3955,3707,106.7,1812,804,1008,79.8,9992,9934,58,9934,8163,1638,33,0,0,0,0,31,0,22,021,0,10,0,0,0,21,0,0,0,0,0,69,58,15,13,19,0,9992,8221,1653,46,50,11,69,9992,320,282,0,0,38,9672,7912,1638,33,31,0,0,58,0,58,5208,7589,3918,3671
2019,East Carroll Parish; Louisiana,7096,4309,2787,154.6,474,346,368,246,777,1438,791,820,495,345,565,362,69,33.9,1270,5886,5826,5499,1148,996,5826,3664,2162,169.5,996,422,574,73.5,7096,7042,54,7042,2084,4945,0,0,0,0,0,0,0,22,035,0,0,0,0,0,0,0,0,0,0,0,13,54,32,12,0,5,7096,2133,4982,17,0,0,18,7096,39,5,0,0,34,7057,2056,4945,0,0,0,7,49,0,49,2889,5812,3660,2152
2019,Evangeline Parish; Louisiana,33589,17218,16371,105.2,2274,2408,2271,2571,2210,4642,3803,4226,1899,2216,2944,1728,397,35.7,8369,26015,25220,23658,6508,5069,25220,12938,12282,105.3,5069,2283,2786,81.9,33589,33088,501,33088,22794,9273,116,109,0,0,0,158,74,22,039,19,0,0,35,6,24,21,21,0,0,0,726,501,343,110,27,0,33589,23293,9616,226,187,21,747,33589,1254,608,1,41,604,32335,22277,9109,89,158,21,192,489,10,479,15055,24186,12052,12134
2019,St. Bernard Parish; Louisiana,46266,22625,23641,95.7,3407,3638,3563,2819,2561,7826,6265,5389,3189,2496,3280,1433,400,34.2,12410,34998,33856,32418,6699,5113,33856,16357,17499,93.5,5113,2377,2736,86.9,46266,45134,1132,45134,32097,10757,169,3,0,0,0,1170,204,22,087,171,307,0,0,409,79,35,15,0,0,20,906,1132,322,429,8,24,46266,33109,11185,714,1291,123,1152,46266,4655,921,304,386,3044,41611,28844,10521,75,1152,18,203,798,18,780,17035,32669,15694,16975
2019,West Baton Rouge Parish; Louisiana,26101,12738,13363,95.3,1769,1950,1488,1647,1600,3917,3520,3283,1662,1786,2095,1161,223,36.3,6241,20500,19860,19054,4517,3479,19860,9777,10083,97.0,3479,1546,1933,80.0,26101,25799,302,25799,15222,10458,21,21,0,0,0,16,0,22,121,0,0,0,0,0,16,0,0,0,0,0,82,302,117,71,28,6,26101,15479,10601,118,83,60,82,26101,818,327,164,14,313,25283,14579,10365,21,16,0,0,302,0,302,10977,19651,9586,10065
2019,Red River Parish; Louisiana,8565,4023,4542,88.6,546,661,589,551,428,973,907,1075,732,498,916,440,249,39.4,2105,6666,6460,6137,1863,1605,6460,3037,3423,88.7,1605,663,942,70.4,8565,8307,258,8307,4945,3350,0,0,0,0,0,0,0,22,081,0,0,0,0,0,0,0,0,0,0,0,12,258,160,0,0,26,8565,5177,3546,36,0,0,74,8565,204,102,0,53,49,8361,4856,3350,0,0,0,12,143,0,143,4216,6451,3028,3423
2019,Natchitoches Parish; Louisiana,38769,18562,20207,91.9,2487,2439,2822,3407,4616,4364,3848,4149,2123,2290,3586,1929,709,33.7,9272,30309,29497,25897,7504,6224,29497,13732,15765,87.1,6224,2749,3475,79.1,38769,38061,708,38061,20665,15996,317,38,0,0,0,285,9,22,069,66,28,25,132,3,22,0,0,0,0,0,798,708,184,330,20,33,38769,21273,16245,773,341,11,893,38769,918,617,44,25,232,37851,20180,15912,275,285,0,559,640,29,611,19133,29309,13597,15712
