year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2019,Blaine County; Nebraska,477,243,234,103.8,27,27,41,12,9,41,44,57,39,48,72,41,19,53.2,104,378,373,367,158,132,373,193,180,107.2,132,55,77,71.4,477,477,0,477,477,0,0,0,0,0,0,0,0,31,009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,477,0,0,0,0,0,477,0,0,0,0,0,477,477,0,0,0,0,0,0,0,0,322,373,193,180
2019,Deuel County; Nebraska,1831,875,956,91.5,105,92,119,70,92,207,162,239,144,171,220,140,70,48.7,359,1491,1472,1418,524,430,1472,702,770,91.2,430,179,251,71.3,1831,1792,39,1792,1747,3,28,0,0,0,2,11,0,31,049,4,3,0,0,0,4,0,0,0,0,0,3,39,0,27,3,0,1831,1777,3,55,23,9,3,1831,156,141,0,0,15,1675,1608,3,28,11,0,0,25,0,25,1066,1450,684,766
2019,Logan County; Nebraska,927,503,424,118.6,62,46,88,86,28,57,148,106,61,59,107,58,21,38.6,256,715,671,634,221,186,671,339,332,102.1,186,86,100,86.0,927,925,2,925,915,0,10,0,0,0,0,0,0,31,113,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,927,917,0,10,0,0,2,927,44,10,0,30,4,883,875,0,6,0,0,0,2,2,0,438,641,324,317
2019,Thayer County; Nebraska,5057,2542,2515,101.1,306,346,317,233,272,441,504,590,299,466,631,363,289,46.5,1153,4022,3904,3832,1587,1283,3904,1951,1953,99.9,1283,587,696,84.3,5057,4964,93,4964,4890,25,17,0,0,0,0,0,0,31,169,0,0,0,0,0,0,0,0,0,0,0,32,93,19,38,27,0,5057,4983,44,55,27,0,41,5057,131,111,0,0,20,4926,4799,25,12,0,0,6,84,0,84,2753,3888,1937,1951
2019,Adams County; Nebraska,31587,15846,15741,100.7,2009,2174,2088,2516,2242,3793,3295,3526,2155,2193,3059,1672,865,37.7,7511,24968,24076,22220,6933,5596,24076,11935,12141,98.3,5596,2486,3110,79.9,31587,30963,624,30963,29380,203,120,28,0,0,87,405,24,31,001,15,47,14,51,178,76,6,3,0,3,0,849,624,248,135,77,32,31587,29946,505,287,516,54,933,31587,3254,2101,11,520,622,28333,27129,188,89,394,6,5,522,9,513,13906,23025,11401,11624
2019,Boone County; Nebraska,5279,2611,2668,97.9,329,374,330,293,290,527,504,630,347,482,558,370,245,44.8,1228,4201,4051,3930,1416,1173,4051,2004,2047,97.9,1173,517,656,78.8,5279,5252,27,5252,5195,17,6,0,0,0,2,29,0,31,011,3,0,0,26,0,0,3,0,3,0,0,2,27,15,5,3,0,5279,5222,35,11,35,3,3,5279,115,97,0,0,18,5164,5087,17,2,29,3,0,26,0,26,2644,4034,1990,2044
2019,Rock County; Nebraska,1414,736,678,108.6,103,47,73,81,92,172,121,136,83,151,160,103,92,46.2,266,1172,1148,1093,449,355,1148,588,560,105.0,355,146,209,69.9,1414,1414,0,1414,1371,21,11,0,0,0,11,0,0,31,149,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1414,1371,21,11,0,0,11,1414,17,13,0,0,4,1397,1365,21,11,0,0,0,0,0,0,903,1148,588,560
2019,Sherman County; Nebraska,3033,1531,1502,101.9,151,161,206,162,134,246,312,350,259,241,410,243,158,49.7,629,2475,2404,2339,946,811,2404,1199,1205,99.5,811,373,438,85.2,3033,3006,27,3006,2966,5,1,0,0,0,0,9,0,31,163,1,0,0,6,2,0,1,1,0,0,0,24,27,0,16,0,0,3033,2993,13,25,9,4,24,3033,68,48,19,0,1,2965,2922,5,1,9,1,0,27,0,27,1952,2384,1180,1204
2019,Boyd County; Nebraska,1937,963,974,98.9,77,85,156,86,80,116,189,196,221,147,342,151,91,54.3,394,1614,1543,1526,661,584,1543,772,771,100.1,584,295,289,102.1,1937,1908,29,1908,1855,11,20,0,0,0,12,19,0,31,015,0,0,7,0,0,12,0,0,0,0,0,3,29,2,8,19,0,1937,1884,13,28,38,0,3,1937,18,3,0,0,15,1919,1840,11,20,19,0,0,29,0,29,1395,1524,765,759
2019,Howard County; Nebraska,6417,3257,3160,103.1,390,428,496,373,265,663,742,791,437,478,734,405,215,43.1,1553,5010,4864,4687,1622,1354,4864,2427,2437,99.6,1354,636,718,88.6,6417,6317,100,6317,6196,10,2,0,0,0,1,14,3,31,093,0,3,7,1,0,0,2,0,2,0,0,93,100,57,26,14,0,6417,6296,67,28,28,5,93,6417,163,122,0,0,41,6254,6128,10,0,14,2,0,100,0,100,3101,4822,2414,2408
