year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2019,Sumner County; Tennessee,183437,89689,93748,95.7,11154,12586,12114,11773,10133,22682,24466,25988,12584,11416,17411,7943,3187,39.8,43556,145258,139881,134091,35139,28541,139881,67380,72501,92.9,28541,12691,15850,80.1,183437,179351,4086,179351,159883,13457,465,144,0,0,38,2564,1077,47,165,355,199,287,184,205,257,164,85,28,0,51,2818,4086,1756,816,668,120,183437,163703,15613,1517,3402,299,3208,183437,8949,5348,751,364,2486,174488,154313,13330,462,2564,80,221,3518,150,3368,71863,135787,65256,70531
2019,Trousdale County; Tennessee,10231,5987,4244,141.1,595,578,456,688,718,2075,1288,1244,666,498,913,351,161,35.1,1930,8548,8301,7792,1720,1425,8301,4849,3452,140.5,1425,597,828,72.1,10231,9841,390,9841,8690,1042,54,37,17,0,0,25,5,47,169,0,9,0,11,0,0,0,0,0,0,0,30,390,296,86,8,0,10231,9080,1338,140,33,0,30,10231,110,80,0,12,18,10121,8610,1042,54,25,0,0,390,0,390,3610,8223,4832,3391
2019,Clay County; Tennessee,7654,3669,3985,92.1,372,523,375,464,332,717,822,1128,610,494,1039,715,63,47.3,1550,6257,6104,5816,2105,1817,6104,2967,3137,94.6,1817,853,964,88.5,7654,7586,68,7586,7258,183,0,0,0,0,0,8,0,47,027,0,8,0,0,0,0,0,0,0,0,0,137,68,0,68,0,0,7654,7326,183,68,8,0,137,7654,200,72,1,0,127,7454,7226,183,0,8,0,0,37,0,37,4340,6028,2943,3085
2019,Shelby County; Tennessee,936374,444834,491540,90.5,66253,62936,67265,62215,65104,137490,117204,118515,58566,58131,75279,33775,13641,35.6,235181,727458,701193,665153,156992,122695,701193,325735,375458,86.8,122695,50853,71842,70.8,936374,920757,15617,920757,366180,502669,1562,171,23,23,0,24626,7198,47,157,4838,2311,686,1550,4890,3153,264,191,50,10,13,25456,15617,5957,2215,2890,1149,936374,379275,511608,6027,28782,725,27029,936374,59571,41838,2384,1519,13830,876803,334839,500339,1010,24494,217,1884,14020,507,13513,405184,666745,306704,360041
2019,Henderson County; Tennessee,27977,13721,14256,96.2,1505,2056,1672,1796,1499,3186,3435,3922,2022,1865,2989,1568,462,41.5,6388,22290,21589,20578,6169,5019,21589,10298,11291,91.2,5019,2213,2806,78.9,27977,27371,606,27371,25091,2192,0,0,0,0,0,35,9,47,077,0,0,0,1,0,25,22,0,0,22,0,31,606,456,60,0,0,27977,25651,2717,83,73,30,52,27977,678,579,21,65,13,27299,24452,2192,0,35,22,13,585,0,585,12997,21296,10188,11108
2019,Jefferson County; Tennessee,53679,26332,27347,96.3,2589,3194,2864,3648,3390,5907,6040,7635,4084,3790,6322,3127,1089,43.9,10708,44314,42971,40652,12837,10538,42971,20915,22056,94.8,10538,4851,5687,85.3,53679,52709,970,52709,51204,910,69,21,0,0,0,345,132,47,089,88,53,0,44,9,19,20,8,0,12,0,161,970,399,388,64,0,53679,52169,1350,494,414,51,212,53679,1928,1363,101,61,403,51751,49508,910,69,336,14,0,914,10,904,24200,42015,20445,21570
2019,Sequatchie County; Tennessee,14816,7391,7425,99.5,716,757,889,967,754,1777,1757,1985,1112,1141,1802,990,169,44.1,3014,12297,11802,11317,3678,2961,11802,5867,5935,98.9,2961,1381,1580,87.4,14816,14441,375,14441,14382,33,16,14,0,0,0,0,0,47,153,0,0,0,0,0,0,0,0,0,0,0,10,375,33,312,0,0,14816,14757,96,358,0,0,10,14816,525,225,114,0,186,14291,13857,33,16,0,0,10,375,0,375,6499,11539,5629,5910
2019,Carroll County; Tennessee,27886,13613,14273,95.4,1601,1622,1740,1918,1719,3192,2843,3856,1874,1966,3247,1561,747,42.5,5957,22590,21929,20691,6805,5555,21929,10475,11454,91.5,5555,2398,3157,76.0,27886,27325,561,27325,24211,2867,68,8,9,0,0,113,0,47,017,20,82,0,0,11,0,36,21,0,15,0,30,561,115,184,18,44,27886,24552,3206,300,131,212,50,27886,741,590,79,12,60,27145,23583,2844,63,108,21,2,524,0,524,13257,21775,10446,11329
2019,Davidson County; Tennessee,687488,331298,356190,93.0,46404,40623,37256,38746,50097,137515,94027,81616,42265,36732,49669,23317,9221,34.3,145006,555930,542482,516597,102374,82207,542482,257765,284717,90.5,82207,34547,47660,72.5,687488,669541,17947,669541,440299,186295,1534,531,14,0,6,24865,5112,47,037,3448,1251,528,2273,2883,9370,412,81,109,141,81,16136,17947,7246,2717,3768,450,687488,456067,195679,5489,30221,1556,17881,687488,70319,41265,3884,2425,22745,617169,386383,185114,1337,24813,397,2586,16539,791,15748,312366,492851,231109,261742
2019,Perry County; Tennessee,7962,3941,4021,98.0,500,442,464,553,432,848,901,1047,741,402,973,492,167,43.2,1760,6424,6202,5889,1859,1632,6202,3072,3130,98.1,1632,773,859,90.0,7962,7811,151,7811,7372,218,12,12,0,0,0,178,157,47,135,0,21,0,0,0,0,0,0,0,0,0,31,151,69,4,59,0,7962,7523,287,16,237,0,50,7962,108,89,0,0,19,7854,7314,218,12,178,0,0,132,0,132,4666,6150,3048,3102
