year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2019,Thurston County; Washington,279711,136855,142856,95.8,16313,17308,16537,16360,16811,40356,37233,34750,18475,18638,29229,12888,4813,39.0,60355,226692,219356,209688,58075,46930,219356,105761,113595,93.1,46930,21008,25922,81.0,279711,262741,16970,262741,227952,8826,3810,76,15,20,176,15832,1033,53,067,1740,4007,830,2624,2638,2960,2265,585,437,714,529,4056,16970,3481,3229,5316,126,279711,243545,14157,8486,23341,4239,5483,279711,25004,16763,2385,418,5438,254707,209670,8418,3433,15712,2259,366,14849,240,14609,116556,211030,102286,108744
2019,Columbia County; Washington,3992,1926,2066,93.2,174,230,257,144,145,357,465,459,307,326,648,360,120,50.2,780,3298,3212,3185,1352,1128,3212,1536,1676,91.6,1128,534,594,89.9,3992,3780,212,3780,3568,36,7,0,0,0,0,72,71,53,013,0,0,0,0,0,1,42,0,0,0,42,55,212,0,109,0,1,3992,3779,40,120,72,42,154,3992,311,311,0,0,0,3681,3409,36,7,72,42,2,113,0,113,2168,3090,1499,1591
2019,Klickitat County; Washington,21721,10928,10793,101.3,1091,1054,1322,1127,997,2117,2616,2705,1682,1884,3314,1500,312,46.9,4228,18007,17493,16937,6274,5126,17493,8791,8702,101.0,5126,2571,2555,100.6,21721,21248,473,21248,20173,160,548,0,0,0,40,155,33,53,039,6,18,45,0,15,38,2,2,0,0,0,210,473,4,204,148,0,21721,20641,189,823,329,72,231,21721,2605,2483,0,7,115,19116,17847,159,527,135,0,0,448,0,448,10424,16381,8194,8187
2019,Grays Harbor County; Washington,72779,37317,35462,105.2,3895,4150,4292,4130,3600,8517,8537,9005,5465,5889,9464,4076,1759,44.0,14936,59488,57843,55519,18848,15299,57843,29682,28161,105.4,15299,7344,7955,92.3,72779,69615,3164,69615,63802,859,3075,40,166,7,64,1096,32,53,027,205,272,72,260,0,255,200,47,43,99,11,583,3164,317,1887,389,4,72779,66910,1470,5036,1606,509,722,72779,7246,5546,307,154,1239,65533,57795,813,2795,1096,200,54,2780,53,2727,36273,56098,28680,27418
2019,Wahkiakum County; Washington,4268,2017,2251,89.6,168,215,206,184,199,242,421,491,274,458,896,413,101,55.1,701,3643,3567,3485,1617,1410,3567,1716,1851,92.7,1410,706,704,100.3,4268,4196,72,4196,3877,54,31,0,0,0,0,79,0,53,069,8,25,21,25,0,0,1,0,1,0,0,154,72,0,51,0,0,4268,3949,54,82,82,1,175,4268,294,177,39,0,78,3974,3702,54,31,79,1,49,58,7,51,2149,3479,1668,1811
2019,Grant County; Washington,95502,48538,46964,103.4,7692,8103,7967,7080,6643,12798,11227,10542,5385,5183,7779,3751,1352,32.9,28263,70039,67239,63088,16100,12882,67239,34233,33006,103.7,12882,6191,6691,92.5,95502,91468,4034,91468,65761,810,1146,31,0,6,56,946,6,53,025,33,216,300,94,172,125,36,8,13,9,6,22769,4034,421,980,370,11,95502,69216,1601,2424,1649,174,24732,95502,39700,37557,237,48,1858,55802,51547,806,827,852,28,22,1720,34,1686,37476,54948,27586,27362
2019,Snohomish County; Washington,798808,400594,398214,100.6,50720,49192,51697,46336,46664,118349,112148,111682,56686,50689,64995,27894,11756,38.0,181673,637849,617135,592138,134141,104645,617135,307367,309768,99.2,104645,46709,57936,80.6,798808,748719,50089,748719,601915,24369,7353,200,273,288,115,86121,16768,53,061,11960,15506,4468,11536,11046,14837,4197,737,960,440,2060,24764,50089,9190,10235,14372,805,798808,646107,38532,21742,107073,9567,31145,798808,81495,59241,4068,1202,16984,717313,555736,23452,6196,85452,4107,1651,40719,889,39830,310127,562415,280812,281603
2019,Asotin County; Washington,22421,10868,11553,94.1,1119,1078,1621,1209,1180,2462,2531,2636,1581,1882,2885,1767,470,45.0,4576,18400,17845,17187,6138,5122,17845,8662,9183,94.3,5122,2407,2715,88.7,22421,21556,865,21556,20731,116,256,0,0,0,0,192,31,53,003,13,73,0,27,39,9,51,0,0,51,0,210,865,164,396,118,0,22421,21526,285,690,315,154,354,22421,900,678,3,22,197,21521,20262,113,123,192,51,37,743,65,678,10043,17503,8465,9038
2019,Adams County; Washington,19594,9980,9614,103.8,1921,1969,1994,1534,1463,2503,2192,1984,946,950,1287,620,231,27.9,6895,13390,12699,11889,2671,2138,12699,6435,6264,102.7,2138,1027,1111,92.4,19594,19189,405,19189,12761,203,796,0,6,6,0,154,25,53,001,17,60,23,4,6,19,41,0,0,41,0,5234,405,77,113,55,0,19594,13053,290,997,252,70,5371,19594,12458,11981,68,2,407,7136,6626,83,72,138,41,0,176,4,172,6608,9314,4732,4582
2019,Garfield County; Washington,2230,1139,1091,104.4,112,125,132,228,16,237,221,241,164,203,289,201,61,46.1,535,1795,1695,1625,679,551,1695,852,843,101.1,551,290,261,111.1,2230,2108,122,2108,2037,0,0,0,0,0,0,71,0,53,023,0,48,0,0,0,23,0,0,0,0,0,0,122,15,77,21,0,2230,2159,15,77,101,9,0,2230,42,42,0,0,0,2188,1995,0,0,71,0,0,122,0,122,1243,1644,852,792
2019,Mason County; Washington,63804,33063,30741,107.6,3351,3593,3411,3298,3352,7280,7191,7349,5184,5412,9059,4009,1315,45.6,12419,52889,51385,49532,17392,14383,51385,26464,24921,106.2,14383,6901,7482,92.2,63804,60087,3717,60087,53269,800,1591,44,43,8,40,752,4,53,045,144,268,83,120,11,122,277,34,116,127,0,3398,3717,456,1908,474,14,63804,56873,1362,3671,1443,659,3766,63804,6365,3255,112,64,2934,57439,51382,660,1176,745,271,39,3166,8,3158,33503,49163,25275,23888
2019,Skagit County; Washington,125612,62106,63506,97.8,7581,7398,8053,7245,7139,15771,14604,14633,8792,8945,15196,7477,2778,41.5,27619,101230,97993,93738,30859,25451,97993,48055,49938,96.2,25451,11823,13628,86.8,125612,120727,4885,120727,103131,1110,2356,71,25,29,24,2388,201,53,057,453,903,174,263,106,288,311,60,36,148,67,11431,4885,629,1738,986,30,125612,107763,1928,4385,3832,782,12430,125612,23097,20890,677,125,1405,102515,93444,874,1897,2356,291,135,3518,58,3460,53893,90779,44545,46234
2019,Stevens County; Washington,44655,22242,22413,99.2,2386,2792,2653,2643,2185,4123,4459,5527,3755,4074,6348,2801,909,46.9,9593,36168,35062,33667,12276,10058,35062,17267,17795,97.0,10058,4959,5099,97.3,44655,42940,1715,42940,39788,192,2225,23,34,20,54,290,45,53,065,12,115,14,33,41,30,55,41,0,0,14,390,1715,175,967,202,0,44655,41488,412,3343,693,223,440,44655,1658,1306,8,27,317,42997,38672,182,2153,290,49,11,1640,6,1634,21746,34523,16996,17527
2019,Spokane County; Washington,505505,250722,254783,98.4,30798,29860,32788,32389,34625,75313,61591,61709,33685,32906,48028,22631,9182,37.6,112328,405537,393177,372284,99400,79841,393177,192876,200301,96.3,79841,35985,43856,82.1,505505,481293,24212,481293,443791,8444,6817,360,393,160,184,11553,799,53,063,1651,2037,1061,1024,2061,2920,2799,374,373,154,1898,7889,24212,5765,6882,5256,697,505505,465557,16770,16165,18766,4923,10013,505505,28970,20639,1727,355,6249,476535,427467,8207,5610,11336,2746,352,20817,319,20498,216871,382451,187436,195015
