year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2019,Summers County; West Virginia,12848,5916,6932,85.3,483,549,700,582,568,1363,1669,1724,1068,1027,1805,956,354,49.1,2157,10988,10691,10471,3761,3115,10691,4816,5875,82.0,3115,1450,1665,87.1,12848,12564,284,12564,11967,586,0,0,0,0,0,0,0,54,089,0,0,0,0,0,0,0,0,0,0,0,11,284,125,141,0,9,12848,12242,720,150,9,0,20,12848,190,48,69,27,46,12658,11805,576,0,0,0,0,277,0,277,7705,10672,4807,5865
2019,Greenbrier County; West Virginia,35155,17088,18067,94.6,1818,1665,2178,1865,1742,3926,4129,4501,2558,2822,4585,2389,977,45.5,6912,29087,28243,27377,9715,7951,28243,13658,14585,93.6,7951,3607,4344,83.0,35155,34452,703,34452,33010,996,10,10,0,0,0,217,26,54,025,0,28,0,0,156,7,0,0,0,0,0,219,703,383,106,37,0,35155,33660,1453,185,307,96,274,35155,697,283,129,0,285,34458,32426,991,10,217,0,166,648,0,648,19270,28026,13563,14463
2019,Mineral County; West Virginia,27167,13617,13550,100.5,1366,1351,1675,1861,1545,3015,2930,3810,2109,1725,3427,1723,630,44.5,5470,22508,21697,20603,6743,5780,21697,10680,11017,96.9,5780,2669,3111,85.8,27167,26852,315,26852,25742,925,4,0,0,0,0,116,32,54,057,19,53,12,0,0,0,0,0,0,0,0,65,315,198,2,115,0,27167,26057,1123,6,231,0,65,27167,250,166,0,16,68,26917,25534,907,4,116,0,41,315,0,315,13139,21616,10644,10972
2019,Lewis County; West Virginia,16166,8120,8046,100.9,991,813,1084,830,845,1847,1923,2268,1145,1151,1952,879,438,43.8,3428,13121,12738,12372,4019,3269,12738,6359,6379,99.7,3269,1507,1762,85.5,16166,15968,198,15968,15744,29,87,0,0,0,0,81,22,54,041,0,59,0,0,0,0,0,0,0,0,0,27,198,75,62,61,0,16166,15942,104,149,142,0,27,16166,200,129,0,0,71,15966,15571,29,87,81,0,0,198,0,198,7966,12654,6308,6346
2019,Pocahontas County; West Virginia,8450,4336,4114,105.4,405,334,476,413,359,917,914,1110,722,701,1223,659,217,49.1,1462,7146,6988,6707,2536,2099,6988,3602,3386,106.4,2099,1021,1078,94.7,8450,8406,44,8406,8334,37,0,0,0,0,0,9,0,54,075,0,9,0,0,0,0,0,0,0,0,0,26,44,40,4,0,0,8450,8378,77,4,9,0,26,8450,49,29,9,0,11,8401,8290,37,0,9,0,21,44,0,44,8924,6940,3570,3370
2019,Randolph County; West Virginia,28930,14844,14086,105.4,1495,1784,1301,1715,1675,3559,3231,3847,1922,2288,3568,1818,727,43.7,5540,23994,23390,22251,7339,6113,23390,12046,11344,106.2,6113,2857,3256,87.7,28930,28827,103,28827,27883,620,67,14,0,0,0,160,0,54,083,18,115,0,19,0,8,0,0,0,0,0,97,103,29,35,10,11,28930,27965,665,113,180,0,110,28930,279,137,61,0,81,28651,27710,616,67,160,0,3,95,5,90,14250,23290,11966,11324
2019,Wirt County; West Virginia,5798,2936,2862,102.6,292,315,415,369,178,648,671,800,572,401,687,395,55,45.4,1236,4724,4562,4381,1362,1137,4562,2293,2269,101.1,1137,591,546,108.2,5798,5798,0,5798,5762,26,0,0,0,0,0,0,0,54,105,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5798,5762,26,0,0,0,10,5798,27,12,9,6,0,5771,5735,26,0,0,0,10,0,0,0,3317,4562,2293,2269
2019,Clay County; West Virginia,8709,4338,4371,99.2,493,520,601,560,460,790,1030,1160,648,699,1024,630,94,44.1,1962,6962,6747,6442,2199,1748,6747,3351,3396,98.7,1748,851,897,94.9,8709,8679,30,8679,8658,1,11,0,0,0,0,0,0,54,015,0,0,0,0,0,0,9,9,0,0,0,0,30,0,30,0,0,8709,8688,1,41,0,9,0,8709,15,0,8,0,7,8694,8643,1,11,0,9,0,30,0,30,4638,6747,3351,3396
2019,Monongalia County; West Virginia,105474,54477,50997,106.8,5289,4466,4871,8574,16721,17822,12783,10908,5831,5382,7838,3572,1417,31.7,17286,90107,88188,77798,15958,12827,88188,45471,42717,106.4,12827,5805,7022,82.7,105474,102643,2831,102643,94397,3781,80,29,0,0,0,3644,1305,54,061,1310,220,91,91,101,526,0,0,0,0,0,741,2831,1440,460,613,33,105474,97127,5359,656,4376,43,899,105474,2246,757,465,32,992,103228,92744,3781,80,3639,0,397,2587,37,2550,44957,84337,43231,41106
2019,Wetzel County; West Virginia,15436,7469,7967,93.7,776,742,1083,895,835,1556,1672,2076,1313,973,1932,1205,378,46.0,3186,12627,12250,11743,4136,3515,12250,5935,6315,94.0,3515,1595,1920,83.1,15436,15298,138,15298,15093,164,0,0,0,0,0,0,0,54,103,0,0,0,0,0,0,0,0,0,0,0,41,138,40,61,37,0,15436,15231,204,61,37,0,41,15436,132,11,121,0,0,15304,14961,164,0,0,0,41,138,0,138,8159,12244,5935,6309
