year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2020,Androscoggin County; Maine,107958,52838,55120,95.9,6400,6417,6661,6727,6508,13264,12954,14482,8111,7380,11258,5788,2008,40.7,23388,87203,84570,80226,23606,19054,84570,40896,43674,93.6,19054,8531,10523,81.1,107958,102206,5752,102206,98107,2559,177,5,0,0,0,984,195,23,001,198,119,91,225,87,69,0,0,0,0,0,379,5752,674,3524,424,48,107958,103492,3763,4384,1540,55,959,107958,2042,770,612,74,586,105916,97338,2366,154,984,0,208,4866,79,4787,50053,83013,40129,42884
2020,Aroostook County; Maine,67431,33393,34038,98.1,3313,3437,3307,3773,3533,6713,7021,8973,5713,5395,9233,4539,2481,48.0,12380,56773,55051,52833,19412,16253,55051,26920,28131,95.7,16253,7449,8804,84.6,67431,66178,1253,66178,63713,683,1289,78,4,0,6,258,27,23,003,68,37,9,70,11,36,25,7,6,0,12,210,1253,248,505,186,6,67431,64932,1009,1859,528,51,434,67431,868,260,262,8,338,66563,63194,633,1285,251,25,78,1097,115,982,40007,54236,26481,27755
2020,Franklin County; Maine,29933,14611,15322,95.4,1382,1429,1545,1958,1851,3340,3023,3746,2597,2481,3984,1753,844,46.5,5323,25299,24610,23037,8220,6581,24610,11959,12651,94.5,6581,3195,3386,94.4,29933,29063,870,29063,28705,86,19,0,0,0,0,142,0,23,007,48,74,0,11,0,9,7,7,0,0,0,104,870,158,447,83,0,29933,29558,248,479,229,7,282,29933,398,209,76,0,113,29535,28548,86,19,142,7,59,674,56,618,22265,24380,11884,12496
2020,Hancock County; Maine,54832,26500,28332,93.5,2329,2735,2559,2604,2577,6225,5704,7155,4390,4841,8382,3659,1672,49.1,9240,46655,45592,44027,16437,13713,45592,21872,23720,92.2,13713,6280,7433,84.5,54832,53866,966,53866,52336,433,319,11,0,10,84,664,146,23,009,202,90,52,32,15,127,8,8,0,0,0,106,966,219,245,127,55,54832,53144,764,632,879,126,298,54832,833,372,265,4,192,53999,51809,429,319,664,8,56,714,104,610,41461,44632,21484,23148
2020,Knox County; Maine,39809,19908,19901,100.0,1660,1903,2167,1925,1944,4096,4475,5148,2601,3950,5869,2840,1231,48.6,7036,33716,32773,31827,12226,9940,32773,16112,16661,96.7,9940,4530,5410,83.7,39809,38908,901,38908,38067,184,220,9,0,48,0,208,1,23,013,33,0,58,0,65,51,5,0,5,0,0,224,901,319,278,135,16,39809,38938,539,537,367,42,335,39809,606,97,67,24,418,39203,37807,170,219,208,5,36,758,55,703,24468,32383,15926,16457
2020,Lincoln County; Maine,34415,16871,17544,96.2,1438,1858,1465,1591,1602,3438,3381,4289,2780,3018,5615,2734,1206,51.2,5800,29289,28615,27700,11445,9555,28615,13783,14832,92.9,9555,4385,5170,84.8,34415,33595,820,33595,32910,168,134,0,0,0,0,295,38,23,015,42,78,16,0,69,52,0,0,0,0,0,88,820,115,200,66,0,34415,33717,289,334,368,18,509,34415,442,146,94,119,83,33973,32583,168,134,294,0,4,790,395,395,24073,28298,13640,14658
2020,Penobscot County; Maine,151696,75233,76463,98.4,7039,7698,7667,10512,10469,20177,17095,20069,11739,11176,16634,7935,3486,42.2,27515,127672,124181,116608,34567,28055,124181,61029,63152,96.6,28055,12840,15215,84.4,151696,147867,3829,147867,142691,1274,2066,3,0,0,0,1194,155,23,019,342,117,47,221,115,197,11,0,11,0,0,631,3829,768,1445,1010,50,151696,146370,2221,3668,2328,59,1014,151696,2199,686,732,37,744,149497,141678,1225,1647,1172,11,273,3491,107,3384,76088,122200,60012,62188
2020,Piscataquis County; Maine,16864,8467,8397,100.8,751,835,687,932,668,1511,1693,2264,1538,1532,2730,1256,467,51.5,2880,14454,13984,13578,5346,4453,13984,7045,6939,101.5,4453,2282,2171,105.1,16864,16491,373,16491,16041,115,44,0,0,0,0,130,0,23,021,65,43,2,6,7,7,0,0,0,0,0,161,373,25,184,61,0,16864,16400,157,244,207,13,234,16864,319,113,93,29,84,16545,15887,115,44,130,0,15,354,52,302,15508,13839,6954,6885
2020,Somerset County; Maine,50573,25062,25511,98.2,2353,2764,2702,2728,2425,5431,5623,7384,4115,4192,6663,3117,1076,46.9,9615,42175,40958,39335,13265,10856,40958,20177,20781,97.1,10856,5233,5623,93.1,50573,49545,1028,49545,48731,309,143,0,0,0,0,304,0,23,025,158,102,2,0,0,42,0,0,0,0,0,58,1028,162,495,107,0,50573,49713,498,657,466,89,230,50573,572,188,144,31,209,50001,48340,293,143,304,0,5,916,46,870,30963,40605,20054,20551
2020,Washington County; Maine,31378,15392,15986,96.3,1513,1563,1833,1763,1592,2977,3215,3945,2444,2838,4635,2243,817,48.5,5994,26151,25384,24293,9304,7695,25384,12352,13032,94.8,7695,3620,4075,88.8,31378,30586,792,30586,28369,221,1682,6,0,0,0,137,18,23,029,49,21,9,20,18,2,9,6,0,3,0,168,792,134,345,74,18,31378,29135,400,2069,237,22,357,31378,790,252,234,16,288,30588,28007,128,1607,133,9,58,646,30,616,23381,24895,12216,12679
2020,York County; Maine,206074,100364,105710,94.9,9590,9984,11972,11496,10611,24730,23883,28411,16599,16552,24987,11336,5923,45.3,38650,172029,167424,161195,51684,42246,167424,80263,87161,92.1,42246,18786,23460,80.1,206074,200804,5270,200804,195085,1872,996,0,0,0,1,2362,431,23,031,608,321,48,90,37,827,27,0,16,11,0,462,5270,1351,953,1225,0,206074,200261,3325,2031,3735,170,2002,206074,3689,1474,926,263,1026,202385,192520,1717,976,2336,27,145,4664,1268,3396,111067,164608,78903,85705
2020,Cumberland County; Maine,294520,142952,151568,94.3,14172,15196,15547,17332,18096,40251,36451,40210,23529,19380,32218,15208,6930,42.1,54904,246303,239616,229319,65263,54356,239616,114780,124836,91.9,54356,23873,30483,78.3,294520,285437,9083,285437,267110,9192,827,77,6,0,0,6665,1145,23,005,1514,612,234,422,866,1872,28,19,0,9,0,1615,9083,1762,1858,2045,81,294520,275910,11542,3018,9264,446,4175,294520,6315,1594,1427,171,3123,288205,263199,9004,513,6619,24,948,7898,1636,6262,145838,232960,111317,121643
2020,Kennebec County; Maine,122158,59599,62559,95.3,5808,6543,6891,7532,7059,14313,14070,16460,10036,9178,14300,7243,2725,44.1,23550,101462,98608,93998,29714,24268,98608,47505,51103,93.0,24268,10998,13270,82.9,122158,119518,2640,119518,116615,959,524,8,40,0,0,1164,115,23,011,508,217,28,58,171,67,67,0,29,11,27,189,2640,484,1016,475,4,122158,119189,1635,1706,1673,138,652,122158,1964,512,640,159,653,120194,115281,852,518,1164,40,52,2287,133,2154,62997,97431,46867,50564
2020,Oxford County; Maine,57741,28483,29258,97.4,2561,2888,3140,3151,2712,6027,6622,7777,4733,5567,7477,3463,1623,47.8,10604,48580,47137,45592,15713,12563,47137,23023,24114,95.5,12563,5962,6601,90.3,57741,56078,1663,56078,55253,183,168,0,72,0,0,308,33,23,017,106,72,42,17,0,38,3,3,0,0,0,163,1663,284,666,330,8,57741,56904,537,919,657,51,450,57741,834,257,329,18,230,56907,54637,178,158,301,3,116,1514,254,1260,37123,46772,22918,23854
2020,Sagadahoc County; Maine,35720,17494,18226,96.0,1857,1819,1810,1820,1523,4208,3969,4825,2771,3092,4783,2030,1213,47.2,6718,29801,29002,28074,9704,8026,29002,14033,14969,93.7,8026,3681,4345,84.7,35720,34899,821,34899,34186,233,123,19,0,0,0,297,19,23,023,101,154,10,0,0,13,0,0,0,0,0,60,821,235,208,132,0,35720,35007,468,332,429,86,220,35720,654,114,106,54,380,35066,33635,233,115,297,0,47,739,105,634,18931,28459,13742,14717
2020,Waldo County; Maine,39723,19461,20262,96.0,1822,1979,2258,2232,1947,4219,4677,5142,2991,3503,5698,2537,718,46.2,7370,33216,32353,31036,11228,8953,32353,15717,16636,94.5,8953,4248,4705,90.3,39723,38824,899,38824,38111,164,163,7,0,0,0,158,4,23,027,53,9,17,20,9,46,0,0,0,0,0,228,899,146,296,133,0,39723,38923,437,480,337,87,410,39723,618,78,290,26,224,39105,37650,164,160,158,0,183,790,92,698,22570,31901,15616,16285
