year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2020,Catron County; New Mexico,3547,1819,1728,105.3,80,81,203,196,129,155,398,160,409,262,766,334,374,59.4,510,3173,3037,2971,1650,1474,3037,1562,1475,105.9,1474,890,584,152.4,3547,3414,133,3414,3338,14,0,0,0,0,0,0,0,35,003,0,0,0,0,0,0,0,0,0,0,0,62,133,0,0,0,0,3547,3471,14,0,0,0,195,3547,602,222,4,0,376,2945,2931,14,0,0,0,0,0,0,0,3581,3004,1562,1442
2020,Chaves County; New Mexico,64912,32402,32510,99.7,4344,5064,4542,5319,4226,8379,7617,7346,3847,3994,5835,3020,1379,36.1,17122,49789,47790,44777,12420,10234,47790,23518,24272,96.9,10234,4637,5597,82.8,64912,59947,4965,59947,52297,1020,1033,39,0,237,0,676,78,35,005,7,273,33,67,144,74,6,0,0,6,0,4915,4965,246,261,52,14,64912,56895,1360,1823,753,44,9263,64912,37378,32805,238,21,4314,27534,24763,935,574,647,6,126,483,8,475,27385,43859,21195,22664
2020,Cibola County; New Mexico,26763,13549,13214,102.5,1660,1853,1690,1730,1613,3859,3558,2844,1626,1831,2806,1198,495,37.5,6262,21351,20501,19425,5500,4499,20501,10519,9982,105.4,4499,2005,2494,80.4,26763,24935,1828,24935,12330,392,11038,0,11,3955,5,57,0,35,006,1,13,3,6,34,0,8,6,0,0,2,1110,1828,35,531,13,48,26763,14094,501,11650,79,8,2285,26763,10389,4456,45,8,5880,16374,5028,325,10439,57,8,19,498,13,485,11432,19921,10154,9767
2020,Colfax County; New Mexico,12106,6128,5978,102.5,560,631,589,631,574,1245,1273,1248,841,1163,1982,1025,344,50.3,2194,10239,9912,9642,4120,3351,9912,4952,4960,99.8,3351,1585,1766,89.8,12106,11475,631,11475,10071,83,310,0,0,125,0,38,0,35,007,0,38,0,0,0,0,0,0,0,0,0,973,631,11,236,25,0,12106,10681,94,602,63,0,1332,12106,5989,1972,13,0,4004,6117,5639,82,128,38,0,20,210,0,210,10308,9711,4797,4914
2020,Curry County; New Mexico,49502,25626,23876,107.3,3978,3758,3423,3308,4520,8618,5869,4755,2898,2236,3381,1882,876,31.7,13079,37825,36423,34145,7425,6139,36423,18917,17506,108.1,6139,2700,3439,78.5,49502,45324,4178,45324,32179,2684,421,99,0,137,0,682,70,35,009,10,292,37,14,138,121,80,14,0,0,66,9278,4178,941,327,377,15,49502,35879,4100,851,1233,139,11640,49502,21210,16209,328,0,4673,28292,23096,2458,321,676,75,59,1607,176,1431,21410,33384,17460,15924
2020,De Baca County; New Mexico,1995,1156,839,137.8,206,205,209,288,146,203,196,131,63,58,168,88,34,22.2,851,1370,1144,1011,315,290,1144,576,568,101.4,290,133,157,84.7,1995,1650,345,1650,897,85,4,0,0,0,0,0,0,35,011,0,0,0,0,0,0,0,0,0,0,0,664,345,42,0,0,0,1995,1217,152,4,0,0,967,1995,1281,568,0,0,713,714,611,85,4,0,0,0,14,0,14,1029,1142,575,567
2020,Doña Ana County; New Mexico,217696,106990,110706,96.6,13910,14992,15511,17183,23377,28299,23958,22241,11674,12348,19661,10914,3628,33.3,53464,170550,164232,152215,41768,34203,164232,79812,84420,94.5,34203,15978,18225,87.7,217696,199114,18582,199114,170797,3923,2111,102,90,455,14,2468,425,35,013,419,905,153,234,157,175,193,156,34,3,0,19622,18582,726,1749,783,111,217696,188943,4842,4396,3630,342,34558,217696,149243,134251,749,454,13789,68453,58682,3330,1307,2254,184,249,2447,89,2358,88937,145208,70159,75049
2020,Eddy County; New Mexico,57865,29209,28656,101.9,4258,3794,4723,3917,3706,8272,7336,6407,3701,3396,4715,2520,1120,35.4,15297,44414,42568,40555,10294,8355,42568,21351,21217,100.6,8355,3826,4529,84.5,57865,53958,3907,53958,48478,890,996,196,0,194,0,418,0,35,015,55,131,17,89,16,110,0,0,0,0,0,3176,3907,229,323,170,0,57865,52272,1213,1346,588,0,6357,57865,28942,25529,100,220,3093,28923,26247,812,751,418,0,323,372,0,372,24870,40322,20164,20158
2020,Grant County; New Mexico,27391,13532,13859,97.6,1405,1445,1588,1679,1315,2905,2904,2759,1775,2163,4321,2211,921,46.5,5393,22656,21998,21076,8717,7453,21998,10666,11332,94.1,7453,3626,3827,94.7,27391,25230,2161,25230,23370,147,654,0,0,390,0,188,0,35,017,5,58,8,0,0,117,3,0,0,3,0,868,2161,29,66,27,0,27391,25461,341,937,270,3,2754,27391,13800,12769,15,114,902,13591,12519,113,529,180,3,58,189,0,189,15105,21509,10317,11192
2020,Guadalupe County; New Mexico,4336,2700,1636,165.0,201,131,373,59,143,660,642,528,350,351,488,265,145,43.7,758,3624,3578,3534,1100,898,3578,2263,1315,172.1,898,495,403,122.8,4336,3934,402,3934,2992,80,336,0,0,36,0,7,7,35,019,0,0,0,0,0,0,0,0,0,0,0,519,402,0,7,64,0,4336,3370,104,343,71,8,842,4336,3091,1294,0,0,1797,1245,812,72,331,7,0,0,23,8,15,2618,3535,2241,1294
