year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2021,Aleutians East Borough; Alaska,3409,2014,1395,144.4,122,103,151,158,277,438,525,694,301,241,272,80,47,43.2,482,2998,2927,2838,488,399,2927,1749,1178,148.5,399,214,185,115.7,3409,3016,393,3016,497,71,1505,0,0,0,0,712,0,02,013,0,663,13,20,16,0,11,0,0,0,11,220,393,2,250,12,7,3409,846,104,1799,770,15,303,3409,359,248,19,0,92,3050,436,60,1501,712,11,15,315,48,267,1113,2327,1383,944
2021,Aleutians West Census Area; Alaska,5251,2995,2256,132.8,162,215,148,264,624,867,759,1130,408,309,299,65,1,39.4,635,4673,4616,4407,501,365,4616,2663,1953,136.4,365,181,184,98.4,5251,4797,454,4797,1286,182,549,2,0,0,0,2406,0,02,016,5,2149,13,67,112,60,87,1,0,81,5,287,454,3,122,56,10,5251,1536,281,705,2625,173,409,5251,511,362,5,60,84,4740,1200,182,523,2404,87,0,344,19,325,1456,3243,1788,1455
2021,Anchorage Municipality; Alaska,292545,149648,142897,104.7,20218,20836,18642,18330,21207,49782,39381,35412,17632,17564,22365,8506,2670,34.3,71004,228844,221541,210634,43385,33541,221541,113260,108281,104.6,33541,15936,17605,90.5,292545,257966,34579,257966,176279,15668,21150,270,142,0,75,28339,559,02,020,1478,13281,657,2875,438,9051,8568,928,191,5781,1668,7962,34579,4394,12185,5651,1344,292545,206614,24072,38394,37623,11593,12677,292545,27783,13475,4390,1242,8676,264762,164211,15096,19827,27758,8399,1917,27554,1268,26286,118055,211439,108655,102784
2021,Bethel Census Area; Alaska,18514,9724,8790,110.6,1902,1923,1696,1640,1328,2771,2035,1867,987,981,985,330,69,28.6,6549,12625,11965,11092,1989,1384,11965,6351,5614,113.1,1384,694,690,100.6,18514,17926,588,17926,1769,171,15640,0,0,12,3,261,18,02,050,0,57,0,181,0,5,42,3,0,38,1,43,588,24,408,1,26,18514,2269,231,16188,284,94,97,18514,383,209,6,0,168,18131,1703,170,15427,257,42,0,532,0,532,5992,11817,6269,5548
2021,Bristol Bay Borough; Alaska,849,480,369,130.1,67,41,28,31,39,148,115,82,85,102,64,39,8,39.9,159,709,690,679,151,111,690,396,294,134.7,111,70,41,170.7,849,740,109,740,380,5,282,0,0,0,0,35,0,02,060,0,34,1,0,0,0,13,13,0,0,0,25,109,0,68,18,0,849,489,5,350,56,16,45,849,109,38,39,0,32,740,350,5,266,35,13,5,66,0,66,922,658,364,294
2021,Chugach Census Area; Alaska,7015,3641,3374,107.9,447,347,549,518,246,1143,848,810,366,793,716,167,65,38.1,1620,5505,5395,5148,1442,948,5395,2780,2615,106.3,948,495,453,109.3,7015,6441,574,6441,5106,116,405,81,0,0,0,440,0,02,063,16,395,4,0,25,0,77,0,10,41,26,297,574,7,291,64,0,7015,5542,123,807,563,215,355,7015,419,297,1,0,121,6596,5003,116,403,440,77,71,486,0,486,3626,5037,2647,2390
2021,Copper River Census Area; Alaska,2635,1374,1261,109.0,161,232,151,140,106,252,338,425,259,189,232,134,16,42.8,634,2023,2001,1916,481,382,2001,1113,888,125.3,382,210,172,122.1,2635,2288,347,2288,1535,3,728,3,0,0,0,15,0,02,066,0,2,0,11,0,2,0,0,0,0,0,7,347,0,191,11,0,2635,1870,3,982,61,0,117,2635,128,128,0,0,0,2507,1522,3,728,15,0,0,239,2,237,2676,1981,1110,871
2021,Denali Borough; Alaska,2187,1168,1019,114.6,48,22,87,106,268,234,310,340,200,314,184,64,10,45.3,194,2030,1993,1853,458,258,1993,1098,895,122.7,258,160,98,163.3,2187,1912,275,1912,1748,26,54,0,1,0,0,48,0,02,068,7,24,17,0,0,0,0,0,0,0,0,36,275,0,78,88,0,2187,1957,72,172,205,60,39,2187,13,4,0,0,9,2174,1742,26,54,48,0,32,272,0,272,1415,1881,1034,847
2021,Dillingham Census Area; Alaska,4899,2533,2366,107.1,464,451,413,356,332,762,594,420,293,263,388,125,38,30.4,1542,3502,3357,3151,746,551,3357,1767,1590,111.1,551,292,259,112.7,4899,4497,402,4497,793,66,3597,0,0,0,0,10,0,02,070,0,0,0,8,2,0,3,0,0,3,0,28,402,4,328,0,15,4899,1152,103,3986,34,16,32,4899,160,125,0,0,35,4739,706,66,3554,10,3,2,398,0,398,2406,3282,1703,1579
2021,Fairbanks North Star Borough; Alaska,97149,52667,44482,118.4,7282,7282,5546,6037,9659,17631,12454,10197,5450,4839,7564,2589,619,31.9,23383,75869,73766,68947,13648,10772,73766,40537,33229,122.0,10772,5565,5207,106.9,97149,88142,9007,88142,70888,4428,7366,155,133,7,156,3269,89,02,090,546,955,272,923,94,390,568,176,0,323,69,1623,9007,1429,3165,1207,104,97149,79191,6729,11542,5211,1086,3482,97149,8016,4458,1467,171,1920,89133,66420,4221,6854,3205,568,442,7423,639,6784,42870,71805,39660,32145
