year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2021,Allegany County; Maryland,68684,36413,32271,112.8,3069,3505,3271,4923,5822,8258,8138,8792,4713,4566,7600,4134,1893,41.4,11840,58168,56844,52384,16298,13627,56844,30173,26671,113.1,13627,6127,7500,81.7,68684,66955,1729,66955,60234,5826,90,0,5,0,0,608,46,24,001,235,94,0,72,30,131,4,2,1,1,0,193,1729,777,195,324,61,68684,61829,6751,401,996,23,482,68684,1340,298,214,48,780,67344,59297,5723,81,590,4,109,1540,129,1411,32927,56297,29813,26484
2021,Anne Arundel County; Maryland,584064,290533,293531,99.0,35281,36207,38054,34946,36374,81468,79615,77561,41307,36962,52438,24289,9562,38.5,131196,466466,452868,433103,108166,86289,452868,223709,229159,97.6,86289,38778,47511,81.6,584064,548776,35288,548776,405112,98852,2021,136,11,66,41,22836,4486,24,003,4005,5933,489,3013,1227,3683,289,27,166,30,66,19666,35288,10182,2657,6854,961,584064,436924,114784,7607,32786,1437,29892,584064,48638,12332,7414,1465,27427,535426,385783,97133,669,22643,284,2164,26750,3300,23450,231310,432960,214116,218844
2021,Baltimore County; Maryland,850702,404907,445795,90.8,49589,51408,53163,55026,51269,114025,106477,106974,57181,59735,84263,41430,20162,39.4,185968,685912,664734,630681,180051,145855,664734,310167,354567,87.5,145855,61964,83891,73.9,850702,814473,36229,814473,489211,251415,2293,446,0,8,12,52047,13951,24,005,7480,6856,642,4087,2138,16893,972,395,152,106,319,18535,36229,9935,3077,6256,1452,850702,519851,269234,9440,61780,2068,29149,850702,49211,9095,8738,1525,29853,801491,470898,247318,1434,51841,351,3296,26353,2632,23721,348239,626397,291302,335095
2021,Calvert County; Maryland,92515,46107,46408,99.4,4772,5905,6712,6104,5531,10594,11527,13338,7695,6467,8435,3989,1446,40.2,21613,73562,70902,68102,17726,13870,70902,35014,35888,97.6,13870,6350,7520,84.4,92515,87321,5194,87321,73328,11481,114,0,0,0,0,1970,358,24,009,213,737,6,120,118,418,47,0,14,33,0,381,5194,1407,646,644,160,92515,78051,13655,1118,3076,375,1986,92515,4018,866,1135,233,1784,88497,70772,11316,80,1951,33,205,4140,799,3341,35501,70045,34724,35321
2021,Caroline County; Maryland,33234,16365,16869,97.0,2022,2426,2077,2156,1861,4064,4274,4034,2378,2503,3220,1604,615,39.2,7918,26246,25316,24185,7037,5439,25316,12368,12948,95.5,5439,2535,2904,87.3,33234,31565,1669,31565,25599,4535,151,44,0,0,0,186,52,24,011,51,17,0,36,0,30,0,0,0,0,0,1094,1669,654,180,234,34,33234,27067,5274,501,442,17,1623,33234,2557,236,132,36,2153,30677,24724,4318,23,186,0,123,1303,178,1125,13466,24191,11873,12318
2021,Carroll County; Maryland,172148,85695,86453,99.1,9290,10087,11088,11772,10002,19253,20659,24811,13817,12384,17239,8162,3584,41.7,37767,139381,134381,127674,36244,28985,134381,66332,68049,97.5,28985,13112,15873,82.6,172148,166604,5544,166604,154351,6230,351,29,0,21,1,3752,800,24,013,548,609,53,565,294,883,56,19,9,0,28,1864,5544,1496,550,918,111,172148,159662,8344,1113,5152,205,3784,172148,6691,1804,993,396,3498,165457,150942,6161,314,3752,28,554,3706,466,3240,65500,131588,64869,66719
2021,Cecil County; Maryland,103370,51435,51935,99.0,5760,6301,7094,6574,5801,12861,12432,14622,7418,8170,10354,4424,1559,41.0,23442,82988,79928,76856,21667,16337,79928,39507,40421,97.7,16337,7734,8603,89.9,103370,98768,4602,98768,89109,6897,94,0,0,0,0,1454,184,24,015,361,360,34,93,119,303,36,36,0,0,0,1178,4602,1625,565,415,195,103370,92989,9299,1024,2167,77,2652,103370,4842,2148,1423,214,1057,98528,86631,6526,94,1454,36,67,3720,747,2973,43787,77965,38621,39344
2021,Charles County; Maryland,165209,79875,85334,93.6,9644,10996,11789,11369,10158,21054,21618,25169,12653,10204,12922,5562,2071,38.7,39863,130190,125346,119395,26212,20555,125346,59671,65675,90.9,20555,9016,11539,78.1,165209,154170,11039,154170,66166,78989,828,30,7,11,0,5534,1014,24,017,716,1872,62,358,230,1282,35,13,4,0,18,2618,11039,3433,636,1101,1063,165209,74493,86485,4025,7879,266,5049,165209,10524,2522,2166,478,5358,154685,61147,77940,741,5481,35,809,8532,579,7953,61718,121651,57981,63670
2021,Dorchester County; Maryland,32486,15367,17119,89.8,1726,1669,2113,1966,1744,3782,3428,3986,2739,2313,4118,2333,569,44.1,6872,26632,25614,24523,8257,7020,25614,11850,13764,86.1,7020,3129,3891,80.4,32486,30394,2092,30394,20698,8226,3,0,0,0,0,429,57,24,019,57,60,5,5,6,239,0,0,0,0,0,1038,2092,1087,206,19,212,32486,22182,9935,451,477,16,1547,32486,1923,670,601,64,588,30563,20259,8207,3,429,0,58,1607,62,1545,16433,25044,11619,13425
2021,Frederick County; Maryland,267498,132404,135094,98.0,15666,17012,18635,18068,15613,33437,36206,37785,19377,16948,23316,10667,4768,38.8,62573,211941,204925,194535,48842,38751,204925,100488,104437,96.2,38751,17380,21371,81.3,267498,248186,19312,248186,204273,25804,476,46,0,0,4,12338,2991,24,021,2710,1717,145,1198,903,2674,105,33,18,22,32,5190,19312,4539,975,3137,323,267498,221962,32366,2812,16496,398,13995,267498,27867,3976,3406,685,19800,239631,190380,25064,342,12296,98,639,10812,1170,9642,101980,193777,95490,98287
