year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2022,Albany County; New York,315041,153405,161636,94.9,15008,15273,16690,23352,32873,41746,37461,36475,20882,20121,32042,15554,7564,38.1,57079,265064,257962,236796,67869,55160,257962,124271,133691,93.0,55160,23901,31259,76.5,315041,295797,19244,295797,227136,38455,265,0,6,0,1,23091,7346,36,001,4632,2100,247,1343,812,6611,215,0,30,0,185,6635,19244,6890,870,2548,5136,809,958,315041,243977,48718,2982,26509,447,13253,315041,20613,2396,8140,975,9102,294428,220111,35953,152,22902,177,952,14181,2514,11667,146137,244355,117742,126613
2022,Allegany County; New York,47222,23892,23330,102.4,2360,2388,2830,5072,4605,4452,4670,5039,3236,3442,5348,2591,1189,38.9,9265,39045,37957,33225,11341,9128,37957,19132,18825,101.6,9128,4390,4738,92.7,47222,46188,1034,46188,44575,785,57,10,0,0,0,440,80,36,003,162,88,0,57,21,32,26,18,0,0,8,305,1034,184,168,329,255,24,27,47222,45545,1022,268,791,57,601,47222,886,113,155,63,555,46336,44195,722,51,439,26,38,865,155,710,23636,37614,18961,18653
2022,Bronx County; New York,1443229,683349,759880,89.9,99390,93898,104293,98118,103549,222810,184881,176548,91263,76832,109072,59197,23378,35.0,355908,1126809,1087321,1027812,235874,191647,1087321,501810,585511,85.7,191647,75817,115830,65.5,1443229,1285047,158182,1285047,258727,491689,14119,245,0,64,0,56630,18245,36,005,6807,6525,579,1903,3348,19223,1726,52,415,342,917,462156,158182,16305,2608,4755,59460,2955,45038,1443229,356280,572513,31783,69437,4843,586722,1443229,814017,83994,254997,9418,465608,629212,123902,408777,3225,54493,427,13053,25335,7939,17396,547816,878534,398010,480524
2022,Broome County; New York,198365,98025,100340,97.7,9742,9847,11543,15272,20765,22109,21013,21301,13497,14122,21176,11646,6332,39.7,37879,165200,160486,147205,47105,39154,160486,78526,81960,95.8,39154,17184,21970,78.2,198365,188466,9899,188466,163872,10808,312,55,0,0,0,9782,2517,36,007,4015,362,175,728,468,1517,78,24,46,8,0,3614,9899,3991,741,994,2687,129,437,198365,172894,16089,1723,11021,150,7161,198365,9431,1350,4104,132,3845,188934,161262,9913,197,9767,70,389,7336,1393,5943,92596,153991,75341,78650
2022,Cattaraugus County; New York,77000,38652,38348,100.8,4233,5097,4543,5193,4806,8332,8442,9508,5232,6261,9190,4392,1771,42.5,16876,62073,60124,56861,19192,15353,60124,29971,30153,99.4,15353,7197,8156,88.2,77000,73824,3176,73824,69289,1192,2117,0,5,0,1,549,153,36,009,44,13,40,82,28,189,0,0,0,0,0,677,3176,688,864,280,1082,13,77,77000,72345,2028,3054,932,35,1926,77000,1828,563,838,28,399,75172,68387,1132,2050,549,0,139,2915,967,1948,40254,59724,29753,29971
2022,Cayuga County; New York,76171,39143,37028,105.7,3744,4014,4298,4505,4236,9621,9061,9483,5798,6139,8975,4380,1917,43.4,14810,63062,61361,58740,18808,15272,61361,31421,29940,104.9,15272,7158,8114,88.2,76171,72671,3500,72671,68242,2625,134,15,7,0,0,575,124,36,011,62,71,215,23,4,76,8,0,0,8,0,1087,3500,1070,395,215,1435,37,135,76171,71539,4043,725,843,20,2691,76171,2428,517,987,44,880,73743,67307,2561,96,575,8,327,2869,988,1881,36701,60548,30976,29572
2022,Chautauqua County; New York,127440,63496,63944,99.3,6615,7225,7377,8693,8126,14321,14177,15222,9417,9742,15361,7409,3755,42.8,25842,104792,101598,95711,32185,26525,101598,50263,51335,97.9,26525,12146,14379,84.5,127440,121924,5516,121924,113168,3352,432,39,0,36,0,894,136,36,013,252,133,20,66,140,147,69,0,20,8,41,4009,5516,1339,762,281,2569,80,19,127440,118464,5153,1502,1273,160,6868,127440,10333,858,7249,193,2033,117107,109504,2804,233,894,61,131,3480,977,2503,66350,100294,49444,50850
2022,Chemung County; New York,83584,41704,41880,99.6,4364,4920,5166,5332,4857,10490,9743,10249,6200,5887,9428,4580,2368,41.7,17589,68248,65995,62929,19905,16376,65995,32766,33229,98.6,16376,7330,9046,81.0,83584,78721,4863,78721,71833,4470,267,3,0,0,6,1275,151,36,015,531,102,81,180,76,154,0,0,0,0,0,876,4863,2225,447,488,1278,84,164,83584,76429,7098,916,1781,13,2369,83584,2874,648,1163,40,1023,80710,70876,4410,102,1275,0,324,3723,562,3161,39035,64772,32094,32678
2022,Chenango County; New York,47096,23663,23433,101.0,2406,2604,2913,2757,2457,5250,5219,5987,3432,4028,5840,2976,1227,44.9,9672,38574,37424,35865,12581,10043,37424,18757,18667,100.5,10043,4792,5251,91.3,47096,45758,1338,45758,44432,370,20,10,1,0,1,248,0,36,017,110,82,9,31,0,16,7,2,0,5,0,681,1338,288,326,150,422,6,6,47096,45727,737,395,439,56,1145,47096,1125,439,293,28,365,45971,44046,302,13,247,5,148,1210,346,864,24384,36964,18532,18432
2022,Clinton County; New York,79839,41064,38775,105.9,3596,3943,4272,5650,7135,9715,9598,9875,5854,5957,8469,4119,1656,40.9,14325,67113,65514,60904,17920,14244,65514,33712,31802,106.0,14244,6669,7575,88.0,79839,77555,2284,77555,72093,2845,222,0,0,1,0,1151,199,36,019,229,248,121,102,22,230,31,22,0,0,9,1213,2284,517,341,303,694,6,93,79839,74207,3743,690,1535,35,2170,79839,2340,293,737,52,1258,77499,71610,2693,206,1143,31,215,1601,276,1325,37309,63278,32448,30830
