year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2022,Anderson County; Texas,58077,35807,22270,160.8,2974,2949,3150,2861,3707,9227,9386,8350,3581,3323,5107,2812,650,39.3,11032,48393,47045,45308,10522,8569,47045,29923,17122,174.8,8569,3973,4596,86.4,58077,50886,7191,50886,36996,11225,465,65,0,35,35,385,12,48,001,5,54,7,8,209,90,33,0,33,0,0,1782,7191,792,1094,115,4730,48,108,58077,43997,12297,1858,549,54,6804,58077,10644,9007,253,16,1368,47433,32935,10836,415,385,33,125,2704,621,2083,20287,44931,28304,16627
2022,Andrews County; Texas,18362,9274,9088,102.0,1501,1679,1518,1190,1431,2662,2467,2087,770,1303,1157,424,173,32.4,5623,13367,12739,12304,2473,1754,12739,6382,6357,100.4,1754,835,919,90.9,18362,15151,3211,15151,12484,417,0,0,0,0,0,96,0,48,003,9,66,0,14,7,0,0,0,0,0,0,2154,3211,72,136,30,2940,0,0,18362,15676,489,155,126,14,5113,18362,10638,10101,40,0,497,7724,7057,417,0,87,0,12,151,8,143,6976,10805,5328,5477
2022,Angelina County; Texas,86608,42586,44022,96.7,5634,5536,6981,6315,5428,10942,10313,10606,5485,5271,8293,4269,1535,37.8,22010,66940,64598,61034,17073,14097,64598,31419,33179,94.7,14097,6254,7843,79.7,86608,76030,10578,76030,61095,10924,775,13,0,212,0,828,105,48,005,134,278,63,25,180,43,0,0,0,0,0,2408,10578,651,2197,119,7023,14,9,86608,71633,11866,3387,1033,12,9865,86608,19893,17761,275,39,1818,66715,51352,10924,368,809,0,161,3101,70,3031,36619,59713,28781,30932
2022,Aransas County; Texas,24048,11986,12062,99.4,1061,845,1475,932,709,2284,3047,2984,2159,1906,3654,2405,587,51.0,4187,20308,19861,19543,7816,6646,19861,9751,10110,96.4,6646,3179,3467,91.7,24048,21220,2828,21220,19514,202,318,16,0,0,0,419,0,48,007,6,1,98,0,314,0,0,0,0,0,0,767,2828,140,331,231,1916,71,65,24048,22206,478,794,650,0,2822,24048,6951,6163,49,35,704,17097,15840,202,118,419,0,0,518,65,453,15600,19765,9686,10079
2022,Archer County; Texas,8649,4400,4249,103.6,442,597,533,580,463,876,999,1050,654,672,1047,522,214,43.1,1962,7000,6687,6339,2153,1783,6687,3366,3321,101.4,1783,843,940,89.7,8649,8199,450,8199,7956,50,86,35,0,0,0,16,0,48,009,7,9,0,0,0,0,0,0,0,0,0,91,450,156,109,0,128,0,0,8649,8380,208,250,18,2,272,8649,745,650,30,3,62,7904,7539,46,32,16,0,1,270,22,248,3910,6447,3205,3242
2022,Armstrong County; Texas,1912,879,1033,85.1,116,105,164,84,112,162,222,169,64,165,300,191,58,43.9,425,1517,1487,1427,624,549,1487,708,779,90.9,549,257,292,88.0,1912,1817,95,1817,1745,16,21,4,0,0,0,2,0,48,011,0,0,0,2,0,0,0,0,0,0,0,33,95,26,4,0,65,0,0,1912,1840,42,25,2,0,98,1912,180,129,0,0,51,1732,1663,16,21,2,0,0,30,0,30,884,1466,708,758
2022,Atascosa County; Texas,49403,24580,24823,99.0,3413,3622,3951,3660,3219,6197,6414,5873,3006,2725,4268,2179,876,35.8,13298,37857,36105,34248,8796,7323,36105,17818,18287,97.4,7323,3347,3976,84.2,49403,35808,13595,35808,31643,499,78,0,0,10,0,255,54,48,013,15,99,0,0,9,78,0,0,0,0,0,3333,13595,120,950,14,11939,92,0,49403,45146,1177,1291,283,0,15712,49403,32436,29783,90,72,2491,16967,15463,472,20,255,0,37,720,226,494,18858,33605,16471,17134
2022,Austin County; Texas,30406,15298,15108,101.3,1648,1630,2603,2090,1477,3561,3547,3431,2174,2175,3644,2044,382,41.0,7171,24061,23235,21988,7485,6070,23235,11592,11643,99.6,6070,2901,3169,91.5,30406,28679,1727,28679,22162,2731,77,0,0,0,0,147,51,48,015,0,0,16,0,80,0,0,0,0,0,0,3562,1727,222,159,132,983,70,93,30406,23726,3125,306,308,59,4647,30406,8572,7686,220,31,635,21834,18282,2625,29,147,0,111,640,92,548,13870,21797,10940,10857
2022,Bailey County; Texas,6902,3287,3615,90.9,560,358,568,678,396,1344,762,518,420,443,397,298,160,30.3,1858,5272,5044,4523,1231,855,5044,2456,2588,94.9,855,423,432,97.9,6902,6594,308,6594,5499,35,70,70,0,0,0,92,0,48,017,0,0,0,0,72,20,0,0,0,0,0,898,308,35,0,0,213,0,0,6902,5747,130,70,152,0,1111,6902,4688,4402,6,13,267,2214,1941,16,70,92,0,0,95,0,95,2456,3647,1807,1840
2022,Bandera County; Texas,21182,10479,10703,97.9,732,1228,1013,1066,864,1468,1961,2873,2131,1927,3592,1924,403,53.4,3550,18113,17632,16920,7004,5919,17632,8692,8940,97.2,5919,2948,2971,99.2,21182,18358,2824,18358,16997,202,157,66,0,1,15,100,0,48,019,0,50,0,4,46,0,0,0,0,0,0,902,2824,135,201,58,2249,0,0,21182,19775,340,486,214,15,3317,21182,4342,3085,363,0,894,16840,15690,197,114,100,0,133,606,213,393,11463,17068,8520,8548
