year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,state_fips,county_fips,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2023,Atlantic County; New Jersey,274704,133755,140949,94.9,14330,15287,17515,17397,17375,32993,30911,34511,19488,22008,31611,15940,5338,42.2,57615,224296,217089,206407,66186,52889,217089,104139,112950,92.2,52889,23867,29022,82.2,274704,246548,28156,246548,159688,38049,1209,597,64,149,0,18,0,34,001,381,21481,6251,3992,3214,287,1157,3249,3331,137,29,7,13,88,25984,28156,4624,755,2395,15628,507,1471,274704,184642,46341,4100,25030,279,44142,274704,54686,12696,18805,1463,21722,220018,149802,36256,244,21268,137,1267,11044,1682,9362,132102,199833,96090,103743
2023,Bergen County; New Jersey,954717,467706,487011,96.0,48738,52770,61465,59276,54219,109077,128544,133870,69969,66441,96442,50615,23291,42.1,200829,778758,753888,722764,208997,170348,753888,365008,388880,93.9,170348,75483,94865,79.6,954717,846360,108357,846360,561302,54559,2710,239,26,672,0,0,0,34,003,1773,159137,32334,22765,23953,5476,61202,1629,11778,243,25,96,62,60,68409,108357,6543,1648,10663,71130,660,6719,954717,658026,74621,9021,174500,850,153848,954717,211044,10503,31098,14699,154744,743673,501031,50548,868,158311,206,6856,25853,7096,18757,368535,663527,320396,343131
2023,Burlington County; New Jersey,464226,229230,234996,97.5,23548,26487,27882,27830,26423,58370,60185,61763,35279,33334,47918,24992,10215,41.7,96046,380584,368180,353293,102821,83125,368180,180191,187989,95.9,83125,36374,46751,77.8,464226,425794,38432,425794,306469,76766,1078,55,0,158,0,14,0,34,005,851,26126,12449,3500,3086,424,2514,739,3414,44,0,34,2,8,15311,38432,9673,1502,4232,14849,683,2362,464226,339997,93268,5877,32568,713,34338,464226,42820,4624,18830,1665,17701,421406,295500,73455,122,25819,25,3310,23175,5403,17772,185617,352578,172409,180169
2023,Camden County; New Jersey,524042,253745,270297,93.9,31250,33519,33721,32452,30472,71994,69834,66428,34997,34404,50609,24702,9660,38.8,119506,418210,404536,387714,104523,84971,404536,192700,211836,91.0,84971,36786,48185,76.3,524042,478799,45243,478799,295701,98859,1572,269,20,171,0,41,0,34,007,1071,30601,8599,5483,5138,370,2488,4579,3944,251,0,71,14,166,51815,45243,6415,1565,3763,21770,1849,2820,524042,333729,115158,7583,38090,1001,79311,524042,97957,13687,44718,2441,37111,426085,280083,92876,183,30309,92,3616,18926,3501,15425,213188,379100,179295,199805
2023,Cape May County; New Jersey,95236,46213,49023,94.3,4131,4712,4817,4404,4558,9447,9392,10444,6827,9272,16068,8596,2568,51.4,16519,80597,78717,76112,32593,27232,78717,38027,40690,93.5,27232,12424,14808,83.9,95236,89733,5503,89733,82830,3237,191,43,0,54,0,0,0,34,009,94,623,154,72,181,19,59,54,84,0,0,0,0,0,2852,5503,1440,325,780,2267,126,121,95236,88083,5035,896,1471,231,5345,95236,7676,2774,2690,275,1937,87560,80399,2951,25,623,0,253,3309,549,2760,99625,76483,36818,39665
2023,Cumberland County; New Jersey,152915,78025,74890,104.2,9425,10154,11328,9863,9125,21018,20196,19106,9072,9822,13943,6877,2986,37.6,37263,119461,115652,110458,29429,23806,115652,59140,56512,104.7,23806,10602,13204,80.3,152915,129883,23032,129883,79484,27725,1741,154,28,53,0,0,0,34,011,1506,2194,1394,46,223,107,178,0,246,15,0,15,0,0,18724,23032,2123,528,286,15974,391,833,152915,100392,32968,4541,3223,130,36925,152915,53457,18755,25601,578,8523,99458,64068,26092,801,2054,15,1251,5177,1063,4114,57203,104374,52358,52016
2023,Essex County; New Jersey,854130,414880,439250,94.5,53778,54763,59811,55697,54093,115572,120576,115952,54486,50019,70370,33959,15054,37.7,202319,674746,651811,619311,149068,119383,651811,311595,340216,91.6,119383,50138,69245,72.4,854130,756839,97291,756839,283278,315154,3926,318,0,942,0,70,0,34,013,2596,49935,19501,11991,8409,895,3295,702,5142,318,0,65,75,178,104228,97291,11397,1373,5371,53659,1250,14627,854130,360252,348392,9274,59961,1283,178549,854130,210724,10559,53358,6035,140772,643406,238415,307823,1224,48998,192,12186,34568,16346,18222,335550,543878,256194,287684
2023,Gloucester County; New Jersey,304504,149151,155353,96.0,15345,18980,18380,20902,21292,37532,38827,40232,21430,21473,30737,13916,5458,40.1,65177,247419,239327,226402,62807,50111,239327,115754,123573,93.7,50111,22233,27878,79.8,304504,286397,18107,286397,234706,32642,333,0,0,45,0,0,0,34,015,288,9342,3030,1149,2062,182,739,401,1779,142,34,0,4,104,9232,18107,4404,1021,2488,7288,188,411,304504,251821,39063,2662,12713,352,18339,304504,23885,3579,12219,530,7557,280619,228951,30792,88,9249,142,1360,10037,1666,8371,117530,233219,112422,120797
2023,Hudson County; New Jersey,710478,354747,355731,99.7,45876,39397,36054,34341,40147,147705,116522,84608,42848,34563,52137,26067,10213,35.8,142298,582051,568180,548596,107843,88417,568180,282366,285814,98.8,88417,37596,50821,74.0,710478,581993,128485,581993,263094,86696,6140,1127,56,514,0,50,0,34,017,4393,117450,53380,22070,21908,1683,5628,2568,10213,129,70,0,0,59,108484,128485,7301,1376,5455,93498,1397,7793,710478,376887,109334,13327,127479,1140,218448,710478,289220,18385,52055,26153,192627,421258,199498,76501,975,115819,129,6220,22116,7885,14231,317032,434186,211855,222331
2023,Hunterdon County; New Jersey,129448,63829,65619,97.3,5641,6602,7419,7937,7537,12373,15111,18291,11328,11136,15619,7377,3077,46.2,24848,108575,104600,100454,32405,26073,104600,51173,53427,95.8,26073,12279,13794,89.0,129448,120514,8934,120514,108341,3394,148,4,0,4,0,0,0,34,019,140,5841,2944,994,638,18,280,145,822,38,18,0,0,20,2752,8934,409,264,1172,6270,43,140,129448,116840,4259,619,7420,80,9549,129448,11451,1961,2479,1044,5967,117997,104980,3083,24,5750,38,527,3595,1501,2094,51908,100067,49154,50913
