year,county_name,housing_occupancy_total_housing_units,housing_occupancy_occupied_housing_units,housing_occupancy_vacant_housing_units,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_1_unit_detached,units_in_structure_1_unit_attached,units_in_structure_2_units,units_in_structure_3_or_4_units,units_in_structure_5_to_9_units,units_in_structure_10_to_19_units,units_in_structure_20_or_more_units,units_in_structure_mobile_home,units_in_structure_boat_rv_van_etc.,year_structure_built_total_housing_units,year_structure_built_built_2005_or_later,year_structure_built_built_2000_to_2004,year_structure_built_built_1990_to_1999,year_structure_built_built_1980_to_1989,year_structure_built_built_1970_to_1979,year_structure_built_built_1960_to_1969,year_structure_built_built_1950_to_1959,year_structure_built_built_1940_to_1949,year_structure_built_built_1939_or_earlier,rooms_total_housing_units,rooms_1_room,rooms_2_rooms,rooms_3_rooms,rooms_4_rooms,rooms_5_rooms,rooms_6_rooms,rooms_7_rooms,rooms_8_rooms,rooms_9_rooms_or_more,state_fips,county_fips,rooms_median_rooms,bedrooms_total_housing_units,bedrooms_no_bedroom,bedrooms_1_bedroom,bedrooms_2_bedrooms,bedrooms_3_bedrooms,bedrooms_4_bedrooms,bedrooms_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_owner_occupied,housing_tenure_renter_occupied,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_moved_in_2005_or_,year_householder_moved_into_unit_moved_in_2000_to_,year_householder_moved_into_unit_moved_in_1990_to_,year_householder_moved_into_unit_moved_in_1980_to_,year_householder_moved_into_unit_moved_in_1970_to_,year_householder_moved_into_unit_moved_in_1969_or_,vehicles_available_occupied_housing_units,vehicles_available_no_vehicles_available,vehicles_available_1_vehicle_available,vehicles_available_2_vehicles_available,vehicles_available_3_or_more_vehicles_available,house_heating_fuel_occupied_housing_units,house_heating_fuel_utility_gas,house_heating_fuel_bottled_tank_or_lp_gas,house_heating_fuel_electricity,house_heating_fuel_fuel_oil_kerosene_etc.,house_heating_fuel_coal_or_coke,house_heating_fuel_wood,house_heating_fuel_solar_energy,house_heating_fuel_other_fuel,house_heating_fuel_no_fuel_used,selected_characteristics_occupied_housing_units,selected_characteristics_lacking_complete_plumbing,selected_characteristics_lacking_complete_kitchen_,selected_characteristics_no_telephone_service_avai,occupants_per_room_occupied_housing_units,occupants_per_room_1.00_or_less,occupants_per_room_1.01_to_1.50,occupants_per_room_1.51_or_more,value_owner_occupied_units,value_less_than_50000,value_50000_to_99999,value_100000_to_149999,value_150000_to_199999,value_200000_to_299999,value_300000_to_499999,value_500000_to_999999,value_1000000_or_more,value_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_housing_units_with_a_mortgage,mortgage_status_housing_units_without_a_mortgage,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_300,selected_monthly_owner_costs_smoc_300_to_499,selected_monthly_owner_costs_smoc_500_to_699,selected_monthly_owner_costs_smoc_700_to_999,selected_monthly_owner_costs_smoc_1000_to_1499,selected_monthly_owner_costs_smoc_1500_to_1999,selected_monthly_owner_costs_smoc_2000_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_100,selected_monthly_owner_costs_smoc_100_to_199,selected_monthly_owner_costs_smoc_200_to_299,selected_monthly_owner_costs_smoc_300_to_399,selected_monthly_owner_costs_smoc_400_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_less_than_200,gross_rent_200_to_299,gross_rent_300_to_499,gross_rent_500_to_749,gross_rent_750_to_999,gross_rent_1000_to_1499,gross_rent_1500_or_more,gross_rent_median_dollars,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2010,Adams County; Mississippi,14771,12354,2417,1.8,9.9,14771,10412,258,462,389,734,89,336,2064,27,14771,206,459,1282,2179,3309,2259,2045,1101,1931,14771,40,163,792,2467,4549,3042,1743,893,1082,28,001,5.4,14771,40,1141,3630,7837,1703,420,12354,8286,4068,2.54,2.75,12354,3773,2225,2574,1451,1221,1110,12354,1286,5085,4111,1872,12354,6420,858,4851,0,12,156,0,42,15,12354,101,42,541,12354,12082,241,31,8286,2181,3124,1160,620,348,580,171,102,77500,8286,3622,4664,3622,17,219,908,1060,774,277,367,874,4664,94,552,1309,1138,1571,327,3614,1438,430,387,305,1054,8,4603,1776,753,496,333,201,244,800,61,3504,123,403,964,1392,545,77,0,554,564,3267,407,307,294,277,344,1638,801
2010,Alcorn County; Mississippi,16913,13685,3228,3.1,22.3,16913,12182,183,433,654,451,217,202,2591,0,16913,503,825,2643,2999,3093,2703,1818,935,1394,16913,0,123,993,3562,4568,3445,2016,1030,1176,28,003,5.3,16913,44,1619,4697,8028,2051,474,13685,10029,3656,2.72,2.48,13685,3971,2412,3121,1992,1192,997,13685,1023,3901,5450,3311,13685,4994,2580,5831,31,0,203,0,10,36,13685,50,105,827,13685,13528,157,0,10029,2782,3237,1989,1008,569,329,66,49,85700,10029,5178,4851,5178,35,454,1073,1542,1381,362,331,879,4851,107,923,1456,1195,1170,296,5148,2435,743,520,410,1040,30,4790,1811,1163,550,367,255,180,464,61,3186,347,335,1107,1128,222,32,15,476,470,2973,536,406,333,315,288,1095,683
2010,Amite County; Mississippi,6638,4993,1645,2.8,4.8,6638,5122,21,72,18,28,0,16,1347,14,6638,68,507,827,1164,1256,990,390,559,877,6638,7,110,352,869,2142,1584,949,283,342,28,005,5.4,6638,71,286,1624,3511,1017,129,4993,4065,928,2.60,2.95,4993,818,975,1473,673,564,490,4993,354,1870,1663,1106,4993,421,1302,2872,14,0,338,0,22,24,4993,58,129,320,4993,4935,58,0,4065,1330,1331,547,269,356,178,39,15,72300,4065,1373,2692,1373,23,134,312,363,371,108,62,842,2692,114,385,753,791,649,313,1362,449,237,144,126,406,11,2646,868,522,484,132,86,130,424,46,596,76,37,129,258,42,54,0,564,332,488,42,2,27,61,75,281,440
2010,Attala County; Mississippi,9089,7286,1803,2.0,11.8,9089,6781,34,124,315,64,0,45,1720,6,9089,242,502,1551,1104,1780,1390,747,763,1010,9089,0,218,454,1624,2905,2169,847,442,430,28,007,5.3,9089,9,530,2230,5159,932,229,7286,5496,1790,2.66,2.62,7286,1783,1494,1824,693,658,834,7286,638,2347,2642,1659,7286,2940,2128,1831,0,0,355,0,32,0,7286,0,75,191,7286,7022,243,21,5496,1712,1989,611,461,513,189,7,14,72200,5496,2547,2949,2547,10,176,806,771,510,175,99,777,2949,54,572,860,649,814,299,2534,1087,175,406,165,701,13,2920,985,619,336,246,197,132,405,29,1338,124,137,519,372,118,68,0,478,452,1324,193,210,134,192,87,508,466
2010,Benton County; Mississippi,4073,3303,770,2.2,11.3,4073,3275,62,31,22,0,6,3,674,0,4073,86,285,611,616,710,756,369,269,371,4073,10,110,161,528,1484,824,452,355,149,28,009,5.3,4073,15,258,785,2299,663,53,3303,2611,692,2.59,2.75,3303,684,490,1002,424,380,323,3303,280,1242,1040,741,3303,799,1403,926,0,0,83,0,89,3,3303,14,5,205,3303,3002,301,0,2611,852,790,505,172,246,18,28,0,79100,2611,1431,1180,1431,0,148,273,665,207,128,10,823,1180,29,233,301,190,427,315,1368,480,66,233,80,509,63,1144,265,160,298,74,48,98,201,36,475,0,43,98,247,60,27,0,543,217,475,143,60,21,44,15,192,217
2010,Bolivar County; Mississippi,14278,12666,1612,0.8,5.5,14278,9577,147,734,742,798,416,335,1529,0,14278,355,1216,1857,2299,3035,2476,1516,648,876,14278,672,274,1086,2204,4262,2548,1827,653,752,28,011,5.2,14278,711,1025,3084,7353,1726,379,12666,7112,5554,2.66,2.73,12666,4362,2426,2595,1471,915,897,12666,1700,5024,3926,2016,12666,6979,1877,3723,14,0,43,0,16,14,12666,44,69,757,12666,11954,499,213,7112,1823,2755,1123,590,588,144,84,5,77800,7112,3719,3393,3719,29,188,496,1123,1259,399,225,1007,3393,3,305,885,897,1303,357,3695,1157,599,511,278,1150,24,3353,950,669,457,359,165,167,586,40,4925,173,459,1156,2122,672,316,27,578,629,4681,435,482,441,695,429,2199,873
2010,Calhoun County; Mississippi,6939,5835,1104,3.1,6.6,6939,5559,28,83,109,118,0,11,1031,0,6939,109,353,935,1052,1470,1213,687,581,539,6939,41,100,410,1375,2190,1605,546,345,327,28,013,5.2,6939,41,349,1798,3873,699,179,5835,4015,1820,2.57,2.37,5835,1497,1201,1224,720,599,594,5835,469,1881,2159,1326,5835,1412,1559,2448,4,0,394,0,13,5,5835,4,13,369,5835,5736,99,0,4015,1418,1736,495,129,180,12,45,0,60700,4015,1799,2216,1799,62,196,688,540,171,82,60,685,2216,12,389,810,536,469,289,1796,778,324,177,162,355,3,2194,822,509,279,234,116,45,189,22,1466,64,140,592,547,123,0,0,468,354,1445,201,195,250,172,146,481,375
2010,Carroll County; Mississippi,5056,3989,1067,0.6,17.5,5056,3466,4,49,45,68,0,0,1424,0,5056,184,358,1090,913,1448,661,204,141,57,5056,72,62,189,339,2058,1299,673,201,163,28,015,5.4,5056,72,303,1144,2971,450,116,3989,3246,743,2.64,2.16,3989,649,909,1160,615,451,205,3989,186,1684,1407,712,3989,649,2120,1040,0,0,135,0,45,0,3989,21,19,173,3989,3943,46,0,3246,944,1369,420,171,317,25,0,0,65400,3246,1342,1904,1342,0,30,306,610,336,46,14,816,1904,8,294,544,314,744,341,1342,571,86,44,187,454,0,1795,688,171,318,167,99,48,304,109,477,37,34,172,177,28,29,0,495,266,464,88,28,60,26,8,254,279
2010,Chickasaw County; Mississippi,7633,6775,858,2.7,8.5,7633,5082,55,168,191,301,16,47,1773,0,7633,202,389,1542,1399,1663,1045,666,273,454,7633,72,123,421,1555,2067,1382,1087,427,499,28,017,5.3,7633,72,400,1909,4091,917,244,6775,4857,1918,2.59,2.55,6775,1707,1507,1561,814,659,527,6775,674,2410,2081,1610,6775,1578,2008,2992,20,0,177,0,0,0,6775,11,64,479,6775,6584,178,13,4857,1954,1716,497,299,200,116,75,0,59800,4857,2321,2536,2321,8,346,595,833,383,87,69,761,2536,21,497,734,599,685,302,2282,770,304,372,201,635,39,2504,1314,454,234,130,133,61,178,32,1474,67,298,462,557,80,10,0,474,444,1413,212,99,103,109,209,681,505
2010,Choctaw County; Mississippi,4190,3593,597,1.1,4.7,4190,3186,21,42,77,126,27,14,692,5,4190,78,92,529,815,956,783,320,145,472,4190,7,94,234,680,1373,991,414,214,183,28,019,5.3,4190,7,302,949,2310,564,58,3593,2762,831,2.50,2.03,3593,1006,439,806,628,363,351,3593,389,1168,1172,864,3593,803,1286,1141,3,3,357,0,0,0,3593,31,49,462,3593,3463,103,27,2762,1034,937,331,237,179,38,0,6,72800,2762,1186,1576,1186,19,93,320,510,150,80,14,773,1576,8,352,427,250,539,300,1186,287,271,155,133,340,0,1553,587,298,188,131,90,66,193,23,586,64,80,143,229,70,0,0,506,245,573,177,50,99,35,51,161,258
