year,county_name,housing_occupancy_total_housing_units,housing_occupancy_occupied_housing_units,housing_occupancy_vacant_housing_units,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_1_unit_detached,units_in_structure_1_unit_attached,units_in_structure_2_units,units_in_structure_3_or_4_units,units_in_structure_5_to_9_units,units_in_structure_10_to_19_units,units_in_structure_20_or_more_units,units_in_structure_mobile_home,units_in_structure_boat_rv_van_etc.,year_structure_built_total_housing_units,year_structure_built_built_2005_or_later,year_structure_built_built_2000_to_2004,year_structure_built_built_1990_to_1999,year_structure_built_built_1980_to_1989,year_structure_built_built_1970_to_1979,year_structure_built_built_1960_to_1969,year_structure_built_built_1950_to_1959,year_structure_built_built_1940_to_1949,year_structure_built_built_1939_or_earlier,rooms_total_housing_units,rooms_1_room,rooms_2_rooms,rooms_3_rooms,rooms_4_rooms,rooms_5_rooms,rooms_6_rooms,rooms_7_rooms,rooms_8_rooms,rooms_9_rooms_or_more,state_fips,county_fips,rooms_median_rooms,bedrooms_total_housing_units,bedrooms_no_bedroom,bedrooms_1_bedroom,bedrooms_2_bedrooms,bedrooms_3_bedrooms,bedrooms_4_bedrooms,bedrooms_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_owner_occupied,housing_tenure_renter_occupied,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_moved_in_2005_or_,year_householder_moved_into_unit_moved_in_2000_to_,year_householder_moved_into_unit_moved_in_1990_to_,year_householder_moved_into_unit_moved_in_1980_to_,year_householder_moved_into_unit_moved_in_1970_to_,year_householder_moved_into_unit_moved_in_1969_or_,vehicles_available_occupied_housing_units,vehicles_available_no_vehicles_available,vehicles_available_1_vehicle_available,vehicles_available_2_vehicles_available,vehicles_available_3_or_more_vehicles_available,house_heating_fuel_occupied_housing_units,house_heating_fuel_utility_gas,house_heating_fuel_bottled_tank_or_lp_gas,house_heating_fuel_electricity,house_heating_fuel_fuel_oil_kerosene_etc.,house_heating_fuel_coal_or_coke,house_heating_fuel_wood,house_heating_fuel_solar_energy,house_heating_fuel_other_fuel,house_heating_fuel_no_fuel_used,selected_characteristics_occupied_housing_units,selected_characteristics_lacking_complete_plumbing,selected_characteristics_lacking_complete_kitchen_,selected_characteristics_no_telephone_service_avai,occupants_per_room_occupied_housing_units,occupants_per_room_1.00_or_less,occupants_per_room_1.01_to_1.50,occupants_per_room_1.51_or_more,value_owner_occupied_units,value_less_than_50000,value_50000_to_99999,value_100000_to_149999,value_150000_to_199999,value_200000_to_299999,value_300000_to_499999,value_500000_to_999999,value_1000000_or_more,value_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_housing_units_with_a_mortgage,mortgage_status_housing_units_without_a_mortgage,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_300,selected_monthly_owner_costs_smoc_300_to_499,selected_monthly_owner_costs_smoc_500_to_699,selected_monthly_owner_costs_smoc_700_to_999,selected_monthly_owner_costs_smoc_1000_to_1499,selected_monthly_owner_costs_smoc_1500_to_1999,selected_monthly_owner_costs_smoc_2000_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_100,selected_monthly_owner_costs_smoc_100_to_199,selected_monthly_owner_costs_smoc_200_to_299,selected_monthly_owner_costs_smoc_300_to_399,selected_monthly_owner_costs_smoc_400_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_less_than_200,gross_rent_200_to_299,gross_rent_300_to_499,gross_rent_500_to_749,gross_rent_750_to_999,gross_rent_1000_to_1499,gross_rent_1500_or_more,gross_rent_median_dollars,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2010,Adair County; Missouri,11243,9584,1659,0.9,9.5,11243,7470,165,612,900,641,277,304,874,0,11243,279,676,1124,1191,2231,1361,1159,575,2647,11243,107,286,1184,2227,2699,1915,1101,765,959,29,001,5.2,11243,177,1568,3632,4048,1335,483,9584,5853,3731,2.48,2.10,9584,4551,1575,1711,740,523,484,9584,831,3361,3398,1994,9584,3811,1488,3665,41,0,471,0,89,19,9584,20,51,495,9584,9395,176,13,5853,1069,1945,1011,825,541,349,77,36,97800,5853,3237,2616,3237,38,232,651,1124,750,284,158,856,2616,31,272,653,951,709,336,3237,1710,432,343,284,468,0,2594,1069,630,318,210,143,79,145,22,3499,230,269,1192,1266,302,199,41,507,232,3413,272,319,322,339,255,1906,318
2010,Andrew County; Missouri,7246,6633,613,1.6,0.4,7246,5519,130,244,250,96,48,74,885,0,7246,311,496,1052,1123,1402,475,479,258,1650,7246,60,107,262,995,1561,1762,885,846,768,29,003,5.9,7246,63,464,2036,3287,1205,191,6633,5216,1417,2.60,2.35,6633,1768,1402,1836,711,565,351,6633,230,1514,2625,2264,6633,1851,1448,2931,92,0,215,4,43,49,6633,12,18,160,6633,6540,90,3,5216,531,1328,1264,704,740,454,188,7,125500,5216,3066,2150,3066,0,42,251,869,1016,564,324,1139,2150,32,234,487,584,813,346,3066,1590,571,291,154,460,0,2135,1034,426,243,124,77,47,184,15,1265,20,49,326,560,214,90,6,613,152,1219,251,196,141,125,66,440,198
2010,Atchison County; Missouri,3015,2474,541,3.2,13.6,3015,2514,36,25,216,49,14,57,104,0,3015,12,85,148,132,411,463,352,303,1109,3015,35,51,240,280,629,646,392,340,402,29,005,5.9,3015,45,336,866,1158,453,157,2474,1792,682,2.36,2.01,2474,546,581,528,318,257,244,2474,146,571,1017,740,2474,1106,539,674,38,0,43,7,67,0,2474,0,6,46,2474,2466,8,0,1792,542,727,212,134,73,73,27,4,69500,1792,923,869,923,5,74,228,263,263,54,36,871,869,0,88,256,247,278,332,923,484,166,89,39,145,0,853,385,192,76,54,47,30,69,16,497,40,95,151,173,23,15,0,461,185,493,142,96,71,52,7,125,189
2010,Audrain County; Missouri,10907,9532,1375,1.9,10.7,10907,8869,163,273,448,99,167,26,862,0,10907,199,275,1624,909,1876,1391,1754,956,1923,10907,50,81,560,1509,2484,2439,1574,977,1233,29,007,5.8,10907,53,767,3336,4925,1399,427,9532,7291,2241,2.54,2.22,9532,2693,1951,2368,1007,854,659,9532,771,2656,4080,2025,9532,4527,1139,3281,0,0,544,0,23,18,9532,111,111,532,9532,9429,83,20,7291,1560,2846,1378,816,518,143,29,1,84700,7291,4147,3144,4147,29,279,747,1326,1371,270,125,894,3144,149,362,1016,801,816,305,4147,2059,548,669,238,633,0,3107,1596,577,229,227,158,21,299,37,1880,132,92,507,861,236,21,31,556,361,1878,407,343,209,186,93,640,363
2010,Barry County; Missouri,17381,14256,3125,2.8,4.9,17381,12490,229,295,555,168,138,138,3346,22,17381,606,1321,4090,2512,3173,1474,1023,807,2375,17381,138,328,1052,3332,4580,3154,2046,1439,1312,29,009,5.3,17381,203,1063,5999,7489,2129,498,14256,10683,3573,2.53,2.38,14256,4798,3022,3635,1404,857,540,14256,525,4636,5496,3599,14256,3436,4653,4414,6,0,1636,0,108,3,14256,267,313,861,14256,13804,373,79,10683,1980,3275,2134,1371,1089,456,328,50,101600,10683,5712,4971,5712,35,557,1081,1852,1517,437,233,858,4971,194,1051,1618,1213,895,280,5712,2434,969,628,337,1344,0,4945,2549,1014,482,269,102,183,346,26,3080,97,115,1209,1360,271,28,0,517,493,3033,415,537,294,439,171,1177,540
2010,Barton County; Missouri,5618,4984,634,2.7,6.1,5618,4568,22,82,223,0,20,49,654,0,5618,204,387,691,405,942,551,735,327,1376,5618,87,50,214,732,1329,1167,778,755,506,29,011,5.8,5618,89,239,1537,2663,913,177,4984,3779,1205,2.52,2.54,4984,1420,1142,1205,570,294,353,4984,391,1059,1761,1773,4984,2246,1189,966,52,0,506,0,25,0,4984,50,53,108,4984,4817,108,59,3779,1022,1250,626,429,304,48,69,31,84000,3779,2081,1698,2081,12,111,552,704,517,110,75,840,1698,19,241,603,344,491,298,2081,993,328,146,218,396,0,1670,787,374,196,44,64,71,134,28,992,72,103,351,413,53,0,0,489,213,933,211,131,87,92,78,334,272
2010,Bates County; Missouri,7799,6605,1194,2.6,11.0,7799,6262,42,149,345,43,50,10,898,0,7799,259,359,916,1002,1260,846,695,538,1924,7799,67,65,505,1332,1959,1768,944,690,469,29,013,5.5,7799,75,552,2556,3372,1079,165,6605,4939,1666,2.62,2.33,6605,1877,1435,1637,785,531,340,6605,335,1864,2785,1621,6605,2306,1789,1807,11,16,662,0,11,3,6605,51,43,224,6605,6451,133,21,4939,1004,1421,899,743,525,228,75,44,102000,4939,2676,2263,2676,7,162,367,621,1082,259,178,1061,2263,41,229,455,806,732,344,2676,1080,507,323,162,604,0,2263,855,517,187,190,85,30,399,0,1484,37,110,409,546,339,38,5,614,182,1484,198,107,125,213,206,635,182
2010,Benton County; Missouri,13983,8273,5710,2.3,4.9,13983,10816,37,64,239,99,38,3,2687,0,13983,298,767,3181,1942,2387,2140,1572,477,1219,13983,430,310,778,2831,3676,2789,1578,834,757,29,015,5.2,13983,430,1095,5035,5674,1497,252,8273,6947,1326,2.23,2.38,8273,2150,1731,2533,994,435,430,8273,441,2662,3520,1650,8273,337,2896,4241,18,0,709,0,32,40,8273,71,64,316,8273,8067,60,146,6947,1463,2074,1410,1209,375,270,143,3,97500,6947,3472,3475,3472,4,255,939,1059,996,147,72,832,3475,101,801,1055,757,761,283,3445,1189,716,542,250,748,27,3436,1407,740,406,299,191,58,335,39,967,28,100,227,343,199,70,0,554,359,956,135,112,40,152,102,415,370
2010,Bollinger County; Missouri,5863,4807,1056,1.0,6.8,5863,4341,22,24,62,97,16,23,1259,19,5863,53,317,1003,1073,857,740,578,365,877,5863,44,95,329,1215,1882,952,569,375,402,29,017,5.2,5863,44,423,1914,2550,711,221,4807,3785,1022,2.55,2.64,4807,1116,1067,1135,700,406,383,4807,341,1429,1661,1376,4807,557,1589,1703,14,0,928,0,16,0,4807,81,81,147,4807,4683,105,19,3785,813,1249,898,513,222,78,12,0,92800,3785,2053,1732,2053,22,248,556,626,483,40,78,811,1732,15,495,678,301,243,255,2041,1022,211,179,239,390,12,1711,875,297,166,85,80,65,143,21,675,26,114,141,305,78,11,0,550,347,675,49,96,83,80,59,308,347
2010,Boone County; Missouri,68596,63420,5176,1.1,7.1,68596,39704,3987,5457,4653,4735,2919,3134,3942,65,68596,5195,8921,14368,10208,11395,7825,4110,2055,4519,68596,891,1873,5225,13060,14494,10626,7261,6207,8959,29,019,5.4,68596,1006,5390,17711,28243,12092,4154,63420,36519,26901,2.47,2.17,63420,31097,13925,10592,4070,2159,1577,63420,3913,20843,26020,12644,63420,36305,4461,21023,58,0,1283,2,126,162,63420,215,395,2274,63420,62360,819,241,36519,2775,5225,9557,7218,7131,3452,913,248,153900,36519,26433,10086,26433,72,621,1978,5594,9822,5062,3284,1214,10086,45,427,2031,2800,4783,390,26384,12001,4810,3135,1799,4639,49,10024,5364,1724,1033,692,348,152,711,62,25687,344,505,3346,9449,7834,3226,983,729,1214,25120,2728,3380,2898,3046,2066,11002,1781
