year,county_name,housing_occupancy_total_housing_units,housing_occupancy_occupied_housing_units,housing_occupancy_vacant_housing_units,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_1_unit_detached,units_in_structure_1_unit_attached,units_in_structure_2_units,units_in_structure_3_or_4_units,units_in_structure_5_to_9_units,units_in_structure_10_to_19_units,units_in_structure_20_or_more_units,units_in_structure_mobile_home,units_in_structure_boat_rv_van_etc.,year_structure_built_total_housing_units,year_structure_built_built_2005_or_later,year_structure_built_built_2000_to_2004,year_structure_built_built_1990_to_1999,year_structure_built_built_1980_to_1989,year_structure_built_built_1970_to_1979,year_structure_built_built_1960_to_1969,year_structure_built_built_1950_to_1959,year_structure_built_built_1940_to_1949,year_structure_built_built_1939_or_earlier,rooms_total_housing_units,rooms_1_room,rooms_2_rooms,rooms_3_rooms,rooms_4_rooms,rooms_5_rooms,rooms_6_rooms,rooms_7_rooms,rooms_8_rooms,rooms_9_rooms_or_more,state_fips,county_fips,rooms_median_rooms,bedrooms_total_housing_units,bedrooms_no_bedroom,bedrooms_1_bedroom,bedrooms_2_bedrooms,bedrooms_3_bedrooms,bedrooms_4_bedrooms,bedrooms_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_owner_occupied,housing_tenure_renter_occupied,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_moved_in_2005_or_,year_householder_moved_into_unit_moved_in_2000_to_,year_householder_moved_into_unit_moved_in_1990_to_,year_householder_moved_into_unit_moved_in_1980_to_,year_householder_moved_into_unit_moved_in_1970_to_,year_householder_moved_into_unit_moved_in_1969_or_,vehicles_available_occupied_housing_units,vehicles_available_no_vehicles_available,vehicles_available_1_vehicle_available,vehicles_available_2_vehicles_available,vehicles_available_3_or_more_vehicles_available,house_heating_fuel_occupied_housing_units,house_heating_fuel_utility_gas,house_heating_fuel_bottled_tank_or_lp_gas,house_heating_fuel_electricity,house_heating_fuel_fuel_oil_kerosene_etc.,house_heating_fuel_coal_or_coke,house_heating_fuel_wood,house_heating_fuel_solar_energy,house_heating_fuel_other_fuel,house_heating_fuel_no_fuel_used,selected_characteristics_occupied_housing_units,selected_characteristics_lacking_complete_plumbing,selected_characteristics_lacking_complete_kitchen_,selected_characteristics_no_telephone_service_avai,occupants_per_room_occupied_housing_units,occupants_per_room_1.00_or_less,occupants_per_room_1.01_to_1.50,occupants_per_room_1.51_or_more,value_owner_occupied_units,value_less_than_50000,value_50000_to_99999,value_100000_to_149999,value_150000_to_199999,value_200000_to_299999,value_300000_to_499999,value_500000_to_999999,value_1000000_or_more,value_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_housing_units_with_a_mortgage,mortgage_status_housing_units_without_a_mortgage,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_300,selected_monthly_owner_costs_smoc_300_to_499,selected_monthly_owner_costs_smoc_500_to_699,selected_monthly_owner_costs_smoc_700_to_999,selected_monthly_owner_costs_smoc_1000_to_1499,selected_monthly_owner_costs_smoc_1500_to_1999,selected_monthly_owner_costs_smoc_2000_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_100,selected_monthly_owner_costs_smoc_100_to_199,selected_monthly_owner_costs_smoc_200_to_299,selected_monthly_owner_costs_smoc_300_to_399,selected_monthly_owner_costs_smoc_400_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_less_than_200,gross_rent_200_to_299,gross_rent_300_to_499,gross_rent_500_to_749,gross_rent_750_to_999,gross_rent_1000_to_1499,gross_rent_1500_or_more,gross_rent_median_dollars,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2010,Adams County; Washington,6160,5599,561,4.6,3.6,6160,3891,105,142,128,211,169,200,1297,17,6160,193,495,557,649,1461,840,815,266,884,6160,109,173,281,1296,1283,1331,694,369,624,53,001,5.5,6160,134,467,1857,2428,986,288,5599,3580,2019,3.06,3.31,5599,1807,1308,1194,526,474,290,5599,176,1463,2358,1602,5599,1623,146,3398,229,0,124,14,64,1,5599,34,86,144,5599,4964,561,74,3580,416,897,876,688,472,160,58,13,131100,3580,2090,1490,2090,0,26,220,556,713,430,145,1126,1490,30,156,275,452,577,357,2088,700,295,205,281,607,2,1488,725,332,65,122,70,36,138,2,1762,93,135,552,586,260,74,62,530,257,1759,315,366,217,101,252,508,260
2010,Asotin County; Washington,9767,8977,790,2.2,4.6,9767,6541,293,543,395,173,95,315,1244,168,9767,365,342,1873,935,2174,896,1225,834,1123,9767,137,359,939,1527,1880,1488,1178,1111,1148,53,003,5.5,9767,145,1020,3006,3515,1675,406,8977,6403,2574,2.41,2.22,8977,3079,2221,1960,791,565,361,8977,483,2681,3451,2362,8977,4789,217,3451,92,0,338,0,90,0,8977,56,33,212,8977,8886,91,0,6403,773,855,1371,1292,1325,608,141,38,157600,6403,3991,2412,3991,21,92,362,986,1381,752,397,1169,2412,175,354,517,526,840,329,3987,1249,777,679,392,890,4,2364,1271,333,365,148,69,20,158,48,2388,82,115,537,988,482,150,34,622,186,2363,194,450,311,365,264,779,211
2010,Benton County; Washington,66897,62038,4859,1.9,9.2,66897,42773,2187,2470,1636,3117,3052,4319,7197,146,66897,4058,7802,11583,5876,17077,5630,6190,7070,1611,66897,722,1558,4645,8593,13504,12281,9374,7177,9043,53,005,5.9,66897,743,6144,15612,28491,12513,3394,62038,43230,18808,2.77,2.44,62038,25044,14251,12791,5108,2938,1906,62038,3064,16426,23418,19130,62038,9381,652,49689,298,12,1528,9,317,152,62038,101,527,1428,62038,60252,1343,443,43230,2812,3872,10005,11071,9538,4647,1167,118,169500,43230,30139,13091,30139,113,487,1099,4746,11901,7452,4341,1371,13091,210,926,2433,3403,6119,389,30034,14225,5273,3412,2162,4962,105,13050,6947,2361,1283,657,433,279,1090,41,17916,484,425,1807,7035,4973,2297,895,729,892,17721,2703,2386,2121,2381,1406,6724,1087
2010,Chelan County; Washington,34618,26676,7942,3.3,8.7,34618,23470,641,1165,1179,946,722,2266,4211,18,34618,1005,2343,6115,5409,6338,3153,3553,1746,4956,34618,434,922,2254,5405,7397,7003,5228,2708,3267,53,007,5.6,34618,570,3548,11195,13732,4414,1159,26676,18147,8529,2.66,2.54,26676,8876,6483,6502,2364,1351,1100,26676,1683,7229,11042,6722,26676,1250,100,24455,112,0,670,0,33,56,26676,172,342,1017,26676,26080,527,69,18147,726,800,2183,3103,5116,4150,1811,258,245500,18147,11964,6183,11964,84,252,512,1947,4181,2881,2107,1379,6183,106,835,1219,1575,2448,359,11964,4199,1739,1558,1099,3369,0,6013,2988,1300,519,268,291,162,485,170,7738,144,213,1349,2946,1633,1108,345,674,791,7606,1354,901,1151,933,907,2360,923
2010,Clallam County; Washington,34936,30987,3949,1.9,5.8,34936,25426,943,474,584,764,548,1410,4624,163,34936,1578,2908,7104,4870,7916,3232,2545,1656,3127,34936,368,1239,2730,6098,8397,6483,4262,2688,2671,53,009,5.3,34936,465,3721,11485,14886,3483,896,30987,22044,8943,2.24,2.15,30987,9858,8182,7488,3333,1385,741,30987,1802,9363,11638,8184,30987,406,1323,24215,335,0,4502,3,144,59,30987,308,238,791,30987,30608,266,113,22044,1083,1292,2002,3691,6462,5173,2139,202,241500,22044,12596,9448,12596,32,269,1089,2279,4286,2552,2089,1292,9448,156,815,1753,2361,4363,385,12566,3725,1771,1604,1237,4229,30,9366,4047,2035,1125,677,459,176,847,82,8554,285,315,1052,2460,2338,1866,238,766,389,8328,941,1003,925,1023,775,3661,615
2010,Clark County; Washington,164600,155042,9558,2.0,6.1,164600,111307,8823,5084,6311,8366,6525,9985,7893,306,164600,9698,22200,44192,22395,32032,11889,8438,6085,7671,164600,1031,2993,9452,25444,32858,31546,25217,17489,18570,53,011,5.8,164600,1481,12296,37743,75007,31236,6837,155042,105042,50000,2.73,2.48,155042,61344,41892,32434,9767,6239,3366,155042,6996,44426,64099,39521,155042,49892,1757,93715,1791,30,6799,61,733,264,155042,433,1136,4171,155042,151478,2723,841,105042,3706,2058,4735,14676,40418,28792,9359,1298,260800,105042,80987,24055,80987,104,785,1269,5666,21633,25379,26151,1704,24055,212,1148,2424,4638,15633,468,80601,21421,13829,11750,9374,24227,386,23930,9934,5439,3246,1589,770,735,2217,125,48571,651,745,2031,12678,16373,12692,3401,859,1429,48041,5047,6237,6293,6505,5246,18713,1959
2010,Columbia County; Washington,2099,1732,367,2.0,11.7,2099,1565,0,34,42,60,0,26,361,11,2099,25,129,225,71,348,228,174,242,657,2099,18,87,136,300,408,485,217,182,266,53,013,5.7,2099,33,227,647,774,322,96,1732,1252,480,2.37,2.03,1732,596,296,431,144,172,93,1732,100,417,682,533,1732,31,82,1133,301,0,170,5,10,0,1732,0,0,24,1732,1677,37,18,1252,138,244,260,184,303,58,23,42,146800,1252,723,529,723,7,99,85,158,217,119,38,1021,529,0,68,129,156,176,350,723,387,72,48,70,146,0,529,275,66,76,24,16,6,66,0,432,0,32,160,172,30,38,0,529,48,424,67,26,14,57,75,185,56
2010,Cowlitz County; Washington,42842,39441,3401,2.1,5.1,42842,29157,554,1894,1451,1310,1472,2042,4867,95,42842,1558,3088,6692,2972,8237,5346,4700,3779,6470,42842,547,852,2975,7642,8586,8505,5760,3814,4161,53,015,5.6,42842,732,3644,11967,18658,6290,1551,39441,26529,12912,2.54,2.43,39441,14679,8834,8055,2934,3040,1899,39441,2807,11257,14895,10482,39441,2113,461,33124,253,0,3068,17,294,111,39441,177,271,965,39441,38636,627,178,26529,1501,2089,4323,6261,7037,4047,1012,259,191500,26529,18121,8408,18121,105,226,936,3074,6623,4121,3036,1361,8408,101,796,1565,2550,3396,370,18026,5912,2832,2433,1822,5027,95,8354,3592,2052,913,521,345,197,734,54,12331,323,368,1636,5142,2462,1918,482,681,581,12267,1605,1119,1603,1137,1232,5571,645
2010,Douglas County; Washington,15503,13802,1701,2.7,4.3,15503,9913,351,441,546,423,245,449,3066,69,15503,739,1282,2622,2465,3613,1332,1717,617,1116,15503,304,500,1064,2611,3042,2775,1941,1372,1894,53,017,5.6,15503,333,1130,3596,6964,2706,774,13802,9922,3880,2.66,2.73,13802,4902,3428,3093,1194,763,422,13802,278,3850,5611,4063,13802,425,88,12936,108,0,216,13,6,10,13802,60,94,598,13802,13027,545,230,9922,961,907,1050,1893,2689,1852,461,109,204800,9922,6533,3389,6533,34,270,384,1239,1945,1689,972,1325,3389,110,518,814,819,1128,331,6531,2356,1196,880,579,1520,2,3376,1605,802,397,220,104,97,151,13,3463,39,137,473,1500,818,439,57,705,417,3450,616,381,547,255,337,1314,430
2010,Ferry County; Washington,4297,2706,1591,5.0,10.4,4297,3236,39,28,11,63,59,7,844,10,4297,126,238,645,775,1023,526,384,144,436,4297,106,448,448,868,803,684,402,293,245,53,019,4.8,4297,117,809,1348,1501,415,107,2706,1938,768,2.74,2.69,2706,730,716,707,335,144,74,2706,63,609,1120,914,2706,40,177,875,162,0,1396,3,51,2,2706,35,15,68,2706,2650,17,39,1938,200,301,514,314,334,136,108,31,146100,1938,897,1041,897,25,60,174,278,210,69,81,929,1041,56,196,316,208,265,284,892,297,177,52,48,318,5,1035,570,193,103,15,28,40,86,6,634,47,55,160,221,105,42,4,534,134,625,153,55,20,137,31,229,143
