year,county_name,housing_occupancy_total_housing_units,housing_occupancy_occupied_housing_units,housing_occupancy_vacant_housing_units,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_1_unit_detached,units_in_structure_1_unit_attached,units_in_structure_2_units,units_in_structure_3_or_4_units,units_in_structure_5_to_9_units,units_in_structure_10_to_19_units,units_in_structure_20_or_more_units,units_in_structure_mobile_home,units_in_structure_boat_rv_van_etc.,year_structure_built_total_housing_units,year_structure_built_built_2005_or_later,year_structure_built_built_2000_to_2004,year_structure_built_built_1990_to_1999,year_structure_built_built_1980_to_1989,year_structure_built_built_1970_to_1979,year_structure_built_built_1960_to_1969,year_structure_built_built_1950_to_1959,year_structure_built_built_1940_to_1949,year_structure_built_built_1939_or_earlier,rooms_total_housing_units,rooms_1_room,rooms_2_rooms,rooms_3_rooms,rooms_4_rooms,rooms_5_rooms,rooms_6_rooms,rooms_7_rooms,rooms_8_rooms,rooms_9_rooms_or_more,state_fips,county_fips,rooms_median_rooms,bedrooms_total_housing_units,bedrooms_no_bedroom,bedrooms_1_bedroom,bedrooms_2_bedrooms,bedrooms_3_bedrooms,bedrooms_4_bedrooms,bedrooms_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_owner_occupied,housing_tenure_renter_occupied,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_moved_in_2005_or_,year_householder_moved_into_unit_moved_in_2000_to_,year_householder_moved_into_unit_moved_in_1990_to_,year_householder_moved_into_unit_moved_in_1980_to_,year_householder_moved_into_unit_moved_in_1970_to_,year_householder_moved_into_unit_moved_in_1969_or_,vehicles_available_occupied_housing_units,vehicles_available_no_vehicles_available,vehicles_available_1_vehicle_available,vehicles_available_2_vehicles_available,vehicles_available_3_or_more_vehicles_available,house_heating_fuel_occupied_housing_units,house_heating_fuel_utility_gas,house_heating_fuel_bottled_tank_or_lp_gas,house_heating_fuel_electricity,house_heating_fuel_fuel_oil_kerosene_etc.,house_heating_fuel_coal_or_coke,house_heating_fuel_wood,house_heating_fuel_solar_energy,house_heating_fuel_other_fuel,house_heating_fuel_no_fuel_used,selected_characteristics_occupied_housing_units,selected_characteristics_lacking_complete_plumbing,selected_characteristics_lacking_complete_kitchen_,selected_characteristics_no_telephone_service_avai,occupants_per_room_occupied_housing_units,occupants_per_room_1.00_or_less,occupants_per_room_1.01_to_1.50,occupants_per_room_1.51_or_more,value_owner_occupied_units,value_less_than_50000,value_50000_to_99999,value_100000_to_149999,value_150000_to_199999,value_200000_to_299999,value_300000_to_499999,value_500000_to_999999,value_1000000_or_more,value_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_housing_units_with_a_mortgage,mortgage_status_housing_units_without_a_mortgage,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_300,selected_monthly_owner_costs_smoc_300_to_499,selected_monthly_owner_costs_smoc_500_to_699,selected_monthly_owner_costs_smoc_700_to_999,selected_monthly_owner_costs_smoc_1000_to_1499,selected_monthly_owner_costs_smoc_1500_to_1999,selected_monthly_owner_costs_smoc_2000_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_100,selected_monthly_owner_costs_smoc_100_to_199,selected_monthly_owner_costs_smoc_200_to_299,selected_monthly_owner_costs_smoc_300_to_399,selected_monthly_owner_costs_smoc_400_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_less_than_200,gross_rent_200_to_299,gross_rent_300_to_499,gross_rent_500_to_749,gross_rent_750_to_999,gross_rent_1000_to_1499,gross_rent_1500_or_more,gross_rent_median_dollars,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2011,Meeker County; Minnesota,10662,9400,1262,1.8,7.3,10662,8532,253,239,266,209,178,270,715,0,10662,526,990,1179,1037,1729,932,1128,541,2600,10662,137,89,838,1651,1639,1556,1623,1353,1776,27,093,6.1,10662,152,878,2798,4318,1957,559,9400,7673,1727,2.52,2.10,9400,2894,1894,2349,1020,643,600,9400,321,2359,4013,2707,9400,3581,2559,2257,449,0,402,0,140,12,9400,50,32,154,9400,9218,130,52,7673,468,1160,1590,1527,1554,999,313,62,165600,7673,5081,2592,5081,2,42,216,938,1864,1178,841,1355,2592,5,120,370,634,1463,429,5068,1394,984,775,570,1345,13,2587,973,585,339,208,139,94,249,5,1563,47,97,207,614,463,127,8,693,164,1536,203,179,166,204,172,612,191
2011,Pennington County; Minnesota,6285,5825,460,2.6,1.7,6285,4109,134,171,212,121,175,324,1039,0,6285,262,251,741,442,1494,720,494,396,1485,6285,46,73,490,1254,1247,1002,830,641,702,27,113,5.5,6285,51,589,1908,2516,926,295,5825,4478,1347,2.44,1.83,5825,2118,1091,1153,580,515,368,5825,369,1986,2237,1233,5825,2530,758,1856,356,0,180,0,94,51,5825,19,10,159,5825,5784,30,11,4478,1080,1321,797,706,438,127,6,3,94100,4478,2574,1904,2574,12,82,428,858,764,273,157,961,1904,6,105,472,527,794,377,2574,1192,420,325,216,421,0,1896,815,402,276,151,56,23,173,8,1216,47,130,415,442,140,42,0,508,131,1207,255,71,147,164,164,406,140
2011,Rice County; Minnesota,24355,22117,2238,2.4,7.7,24355,17344,1648,532,644,386,1117,1606,1078,0,24355,1471,3094,3305,2495,4076,1928,1695,1065,5226,24355,218,613,1578,3155,3831,3762,3693,3098,4407,27,131,6.2,24355,229,2431,5868,9100,5414,1313,22117,17078,5039,2.62,2.16,22117,8145,4297,4758,2293,1418,1206,22117,1316,5836,9295,5670,22117,15447,3408,2194,217,0,468,5,252,126,22117,52,161,484,22117,21666,365,86,17078,957,745,2557,4003,4991,2908,803,114,204200,17078,12155,4923,12155,23,199,479,1070,3669,3311,3404,1593,4923,15,156,573,1033,3146,464,12106,3702,2140,1730,1159,3375,49,4867,1940,1193,608,275,214,148,489,56,4824,150,161,569,1431,1368,952,193,762,215,4735,593,436,699,616,491,1900,304
2011,Wilkin County; Minnesota,3092,2658,434,3.3,18.8,3092,2440,20,85,127,70,10,161,179,0,3092,90,207,293,218,392,318,446,237,891,3092,10,119,216,307,577,486,426,300,651,27,167,6.2,3092,23,353,575,1145,775,221,2658,2199,459,2.59,1.67,2658,766,546,584,293,222,247,2658,212,473,1090,883,2658,880,629,670,345,7,61,0,46,20,2658,6,2,28,2658,2646,11,1,2199,378,684,493,341,222,64,15,2,103300,2199,1351,848,1351,0,41,152,393,526,153,86,1068,848,15,93,211,158,371,369,1350,670,211,168,98,203,1,847,402,179,91,38,46,13,78,1,424,32,23,141,72,75,70,11,523,35,424,62,97,69,55,22,119,35
2011,Red Lake County; Minnesota,1944,1718,226,0.3,11.8,1944,1539,8,59,15,43,77,23,180,0,1944,66,59,185,156,348,213,127,157,633,1944,12,42,98,307,371,413,256,159,286,27,125,5.8,1944,12,159,465,814,358,136,1718,1414,304,2.44,1.71,1718,469,351,311,191,209,187,1718,55,436,676,551,1718,15,526,600,402,0,132,4,36,3,1718,10,10,25,1718,1698,16,4,1414,390,530,240,132,91,20,10,1,78500,1414,720,694,720,4,56,136,244,188,69,23,907,694,7,49,131,207,300,381,720,409,93,72,43,103,0,688,268,160,75,65,18,18,84,6,247,5,17,131,62,32,0,0,463,57,247,63,49,30,27,23,55,57
2011,Clay County; Minnesota,23695,21928,1767,1.3,7.6,23695,15659,1632,356,694,600,1777,2139,822,16,23695,1816,2145,2657,1980,4647,2882,3195,1175,3198,23695,245,777,1837,3315,3879,3649,2957,2755,4281,27,027,6.0,23695,277,2229,6107,8477,4956,1649,21928,15528,6400,2.61,2.09,21928,9262,4110,4134,1899,1318,1205,21928,1387,6163,9141,5237,21928,9558,2245,7458,1964,25,231,6,280,161,21928,62,208,695,21928,21686,175,67,15528,827,2154,4792,3921,2886,781,122,45,149900,15528,10449,5079,10449,0,187,440,1797,4326,2477,1222,1307,5079,21,111,681,1302,2964,436,10435,4192,2060,1406,902,1875,14,5068,2240,1082,530,310,248,164,494,11,6129,101,316,1262,2215,1148,700,387,641,271,6034,711,490,774,649,462,2948,366
2011,Faribault County; Minnesota,7108,6274,834,3.5,6.5,7108,6198,67,140,129,138,65,281,87,3,7108,97,151,249,419,826,573,1268,585,2940,7108,3,39,323,855,1119,1387,1375,938,1069,27,043,6.4,7108,3,517,1729,3182,1396,281,6274,5036,1238,2.34,1.99,6274,1660,1127,1314,722,736,715,6274,352,1807,2561,1554,6274,2812,2105,548,539,0,133,0,116,21,6274,56,72,61,6274,6202,69,3,5036,987,1930,1035,478,348,176,54,28,87300,5036,2674,2362,2674,45,153,517,780,789,239,151,943,2362,12,199,488,631,1032,376,2674,1218,393,301,136,626,0,2328,948,500,256,178,131,68,247,34,1070,70,116,409,308,102,51,14,474,168,1061,135,135,161,117,83,430,177
2011,Fillmore County; Minnesota,9708,8507,1201,1.3,4.6,9708,8124,278,201,197,220,187,175,326,0,9708,338,770,870,647,994,562,792,565,4170,9708,82,200,463,1057,1482,1717,1645,1358,1704,27,045,6.4,9708,86,799,2455,3784,2025,559,8507,6816,1691,2.49,2.05,8507,2536,1626,1814,1058,733,740,8507,574,2256,3414,2263,8507,4218,2158,941,205,3,730,3,160,89,8507,178,235,270,8507,8408,80,19,6816,380,1724,1667,1105,1056,604,232,48,137000,6816,4102,2714,4102,19,62,248,921,1462,872,518,1241,2714,27,135,405,722,1425,413,4085,1533,719,498,355,980,17,2693,1036,475,298,189,185,104,406,21,1440,84,72,434,508,226,81,35,552,251,1412,242,226,182,161,156,445,279
2011,Lake County; Minnesota,7636,5180,2456,2.1,4.1,7636,6713,113,27,27,72,129,298,257,0,7636,183,486,553,705,1178,743,1853,391,1544,7636,322,486,813,1348,1750,1130,788,538,461,27,075,5.0,7636,344,1043,2494,2787,851,117,5180,4153,1027,2.14,1.55,5180,1631,1029,958,558,458,546,5180,388,1369,2150,1273,5180,2417,923,810,532,0,465,2,31,0,5180,89,74,113,5180,5158,17,5,4153,225,974,1040,560,645,480,166,63,142300,4153,2450,1703,2450,8,60,288,644,827,353,270,1131,1703,11,161,314,462,755,375,2450,1066,299,318,209,558,0,1682,690,323,131,185,124,40,189,21,885,54,44,267,228,220,65,7,563,142,873,88,108,192,104,97,284,154
2011,Polk County; Minnesota,14572,12442,2130,2.2,5.5,14572,10766,326,208,504,298,613,898,959,0,14572,459,808,1758,1142,2631,1474,1804,864,3632,14572,282,294,1225,2106,2689,2301,1817,1647,2211,27,119,5.8,14572,309,1391,3640,5520,2879,833,12442,9137,3305,2.53,2.07,12442,4351,2055,2448,1377,1111,1100,12442,886,3542,5024,2990,12442,4350,1851,3981,1651,1,353,0,203,52,12442,56,63,286,12442,12298,131,13,9137,1222,2435,2133,1549,1233,444,107,14,118800,9137,5208,3929,5208,16,201,431,1301,1893,886,480,1153,3929,36,285,576,968,2064,412,5207,2459,814,691,295,948,1,3910,1677,755,559,308,147,76,388,19,3049,173,256,795,987,532,156,150,574,256,3023,498,390,274,331,376,1154,282
